time;ckpt;id;money
581;gate-keeper;3;
582;gate-keeper;4;
583;gate-keeper;5;
590;vege_0;4;
592;vege_1;5;
593;meat_1;3;
652;final-crs_5;4;1236
657;final-crs_1;5;1547
676;final-crs_2;3;510
816;gate-keeper;7;
817;gate-keeper;8;
818;vege_1;8;
823;meat_1;7;
883;final-crs_5;8;140
898;final-crs_1;7;95
905;gate-keeper;9;
948;meat_1;9;
950;final-crs_2;9;220
1187;gate-keeper;11;
1188;gate-keeper;12;
1189;meat_0;11;
1203;final-crs_3;11;214
1238;meat_1;12;
1276;final-crs_4;12;248
1497;gate-keeper;14;
1498;vege_1;14;
1498;gate-keeper;15;
1499;gate-keeper;16;
1504;meat_1;15;
1520;final-crs_4;14;1057
1549;meat_0;16;
1574;final-crs_1;15;157
1631;final-crs_7;16;1537
1640;gate-keeper;18;
1649;vege_0;18;
1654;final-crs_0;18;346
1754;gate-keeper;19;
1755;vege_0;19;
1782;final-crs_1;19;387
2071;gate-keeper;22;
2072;gate-keeper;23;
2075;vege_1;22;
2076;vege_0;23;
2098;final-crs_7;22;161
2122;final-crs_5;23;445
2357;gate-keeper;24;
2358;gate-keeper;25;
2359;vege_0;24;
2359;gate-keeper;26;
2361;final-crs_3;24;679
2363;vege_1;25;
2364;frui_1;26;
2384;final-crs_5;25;222
2422;final-crs_6;26;858
2585;gate-keeper;28;
2586;gate-keeper;29;
2590;vege_0;29;
2595;meat_0;28;
2620;final-crs_3;29;1263
2637;final-crs_6;28;521
2727;gate-keeper;30;
2731;vege_1;30;
2807;final-crs_7;30;373
3065;gate-keeper;31;
3066;gate-keeper;32;
3067;vege_0;32;
3067;gate-keeper;33;
3068;gate-keeper;34;
3069;vege_1;33;
3095;meat_1;31;
3100;meat_0;34;
3105;final-crs_7;32;1156
3109;final-crs_6;33;789
3110;final-crs_3;31;295
3120;final-crs_1;34;333
3432;gate-keeper;39;
3440;vege_0;39;
3504;final-crs_4;39;514
3662;gate-keeper;42;
3669;vege_1;42;
3751;gate-keeper;43;
3770;final-crs_4;42;810
3788;meat_0;43;
3826;final-crs_3;43;1122
4008;gate-keeper;46;
4010;frui_0;46;
4020;final-crs_4;46;987
4253;gate-keeper;49;
4255;vege_1;49;
4264;final-crs_4;49;1105
4940;gate-keeper;57;
4955;meat_1;57;
4964;final-crs_3;57;375
5553;gate-keeper;65;
5555;vege_0;65;
5614;final-crs_4;65;281
5818;gate-keeper;68;
5819;vege_0;68;
5867;final-crs_0;68;1352
6399;gate-keeper;74;
6400;gate-keeper;75;
6447;meat_1;74;
6461;final-crs_2;74;418
6462;meat_0;75;
6470;final-crs_1;75;95
6719;gate-keeper;78;
6721;vege_0;78;
6735;final-crs_7;78;1130
6879;gate-keeper;79;
6880;gate-keeper;80;
6888;vege_0;79;
6889;vege_1;80;
6936;final-crs_4;79;2489
6958;final-crs_2;80;537
7015;gate-keeper;81;
7016;gate-keeper;82;
7021;vege_0;81;
7028;final-crs_5;81;2310
7051;meat_0;82;
7054;final-crs_3;82;1086
7099;gate-keeper;83;
7101;frui_0;83;
7200;final-crs_2;83;728
7360;gate-keeper;84;
7361;gate-keeper;85;
7362;vege_0;85;
7362;gate-keeper;86;
7402;meat_0;84;
7410;meat_1;86;
7478;final-crs_2;85;556
7485;final-crs_4;84;891
7486;final-crs_5;86;815
7677;gate-keeper;88;
7678;gate-keeper;89;
7679;frui_0;89;
7681;vege_1;88;
7700;final-crs_4;89;533
7704;final-crs_2;88;360
7756;gate-keeper;90;
7759;meat_1;90;
7795;final-crs_0;90;1391
7961;gate-keeper;91;
7962;gate-keeper;92;
7967;vege_0;92;
7974;final-crs_6;92;1084
7980;meat_0;91;
7997;final-crs_1;91;258
8231;gate-keeper;94;
8232;gate-keeper;95;
8234;vege_0;94;
8237;vege_1;95;
8238;final-crs_0;94;1345
8287;final-crs_7;95;1003
8544;gate-keeper;97;
8545;gate-keeper;98;
8546;gate-keeper;99;
8548;vege_1;97;
8548;meat_0;98;
8559;final-crs_3;97;1345
8599;meat_1;99;
8625;final-crs_4;98;1269
8657;gate-keeper;100;
8658;frui_1;100;
8664;final-crs_6;99;1203
8701;final-crs_5;100;1771
8805;gate-keeper;101;
8810;vege_0;101;
8874;final-crs_4;101;1535
9081;gate-keeper;104;
9082;gate-keeper;105;
9085;vege_0;104;
9087;vege_1;105;
9128;final-crs_5;104;1606
9145;final-crs_6;105;627
9395;gate-keeper;107;
9396;gate-keeper;108;
9397;gate-keeper;109;
9399;frui_0;107;
9404;vege_1;109;
9411;final-crs_0;107;323
9436;final-crs_2;109;601
9443;meat_1;108;
9481;final-crs_3;108;793
9482;gate-keeper;110;
9509;meat_1;110;
