time;ckpt;id;money
336;gate-keeper;0;
337;gate-keeper;1;
338;gate-keeper;2;
339;gate-keeper;3;
340;vege_0;0;
342;frui_0;1;
344;vege_1;3;
344;frui_1;2;
433;final-crs_5;0;1217
451;final-crs_3;1;1566
467;final-crs_7;3;587
491;final-crs_1;2;738
656;gate-keeper;4;
657;gate-keeper;5;
658;gate-keeper;6;
659;gate-keeper;7;
660;vege_1;4;
660;gate-keeper;8;
663;frui_1;6;
665;vege_0;5;
670;final-crs_7;4;415
671;vege_1;7;
675;vege_0;8;
694;final-crs_5;6;434
696;final-crs_1;5;707
700;final-crs_3;7;376
735;final-crs_2;8;1060
891;gate-keeper;11;
892;vege_1;11;
901;final-crs_7;11;1678
963;gate-keeper;12;
969;vege_0;12;
1005;final-crs_0;12;673
1242;gate-keeper;13;
1243;gate-keeper;14;
1244;frui_0;14;
1244;gate-keeper;15;
1248;frui_1;15;
1276;meat_1;13;
1284;final-crs_4;14;468
1323;final-crs_5;15;1314
1380;final-crs_3;13;61
1531;gate-keeper;16;
1532;gate-keeper;17;
1533;vege_1;17;
1533;gate-keeper;18;
1534;gate-keeper;19;
1535;final-crs_4;17;1051
1541;vege_0;18;
1542;vege_1;19;
1544;meat_0;16;
1593;final-crs_3;18;2322
1594;final-crs_5;19;581
1606;final-crs_7;16;1505
1804;gate-keeper;22;
1805;gate-keeper;23;
1806;vege_1;22;
1806;frui_0;23;
1820;final-crs_5;22;978
1838;final-crs_7;23;912
1902;gate-keeper;24;
1905;vege_0;24;
1921;final-crs_6;24;253
2135;gate-keeper;25;
2136;vege_0;25;
2136;gate-keeper;26;
2137;gate-keeper;27;
2144;vege_1;26;
2147;vege_0;27;
2230;final-crs_0;25;1266
2253;final-crs_4;26;1558
2292;final-crs_3;27;491
2469;gate-keeper;29;
2470;gate-keeper;30;
2471;vege_0;29;
2471;gate-keeper;31;
2472;frui_0;31;
2473;vege_1;30;
2475;final-crs_0;29;921
2489;final-crs_4;31;140
2505;final-crs_3;30;394
2705;gate-keeper;34;
2710;vege_0;34;
2712;final-crs_4;34;819
2712;gate-keeper;35;
2746;meat_0;35;
2766;final-crs_7;35;666
3012;gate-keeper;36;
3013;gate-keeper;37;
3014;vege_1;37;
3014;gate-keeper;38;
3015;gate-keeper;39;
3018;vege_0;38;
3023;vege_1;39;
3039;meat_0;36;
3064;final-crs_1;37;1107
3105;final-crs_2;38;1500
3123;final-crs_0;39;1004
3133;final-crs_5;36;810
3284;gate-keeper;40;
3285;gate-keeper;41;
3286;gate-keeper;42;
3287;frui_1;40;
3289;vege_0;41;
3289;frui_0;42;
3338;final-crs_0;40;471
3340;final-crs_5;41;1179
3345;final-crs_2;42;1101
3491;gate-keeper;44;
3492;vege_0;44;
3514;final-crs_1;44;1680
3595;gate-keeper;45;
3596;gate-keeper;46;
3597;vege_0;45;
3597;frui_0;46;
3661;final-crs_6;45;1338
3711;final-crs_4;46;577
4161;gate-keeper;51;
4162;gate-keeper;52;
4163;gate-keeper;53;
4166;frui_0;51;
4167;frui_1;52;
4169;vege_0;53;
4170;final-crs_6;51;1438
4193;final-crs_1;52;722
4203;final-crs_4;53;662
5062;gate-keeper;65;
5076;meat_0;65;
5126;final-crs_1;65;1122
5454;gate-keeper;70;
5456;vege_0;70;
5465;final-crs_5;70;1822
5723;gate-keeper;74;
5725;frui_0;74;
5743;final-crs_0;74;1335
5999;gate-keeper;78;
6030;meat_1;78;
6098;final-crs_2;78;1492
6346;gate-keeper;82;
6381;meat_1;82;
6391;final-crs_5;82;1027
6859;gate-keeper;88;
6860;gate-keeper;89;
6863;frui_1;88;
6865;vege_1;89;
6906;final-crs_0;88;1711
6917;final-crs_6;89;1457
7184;gate-keeper;92;
7185;frui_1;92;
7185;gate-keeper;93;
7188;vege_0;93;
7200;final-crs_2;92;668
7207;final-crs_1;93;1488
7834;gate-keeper;102;
7838;vege_1;102;
7880;final-crs_0;102;609
7922;gate-keeper;103;
7929;vege_1;103;
7935;final-crs_1;103;1046
8924;gate-keeper;115;
8925;gate-keeper;116;
8931;vege_1;115;
8934;vege_0;116;
8936;final-crs_7;115;133
8945;final-crs_1;116;784
9053;gate-keeper;117;
9054;gate-keeper;118;
9061;vege_1;117;
9062;vege_0;118;
9085;final-crs_2;117;948
9104;final-crs_3;118;989
9363;gate-keeper;119;
9364;gate-keeper;120;
9365;gate-keeper;121;
9366;gate-keeper;122;
9369;vege_0;119;
9369;frui_0;122;
9372;vege_1;120;
9378;vege_0;121;
9398;final-crs_0;119;245
9409;final-crs_7;122;1161
9418;final-crs_4;120;407
9450;final-crs_1;121;308
9994;gate-keeper;130;
9997;vege_0;130;
10052;final-crs_3;130;77
10191;gate-keeper;131;
10192;gate-keeper;132;
10193;gate-keeper;133;
10195;vege_1;131;
10197;vege_0;132;
10205;vege_1;133;
10206;final-crs_0;131;776
10285;final-crs_3;132;670
10333;final-crs_6;133;663
11230;gate-keeper;146;
11231;gate-keeper;147;
11235;vege_1;146;
11238;vege_0;147;
11290;final-crs_2;146;1070
11299;final-crs_6;147;285
11575;gate-keeper;150;
11576;gate-keeper;151;
11577;gate-keeper;152;
11580;vege_1;150;
11583;vege_0;151;
11590;vege_1;152;
11604;final-crs_0;150;838
11604;final-crs_1;151;146
11621;final-crs_7;152;685
11808;gate-keeper;154;
11809;gate-keeper;155;
11810;vege_1;154;
11817;vege_1;155;
11834;final-crs_0;154;1113
11855;final-crs_5;155;201
11896;gate-keeper;156;
11902;vege_1;156;
11924;final-crs_3;156;1358
12181;gate-keeper;158;
12182;gate-keeper;159;
12183;vege_1;158;
12183;gate-keeper;160;
12184;vege_0;159;
12225;meat_0;160;
12248;final-crs_6;158;484
12258;final-crs_2;159;376
12329;final-crs_0;160;1861
12473;gate-keeper;162;
12474;gate-keeper;163;
12475;gate-keeper;164;
12476;vege_0;162;
12481;vege_1;163;
12486;vege_0;164;
12516;final-crs_2;162;234
12577;final-crs_7;163;1557
12579;final-crs_0;164;348
12744;gate-keeper;166;
12745;gate-keeper;167;
12746;vege_0;166;
12746;gate-keeper;168;
12751;vege_1;167;
12755;vege_0;168;
12796;final-crs_4;166;339
12806;final-crs_0;167;282
12810;final-crs_1;168;943
12834;gate-keeper;169;
12838;frui_0;169;
12845;final-crs_7;169;645
13026;gate-keeper;170;
13027;gate-keeper;171;
13028;vege_1;170;
13035;vege_0;171;
13036;final-crs_0;170;363
