time;ckpt;id;money
220;gate-keeper;0;
221;gate-keeper;1;
222;vege_1;1;
227;final-crs_7;1;1973
240;meat_1;0;
246;final-crs_0;0;1009
533;gate-keeper;2;
534;frui_0;2;
534;gate-keeper;3;
535;gate-keeper;4;
536;frui_1;3;
539;vege_0;4;
678;final-crs_4;2;800
708;final-crs_6;3;297
709;final-crs_0;4;1122
815;gate-keeper;5;
816;gate-keeper;6;
817;gate-keeper;7;
818;vege_0;7;
818;frui_1;5;
823;frui_0;6;
899;final-crs_4;7;101
917;final-crs_6;5;676
936;final-crs_7;6;832
1140;gate-keeper;9;
1141;gate-keeper;10;
1143;vege_0;10;
1145;meat_0;9;
1168;final-crs_6;10;508
1188;final-crs_4;9;973
1440;gate-keeper;12;
1441;gate-keeper;13;
1442;frui_0;12;
1442;gate-keeper;14;
1444;meat_0;13;
1447;frui_1;14;
1449;final-crs_3;12;870
1456;final-crs_0;13;1088
1471;final-crs_1;14;1581
1759;gate-keeper;15;
1760;gate-keeper;16;
1761;gate-keeper;17;
1791;meat_1;15;
1812;meat_0;16;
1848;meat_1;17;
1891;final-crs_6;15;707
1922;final-crs_3;16;788
1942;final-crs_0;17;205
2025;gate-keeper;18;
2026;frui_0;18;
2026;gate-keeper;19;
2027;gate-keeper;20;
2030;frui_1;19;
2031;vege_1;20;
2129;final-crs_6;18;76
2148;final-crs_4;19;446
2173;final-crs_3;20;1528
2330;gate-keeper;21;
2331;gate-keeper;22;
2332;gate-keeper;23;
2338;vege_1;22;
2367;meat_1;21;
2375;meat_0;23;
2383;final-crs_6;22;1131
2406;final-crs_4;21;84
2420;final-crs_0;23;1300
2573;gate-keeper;24;
2574;vege_0;24;
2574;gate-keeper;25;
2578;vege_1;25;
2636;final-crs_3;24;651
2648;gate-keeper;26;
2649;frui_0;26;
2655;final-crs_6;25;1840
2663;final-crs_4;26;1131
2993;gate-keeper;29;
2997;frui_0;29;
3048;gate-keeper;30;
3050;vege_1;30;
3077;final-crs_1;29;438
3141;final-crs_3;30;612
3362;gate-keeper;32;
3363;gate-keeper;33;
3365;frui_1;32;
3371;vege_1;33;
3414;final-crs_0;32;113
3421;final-crs_4;33;195
3467;gate-keeper;34;
3468;frui_0;34;
3469;final-crs_7;34;255
3642;gate-keeper;36;
3644;vege_1;36;
3661;final-crs_5;36;1146
3979;gate-keeper;39;
3980;vege_1;39;
4044;final-crs_1;39;558
4279;gate-keeper;42;
4282;frui_0;42;
4314;final-crs_6;42;1636
4912;gate-keeper;48;
4918;vege_1;48;
4992;final-crs_1;48;65
5222;gate-keeper;51;
5226;frui_1;51;
5229;final-crs_0;51;834
5310;gate-keeper;52;
5315;vege_1;52;
5332;final-crs_3;52;969
5522;gate-keeper;54;
5523;vege_0;54;
5523;gate-keeper;55;
5524;frui_0;55;
5558;final-crs_4;54;1006
5580;final-crs_3;55;511
5783;gate-keeper;56;
5784;gate-keeper;57;
5792;vege_0;56;
5792;vege_1;57;
5832;final-crs_3;56;378
5894;final-crs_2;57;1066
6266;gate-keeper;61;
6267;gate-keeper;62;
6270;vege_0;61;
6276;final-crs_4;61;2171
6276;vege_1;62;
6319;final-crs_3;62;587
6665;gate-keeper;67;
6668;meat_1;67;
6672;final-crs_5;67;945
6911;gate-keeper;68;
6912;gate-keeper;69;
6913;vege_1;68;
6914;final-crs_5;68;2129
6918;vege_0;69;
6954;final-crs_3;69;615
7184;gate-keeper;71;
7185;gate-keeper;72;
7186;frui_0;71;
7189;frui_1;72;
7199;final-crs_3;71;855
7205;final-crs_1;72;656
7613;gate-keeper;76;
7615;frui_0;76;
7625;final-crs_1;76;1617
8274;gate-keeper;83;
8280;frui_0;83;
8301;final-crs_2;83;483
8485;gate-keeper;85;
8487;vege_0;85;
8498;final-crs_6;85;292
8736;gate-keeper;88;
8737;frui_1;88;
8749;final-crs_2;88;1048
9058;gate-keeper;91;
9062;vege_1;91;
9087;final-crs_3;91;734
9152;gate-keeper;92;
9158;vege_0;92;
9198;final-crs_6;92;1795
9331;gate-keeper;94;
9333;frui_1;94;
9423;final-crs_6;94;820
9640;gate-keeper;97;
9656;meat_1;97;
9674;final-crs_6;97;703
11398;gate-keeper;115;
11401;vege_0;115;
11408;final-crs_4;115;1617
11712;gate-keeper;119;
11718;vege_1;119;
11726;final-crs_7;119;1282
12014;gate-keeper;122;
12022;vege_0;122;
12076;final-crs_3;122;251
12275;gate-keeper;123;
12276;gate-keeper;124;
12279;meat_0;123;
12281;frui_1;124;
12306;final-crs_5;123;71
12309;final-crs_3;124;123
12518;gate-keeper;126;
12519;gate-keeper;127;
12520;vege_1;126;
12533;final-crs_5;126;217
12559;meat_1;127;
12585;final-crs_3;127;184
13575;gate-keeper;137;
13576;frui_0;137;
13610;final-crs_0;137;754
13784;gate-keeper;139;
13792;vege_0;139;
13798;final-crs_2;139;1835
14161;gate-keeper;143;
14165;frui_0;143;
14183;final-crs_5;143;891
14383;gate-keeper;146;
14433;meat_1;146;
14474;final-crs_3;146;402
15299;gate-keeper;156;
15317;meat_0;156;
15338;final-crs_5;156;216
15839;gate-keeper;161;
15843;vege_0;161;
15885;final-crs_4;161;761
16168;gate-keeper;165;
16174;vege_1;165;
16193;final-crs_3;165;510
16686;gate-keeper;168;
16687;gate-keeper;169;
16688;gate-keeper;170;
16692;vege_0;169;
16697;vege_1;170;
16705;meat_0;168;
16717;final-crs_2;169;884
16744;final-crs_1;170;555
16770;final-crs_0;168;1916
17116;gate-keeper;174;
17146;meat_1;174;
17152;final-crs_5;174;244
17314;gate-keeper;175;
17315;gate-keeper;176;
17316;gate-keeper;177;
17320;vege_0;176;
17320;frui_0;175;
17320;frui_1;177;
17373;final-crs_6;176;325
17380;final-crs_2;175;109
17398;final-crs_5;177;628
17419;gate-keeper;178;
