time;ckpt;id;money
317;gate-keeper;0;
318;gate-keeper;1;
319;vege_0;0;
321;frui_0;1;
441;final-crs_2;0;99
446;final-crs_6;1;1828
595;gate-keeper;2;
596;gate-keeper;3;
599;vege_1;2;
631;meat_0;3;
665;final-crs_2;2;777
676;final-crs_6;3;1511
895;gate-keeper;4;
896;gate-keeper;5;
897;gate-keeper;6;
898;frui_1;4;
901;vege_0;6;
902;frui_0;5;
906;final-crs_2;4;1461
925;final-crs_5;6;1194
955;final-crs_0;5;233
975;gate-keeper;7;
1003;meat_0;7;
1023;final-crs_1;7;199
1238;gate-keeper;8;
1239;vege_1;8;
1239;gate-keeper;9;
1248;vege_1;9;
1269;final-crs_7;8;1952
1290;final-crs_1;9;510
1534;gate-keeper;10;
1535;gate-keeper;11;
1539;vege_1;10;
1545;vege_0;11;
1584;final-crs_2;10;162
1592;final-crs_0;11;203
1836;gate-keeper;12;
1837;gate-keeper;13;
1842;vege_1;12;
1844;vege_0;13;
1858;final-crs_5;12;1452
1957;final-crs_7;13;931
2153;gate-keeper;14;
2154;gate-keeper;15;
2155;gate-keeper;16;
2172;meat_1;14;
2200;final-crs_1;14;2281
2209;meat_0;15;
2215;final-crs_7;15;333
2233;meat_1;16;
2243;final-crs_3;16;1030
2413;gate-keeper;17;
2414;gate-keeper;18;
2415;frui_0;18;
2416;final-crs_7;18;965
2444;meat_0;17;
2514;final-crs_3;17;1276
2698;gate-keeper;19;
2699;gate-keeper;20;
2701;vege_0;20;
2702;frui_1;19;
2728;final-crs_3;20;247
2736;final-crs_5;19;1619
2765;gate-keeper;21;
2777;meat_1;21;
2826;final-crs_0;21;1044
3005;gate-keeper;22;
3007;frui_1;22;
3038;final-crs_0;22;1265
3338;gate-keeper;23;
3339;gate-keeper;24;
3340;gate-keeper;25;
3344;meat_0;23;
3352;final-crs_6;23;498
3367;meat_1;24;
3373;final-crs_1;24;808
3399;meat_0;25;
3430;final-crs_3;25;118
3616;gate-keeper;26;
3617;gate-keeper;27;
3620;frui_0;27;
3625;vege_1;26;
3659;final-crs_5;27;439
3666;final-crs_2;26;99
3889;gate-keeper;28;
3890;gate-keeper;29;
3893;vege_1;28;
3895;vege_0;29;
3911;final-crs_5;28;1774
3917;final-crs_2;29;274
4091;gate-keeper;30;
4092;gate-keeper;31;
4094;vege_0;31;
4094;frui_0;30;
4149;final-crs_5;31;979
4204;final-crs_2;30;76
4409;gate-keeper;32;
4410;gate-keeper;33;
4413;vege_0;32;
4413;vege_1;33;
4414;final-crs_2;32;580
4440;final-crs_3;33;410
4594;gate-keeper;34;
4595;gate-keeper;35;
4596;vege_1;35;
4629;meat_1;34;
4650;final-crs_2;35;756
4673;final-crs_5;34;712
4702;gate-keeper;36;
4704;frui_0;36;
4721;final-crs_1;36;820
5048;gate-keeper;37;
5049;gate-keeper;38;
5050;frui_1;37;
5054;frui_0;38;
5080;final-crs_4;37;373
5086;final-crs_7;38;247
5373;gate-keeper;39;
5374;gate-keeper;40;
5375;gate-keeper;41;
5376;frui_0;40;
5377;vege_0;41;
5381;final-crs_2;40;637
5382;meat_0;39;
5441;final-crs_3;41;1337
5449;final-crs_1;39;892
5681;gate-keeper;42;
5682;gate-keeper;43;
5687;vege_1;43;
5730;final-crs_4;43;207
5746;meat_1;42;
5765;final-crs_6;42;1147
5996;gate-keeper;44;
5997;gate-keeper;45;
5999;frui_1;45;
6003;meat_0;44;
6004;final-crs_5;45;1141
6012;final-crs_0;44;768
6327;gate-keeper;46;
6328;frui_0;46;
6328;gate-keeper;47;
6329;gate-keeper;48;
6330;final-crs_1;46;570
6336;vege_0;47;
6339;meat_1;48;
6373;final-crs_6;47;1173
6399;final-crs_2;48;198
6597;gate-keeper;49;
6598;gate-keeper;50;
6600;frui_1;49;
6601;frui_0;50;
6624;final-crs_3;49;211
6637;final-crs_2;50;569
6924;gate-keeper;51;
6925;gate-keeper;52;
6930;vege_1;51;
6930;frui_0;52;
6937;final-crs_4;51;1345
6981;final-crs_0;52;1400
7183;gate-keeper;53;
7184;gate-keeper;54;
7186;frui_1;54;
7187;vege_1;53;
7215;final-crs_0;54;960
7234;final-crs_7;53;631
7467;gate-keeper;55;
7468;vege_1;55;
7468;gate-keeper;56;
7471;frui_1;56;
7490;gate-keeper;57;
7496;final-crs_1;55;706
7529;final-crs_6;56;765
7534;meat_0;57;
7569;final-crs_5;57;134
7800;gate-keeper;58;
7801;frui_0;58;
7801;gate-keeper;59;
7809;final-crs_6;58;856
7809;meat_1;59;
7851;final-crs_2;59;1005
7892;gate-keeper;60;
7899;vege_0;60;
7950;final-crs_4;60;116
8095;gate-keeper;61;
8096;vege_0;61;
8098;final-crs_6;61;240
8280;gate-keeper;62;
8281;gate-keeper;63;
8282;vege_0;62;
8288;vege_1;63;
8325;final-crs_6;62;1227
8350;final-crs_2;63;618
8429;gate-keeper;64;
8432;frui_1;64;
8464;final-crs_7;64;1921
8735;gate-keeper;65;
8736;gate-keeper;66;
8738;vege_1;65;
8739;final-crs_5;65;243
8768;meat_1;66;
8797;final-crs_4;66;668
9017;gate-keeper;67;
9018;gate-keeper;68;
9019;gate-keeper;69;
9064;meat_0;67;
9081;meat_1;68;
9092;final-crs_6;67;882
9117;meat_0;69;
9118;final-crs_1;68;1085
9121;final-crs_0;69;1764
9296;gate-keeper;70;
9297;gate-keeper;71;
9298;vege_1;70;
9299;frui_0;71;
9332;final-crs_2;70;1305
9339;final-crs_6;71;1022
9642;gate-keeper;72;
9643;gate-keeper;73;
9644;frui_1;72;
9644;gate-keeper;74;
9645;final-crs_7;72;1011
9647;vege_0;73;
9651;vege_1;74;
9723;final-crs_5;73;1924
9748;final-crs_4;74;339
9903;gate-keeper;75;
9904;gate-keeper;76;
9905;frui_0;76;
9949;meat_0;75;
10006;final-crs_5;76;1301
10013;final-crs_3;75;737
10125;gate-keeper;77;
10126;gate-keeper;78;
10129;vege_1;77;
10130;vege_0;78;
10144;final-crs_7;77;1463
10246;final-crs_5;78;80
10261;gate-keeper;79;
10265;vege_0;79;
10279;final-crs_4;79;835
