time;ckpt;id;money
299;gate-keeper;0;
348;meat_1;0;
427;final-crs_4;0;1247
571;gate-keeper;1;
572;gate-keeper;2;
573;vege_1;2;
594;meat_1;1;
641;final-crs_1;2;2687
656;final-crs_4;1;1238
862;gate-keeper;3;
863;gate-keeper;4;
867;vege_0;3;
870;vege_1;4;
881;final-crs_4;3;2132
908;final-crs_1;4;2578
1192;gate-keeper;5;
1193;gate-keeper;6;
1195;frui_1;6;
1200;final-crs_7;6;3362
1213;meat_1;5;
1218;final-crs_5;5;732
1513;gate-keeper;7;
1514;gate-keeper;8;
1515;vege_1;8;
1517;frui_0;7;
1549;final-crs_1;8;393
1604;final-crs_4;7;3866
1830;gate-keeper;9;
1831;gate-keeper;10;
1835;vege_1;9;
1839;vege_0;10;
1872;final-crs_7;9;845
1873;final-crs_3;10;2293
2111;gate-keeper;11;
2113;vege_1;11;
2124;final-crs_6;11;850
2439;gate-keeper;12;
2440;vege_0;12;
2440;gate-keeper;13;
2445;frui_0;13;
2521;final-crs_7;12;399
2534;final-crs_3;13;3322
2724;gate-keeper;14;
2725;gate-keeper;15;
2728;vege_0;15;
2750;final-crs_6;15;1114
2757;meat_1;14;
2771;final-crs_7;14;1618
3064;gate-keeper;16;
3065;gate-keeper;17;
3066;vege_1;16;
3071;vege_0;17;
3097;final-crs_4;16;808
3110;final-crs_5;17;1800
3347;gate-keeper;18;
3349;vege_1;18;
3365;final-crs_2;18;697
3651;gate-keeper;19;
3652;gate-keeper;20;
3655;vege_0;19;
3662;vege_1;20;
3704;final-crs_6;19;1975
3707;final-crs_7;20;2977
3896;gate-keeper;21;
3897;gate-keeper;22;
3899;vege_0;21;
3903;vege_1;22;
3922;final-crs_1;21;2418
3924;final-crs_6;22;321
4158;gate-keeper;23;
4160;frui_0;23;
4226;final-crs_7;23;1400
4229;gate-keeper;24;
4238;vege_1;24;
4271;final-crs_3;24;3250
4530;gate-keeper;25;
4531;gate-keeper;26;
4532;vege_0;25;
4534;vege_1;26;
4545;final-crs_5;25;3043
4599;final-crs_1;26;768
4755;gate-keeper;27;
4763;vege_1;27;
4802;final-crs_5;27;810
5157;gate-keeper;28;
5158;gate-keeper;29;
5162;vege_1;29;
5164;frui_0;28;
5219;final-crs_3;29;1590
5258;final-crs_0;28;870
5436;gate-keeper;30;
5437;gate-keeper;31;
5443;frui_0;31;
5450;final-crs_3;31;1653
5450;meat_1;30;
5516;final-crs_0;30;2271
5668;gate-keeper;32;
5671;vege_0;32;
5705;final-crs_3;32;1830
5721;gate-keeper;33;
5722;frui_0;33;
5772;final-crs_4;33;880
6000;gate-keeper;34;
6004;frui_1;34;
6006;final-crs_0;34;923
6307;gate-keeper;35;
6308;gate-keeper;36;
6311;vege_0;35;
6311;vege_1;36;
6322;final-crs_6;35;1091
6345;final-crs_7;36;81
6482;gate-keeper;37;
6490;vege_0;37;
6510;final-crs_4;37;3614
6937;gate-keeper;38;
6938;gate-keeper;39;
6939;gate-keeper;40;
6940;vege_0;38;
6942;vege_1;39;
6948;vege_0;40;
6953;final-crs_5;38;980
6961;final-crs_2;39;2521
6982;final-crs_1;40;995
7232;gate-keeper;41;
7233;gate-keeper;42;
7234;frui_1;42;
7237;vege_0;41;
7239;final-crs_2;42;3573
7255;final-crs_4;41;2329
7411;gate-keeper;43;
7430;meat_1;43;
7434;final-crs_2;43;2058
7555;gate-keeper;44;
7556;frui_0;44;
7616;final-crs_7;44;1055
7806;gate-keeper;45;
7809;vege_0;45;
7839;final-crs_1;45;3789
8123;gate-keeper;46;
8124;vege_1;46;
8124;gate-keeper;47;
8127;frui_1;47;
8130;final-crs_2;46;418
8167;final-crs_4;47;209
8388;gate-keeper;48;
8391;vege_1;48;
8438;final-crs_4;48;2672
8454;gate-keeper;49;
8495;meat_0;49;
8556;final-crs_7;49;1914
8714;gate-keeper;50;
8715;gate-keeper;51;
8716;frui_0;51;
8717;vege_1;50;
8797;final-crs_0;51;861
8799;final-crs_7;50;399
9023;gate-keeper;52;
9030;vege_1;52;
9043;final-crs_7;52;2565
9355;gate-keeper;53;
9356;gate-keeper;54;
9357;frui_1;54;
9390;meat_0;53;
9396;final-crs_4;54;1729
9423;final-crs_6;53;2066
9465;gate-keeper;55;
9468;vege_0;55;
9482;final-crs_0;55;1555
9612;gate-keeper;56;
9618;vege_0;56;
9663;final-crs_4;56;660
9877;gate-keeper;57;
9880;meat_1;57;
9899;final-crs_4;57;1008
10121;gate-keeper;58;
10122;gate-keeper;59;
10123;frui_1;58;
10125;frui_0;59;
10143;final-crs_4;58;1208
10211;gate-keeper;60;
10213;vege_1;60;
10229;final-crs_0;59;3390
10262;final-crs_7;60;3331
10420;gate-keeper;61;
10421;frui_1;61;
10432;final-crs_4;61;950
10705;gate-keeper;62;
10706;gate-keeper;63;
10713;vege_0;62;
10715;vege_1;63;
10717;final-crs_4;62;1166
10740;final-crs_5;63;1320
11016;gate-keeper;64;
11017;vege_0;64;
11047;final-crs_2;64;1585
11333;gate-keeper;65;
11334;gate-keeper;66;
11337;vege_1;65;
11343;vege_0;66;
11368;final-crs_6;65;2278
11413;final-crs_4;66;1794
11558;gate-keeper;67;
11560;vege_0;67;
11565;final-crs_6;67;409
11885;gate-keeper;68;
11886;gate-keeper;69;
11891;vege_1;68;
11894;vege_0;69;
11903;final-crs_4;68;859
11948;final-crs_0;69;3305
12213;gate-keeper;70;
12214;gate-keeper;71;
12215;vege_0;70;
12217;final-crs_7;70;3258
12218;frui_0;71;
12255;final-crs_3;71;1416
12515;gate-keeper;72;
12516;gate-keeper;73;
12517;vege_0;72;
12525;vege_1;73;
12552;final-crs_4;72;210
12570;final-crs_1;73;2723
12770;gate-keeper;74;
12784;meat_1;74;
12799;final-crs_4;74;2093
13117;gate-keeper;75;
13118;gate-keeper;76;
13120;vege_0;75;
13120;frui_1;76;
13162;final-crs_0;75;2312
13164;final-crs_3;76;2594
13435;gate-keeper;77;
13436;gate-keeper;78;
13437;frui_0;78;
13451;meat_0;77;
13499;final-crs_6;78;2039
13517;final-crs_1;77;2494
13760;gate-keeper;79;
13761;vege_0;79;
13761;gate-keeper;80;
13766;frui_0;80;
13772;final-crs_6;79;1551
13837;final-crs_3;80;2858
13846;gate-keeper;81;
13852;vege_0;81;
13906;final-crs_5;81;221
14061;gate-keeper;82;
14072;meat_0;82;
14096;final-crs_7;82;678
14417;gate-keeper;83;
14418;gate-keeper;84;
14424;vege_1;83;
14425;vege_0;84;
14449;final-crs_4;83;2274
14463;final-crs_6;84;3270
14758;gate-keeper;85;
14759;gate-keeper;86;
14760;meat_0;86;
14762;vege_1;85;
14787;final-crs_2;86;676
14826;final-crs_7;85;1776
15073;gate-keeper;87;
15074;vege_1;87;
15074;gate-keeper;88;
15082;vege_0;88;
15086;final-crs_5;87;1987
15133;final-crs_6;88;429
15369;gate-keeper;89;
15377;vege_1;89;
15391;final-crs_4;89;1282
15644;gate-keeper;90;
15645;gate-keeper;91;
15646;vege_1;90;
15650;vege_0;91;
15729;final-crs_5;90;3482
15732;final-crs_1;91;2931
16029;gate-keeper;92;
16030;gate-keeper;93;
16034;vege_0;92;
16082;meat_1;93;
16089;final-crs_4;92;3362
16104;final-crs_0;93;2104
16320;gate-keeper;94;
16321;vege_1;94;
16321;gate-keeper;95;
16326;vege_0;95;
16335;final-crs_4;94;1784
16369;final-crs_0;95;2736
16598;gate-keeper;96;
16605;vege_0;96;
16656;final-crs_5;96;1848
16745;gate-keeper;97;
16755;meat_1;97;
16828;final-crs_0;97;2106
16898;gate-keeper;98;
16904;vege_1;98;
16918;final-crs_1;98;978
17218;gate-keeper;99;
17219;gate-keeper;100;
17224;vege_1;99;
17225;vege_0;100;
17249;final-crs_2;99;978
17255;final-crs_0;100;1083
17516;gate-keeper;101;
17517;gate-keeper;102;
17518;vege_0;101;
17519;frui_1;102;
17529;final-crs_0;101;1988
17594;final-crs_4;102;4290
17835;gate-keeper;103;
17836;gate-keeper;104;
17839;frui_1;104;
17843;vege_1;103;
17859;final-crs_3;104;999
17862;final-crs_7;103;3117
18134;gate-keeper;105;
18161;meat_0;105;
18254;final-crs_0;105;2797
18372;gate-keeper;106;
18373;gate-keeper;107;
18374;frui_0;107;
18376;vege_0;106;
18406;final-crs_7;107;2723
18468;final-crs_0;106;1359
18726;gate-keeper;108;
18727;gate-keeper;109;
18730;vege_1;108;
18757;final-crs_4;108;5726
18771;meat_0;109;
18786;final-crs_5;109;1281
18974;gate-keeper;110;
18978;vege_0;110;
19009;final-crs_1;110;3107
19062;gate-keeper;111;
19063;frui_0;111;
19088;final-crs_3;111;5068
19349;gate-keeper;112;
19350;gate-keeper;113;
19353;vege_0;112;
19355;final-crs_7;112;709
19355;vege_1;113;
19360;final-crs_0;113;1464
19602;gate-keeper;114;
19603;frui_0;114;
19708;final-crs_4;114;3531
19913;gate-keeper;115;
19914;gate-keeper;116;
19915;gate-keeper;117;
19916;gate-keeper;118;
19917;gate-keeper;119;
19918;vege_0;115;
19919;meat_1;116;
19923;final-crs_1;115;375
19924;final-crs_4;116;1110
19924;vege_1;117;
19928;vege_0;118;
19934;vege_1;119;
19985;final-crs_7;117;2091
20016;final-crs_3;118;1416
20031;final-crs_5;119;3068
20273;gate-keeper;120;
20274;gate-keeper;121;
20275;gate-keeper;122;
20276;vege_1;120;
20276;gate-keeper;123;
20277;frui_0;123;
20277;gate-keeper;124;
20278;vege_0;121;
20288;vege_0;122;
20295;final-crs_0;120;652
20299;meat_0;124;
20312;final-crs_6;123;1500
20323;final-crs_2;121;173
20368;gate-keeper;125;
20372;vege_0;125;
20414;final-crs_4;122;1765
20438;final-crs_1;124;3955
20462;final-crs_3;125;962
20555;gate-keeper;126;
20556;gate-keeper;127;
20557;frui_0;126;
20557;gate-keeper;128;
20558;gate-keeper;129;
20559;gate-keeper;130;
20560;vege_1;128;
20565;vege_0;130;
20576;final-crs_6;126;2027
20580;meat_1;127;
20581;meat_0;129;
20621;final-crs_4;128;1643
20658;final-crs_1;130;1898
20708;final-crs_3;127;460
20719;final-crs_5;129;3451
20818;gate-keeper;131;
20819;gate-keeper;132;
20820;gate-keeper;133;
20822;vege_0;131;
20825;vege_1;132;
20830;final-crs_0;131;1563
20830;vege_0;133;
20857;final-crs_4;132;306
20941;final-crs_1;133;946
21118;gate-keeper;134;
21119;gate-keeper;135;
21120;frui_1;135;
21120;gate-keeper;136;
21121;gate-keeper;137;
21122;gate-keeper;138;
21123;vege_1;134;
21125;frui_0;137;
21125;frui_1;138;
21126;vege_0;136;
21183;final-crs_1;135;1345
21206;final-crs_3;134;2074
21206;gate-keeper;139;
21207;vege_0;139;
21207;gate-keeper;140;
21208;vege_1;140;
21208;gate-keeper;141;
21209;frui_1;141;
21209;gate-keeper;142;
21215;vege_0;142;
21226;final-crs_5;137;1243
21251;final-crs_6;138;594
21271;final-crs_7;136;2452
21305;final-crs_0;139;374
21320;final-crs_2;140;463
21353;final-crs_4;141;234
21418;gate-keeper;143;
21419;gate-keeper;144;
21420;gate-keeper;145;
21421;frui_0;143;
21421;gate-keeper;146;
21422;gate-keeper;147;
21423;frui_1;145;
21424;vege_0;144;
21426;vege_1;146;
21432;vege_0;147;
21443;final-crs_1;142;1960
21451;final-crs_5;143;2618
21473;final-crs_3;145;1017
21498;final-crs_6;144;1214
21517;final-crs_7;146;4612
21535;final-crs_0;147;1551
21712;gate-keeper;148;
21713;gate-keeper;149;
21714;gate-keeper;150;
21715;gate-keeper;151;
21716;gate-keeper;152;
21718;vege_0;148;
21718;vege_1;149;
21718;meat_1;150;
21726;final-crs_7;148;270
21727;vege_1;151;
21729;vege_0;152;
21754;final-crs_6;149;1563
21762;final-crs_0;150;847
21766;final-crs_2;151;2797
21879;final-crs_4;152;2191
22000;gate-keeper;153;
22001;gate-keeper;154;
22002;vege_0;153;
22002;gate-keeper;155;
22003;gate-keeper;156;
22004;final-crs_6;153;1259
22004;gate-keeper;157;
22005;vege_1;154;
22005;meat_1;155;
22013;vege_0;156;
22019;final-crs_2;154;422
22057;meat_0;157;
22126;final-crs_1;155;552
22137;final-crs_4;156;1589
22170;gate-keeper;158;
22171;gate-keeper;159;
22172;frui_0;158;
22172;gate-keeper;160;
22173;gate-keeper;161;
22174;gate-keeper;162;
22177;meat_1;159;
22180;vege_1;160;
22181;vege_0;162;
22191;final-crs_5;157;626
22215;final-crs_3;158;927
22217;final-crs_7;159;1959
22232;meat_0;161;
22271;final-crs_2;160;2847
22284;final-crs_0;162;2939
22299;final-crs_6;161;1825
22307;gate-keeper;163;
22308;gate-keeper;164;
22309;gate-keeper;165;
22310;vege_0;164;
22310;vege_1;165;
22310;gate-keeper;166;
22311;frui_0;163;
22311;gate-keeper;167;
22320;vege_0;167;
22324;gate-keeper;168;
22325;gate-keeper;169;
22326;gate-keeper;170;
