time;ckpt;id;money
299;gate-keeper;15;
300;gate-keeper;16;
301;meat_1;15;
301;gate-keeper;17;
302;frui_1;16;
305;vege_1;17;
459;final-crs_4;15;323
475;final-crs_1;16;760
477;final-crs_10;17;1608
817;gate-keeper;48;
818;gate-keeper;49;
820;frui_1;48;
823;frui_0;49;
900;final-crs_7;48;579
940;final-crs_1;49;913
971;gate-keeper;58;
972;gate-keeper;59;
974;frui_1;59;
976;vege_0;58;
989;final-crs_6;59;1761
1001;final-crs_3;58;998
1282;gate-keeper;75;
1283;gate-keeper;76;
1284;gate-keeper;77;
1285;vege_1;75;
1285;gate-keeper;78;
1286;vege_0;78;
1318;meat_1;76;
1339;meat_0;77;
1344;final-crs_7;75;1403
1387;final-crs_8;78;1089
1416;final-crs_1;76;92
1419;final-crs_2;77;644
1562;gate-keeper;91;
1563;gate-keeper;92;
1564;gate-keeper;93;
1565;gate-keeper;94;
1567;frui_0;91;
1572;vege_1;93;
1573;vege_0;94;
1601;final-crs_8;91;900
1607;final-crs_7;93;1285
1612;meat_1;92;
1633;final-crs_1;94;964
1663;final-crs_2;92;1362
1720;gate-keeper;103;
1721;frui_1;103;
1721;gate-keeper;104;
1723;final-crs_11;103;381
1723;frui_0;104;
1736;final-crs_9;104;800
1914;gate-keeper;115;
1915;gate-keeper;116;
1917;vege_1;115;
1921;vege_0;116;
1923;final-crs_2;115;448
1938;final-crs_4;116;134
2210;gate-keeper;132;
2211;frui_0;132;
2211;gate-keeper;133;
2212;gate-keeper;134;
2213;frui_1;133;
2219;vege_0;134;
2264;final-crs_0;132;578
2272;final-crs_10;133;1035
2281;final-crs_6;134;692
2503;gate-keeper;152;
2504;vege_0;152;
2520;final-crs_0;152;484
2582;gate-keeper;153;
2583;vege_1;153;
2583;gate-keeper;154;
2584;gate-keeper;155;
2585;gate-keeper;156;
2586;final-crs_11;153;1412
2586;gate-keeper;157;
2589;frui_0;155;
2591;vege_1;154;
2592;vege_0;156;
2607;meat_0;157;
2618;final-crs_1;155;667
2656;final-crs_9;154;1702
2659;final-crs_2;156;299
2686;final-crs_5;157;101
3104;gate-keeper;185;
3105;gate-keeper;186;
3106;gate-keeper;187;
3107;gate-keeper;188;
3108;frui_0;185;
3108;gate-keeper;189;
3109;vege_1;188;
3110;frui_1;189;
3119;final-crs_1;185;1075
3133;meat_0;186;
3149;meat_1;187;
3153;final-crs_10;188;1238
3169;final-crs_5;189;402
3170;final-crs_3;186;1304
3198;final-crs_7;187;395
3384;gate-keeper;205;
3385;gate-keeper;206;
3388;vege_1;205;
3389;frui_0;206;
3413;final-crs_10;205;210
3422;final-crs_3;206;103
3738;gate-keeper;227;
3739;gate-keeper;228;
3741;vege_0;228;
3742;meat_1;227;
3745;final-crs_2;228;67
3758;final-crs_4;227;1623
3763;gate-keeper;229;
3765;frui_1;229;
3791;final-crs_1;229;753
4020;gate-keeper;245;
4021;frui_0;245;
4023;final-crs_1;245;213
4284;gate-keeper;261;
4285;gate-keeper;262;
4287;vege_0;261;
4289;frui_0;262;
4324;final-crs_5;261;154
4326;final-crs_6;262;756
4450;gate-keeper;272;
4455;vege_0;272;
4501;final-crs_4;272;1473
4590;gate-keeper;278;
4591;gate-keeper;279;
4592;gate-keeper;280;
4593;gate-keeper;281;
4594;frui_0;278;
4594;frui_1;279;
4597;final-crs_8;278;643
4601;frui_0;280;
4602;final-crs_9;279;269
4602;frui_1;281;
4617;final-crs_5;280;1558
4622;final-crs_10;281;201
4861;gate-keeper;297;
4865;vege_1;297;
4880;final-crs_8;297;399
5133;gate-keeper;314;
5134;vege_0;314;
5137;final-crs_3;314;1576
5442;gate-keeper;333;
5455;meat_0;333;
5460;gate-keeper;334;
5495;final-crs_1;333;162
5499;meat_1;334;
5531;final-crs_4;334;354
5730;gate-keeper;351;
5734;frui_0;351;
5762;final-crs_4;351;1809
6040;gate-keeper;363;
6041;gate-keeper;364;
6042;gate-keeper;365;
6043;vege_0;363;
6043;gate-keeper;366;
6044;vege_1;364;
6044;gate-keeper;367;
6045;final-crs_1;363;632
6045;gate-keeper;368;
6046;frui_1;366;
6046;gate-keeper;369;
6047;gate-keeper;370;
6049;frui_0;367;
6053;vege_0;365;
6053;frui_1;368;
6055;vege_1;370;
6061;meat_0;369;
6110;final-crs_2;364;980
6115;final-crs_3;366;1069
6121;final-crs_11;367;1141
6136;final-crs_8;365;224
6164;final-crs_7;368;2053
6216;final-crs_9;370;1675
6235;final-crs_4;369;78
6283;gate-keeper;380;
6284;gate-keeper;381;
6285;frui_0;380;
6285;gate-keeper;382;
6286;gate-keeper;383;
6287;gate-keeper;384;
6288;gate-keeper;385;
6289;frui_1;382;
6289;meat_1;381;
6292;vege_0;384;
6294;frui_0;383;
6296;final-crs_5;380;257
6296;vege_1;385;
6307;final-crs_1;382;490
6343;gate-keeper;388;
6344;final-crs_3;381;232
6344;gate-keeper;389;
6345;frui_0;388;
6346;vege_0;389;
6347;final-crs_2;384;392
6373;final-crs_11;383;2002
6400;final-crs_8;385;166
6432;final-crs_7;388;741
6470;final-crs_9;389;202
6648;gate-keeper;403;
6649;gate-keeper;404;
6650;gate-keeper;405;
6651;gate-keeper;406;
6652;vege_1;403;
6652;gate-keeper;407;
6653;meat_0;406;
6654;vege_0;405;
6654;frui_0;404;
6662;vege_0;407;
6681;final-crs_7;403;449
6698;final-crs_9;406;417
6708;final-crs_0;405;1074
6720;final-crs_4;404;352
6732;final-crs_6;407;308
6941;gate-keeper;416;
6942;gate-keeper;417;
6943;gate-keeper;418;
6944;gate-keeper;419;
6945;vege_0;417;
6945;gate-keeper;420;
6946;frui_1;418;
6946;gate-keeper;421;
6947;gate-keeper;422;
6948;vege_1;420;
6948;frui_0;422;
6948;gate-keeper;423;
6949;gate-keeper;424;
6950;gate-keeper;425;
6951;frui_1;424;
6951;gate-keeper;426;
6952;final-crs_0;417;1772
6954;vege_0;421;
6957;vege_1;423;
6963;vege_0;426;
6968;meat_1;416;
6976;meat_0;419;
6986;final-crs_10;418;585
6987;final-crs_4;420;461
6992;final-crs_6;422;506
7036;meat_1;425;
7056;final-crs_8;424;1017
7068;final-crs_2;421;605
7070;final-crs_1;423;337
7077;final-crs_5;426;1864
7087;final-crs_3;416;651
7125;final-crs_11;419;1048
7151;final-crs_9;425;1125
7260;gate-keeper;446;
7271;meat_1;446;
7282;final-crs_2;446;1286
7897;gate-keeper;483;
7898;gate-keeper;484;
7901;vege_0;483;
7905;vege_1;484;
7937;final-crs_7;483;141
7954;final-crs_10;484;2277
8028;gate-keeper;492;
8030;meat_0;492;
8042;final-crs_5;492;1018
8194;gate-keeper;498;
8195;gate-keeper;499;
8196;gate-keeper;500;
8197;gate-keeper;501;
8198;vege_0;498;
8198;vege_1;499;
8198;frui_0;501;
8198;gate-keeper;502;
8199;frui_1;502;
8204;final-crs_6;498;1157
8208;vege_0;500;
8219;final-crs_0;499;1000
8228;final-crs_4;501;1509
8234;final-crs_2;502;271
8249;final-crs_5;500;1114
8492;gate-keeper;521;
8494;frui_0;521;
8497;final-crs_4;521;922
8776;gate-keeper;537;
8777;gate-keeper;538;
8778;frui_0;538;
8778;gate-keeper;539;
8781;vege_1;537;
8790;final-crs_3;538;121
8797;final-crs_11;537;1014
8798;meat_0;539;
8869;final-crs_1;539;350
8929;gate-keeper;549;
8933;vege_0;549;
8949;final-crs_2;549;178
9413;gate-keeper;578;
9417;frui_0;578;
9446;final-crs_0;578;325
9732;gate-keeper;593;
9733;gate-keeper;594;
9734;gate-keeper;595;
9735;gate-keeper;596;
9736;gate-keeper;597;
9737;gate-keeper;598;
9738;frui_0;593;
9739;frui_1;596;
9740;vege_0;594;
9743;vege_1;597;
9745;frui_0;598;
9747;meat_0;595;
9763;final-crs_11;593;1281
9784;final-crs_7;596;528
9790;final-crs_1;594;1633
9838;final-crs_8;597;767
9860;final-crs_10;598;486
9878;final-crs_6;595;574
9965;gate-keeper;612;
9987;meat_1;612;
10011;final-crs_1;612;1003
10317;gate-keeper;634;
10341;meat_1;634;
10375;final-crs_10;634;724
10480;gate-keeper;640;
10481;gate-keeper;641;
10482;gate-keeper;642;
10483;frui_0;642;
10483;gate-keeper;643;
10484;gate-keeper;644;
10485;final-crs_11;642;744
10486;frui_1;643;
10487;vege_1;641;
10499;final-crs_6;643;299
10499;final-crs_7;641;640
10511;meat_0;640;
10519;meat_1;644;
10561;final-crs_8;640;771
10589;final-crs_2;644;736
10609;gate-keeper;646;
10610;gate-keeper;647;
10611;gate-keeper;648;
10612;gate-keeper;649;
10613;vege_0;646;
10613;frui_0;649;
10613;gate-keeper;650;
10614;gate-keeper;651;
10618;vege_1;647;
10622;final-crs_10;646;347
10623;vege_0;648;
10627;vege_1;650;
10627;meat_0;651;
10674;final-crs_0;649;362
10674;final-crs_9;647;1491
10683;final-crs_1;648;285
10690;final-crs_3;650;1738
10703;final-crs_5;651;1469
10930;gate-keeper;670;
10931;frui_1;670;
10931;gate-keeper;671;
10937;frui_0;671;
10941;final-crs_7;670;360
10943;final-crs_5;671;439
11243;gate-keeper;690;
11244;gate-keeper;691;
11245;frui_0;690;
11248;vege_1;691;
