time;ckpt;id;money
285;gate-keeper;0;
286;gate-keeper;1;
287;gate-keeper;2;
288;vege_0;1;
288;gate-keeper;3;
289;gate-keeper;4;
290;gate-keeper;5;
291;gate-keeper;6;
292;final-crs_1;1;197
292;gate-keeper;7;
293;frui_1;4;
293;gate-keeper;8;
294;vege_1;7;
294;gate-keeper;9;
295;gate-keeper;10;
296;meat_1;0;
296;gate-keeper;11;
297;vege_0;8;
297;gate-keeper;12;
299;frui_1;12;
305;vege_1;9;
306;vege_0;10;
312;meat_0;2;
314;vege_1;11;
353;meat_1;3;
364;meat_0;5;
419;meat_1;6;
432;final-crs_3;4;1547
434;final-crs_2;7;626
437;final-crs_10;0;805
456;final-crs_4;8;430
463;final-crs_8;12;99
470;final-crs_7;9;1396
477;final-crs_9;10;192
479;final-crs_6;2;1439
485;final-crs_11;11;691
492;final-crs_0;3;1643
505;final-crs_5;5;374
552;final-crs_1;6;688
594;gate-keeper;17;
595;gate-keeper;18;
596;gate-keeper;19;
597;frui_0;19;
597;gate-keeper;20;
598;vege_0;17;
598;gate-keeper;21;
599;gate-keeper;22;
600;gate-keeper;23;
601;gate-keeper;24;
602;gate-keeper;25;
603;gate-keeper;26;
604;vege_1;18;
604;gate-keeper;27;
609;vege_0;20;
612;vege_1;21;
619;vege_0;22;
621;vege_1;23;
629;vege_0;24;
631;vege_1;26;
645;meat_0;25;
651;final-crs_10;19;1729
655;meat_1;27;
664;final-crs_8;17;264
669;final-crs_4;18;71
673;final-crs_3;20;1093
675;final-crs_2;21;1552
700;final-crs_7;22;749
718;final-crs_11;23;904
729;final-crs_5;24;879
735;final-crs_6;26;84
735;final-crs_9;25;906
753;final-crs_0;27;207
1278;gate-keeper;58;
1279;gate-keeper;59;
1280;gate-keeper;60;
1284;meat_1;58;
1293;final-crs_10;58;90
1308;meat_0;59;
1314;final-crs_8;59;1618
1346;meat_1;60;
1396;final-crs_11;60;1148
1576;gate-keeper;71;
1577;gate-keeper;72;
1578;frui_0;72;
1578;gate-keeper;73;
1579;gate-keeper;74;
1580;vege_0;71;
1581;vege_1;73;
1589;vege_0;74;
1596;final-crs_2;72;645
1623;final-crs_5;71;1373
1640;final-crs_11;73;2238
1649;final-crs_4;74;850
1833;gate-keeper;87;
1834;frui_1;87;
1836;final-crs_3;87;600
2129;gate-keeper;99;
2130;gate-keeper;100;
2131;meat_1;100;
2131;gate-keeper;101;
2136;vege_0;99;
2137;vege_1;101;
2138;final-crs_11;100;330
2154;final-crs_4;99;761
2194;final-crs_9;101;867
2990;gate-keeper;142;
2992;vege_0;142;
3011;final-crs_1;142;654
3289;gate-keeper;156;
3290;gate-keeper;157;
3296;vege_1;156;
3297;final-crs_4;156;1042
3297;vege_0;157;
3311;final-crs_10;157;272
3636;gate-keeper;172;
3637;vege_0;172;
3637;gate-keeper;173;
3642;vege_1;173;
3645;final-crs_11;172;117
3648;final-crs_7;173;104
3786;gate-keeper;179;
3787;gate-keeper;180;
3790;vege_0;179;
3792;vege_1;180;
3835;final-crs_8;179;1974
3860;final-crs_11;180;604
3939;gate-keeper;188;
3972;meat_0;188;
4003;final-crs_3;188;910
4180;gate-keeper;196;
4181;vege_0;196;
4181;gate-keeper;197;
4182;gate-keeper;198;
4183;gate-keeper;199;
4187;vege_1;197;
4189;final-crs_7;196;1082
4189;vege_0;198;
4194;final-crs_2;197;606
4198;vege_0;199;
4204;final-crs_0;198;765
4252;final-crs_4;199;87
4450;gate-keeper;211;
4451;gate-keeper;212;
4452;vege_1;211;
4454;vege_0;212;
4483;final-crs_3;211;148
4483;final-crs_4;212;761
4523;gate-keeper;214;
4524;frui_1;214;
4524;gate-keeper;215;
4527;vege_0;215;
4529;final-crs_8;214;207
4552;final-crs_1;215;735
4735;gate-keeper;224;
4736;gate-keeper;225;
4739;vege_1;224;
4739;frui_0;225;
4755;final-crs_10;224;195
4775;final-crs_8;225;1042
5035;gate-keeper;238;
5036;frui_0;238;
5036;gate-keeper;239;
5039;vege_1;239;
5109;final-crs_9;238;1616
5112;final-crs_6;239;929
5303;gate-keeper;251;
5304;vege_0;251;
5304;gate-keeper;252;
5308;meat_1;252;
5327;final-crs_9;251;840
5339;final-crs_6;252;1505
5481;gate-keeper;259;
5482;gate-keeper;260;
5483;vege_1;259;
5484;vege_0;260;
5488;final-crs_3;259;1047
5503;final-crs_10;260;558
5595;gate-keeper;266;
5615;meat_1;266;
5625;final-crs_6;266;297
5935;gate-keeper;278;
5936;gate-keeper;279;
5937;gate-keeper;280;
5938;gate-keeper;281;
5939;gate-keeper;282;
5943;vege_1;281;
5946;final-crs_10;281;732
5970;meat_0;278;
5971;final-crs_7;278;1257
5984;meat_1;279;
5999;final-crs_9;279;459
6020;meat_0;280;
6035;final-crs_1;280;802
6037;meat_1;282;
6055;final-crs_11;282;386
6227;gate-keeper;296;
6230;vege_0;296;
6272;final-crs_8;296;1081
6526;gate-keeper;306;
6527;gate-keeper;307;
6528;gate-keeper;308;
6529;vege_0;306;
6529;gate-keeper;309;
6530;gate-keeper;310;
6531;frui_0;307;
6532;frui_1;309;
6546;final-crs_8;306;202
6549;meat_0;308;
6554;meat_1;310;
6572;final-crs_5;307;1040
6587;final-crs_0;309;1422
6601;final-crs_6;308;660
6621;final-crs_3;310;1512
6790;gate-keeper;319;
6791;gate-keeper;320;
6792;vege_1;319;
6792;gate-keeper;321;
6793;gate-keeper;322;
6796;vege_0;320;
6802;vege_1;321;
6806;vege_0;322;
6825;final-crs_0;319;505
6828;final-crs_6;320;767
6842;final-crs_5;321;1041
6877;final-crs_3;322;733
7128;gate-keeper;338;
7129;vege_0;338;
7131;final-crs_7;338;489
7425;gate-keeper;351;
7426;gate-keeper;352;
7427;vege_1;352;
7427;frui_0;351;
7432;final-crs_1;352;969
7480;final-crs_4;351;411
7484;gate-keeper;355;
7494;meat_1;355;
7547;final-crs_11;355;297
7769;gate-keeper;367;
7770;gate-keeper;368;
7774;frui_0;367;
7774;frui_1;368;
7779;final-crs_0;367;639
7782;final-crs_11;368;344
8070;gate-keeper;382;
8071;gate-keeper;383;
8089;meat_0;382;
8094;meat_1;383;
8096;final-crs_10;382;776
8098;final-crs_6;383;695
8334;gate-keeper;397;
8338;frui_0;397;
8375;final-crs_10;397;487
8629;gate-keeper;411;
8646;meat_1;411;
8676;final-crs_2;411;352
9005;gate-keeper;427;
9006;gate-keeper;428;
9007;gate-keeper;429;
9008;vege_1;427;
9008;gate-keeper;430;
9011;vege_0;428;
9017;vege_1;429;
9020;vege_0;430;
9059;final-crs_7;427;602
9076;final-crs_6;428;348
9105;final-crs_10;429;607
9112;final-crs_3;430;530
9114;gate-keeper;435;
9115;gate-keeper;436;
9116;vege_1;435;
9122;vege_0;436;
9135;final-crs_9;435;120
9136;final-crs_2;436;710
9259;gate-keeper;441;
