time;ckpt;id;money
264;gate-keeper;0;
265;gate-keeper;1;
266;gate-keeper;2;
267;frui_1;2;
267;gate-keeper;3;
268;vege_0;0;
268;vege_1;1;
268;gate-keeper;4;
269;gate-keeper;5;
270;frui_0;3;
270;gate-keeper;6;
271;gate-keeper;7;
272;gate-keeper;8;
273;frui_1;6;
273;gate-keeper;9;
274;gate-keeper;10;
275;gate-keeper;11;
276;frui_0;8;
276;gate-keeper;12;
277;vege_0;4;
277;vege_1;5;
277;gate-keeper;13;
278;gate-keeper;14;
279;gate-keeper;15;
280;frui_1;9;
280;gate-keeper;16;
281;gate-keeper;17;
282;gate-keeper;18;
283;frui_0;10;
283;gate-keeper;19;
284;gate-keeper;20;
285;vege_0;7;
286;vege_1;11;
287;frui_1;13;
290;frui_0;14;
291;meat_0;19;
293;frui_1;17;
294;vege_0;12;
294;vege_1;15;
303;vege_0;16;
304;vege_1;18;
312;vege_0;20;
419;final-crs_6;2;522
453;final-crs_4;0;1089
466;final-crs_0;1;214
468;final-crs_3;3;742
478;final-crs_5;6;1512
481;final-crs_10;8;1034
489;final-crs_1;4;134
490;final-crs_8;5;609
492;final-crs_2;9;1107
492;final-crs_9;10;768
493;final-crs_7;7;444
529;final-crs_11;11;707
550;gate-keeper;43;
552;vege_1;43;
664;final-crs_4;13;285
680;final-crs_0;14;725
700;final-crs_5;19;854
702;final-crs_6;17;1339
703;final-crs_3;12;483
709;final-crs_7;15;502
710;final-crs_1;16;710
731;final-crs_8;18;716
745;final-crs_2;20;1245
746;final-crs_10;43;365
843;gate-keeper;66;
844;frui_1;66;
910;final-crs_5;66;395
1193;gate-keeper;91;
1194;gate-keeper;92;
1195;vege_0;91;
1195;frui_0;92;
1195;gate-keeper;93;
1196;gate-keeper;94;
1197;meat_0;94;
1199;vege_1;93;
1214;final-crs_7;91;622
1227;final-crs_8;92;735
1252;final-crs_11;94;343
1258;final-crs_10;93;1329
1545;gate-keeper;118;
1546;gate-keeper;119;
1547;gate-keeper;120;
1548;frui_0;120;
1548;gate-keeper;121;
1549;vege_0;118;
1549;gate-keeper;122;
1553;vege_1;119;
1561;vege_0;122;
1562;meat_0;121;
1596;final-crs_5;120;142
1627;final-crs_4;118;161
1633;final-crs_3;119;815
1676;final-crs_2;122;1173
1676;final-crs_10;121;635
1880;gate-keeper;143;
1881;gate-keeper;144;
1882;gate-keeper;145;
1883;vege_0;145;
1883;gate-keeper;146;
1884;frui_0;146;
1884;gate-keeper;147;
1885;gate-keeper;148;
1892;vege_0;148;
1898;final-crs_4;145;188
1908;meat_0;143;
1917;final-crs_10;146;380
1944;meat_1;144;
1965;meat_0;147;
1971;final-crs_9;148;233
1971;final-crs_11;143;840
1975;gate-keeper;149;
1976;gate-keeper;150;
1977;final-crs_7;144;1015
1977;gate-keeper;151;
1978;vege_1;149;
1978;gate-keeper;152;
1979;gate-keeper;153;
1980;final-crs_8;147;1031
1980;frui_0;151;
1980;gate-keeper;154;
1981;vege_0;150;
1981;gate-keeper;155;
1986;vege_1;152;
1991;vege_0;153;
1995;vege_1;154;
2000;meat_1;155;
2017;final-crs_0;149;127
2034;final-crs_1;151;1532
2039;final-crs_6;150;112
2101;final-crs_3;152;1732
2101;final-crs_5;153;223
2135;final-crs_4;154;431
2140;final-crs_2;155;251
2180;gate-keeper;166;
2181;frui_0;166;
2181;gate-keeper;167;
