time;ckpt;id;money
312;gate-keeper;18;
313;vege_1;18;
407;final-crs_2;18;79
601;gate-keeper;36;
602;vege_0;36;
602;gate-keeper;37;
610;meat_1;37;
614;final-crs_2;36;763
685;final-crs_7;37;526
808;gate-keeper;41;
809;gate-keeper;42;
810;gate-keeper;43;
811;gate-keeper;44;
812;frui_1;44;
812;gate-keeper;45;
813;frui_0;45;
813;gate-keeper;46;
814;gate-keeper;47;
815;vege_0;42;
815;gate-keeper;48;
816;vege_1;43;
816;gate-keeper;49;
817;gate-keeper;50;
818;frui_1;47;
823;meat_0;41;
825;vege_0;46;
828;vege_1;49;
831;meat_1;48;
835;vege_0;50;
870;final-crs_2;44;1156
911;final-crs_7;45;1124
958;final-crs_3;42;947
967;final-crs_11;43;416
968;final-crs_8;47;590
968;final-crs_10;41;271
981;final-crs_0;46;670
981;final-crs_5;49;391
983;final-crs_4;48;1266
1017;final-crs_6;50;634
1242;gate-keeper;76;
1243;vege_0;76;
1243;gate-keeper;77;
1244;frui_1;77;
1255;final-crs_8;76;158
1358;final-crs_2;77;779
1571;gate-keeper;99;
1575;vege_1;99;
1612;final-crs_2;99;1149
1744;gate-keeper;109;
1745;gate-keeper;110;
1746;vege_1;109;
1746;gate-keeper;111;
1753;vege_0;110;
1755;vege_1;111;
1767;final-crs_8;109;807
1800;final-crs_2;110;1547
1849;gate-keeper;117;
1850;frui_0;117;
1871;final-crs_7;111;805
1881;final-crs_5;117;817
2139;gate-keeper;131;
2140;gate-keeper;132;
2141;gate-keeper;133;
2142;gate-keeper;134;
2143;gate-keeper;135;
2144;frui_0;135;
2144;gate-keeper;136;
2145;vege_1;132;
2148;vege_0;133;
2151;final-crs_10;135;168
2155;vege_1;134;
2156;final-crs_11;132;505
2158;vege_0;136;
2164;final-crs_4;133;1580
2164;final-crs_6;134;139
2166;meat_0;131;
2185;final-crs_0;136;819
2197;final-crs_3;131;914
2516;gate-keeper;159;
2517;gate-keeper;160;
2518;vege_0;159;
2522;vege_1;160;
2582;final-crs_7;159;809
2608;final-crs_5;160;594
2732;gate-keeper;172;
2733;gate-keeper;173;
2734;vege_0;172;
2734;gate-keeper;174;
2737;vege_1;173;
2742;vege_0;174;
2759;final-crs_8;172;279
2807;final-crs_7;173;1060
2860;final-crs_5;174;943
3051;gate-keeper;192;
3052;gate-keeper;193;
3053;frui_1;193;
3053;gate-keeper;194;
3054;gate-keeper;195;
3058;vege_0;192;
3058;vege_1;194;
3058;frui_0;195;
3099;final-crs_6;193;1242
3121;final-crs_11;192;2052
3140;final-crs_10;194;624
3141;final-crs_9;195;1315
3398;gate-keeper;217;
3402;vege_0;217;
3435;final-crs_0;217;1673
3453;gate-keeper;221;
3457;vege_0;221;
3466;final-crs_1;221;1769
3653;gate-keeper;232;
3654;vege_1;232;
3654;gate-keeper;233;
3662;final-crs_0;232;2037
3664;vege_0;233;
3683;final-crs_11;233;946
3710;gate-keeper;236;
3715;vege_0;236;
3738;final-crs_8;236;279
4019;gate-keeper;244;
4020;frui_1;244;
4020;gate-keeper;245;
4021;gate-keeper;246;
4022;gate-keeper;247;
4023;vege_1;246;
4023;gate-keeper;248;
4024;vege_0;247;
4024;gate-keeper;249;
4025;frui_0;245;
4025;gate-keeper;250;
4026;gate-keeper;251;
4027;frui_1;249;
4027;gate-keeper;252;
4028;gate-keeper;253;
4029;gate-keeper;254;
4030;gate-keeper;255;
4031;frui_0;250;
4031;gate-keeper;256;
4032;vege_1;248;
4032;gate-keeper;257;
4034;vege_0;251;
4039;final-crs_7;244;1887
4040;vege_1;252;
4044;final-crs_5;246;767
4044;vege_0;253;
4048;vege_1;254;
4052;vege_0;255;
4057;final-crs_9;247;722
4059;vege_1;256;
4061;vege_0;257;
4128;final-crs_2;245;903
4144;final-crs_1;249;267
4146;final-crs_4;250;353
4147;final-crs_10;248;499
4159;final-crs_3;251;980
4176;final-crs_0;252;999
4196;final-crs_11;253;1736
4201;final-crs_6;254;1348
4242;final-crs_8;255;354
4263;final-crs_7;256;89
4295;gate-keeper;267;
4296;gate-keeper;268;
4297;gate-keeper;269;
4298;gate-keeper;270;
4299;vege_0;267;
4299;frui_1;270;
4299;gate-keeper;271;
4300;gate-keeper;272;
4301;gate-keeper;273;
4302;vege_1;268;
4302;gate-keeper;274;
4307;frui_1;273;
4309;vege_0;269;
4312;vege_1;271;
4316;final-crs_5;257;1035
4318;vege_0;272;
4319;gate-keeper;275;
4320;vege_1;274;
4328;vege_0;275;
4357;final-crs_9;267;996
4385;final-crs_2;270;524
4385;final-crs_10;268;112
4395;final-crs_4;273;404
4407;final-crs_1;269;575
4408;final-crs_0;271;1414
4416;final-crs_11;272;512
4421;final-crs_3;274;716
4449;final-crs_6;275;159
4592;gate-keeper;281;
4593;gate-keeper;282;
4594;vege_0;281;
4594;frui_0;282;
4594;gate-keeper;283;
4595;gate-keeper;284;
4596;gate-keeper;285;
4597;frui_1;284;
4597;gate-keeper;286;
4598;vege_1;286;
4598;gate-keeper;287;
4599;gate-keeper;288;
4600;gate-keeper;289;
4601;gate-keeper;290;
4602;final-crs_2;281;1091
4602;gate-keeper;291;
4603;vege_0;287;
4603;gate-keeper;292;
4604;gate-keeper;293;
4607;frui_0;293;
4608;vege_1;288;
4611;vege_0;289;
4618;final-crs_9;282;1139
4619;meat_1;283;
4620;vege_1;290;
4622;vege_0;291;
4628;vege_1;292;
4637;meat_0;285;
4644;final-crs_10;284;268
4646;final-crs_0;286;289
4646;final-crs_4;287;1038
4647;final-crs_1;293;674
4649;final-crs_3;288;1133
4664;final-crs_8;289;1403
4671;final-crs_11;283;1639
4727;final-crs_6;290;813
4736;final-crs_7;291;448
4772;final-crs_5;292;999
4856;final-crs_2;285;925
4868;gate-keeper;304;
4869;gate-keeper;305;
4870;vege_0;304;
4870;frui_0;305;
4870;gate-keeper;306;
4871;gate-keeper;307;
4872;vege_1;306;
4872;gate-keeper;308;
4873;final-crs_10;304;837
4873;gate-keeper;309;
4874;gate-keeper;310;
4875;gate-keeper;311;
4876;frui_0;310;
4877;final-crs_9;305;1421
4880;vege_0;307;
4881;vege_1;308;
4884;final-crs_0;306;1369
4890;vege_0;309;
4896;final-crs_11;310;1571
4897;final-crs_8;307;1111
4905;meat_1;311;
4951;final-crs_1;308;468
4980;final-crs_6;309;113
4987;final-crs_5;311;646
5032;gate-keeper;321;
5034;vege_0;321;
5056;final-crs_3;321;1425
5127;gate-keeper;326;
5128;gate-keeper;327;
5133;vege_0;326;
5137;vege_1;327;
5139;final-crs_4;326;1396
5144;final-crs_8;327;107
5441;gate-keeper;348;
5442;frui_1;348;
5449;final-crs_5;348;453
5751;gate-keeper;361;
5752;gate-keeper;362;
5753;gate-keeper;363;
5754;gate-keeper;364;
5755;vege_1;361;
5755;gate-keeper;365;
5756;gate-keeper;366;
5757;gate-keeper;367;
5758;gate-keeper;368;
5760;vege_0;362;
5765;vege_1;363;
5769;final-crs_7;361;554
5770;vege_0;364;
5774;vege_1;365;
5780;vege_0;366;
5783;vege_1;367;
5791;vege_0;368;
5821;final-crs_2;362;1012
5850;final-crs_0;363;243
5852;final-crs_10;364;1045
5879;final-crs_9;365;265
5911;final-crs_4;366;1596
5925;final-crs_1;367;1228
5934;final-crs_8;368;703
5950;gate-keeper;380;
5951;gate-keeper;381;
5953;vege_0;380;
5973;final-crs_3;380;825
5981;gate-keeper;382;
5982;gate-keeper;383;
5983;gate-keeper;384;
5985;vege_1;382;
5986;frui_0;384;
5991;meat_0;381;
6001;meat_1;383;
6007;final-crs_7;382;988
6033;final-crs_2;384;670
6057;final-crs_0;381;968
6135;final-crs_10;383;253
6267;gate-keeper;401;
6268;gate-keeper;402;
6270;vege_0;401;
6285;final-crs_2;401;358
6300;meat_0;402;
6318;final-crs_10;402;942
6564;gate-keeper;421;
6565;vege_1;421;
6599;final-crs_9;421;171
6716;gate-keeper;428;
6717;vege_0;428;
6717;gate-keeper;429;
6718;gate-keeper;430;
6721;frui_1;430;
6723;vege_1;429;
6771;final-crs_7;428;1737
6811;final-crs_10;430;1315
6814;final-crs_0;429;845
6898;gate-keeper;440;
6899;gate-keeper;441;
6900;frui_0;441;
6900;gate-keeper;442;
6903;frui_1;442;
6919;meat_0;440;
6955;final-crs_6;441;397
6961;final-crs_3;442;1311
7010;final-crs_7;440;2063
7169;gate-keeper;460;
7173;frui_0;460;
7179;final-crs_6;460;1814
7427;gate-keeper;476;
7429;vege_1;476;
7452;final-crs_3;476;410
7730;gate-keeper;496;
7731;vege_1;496;
7758;final-crs_2;496;142
7770;gate-keeper;498;
7771;vege_1;498;
7771;gate-keeper;499;
7774;vege_0;499;
7795;final-crs_8;498;190
7798;final-crs_9;499;1028
8032;gate-keeper;515;
8033;frui_1;515;
8033;gate-keeper;516;
8035;vege_0;516;
8067;final-crs_9;515;1649
8094;final-crs_5;516;851
8336;gate-keeper;535;
8341;vege_0;535;
8368;final-crs_3;535;983
8645;gate-keeper;552;
8646;gate-keeper;553;
8647;gate-keeper;554;
8648;vege_1;553;
8648;gate-keeper;555;
8650;frui_1;555;
8652;vege_0;554;
8657;meat_0;552;
8670;final-crs_0;553;966
8675;final-crs_7;555;426
8732;final-crs_8;554;942
8733;final-crs_9;552;521
8811;gate-keeper;566;
8812;frui_1;566;
8822;final-crs_5;566;1420
8931;gate-keeper;571;
8932;gate-keeper;572;
8933;gate-keeper;573;
8934;gate-keeper;574;
8935;vege_0;571;
8939;meat_0;573;
8940;vege_1;572;
8943;vege_0;574;
8952;final-crs_9;571;1326
8975;final-crs_8;573;270
9058;final-crs_5;572;712
9059;final-crs_4;574;119
9259;gate-keeper;592;
9260;gate-keeper;593;
9261;gate-keeper;594;
9262;vege_1;592;
9263;frui_1;593;
9276;meat_1;594;
9288;final-crs_5;592;989
9355;final-crs_10;593;1761
9356;final-crs_4;594;303
9498;gate-keeper;609;
9502;frui_0;609;
9524;final-crs_5;609;967
9579;gate-keeper;610;
9580;gate-keeper;611;
9581;gate-keeper;612;
9582;frui_0;611;
9582;frui_1;612;
9582;gate-keeper;613;
9583;gate-keeper;614;
9584;final-crs_3;611;438
9584;gate-keeper;615;
9585;vege_1;610;
9587;vege_0;613;
9595;vege_0;614;
9595;vege_1;615;
9609;final-crs_2;612;996
9613;final-crs_11;610;600
9615;final-crs_4;613;71
9619;final-crs_0;614;1039
9659;final-crs_1;615;434
9849;gate-keeper;630;
9850;gate-keeper;631;
9851;gate-keeper;632;
9852;vege_1;630;
9852;gate-keeper;633;
9854;frui_0;631;
9855;vege_0;632;
9856;final-crs_0;630;73
9856;frui_1;633;
9866;final-crs_7;631;1193
9891;final-crs_8;632;1592
9949;final-crs_9;633;768
10185;gate-keeper;654;
10186;vege_1;654;
10186;gate-keeper;655;
10191;vege_0;655;
10222;final-crs_1;654;1066
10244;final-crs_10;655;215
10399;gate-keeper;664;
10400;gate-keeper;665;
10401;vege_0;664;
10401;gate-keeper;666;
10402;vege_1;665;
10402;gate-keeper;667;
10403;gate-keeper;668;
10409;vege_0;666;
10411;vege_1;667;
10417;vege_0;668;
10427;final-crs_9;664;92
10465;final-crs_10;665;215
10469;final-crs_1;666;665
10471;gate-keeper;671;
10472;gate-keeper;672;
10473;vege_0;671;
10473;gate-keeper;673;
10476;frui_1;673;
10496;meat_0;672;
10503;final-crs_5;667;1518
10506;final-crs_3;668;408
10528;final-crs_6;671;65
10538;final-crs_7;673;706
10544;final-crs_8;672;839
10683;gate-keeper;687;
10686;frui_0;687;
10717;final-crs_10;687;1103
11010;gate-keeper;708;
11011;frui_0;708;
11014;final-crs_4;708;91
11312;gate-keeper;725;
11313;gate-keeper;726;
11314;gate-keeper;727;
11315;vege_1;726;
11315;frui_0;725;
11317;vege_0;727;
11324;final-crs_7;726;496
11339;final-crs_8;725;667
11341;final-crs_9;727;180
11405;gate-keeper;730;
11406;gate-keeper;731;
11407;gate-keeper;732;
11408;gate-keeper;733;
11410;vege_0;731;
11411;frui_0;730;
11415;final-crs_4;731;889
11415;vege_1;732;
11424;final-crs_6;730;534
11426;final-crs_1;732;176
11444;meat_1;733;
11449;final-crs_5;733;1277
11623;gate-keeper;747;
11625;frui_1;747;
11631;final-crs_2;747;508
11947;gate-keeper;768;
11949;vege_1;768;
11956;final-crs_9;768;1397
12208;gate-keeper;783;
12209;gate-keeper;784;
12213;vege_0;783;
12215;final-crs_11;783;547
12217;vege_1;784;
12218;final-crs_1;784;193
12284;gate-keeper;786;
12285;gate-keeper;787;
12286;gate-keeper;788;
12287;vege_1;787;
12287;gate-keeper;789;
12291;frui_0;788;
12293;frui_1;789;
12309;final-crs_8;787;684
12320;meat_1;786;
12340;final-crs_0;788;682
12348;final-crs_2;789;396
12390;final-crs_6;786;1115
12520;gate-keeper;803;
12521;gate-keeper;804;
12524;frui_0;803;
12527;frui_1;804;
12552;final-crs_8;803;761
12581;final-crs_2;804;2498
12818;gate-keeper;819;
12819;frui_0;819;
12819;gate-keeper;820;
12820;gate-keeper;821;
12821;gate-keeper;822;
12822;gate-keeper;823;
12823;vege_1;820;
12827;final-crs_0;819;452
