time;ckpt;id;money
773;gate-keeper;40;
774;gate-keeper;41;
777;vege_1;40;
779;vege_0;41;
896;final-crs_1;40;1623
904;gate-keeper;48;
906;frui_1;48;
925;final-crs_5;41;139
927;final-crs_6;48;1011
1197;gate-keeper;63;
1198;gate-keeper;64;
1199;meat_0;64;
1203;vege_0;63;
1210;final-crs_4;64;1094
1212;final-crs_3;63;162
1765;gate-keeper;95;
1767;vege_0;95;
1786;final-crs_10;95;1256
1927;gate-keeper;103;
1928;vege_0;103;
1928;gate-keeper;104;
1929;frui_1;104;
1946;final-crs_0;103;733
1961;final-crs_8;104;1589
2250;gate-keeper;117;
2251;vege_1;117;
2251;gate-keeper;118;
2252;vege_0;118;
2252;gate-keeper;119;
2253;gate-keeper;120;
2254;gate-keeper;121;
2255;gate-keeper;122;
2256;gate-keeper;123;
2260;vege_1;119;
2261;vege_0;120;
2269;vege_0;121;
2269;vege_1;122;
2270;final-crs_5;117;1112
2314;meat_1;123;
2322;final-crs_1;118;1334
2325;final-crs_3;119;343
2378;final-crs_9;120;534
2406;final-crs_2;121;1373
2438;final-crs_4;122;706
2467;final-crs_0;123;423
2539;gate-keeper;137;
2540;vege_0;137;
2540;gate-keeper;138;
2541;gate-keeper;139;
2547;vege_0;139;
2548;meat_1;138;
2577;final-crs_3;137;189
2579;final-crs_1;139;211
2600;gate-keeper;140;
2601;gate-keeper;141;
2602;vege_0;140;
2602;gate-keeper;142;
2604;final-crs_9;138;1166
2618;meat_1;141;
2624;meat_0;142;
2653;final-crs_2;140;111
2660;final-crs_4;141;534
2674;final-crs_6;142;949
2853;gate-keeper;152;
2854;gate-keeper;153;
2855;gate-keeper;154;
2856;vege_0;152;
2856;gate-keeper;155;
2857;frui_1;153;
2857;meat_1;154;
2873;meat_0;155;
2889;final-crs_2;152;491
2915;final-crs_6;153;1428
2920;final-crs_4;154;74
2975;final-crs_8;155;414
3056;gate-keeper;163;
3057;gate-keeper;164;
3058;gate-keeper;165;
3060;vege_0;164;
3065;vege_1;165;
3073;final-crs_1;164;958
3095;final-crs_9;165;1630
3098;meat_1;163;
3110;gate-keeper;166;
3111;gate-keeper;167;
3112;gate-keeper;168;
3117;meat_0;167;
3118;vege_1;166;
3142;final-crs_2;163;237
3148;final-crs_6;167;891
3164;meat_1;168;
3181;final-crs_4;166;804
3211;final-crs_11;168;1767
3723;gate-keeper;202;
3748;meat_0;202;
3796;final-crs_7;202;1105
4009;gate-keeper;216;
4010;vege_0;216;
4010;gate-keeper;217;
4034;final-crs_7;216;211
4052;meat_1;217;
4057;final-crs_9;217;1335
4305;gate-keeper;231;
4306;gate-keeper;232;
4307;gate-keeper;233;
4314;vege_1;232;
4315;vege_0;233;
4322;final-crs_2;232;599
4326;final-crs_1;233;1003
4352;meat_1;231;
4352;gate-keeper;234;
4353;gate-keeper;235;
4354;gate-keeper;236;
4355;vege_0;236;
4358;frui_0;235;
4368;final-crs_11;231;300
4368;meat_0;234;
4421;final-crs_3;236;211
4449;final-crs_5;235;473
4458;final-crs_0;234;330
4577;gate-keeper;247;
4578;gate-keeper;248;
4581;vege_1;247;
4586;vege_0;248;
4595;final-crs_4;247;178
4606;final-crs_11;248;1680
4883;gate-keeper;265;
4888;vege_0;265;
4950;final-crs_7;265;1330
5219;gate-keeper;283;
5252;meat_1;283;
5254;final-crs_6;283;1557
5438;gate-keeper;294;
5439;gate-keeper;295;
5440;frui_1;294;
5442;vege_1;295;
