time;ckpt;id;money
307;gate-keeper;16;
344;meat_1;16;
421;final-crs_11;16;723
560;gate-keeper;30;
563;vege_0;30;
635;final-crs_0;30;414
881;gate-keeper;47;
884;frui_0;47;
903;final-crs_4;47;1249
971;gate-keeper;50;
972;gate-keeper;51;
973;gate-keeper;52;
975;vege_1;50;
980;vege_0;52;
980;meat_1;51;
982;final-crs_10;50;758
1042;final-crs_6;52;1302
1060;final-crs_0;51;185
1241;gate-keeper;66;
1242;gate-keeper;67;
1245;vege_1;66;
1248;vege_0;67;
1257;final-crs_6;66;763
1269;final-crs_0;67;423
1826;gate-keeper;99;
1880;meat_1;99;
1887;final-crs_5;99;1120
1894;gate-keeper;101;
1895;gate-keeper;102;
1930;meat_1;101;
1947;final-crs_10;101;880
1953;meat_0;102;
1984;final-crs_0;102;1000
2111;gate-keeper;112;
2112;meat_1;112;
2112;gate-keeper;113;
2113;gate-keeper;114;
2114;gate-keeper;115;
2115;vege_1;113;
2118;vege_0;114;
2126;final-crs_11;112;177
2133;meat_0;115;
2153;final-crs_1;113;806
2155;final-crs_5;114;164
2198;final-crs_10;115;1314
2404;gate-keeper;129;
2405;gate-keeper;130;
2406;gate-keeper;131;
2407;vege_0;131;
2432;meat_1;129;
2444;meat_0;130;
2451;final-crs_10;131;987
2456;final-crs_0;129;116
2486;final-crs_6;130;1143
2883;gate-keeper;157;
2897;meat_0;157;
2938;final-crs_0;157;196
2981;gate-keeper;160;
2982;gate-keeper;161;
2983;gate-keeper;162;
2984;vege_0;160;
2986;vege_1;161;
3007;final-crs_7;160;988
3021;meat_0;162;
3025;final-crs_3;161;1330
3036;final-crs_11;162;900
3154;gate-keeper;169;
3155;gate-keeper;170;
3156;vege_1;169;
3156;gate-keeper;171;
3161;vege_0;170;
3191;meat_1;171;
3192;final-crs_0;169;365
3215;final-crs_9;170;739
3232;final-crs_6;171;1939
3298;gate-keeper;178;
3302;vege_0;178;
3306;final-crs_2;178;631
3591;gate-keeper;192;
3592;vege_1;192;
3592;gate-keeper;193;
3593;gate-keeper;194;
3594;vege_0;193;
3602;vege_1;194;
3653;final-crs_0;192;291
3664;final-crs_5;193;633
3704;final-crs_9;194;626
3784;gate-keeper;205;
3786;vege_0;205;
3793;final-crs_7;205;231
3915;gate-keeper;209;
3916;gate-keeper;210;
3917;gate-keeper;211;
3918;gate-keeper;212;
3919;frui_1;209;
3921;frui_0;210;
3925;frui_1;211;
3928;frui_0;212;
3939;final-crs_9;209;1300
3958;final-crs_3;210;393
3987;final-crs_6;211;1703
3991;final-crs_11;212;603
4199;gate-keeper;223;
4200;vege_0;223;
4200;gate-keeper;224;
4201;gate-keeper;225;
4202;gate-keeper;226;
4203;frui_1;225;
4203;gate-keeper;227;
4222;meat_1;224;
4226;meat_0;226;
4244;final-crs_11;223;527
4266;final-crs_7;225;208
4273;final-crs_2;224;1045
4280;meat_0;227;
4285;final-crs_10;226;513
4289;final-crs_1;227;638
4534;gate-keeper;242;
4535;gate-keeper;243;
4536;vege_0;242;
4536;gate-keeper;244;
4537;gate-keeper;245;
4538;gate-keeper;246;
4542;vege_1;245;
4545;vege_0;246;
4549;final-crs_10;242;205
4564;final-crs_5;245;449
4581;meat_0;243;
4584;meat_1;244;
4589;final-crs_8;246;601
4632;final-crs_0;243;1892
4670;final-crs_3;244;1115
4872;gate-keeper;262;
4873;vege_0;262;
4873;gate-keeper;263;
4874;gate-keeper;264;
4881;vege_1;264;
4881;meat_0;263;
4917;final-crs_4;262;188
4919;final-crs_9;264;363
4934;final-crs_3;263;778
5046;gate-keeper;269;
5047;gate-keeper;270;
5048;gate-keeper;271;
5049;frui_0;269;
5049;gate-keeper;272;
5050;gate-keeper;273;
5051;frui_1;270;
5051;gate-keeper;274;
5055;frui_0;272;
5059;meat_1;271;
5064;final-crs_5;269;2401
5064;meat_0;273;
5069;final-crs_8;270;1337
5089;final-crs_0;272;584
5111;meat_1;274;
5145;final-crs_4;271;497
5146;final-crs_3;273;2131
5160;final-crs_9;274;772
5336;gate-keeper;286;
5337;gate-keeper;287;
5338;vege_1;287;
5338;gate-keeper;288;
5339;gate-keeper;289;
5340;final-crs_0;287;167
5340;vege_0;289;
5340;gate-keeper;290;
5344;final-crs_3;289;930
5348;vege_1;290;
5374;final-crs_4;290;934
5377;meat_0;286;
5385;final-crs_9;286;1720
5395;meat_1;288;
5453;final-crs_7;288;440
5623;gate-keeper;304;
5624;gate-keeper;305;
5627;frui_1;304;
5629;frui_0;305;
5648;final-crs_9;304;1333
5677;final-crs_11;305;1809
5751;gate-keeper;309;
5752;gate-keeper;310;
5753;gate-keeper;311;
5754;gate-keeper;312;
5755;vege_0;311;
5755;frui_1;309;
5755;gate-keeper;313;
5756;frui_0;310;
5762;frui_0;312;
5767;meat_1;313;
5778;final-crs_8;311;487
5794;final-crs_0;309;83
5806;final-crs_1;310;616
5840;final-crs_10;312;1165
5854;final-crs_3;313;907
5948;gate-keeper;322;
5949;gate-keeper;323;
5950;gate-keeper;324;
5955;vege_0;322;
5957;final-crs_2;322;802
5958;vege_1;323;
5965;meat_1;324;
5968;final-crs_5;323;897
5972;final-crs_6;324;1498
6265;gate-keeper;339;
6266;gate-keeper;340;
6267;gate-keeper;341;
6269;vege_1;339;
6271;vege_0;341;
6273;meat_1;340;
6278;final-crs_8;339;310
6318;final-crs_10;341;512
