time;ckpt;id;money
913;gate-keeper;52;
914;gate-keeper;53;
917;vege_1;52;
919;final-crs_3;52;1542
921;vege_0;53;
932;final-crs_2;53;109
1221;gate-keeper;71;
1228;vege_0;71;
1246;final-crs_0;71;869
1542;gate-keeper;89;
1543;frui_1;89;
1543;gate-keeper;90;
1548;frui_0;90;
1560;final-crs_6;89;934
1598;final-crs_3;90;518
2176;gate-keeper;125;
2177;gate-keeper;126;
2178;frui_1;125;
2178;gate-keeper;127;
2179;vege_0;127;
2185;meat_1;126;
2209;final-crs_5;125;276
2231;final-crs_1;127;498
2244;final-crs_0;126;662
2492;gate-keeper;145;
2493;gate-keeper;146;
2499;vege_1;146;
2513;final-crs_6;146;601
2528;meat_1;145;
2540;final-crs_8;145;364
2801;gate-keeper;165;
2802;frui_0;165;
2803;final-crs_3;165;520
2881;gate-keeper;168;
2882;vege_1;168;
2882;gate-keeper;169;
2883;gate-keeper;170;
2885;frui_0;170;
2887;vege_0;169;
2981;final-crs_0;168;990
2982;final-crs_5;170;840
2991;final-crs_1;169;426
3105;gate-keeper;183;
3115;meat_1;183;
3117;final-crs_11;183;116
3440;gate-keeper;200;
3441;gate-keeper;201;
3442;gate-keeper;202;
3444;frui_0;201;
3448;vege_1;202;
3475;meat_1;200;
3485;final-crs_3;201;129
3491;final-crs_1;202;408
3491;final-crs_6;200;357
3753;gate-keeper;220;
3754;gate-keeper;221;
3756;frui_1;220;
3758;vege_1;221;
3760;final-crs_5;220;72
3777;final-crs_10;221;241
4021;gate-keeper;236;
4035;meat_0;236;
4050;final-crs_4;236;1395
4325;gate-keeper;251;
4326;gate-keeper;252;
4327;gate-keeper;253;
4328;vege_1;251;
4328;frui_0;253;
4328;gate-keeper;254;
4333;final-crs_8;251;335
4333;frui_1;254;
4340;meat_0;252;
4416;final-crs_11;253;708
4432;final-crs_3;254;367
4443;final-crs_5;252;621
4616;gate-keeper;267;
4617;gate-keeper;268;
4618;gate-keeper;269;
4619;gate-keeper;270;
4620;vege_1;267;
4620;gate-keeper;271;
4623;vege_0;270;
4625;frui_0;269;
4626;frui_1;271;
4640;final-crs_11;267;602
4651;meat_0;268;
4667;final-crs_5;270;554
4672;final-crs_2;269;1894
4696;final-crs_6;271;496
4699;final-crs_3;268;1218
4898;gate-keeper;287;
4899;meat_1;287;
4902;final-crs_6;287;338
5216;gate-keeper;304;
5217;gate-keeper;305;
5218;frui_1;305;
5218;gate-keeper;306;
5219;vege_1;304;
5225;vege_0;306;
5240;final-crs_10;305;289
5266;final-crs_7;304;210
5316;final-crs_1;306;81
5362;gate-keeper;312;
5363;gate-keeper;313;
5364;gate-keeper;314;
5368;frui_0;314;
