time;ckpt;id;money
631;gate-keeper;26;
633;frui_1;26;
654;final-crs_5;26;1143
920;gate-keeper;37;
921;gate-keeper;38;
923;vege_0;37;
930;final-crs_11;37;1784
936;meat_1;38;
937;final-crs_1;38;813
973;gate-keeper;40;
974;gate-keeper;41;
975;vege_1;40;
977;vege_0;41;
981;final-crs_7;40;301
983;final-crs_10;41;784
1123;gate-keeper;47;
1125;vege_0;47;
1140;final-crs_9;47;436
1424;gate-keeper;58;
1425;gate-keeper;59;
1428;vege_1;59;
1430;final-crs_11;59;1078
1437;meat_1;58;
1470;final-crs_3;58;1242
1754;gate-keeper;73;
1759;vege_1;73;
1778;final-crs_10;73;906
2046;gate-keeper;85;
2047;gate-keeper;86;
2048;vege_1;85;
2053;vege_0;86;
2063;final-crs_4;85;81
2069;final-crs_5;86;541
2647;gate-keeper;110;
2648;vege_1;110;
2648;gate-keeper;111;
2649;gate-keeper;112;
2651;frui_0;112;
2652;final-crs_11;110;1014
2666;meat_0;111;
2674;final-crs_3;112;1122
2712;final-crs_10;111;977
2878;gate-keeper;117;
2879;gate-keeper;118;
2880;gate-keeper;119;
2881;gate-keeper;120;
2882;vege_0;118;
2882;gate-keeper;121;
2884;frui_0;120;
2887;vege_1;121;
2893;final-crs_7;118;1672
2894;meat_0;117;
2898;gate-keeper;122;
2902;frui_0;122;
2904;final-crs_3;120;264
2907;final-crs_6;121;1065
2917;final-crs_11;117;1529
2928;meat_1;119;
2945;final-crs_10;122;537
2978;final-crs_0;119;1377
3215;gate-keeper;135;
3216;gate-keeper;136;
3219;frui_0;135;
3226;final-crs_5;135;398
3228;meat_1;136;
3300;final-crs_4;136;1276
3874;gate-keeper;162;
3875;vege_1;162;
3875;gate-keeper;163;
3876;final-crs_0;162;177
3877;vege_0;163;
3881;final-crs_6;163;166
4187;gate-keeper;176;
4191;vege_1;176;
4205;final-crs_2;176;165
4779;gate-keeper;200;
4780;gate-keeper;201;
4781;frui_0;201;
4781;gate-keeper;202;
4787;vege_0;200;
4795;final-crs_1;201;250
4818;meat_1;202;
4820;final-crs_7;200;281
4831;final-crs_11;202;138
5146;gate-keeper;212;
5147;gate-keeper;213;
5148;gate-keeper;214;
5149;gate-keeper;215;
5150;gate-keeper;216;
5151;gate-keeper;217;
5152;frui_1;216;
5156;vege_0;213;
5157;vege_1;214;
5166;vege_0;215;
5167;vege_1;217;
5176;final-crs_2;216;923
5180;meat_1;212;
5189;final-crs_8;213;619
5214;final-crs_10;214;1623
5295;final-crs_4;215;1013
5321;final-crs_11;217;90
5324;final-crs_3;212;352
5428;gate-keeper;228;
5429;gate-keeper;229;
5431;vege_0;228;
5437;vege_1;229;
5443;final-crs_10;228;263
5526;final-crs_1;229;755
5708;gate-keeper;241;
5710;frui_1;241;
5753;gate-keeper;242;
5754;gate-keeper;243;
5755;vege_1;242;
5758;frui_1;243;
5764;final-crs_1;241;363
5764;final-crs_4;242;786
5769;final-crs_3;243;132
6274;gate-keeper;264;
6275;gate-keeper;265;
6277;vege_1;265;
6280;final-crs_4;265;70
6309;meat_1;264;
6310;final-crs_5;264;162
6586;gate-keeper;277;
6589;frui_1;277;
6597;gate-keeper;278;
6599;frui_0;278;
6608;final-crs_8;277;1466
6621;gate-keeper;279;
6623;vege_0;279;
6650;final-crs_9;278;585
6681;final-crs_3;279;768
6948;gate-keeper;291;
6949;gate-keeper;292;
6950;vege_1;291;
6950;gate-keeper;293;
6955;vege_0;292;
6962;final-crs_6;291;1022
6967;final-crs_0;292;63
6980;meat_0;293;
7004;final-crs_2;293;68
7540;gate-keeper;318;
7545;vege_1;318;
7558;final-crs_8;318;674
7602;gate-keeper;321;
7614;meat_1;321;
7622;final-crs_1;321;999
