time;ckpt;id;money
620;gate-keeper;22;
621;vege_1;22;
621;gate-keeper;23;
622;gate-keeper;24;
623;gate-keeper;25;
627;frui_1;23;
628;frui_0;25;
631;vege_1;24;
664;final-crs_4;22;251
673;final-crs_5;23;870
697;final-crs_7;25;490
698;final-crs_3;24;159
942;gate-keeper;39;
947;vege_0;39;
949;final-crs_1;39;858
1005;gate-keeper;42;
1032;meat_0;42;
1137;final-crs_4;42;738
1268;gate-keeper;52;
1289;meat_1;52;
1379;final-crs_5;52;428
1537;gate-keeper;62;
1538;frui_1;62;
1538;gate-keeper;63;
1561;meat_0;63;
1607;final-crs_5;62;430
1641;final-crs_1;63;333
1994;gate-keeper;79;
1995;gate-keeper;80;
1996;gate-keeper;81;
1997;frui_1;80;
1997;gate-keeper;82;
1998;vege_0;79;
1998;gate-keeper;83;
1999;frui_0;83;
1999;gate-keeper;84;
2003;vege_1;81;
2003;frui_1;84;
2006;vege_0;82;
2010;final-crs_6;80;818
2066;final-crs_5;79;709
2093;final-crs_1;83;624
2113;final-crs_7;81;589
2124;final-crs_4;84;517
2143;final-crs_3;82;444
2383;gate-keeper;100;
2384;gate-keeper;101;
2385;frui_1;101;
2390;vege_0;100;
2392;final-crs_3;101;1376
2393;final-crs_10;100;194
2684;gate-keeper;114;
2685;frui_1;114;
2688;final-crs_11;114;1819
3242;gate-keeper;137;
3259;meat_1;137;
3260;final-crs_1;137;477
3504;gate-keeper;142;
3505;gate-keeper;143;
3506;gate-keeper;144;
3507;vege_0;142;
3507;frui_0;144;
3507;gate-keeper;145;
3508;meat_0;143;
3508;gate-keeper;146;
3509;gate-keeper;147;
3510;gate-keeper;148;
3512;frui_1;147;
3513;frui_0;148;
3517;final-crs_7;142;721
3523;final-crs_6;144;1773
3534;final-crs_1;143;893
3534;meat_1;145;
3541;final-crs_5;147;1713
3563;meat_0;146;
3567;final-crs_4;148;1373
3581;final-crs_10;145;1179
3600;final-crs_0;146;1512
3735;gate-keeper;155;
3736;gate-keeper;156;
3737;gate-keeper;157;
3741;vege_0;155;
3741;frui_1;157;
3743;vege_1;156;
3773;final-crs_6;155;718
3783;final-crs_1;157;811
3789;final-crs_5;156;199
3897;gate-keeper;164;
3899;frui_0;164;
3901;final-crs_8;164;125
4159;gate-keeper;175;
4162;frui_1;175;
4169;final-crs_9;175;222
4629;gate-keeper;193;
4630;gate-keeper;194;
4631;frui_0;193;
4631;gate-keeper;195;
4633;vege_1;194;
4636;frui_0;195;
4672;gate-keeper;197;
4675;meat_0;197;
4681;final-crs_1;193;890
4698;final-crs_11;194;409
4729;final-crs_6;195;1352
4733;final-crs_5;197;784
4957;gate-keeper;209;
4963;vege_1;209;
4972;final-crs_4;209;202
5253;gate-keeper;220;
5254;gate-keeper;221;
5256;vege_1;220;
5260;vege_0;221;
5267;final-crs_3;220;244
5269;final-crs_7;221;76
