time;ckpt;id;money
284;gate-keeper;12;
285;frui_0;12;
294;final-crs_9;12;761
894;gate-keeper;40;
895;gate-keeper;41;
896;frui_1;41;
900;meat_0;40;
936;final-crs_5;41;206
944;final-crs_4;40;337
1220;gate-keeper;57;
1223;frui_0;57;
1225;final-crs_6;57;1371
1517;gate-keeper;68;
1518;frui_0;68;
1518;gate-keeper;69;
1519;final-crs_9;68;645
1519;gate-keeper;70;
1523;vege_0;69;
1525;final-crs_0;69;346
1549;meat_0;70;
1600;final-crs_8;70;856
1785;gate-keeper;82;
1786;vege_0;82;
1786;gate-keeper;83;
1787;frui_1;83;
1794;final-crs_10;82;1767
1823;final-crs_8;83;68
1888;gate-keeper;88;
1889;vege_1;88;
1903;final-crs_5;88;692
2087;gate-keeper;98;
2088;frui_0;98;
2118;final-crs_4;98;722
2353;gate-keeper;110;
2354;gate-keeper;111;
2358;frui_0;110;
2360;final-crs_4;110;794
2360;frui_1;111;
2371;final-crs_7;111;1081
2627;gate-keeper;124;
2628;frui_1;124;
2630;final-crs_5;124;62
2894;gate-keeper;136;
2895;gate-keeper;137;
2896;frui_0;136;
2897;final-crs_1;136;690
2898;vege_1;137;
2901;final-crs_3;137;685
2933;gate-keeper;139;
2949;meat_0;139;
2966;final-crs_6;139;615
3303;gate-keeper;155;
3304;gate-keeper;156;
3306;frui_1;155;
3311;vege_1;156;
3330;final-crs_0;155;373
3331;final-crs_7;156;214
3570;gate-keeper;169;
3575;vege_0;169;
3581;final-crs_1;169;393
3864;gate-keeper;183;
3867;vege_0;183;
3878;final-crs_4;183;1092
3899;gate-keeper;184;
3900;gate-keeper;185;
3905;vege_1;185;
3926;meat_0;184;
3942;final-crs_9;185;1521
3954;final-crs_8;184;294
4185;gate-keeper;196;
4186;gate-keeper;197;
4187;gate-keeper;198;
4190;vege_0;196;
4191;vege_1;198;
4192;final-crs_9;196;1509
4216;meat_0;197;
4223;final-crs_11;198;752
4281;final-crs_3;197;765
4445;gate-keeper;209;
4446;gate-keeper;210;
4448;frui_0;209;
4458;meat_1;210;
4472;final-crs_7;209;1075
4481;final-crs_9;210;1276
4864;gate-keeper;230;
4867;vege_0;230;
4881;final-crs_8;230;407
5338;gate-keeper;252;
5339;gate-keeper;253;
5346;vege_1;253;
5350;meat_1;252;
5365;final-crs_8;253;1894
5397;final-crs_0;252;853
5638;gate-keeper;266;
5639;vege_0;266;
5639;gate-keeper;267;
5640;gate-keeper;268;
5644;vege_1;267;
5649;meat_1;268;
5667;final-crs_7;266;782
5677;final-crs_9;267;343
5684;final-crs_3;268;1124
5805;gate-keeper;272;
5806;gate-keeper;273;
5807;gate-keeper;274;
5808;frui_1;272;
5808;gate-keeper;275;
5809;frui_0;273;
5809;gate-keeper;276;
5810;vege_1;274;
5812;vege_0;276;
5815;frui_1;275;
5831;final-crs_8;272;1428
5873;final-crs_1;273;735
5874;final-crs_7;274;456
5887;final-crs_0;276;239
5902;final-crs_9;275;400
6177;gate-keeper;295;
6189;meat_0;295;
6201;final-crs_11;295;938
6494;gate-keeper;310;
6495;frui_1;310;
6496;final-crs_5;310;349
6762;gate-keeper;322;
6763;frui_0;322;
