time;ckpt;id;money
280;gate-keeper;9;
286;vege_0;9;
294;final-crs_1;9;715
550;gate-keeper;11;
551;gate-keeper;12;
552;gate-keeper;13;
553;gate-keeper;14;
554;gate-keeper;15;
555;gate-keeper;16;
556;frui_1;14;
556;gate-keeper;17;
557;gate-keeper;18;
558;vege_0;11;
559;vege_1;12;
559;frui_0;16;
568;vege_1;13;
569;vege_0;15;
579;vege_0;17;
579;vege_1;18;
646;final-crs_8;14;396
651;final-crs_0;11;603
664;final-crs_5;12;289
669;final-crs_11;16;1143
678;final-crs_6;13;615
708;final-crs_10;15;1149
716;final-crs_7;17;1122
724;final-crs_3;18;747
836;gate-keeper;27;
840;vege_1;27;
864;final-crs_8;27;794
903;gate-keeper;30;
908;vege_1;30;
934;final-crs_9;30;1025
1808;gate-keeper;60;
1809;vege_1;60;
1835;final-crs_0;60;1028
2077;gate-keeper;65;
2078;gate-keeper;66;
2079;gate-keeper;67;
2080;gate-keeper;68;
2081;vege_1;65;
2081;frui_0;68;
2083;vege_0;66;
2091;vege_1;67;
2109;final-crs_8;65;1707
2132;final-crs_10;68;1288
2142;final-crs_7;66;1893
2145;final-crs_11;67;210
2336;gate-keeper;70;
2337;gate-keeper;71;
2338;gate-keeper;72;
2339;gate-keeper;73;
2340;frui_0;72;
2340;gate-keeper;74;
2341;gate-keeper;75;
2342;gate-keeper;76;
2343;vege_0;70;
2343;gate-keeper;77;
2344;gate-keeper;78;
2346;vege_1;71;
2346;frui_0;75;
2349;final-crs_5;72;739
2352;vege_0;73;
2357;vege_1;74;
2361;vege_0;76;
2367;final-crs_8;70;91
2367;vege_1;77;
2369;vege_0;78;
2385;final-crs_10;71;650
2397;final-crs_9;75;909
2404;final-crs_6;73;298
2405;final-crs_11;74;218
2471;final-crs_3;76;511
2499;final-crs_1;77;924
2500;final-crs_2;78;1033
2578;gate-keeper;86;
2606;meat_1;86;
2629;final-crs_10;86;535
2737;gate-keeper;91;
2738;vege_0;91;
2747;final-crs_2;91;221
3158;gate-keeper;106;
3161;vege_0;106;
3218;final-crs_3;106;440
3460;gate-keeper;116;
3468;vege_1;116;
3494;final-crs_7;116;1702
3499;gate-keeper;117;
3504;vege_0;117;
3564;final-crs_0;117;422
3774;gate-keeper;126;
3781;frui_1;126;
3809;final-crs_0;126;519
4020;gate-keeper;134;
4021;frui_0;134;
4021;gate-keeper;135;
4026;vege_0;135;
4042;gate-keeper;136;
4045;final-crs_1;134;382
4046;vege_0;136;
4052;final-crs_0;135;564
4056;final-crs_6;136;1125
4339;gate-keeper;145;
4340;gate-keeper;146;
4341;vege_0;146;
4343;frui_0;145;
4356;final-crs_10;146;1420
4369;final-crs_9;145;1027
4667;gate-keeper;155;
4668;gate-keeper;156;
4669;gate-keeper;157;
4670;vege_1;155;
4673;vege_0;156;
4680;vege_1;157;
4701;final-crs_7;155;751
4711;final-crs_5;156;545
4735;final-crs_1;157;304
4955;gate-keeper;166;
4956;gate-keeper;167;
4958;vege_1;167;
4967;final-crs_1;167;207
4999;meat_0;166;
5003;final-crs_9;166;204
5173;gate-keeper;174;
5177;vege_1;174;
5191;final-crs_0;174;1187
5252;gate-keeper;177;
5253;vege_0;177;
5268;final-crs_9;177;2122
5803;gate-keeper;196;
5806;frui_1;196;
5843;final-crs_2;196;1844
5897;gate-keeper;197;
5898;gate-keeper;198;
5899;gate-keeper;199;
5901;vege_1;197;
5901;frui_0;198;
5904;frui_1;199;
5911;final-crs_0;197;471
5953;final-crs_1;198;780
5971;final-crs_10;199;650
6083;gate-keeper;205;
6084;vege_1;205;
6103;final-crs_7;205;1074
6680;gate-keeper;224;
6681;gate-keeper;225;
6682;gate-keeper;226;
6683;vege_1;224;
6688;vege_0;225;
6691;final-crs_2;224;649
6691;vege_1;226;
6704;final-crs_10;225;474
6710;final-crs_5;226;352
6844;gate-keeper;231;
6890;meat_0;231;
6925;final-crs_2;231;783
7046;gate-keeper;238;
7054;vege_1;238;
7055;final-crs_0;238;391
7361;gate-keeper;247;
7362;gate-keeper;248;
7363;gate-keeper;249;
7367;vege_0;247;
7367;frui_0;249;
7370;vege_1;248;
7412;final-crs_5;247;245
7413;final-crs_3;249;161
7439;final-crs_11;248;359
7645;gate-keeper;257;
7646;gate-keeper;258;
7647;gate-keeper;259;
7648;frui_1;259;
7649;vege_0;257;
7649;vege_1;258;
7657;final-crs_4;259;597
7665;final-crs_10;257;158
7676;final-crs_5;258;312
7718;gate-keeper;260;
7719;gate-keeper;261;
7728;vege_1;260;
7730;vege_0;261;
7779;final-crs_8;260;671
