time;ckpt;id;money
360;gate-keeper;17;
361;gate-keeper;18;
362;frui_1;17;
407;meat_0;18;
429;final-crs_6;17;930
431;final-crs_1;18;372
692;gate-keeper;37;
698;vege_0;37;
717;final-crs_4;37;915
982;gate-keeper;53;
986;frui_1;53;
996;final-crs_11;53;572
1306;gate-keeper;70;
1307;vege_1;70;
1307;gate-keeper;71;
1311;vege_0;71;
1333;final-crs_9;70;849
1338;final-crs_3;71;504
1629;gate-keeper;89;
1630;frui_1;89;
1638;final-crs_2;89;482
2204;gate-keeper;122;
2207;vege_1;122;
2229;final-crs_1;122;546
2778;gate-keeper;153;
2779;gate-keeper;154;
2782;frui_1;153;
2785;vege_1;154;
2795;final-crs_7;153;669
2825;final-crs_9;154;365
2895;gate-keeper;160;
2896;vege_1;160;
2935;final-crs_8;160;884
3098;gate-keeper;165;
3099;gate-keeper;166;
3100;gate-keeper;167;
3101;gate-keeper;168;
3102;gate-keeper;169;
3103;vege_1;165;
3103;gate-keeper;170;
3104;gate-keeper;171;
3106;vege_0;166;
3108;final-crs_9;165;540
3113;vege_1;168;
3114;vege_0;169;
3117;final-crs_11;166;811
3120;meat_1;167;
3123;vege_0;170;
3123;vege_1;171;
3177;final-crs_3;168;1360
3183;final-crs_8;169;760
3203;final-crs_10;167;1002
3219;final-crs_1;170;662
3230;final-crs_4;171;706
3374;gate-keeper;182;
3375;gate-keeper;183;
3376;gate-keeper;184;
3377;frui_0;184;
3377;gate-keeper;185;
3378;frui_1;185;
3378;gate-keeper;186;
3379;meat_0;182;
3379;gate-keeper;187;
3380;vege_0;183;
3398;final-crs_3;184;90
3419;final-crs_10;185;590
3419;meat_1;186;
3430;final-crs_8;182;175
3438;meat_0;187;
3444;final-crs_5;183;815
3452;final-crs_6;186;1040
3464;final-crs_4;187;485
3717;gate-keeper;207;
3718;frui_1;207;
3725;final-crs_6;207;442
3791;gate-keeper;211;
3796;vege_1;211;
3823;final-crs_2;211;817
3960;gate-keeper;219;
3961;gate-keeper;220;
3962;frui_0;220;
3967;final-crs_1;220;1365
3967;vege_1;219;
3968;final-crs_10;219;158
4829;gate-keeper;267;
4830;gate-keeper;268;
4831;frui_0;267;
4831;gate-keeper;269;
4833;frui_1;268;
4837;final-crs_5;267;1084
4837;frui_0;269;
4899;final-crs_7;268;462
4904;final-crs_0;269;433
5116;gate-keeper;286;
5117;vege_0;286;
5126;final-crs_2;286;714
5406;gate-keeper;303;
5430;meat_1;303;
