time;ckpt;id;money
573;gate-keeper;31;
581;vege_1;31;
633;final-crs_10;31;1129
866;gate-keeper;49;
869;vege_0;49;
888;final-crs_5;49;1219
1383;gate-keeper;72;
1384;gate-keeper;73;
1385;gate-keeper;74;
1386;gate-keeper;75;
1387;vege_1;72;
1387;gate-keeper;76;
1388;gate-keeper;77;
1390;vege_0;73;
1391;final-crs_5;72;2029
1396;vege_1;74;
1399;vege_0;75;
1406;vege_1;76;
1407;vege_0;77;
1423;final-crs_8;73;282
1432;final-crs_4;74;1310
1446;final-crs_2;75;1250
1457;final-crs_1;76;191
1469;final-crs_11;77;419
1735;gate-keeper;96;
1736;frui_1;96;
1736;gate-keeper;97;
1737;gate-keeper;98;
1739;final-crs_0;96;1478
1739;vege_1;97;
1741;frui_0;98;
1742;final-crs_9;97;315
1782;final-crs_3;98;1314
1812;gate-keeper;102;
1813;gate-keeper;103;
1817;vege_1;102;
1818;vege_0;103;
1822;final-crs_10;102;756
1835;final-crs_7;103;757
2049;gate-keeper;115;
2050;frui_0;115;
2050;gate-keeper;116;
2051;vege_0;116;
2052;final-crs_7;115;1379
2067;final-crs_10;116;715
2622;gate-keeper;148;
2627;vege_1;148;
2633;final-crs_1;148;1075
2670;gate-keeper;151;
2674;vege_1;151;
2689;final-crs_8;151;729
3336;gate-keeper;187;
3337;gate-keeper;188;
3340;vege_1;188;
3348;final-crs_11;188;110
3360;gate-keeper;189;
3362;vege_0;189;
3382;meat_1;187;
3383;final-crs_8;189;2137
3388;final-crs_3;187;793
3634;gate-keeper;201;
3635;gate-keeper;202;
3636;gate-keeper;203;
3637;gate-keeper;204;
3638;vege_0;201;
3638;gate-keeper;205;
3639;vege_1;202;
3642;frui_1;205;
3648;vege_0;203;
3650;vege_1;204;
3652;final-crs_0;201;448
3666;final-crs_8;202;1012
3701;final-crs_4;205;762
3716;final-crs_9;203;1008
3768;final-crs_6;204;744
3943;gate-keeper;221;
3944;gate-keeper;222;
3946;vege_0;221;
3946;vege_1;222;
3948;final-crs_4;221;1069
3956;final-crs_9;222;629
4182;gate-keeper;237;
4187;vege_0;237;
4199;final-crs_9;237;293
4426;gate-keeper;251;
4429;vege_0;251;
4446;final-crs_3;251;625
4617;gate-keeper;260;
4618;gate-keeper;261;
4619;gate-keeper;262;
4623;vege_1;261;
4625;final-crs_2;261;406
4628;meat_0;260;
4653;final-crs_6;260;150
4664;meat_1;262;
4671;final-crs_9;262;810
4719;gate-keeper;268;
4721;vege_0;268;
4760;final-crs_10;268;1659
5006;gate-keeper;284;
5007;frui_0;284;
5057;final-crs_5;284;692
5301;gate-keeper;300;
5306;vege_0;300;
5320;final-crs_11;300;578
5472;gate-keeper;308;
5473;gate-keeper;309;
5475;vege_0;308;
5481;vege_1;309;
5530;final-crs_7;308;669
5541;final-crs_0;309;1080
5606;gate-keeper;317;
5607;vege_1;317;
5634;final-crs_6;317;955
6340;gate-keeper;355;
6341;gate-keeper;356;
6342;vege_1;356;
6342;gate-keeper;357;
6343;frui_0;355;
6343;gate-keeper;358;
6344;gate-keeper;359;
6345;gate-keeper;360;
6348;frui_1;358;
6351;vege_0;357;
6352;vege_1;360;
6373;meat_1;359;
6396;gate-keeper;361;
6397;gate-keeper;362;
6398;vege_0;361;
6402;frui_0;362;
6404;final-crs_2;356;723
6422;final-crs_4;355;711
6463;final-crs_1;358;123
6475;final-crs_0;357;2408
6475;final-crs_5;360;1538
6476;final-crs_3;359;508
6501;final-crs_10;361;441
6515;final-crs_7;362;1278
6549;gate-keeper;371;
6553;vege_1;371;
6558;final-crs_8;371;1531
7189;gate-keeper;407;
7190;gate-keeper;408;
7195;vege_1;408;
7197;final-crs_7;408;869
7203;meat_0;407;
7241;final-crs_1;407;1221
7508;gate-keeper;425;
7509;frui_1;425;
7509;gate-keeper;426;
7510;gate-keeper;427;
7511;vege_1;427;
7512;frui_0;426;
7519;final-crs_9;425;2105
7520;final-crs_0;427;1007
7520;final-crs_1;426;1127
8103;gate-keeper;456;
8104;gate-keeper;457;
8105;gate-keeper;458;
8106;vege_1;457;
8106;meat_0;456;
8106;gate-keeper;459;
8107;gate-keeper;460;
8108;gate-keeper;461;
8110;vege_0;458;
8114;vege_1;460;
8119;vege_0;461;
8142;final-crs_5;457;1121
8153;final-crs_2;456;283
8155;final-crs_0;458;529
8166;meat_1;459;
8177;final-crs_6;460;565
8179;final-crs_11;461;638
8218;final-crs_1;459;670
8324;gate-keeper;472;
