time;ckpt;id;money
291;gate-keeper;10;
293;frui_1;10;
439;final-crs_2;10;186
571;gate-keeper;13;
572;vege_1;13;
572;gate-keeper;14;
573;gate-keeper;15;
574;gate-keeper;16;
575;gate-keeper;17;
576;gate-keeper;18;
577;gate-keeper;19;
578;gate-keeper;20;
580;vege_0;14;
580;vege_1;15;
589;vege_0;17;
589;vege_1;18;
596;meat_0;16;
597;vege_0;20;
624;gate-keeper;22;
630;meat_1;19;
652;meat_0;22;
656;final-crs_6;13;142
664;final-crs_0;14;761
677;final-crs_3;15;402
697;final-crs_2;17;724
716;final-crs_9;18;795
730;final-crs_7;16;327
752;final-crs_10;20;942
756;final-crs_1;19;988
761;final-crs_8;22;176
1445;gate-keeper;47;
1446;gate-keeper;48;
1447;gate-keeper;49;
1448;frui_0;47;
1448;gate-keeper;50;
1449;frui_1;50;
1449;gate-keeper;51;
1450;vege_0;51;
1450;gate-keeper;52;
1451;gate-keeper;53;
1457;final-crs_8;47;1313
1457;vege_1;53;
1462;final-crs_10;50;1487
1463;meat_0;48;
1476;final-crs_5;51;828
1487;final-crs_1;53;1017
1491;meat_1;49;
1492;final-crs_4;48;530
1525;meat_0;52;
1552;gate-keeper;57;
1559;final-crs_3;49;1387
1582;meat_0;57;
1609;final-crs_9;52;439
1615;final-crs_0;57;287
1871;gate-keeper;69;
1909;meat_1;69;
1930;final-crs_5;69;256
2146;gate-keeper;79;
2149;vege_0;79;
2152;final-crs_0;79;151
2226;gate-keeper;81;
2227;vege_0;81;
2227;gate-keeper;82;
2234;vege_1;82;
2238;final-crs_8;81;1150
2304;final-crs_9;82;1735
2463;gate-keeper;89;
2464;gate-keeper;90;
2465;vege_0;89;
2465;gate-keeper;91;
2466;frui_0;91;
2467;vege_1;90;
2480;final-crs_8;89;1229
2531;final-crs_9;91;992
2543;final-crs_4;90;247
3033;gate-keeper;111;
3034;gate-keeper;112;
3037;meat_0;111;
3039;vege_1;112;
3055;final-crs_4;111;1188
3077;final-crs_10;112;2171
3079;gate-keeper;113;
3080;gate-keeper;114;
3082;frui_1;114;
3085;meat_1;113;
3105;final-crs_5;114;1525
3108;final-crs_6;113;874
3354;gate-keeper;122;
3355;gate-keeper;123;
3356;gate-keeper;124;
3358;vege_0;122;
3359;final-crs_0;122;1459
3359;vege_1;124;
3364;final-crs_5;124;1196
3389;meat_0;123;
3425;final-crs_8;123;541
3644;gate-keeper;134;
3651;meat_1;134;
3667;final-crs_1;134;685
3832;gate-keeper;142;
3840;meat_0;142;
3885;final-crs_8;142;490
3893;gate-keeper;144;
3904;meat_0;144;
3907;final-crs_9;144;1814
4131;gate-keeper;154;
4133;vege_0;154;
4136;final-crs_8;154;149
4717;gate-keeper;174;
4718;gate-keeper;175;
4724;vege_1;175;
4728;final-crs_5;175;1055
4733;meat_1;174;
4741;final-crs_0;174;945
4987;gate-keeper;184;
4988;vege_1;184;
4988;gate-keeper;185;
4994;meat_0;185;
5042;final-crs_11;184;637
5044;final-crs_4;185;1471
5056;gate-keeper;186;
5057;meat_0;186;
5057;gate-keeper;187;
5059;frui_0;187;
5090;final-crs_2;186;356
5101;final-crs_1;187;872
5847;gate-keeper;215;
5848;gate-keeper;216;
