time;ckpt;id;money
637;gate-keeper;44;
645;vege_1;44;
672;final-crs_7;44;78
896;gate-keeper;63;
897;vege_0;63;
900;final-crs_10;63;868
914;gate-keeper;64;
918;frui_0;64;
925;final-crs_11;64;214
1228;gate-keeper;84;
1229;gate-keeper;85;
1230;gate-keeper;86;
1231;vege_1;84;
1231;frui_0;86;
1231;gate-keeper;87;
1233;vege_0;85;
1240;vege_1;87;
1245;final-crs_1;84;304
1257;final-crs_8;86;129
1269;final-crs_0;85;338
1359;final-crs_11;87;538
1525;gate-keeper;104;
1526;frui_0;104;
1526;gate-keeper;105;
1527;gate-keeper;106;
1528;gate-keeper;107;
1529;vege_0;105;
1529;vege_1;106;
1529;gate-keeper;108;
1531;final-crs_8;104;357
1539;vege_0;107;
1539;meat_0;108;
1543;final-crs_0;105;590
1592;final-crs_11;106;380
1611;final-crs_3;107;1655
1634;final-crs_10;108;1416
1750;gate-keeper;124;
1756;vege_1;124;
1796;final-crs_8;124;1386
1858;gate-keeper;133;
1879;meat_0;133;
1889;final-crs_4;133;1599
2159;gate-keeper;152;
2160;gate-keeper;153;
2161;frui_0;153;
2161;gate-keeper;154;
2166;meat_0;152;
2173;final-crs_9;153;267
2212;meat_1;154;
2258;final-crs_0;152;443
2311;final-crs_4;154;536
2470;gate-keeper;176;
2471;frui_0;176;
2494;final-crs_0;176;1458
2639;gate-keeper;187;
2640;vege_1;187;
2640;gate-keeper;188;
2641;frui_0;188;
2641;gate-keeper;189;
2643;frui_1;189;
2648;final-crs_10;187;480
2692;final-crs_9;188;727
2732;final-crs_0;189;477
2771;gate-keeper;198;
2774;vege_1;198;
2805;final-crs_11;198;1269
3116;gate-keeper;221;
3117;gate-keeper;222;
3118;gate-keeper;223;
3120;frui_1;221;
3127;meat_0;222;
3129;meat_1;223;
3143;final-crs_5;221;1369
3146;final-crs_8;222;831
3150;final-crs_9;223;690
3675;gate-keeper;264;
3677;frui_1;264;
3688;final-crs_11;264;107
3691;gate-keeper;265;
3692;vege_1;265;
3732;final-crs_0;265;1442
3981;gate-keeper;286;
3982;gate-keeper;287;
3986;frui_0;286;
3988;vege_0;287;
3996;final-crs_3;286;855
3998;final-crs_4;287;590
4300;gate-keeper;309;
4301;gate-keeper;310;
4308;vege_0;309;
4316;final-crs_7;309;1807
4335;meat_1;310;
4362;final-crs_10;310;76
4541;gate-keeper;326;
4542;gate-keeper;327;
4543;vege_0;326;
4543;gate-keeper;328;
4548;vege_1;328;
4559;final-crs_7;326;580
4563;final-crs_6;328;518
4566;meat_0;327;
4604;final-crs_8;327;716
4619;gate-keeper;329;
4620;gate-keeper;330;
4621;gate-keeper;331;
4622;gate-keeper;332;
4623;frui_0;331;
4623;gate-keeper;333;
4624;gate-keeper;334;
4626;vege_1;329;
4627;vege_0;330;
4629;frui_1;333;
4629;meat_1;332;
4630;frui_0;334;
4631;final-crs_10;331;97
4668;final-crs_1;329;1080
4668;final-crs_2;330;732
4690;final-crs_5;333;1662
4693;final-crs_0;332;1181
4710;final-crs_4;334;65
4918;gate-keeper;351;
4919;gate-keeper;352;
4920;gate-keeper;353;
4921;gate-keeper;354;
4922;gate-keeper;355;
4923;frui_1;354;
4924;vege_0;351;
4924;vege_1;352;
4933;vege_1;355;
4934;final-crs_2;354;573
4941;final-crs_5;351;187
4944;final-crs_0;352;1394
4948;final-crs_3;355;196
4964;meat_1;353;
4967;final-crs_6;353;2023
5212;gate-keeper;372;
5213;gate-keeper;373;
5214;gate-keeper;374;
5215;gate-keeper;375;
5216;gate-keeper;376;
5218;frui_0;373;
5220;frui_1;374;
5220;meat_1;372;
5224;frui_0;375;
5226;final-crs_0;373;844
5247;meat_0;376;
5262;final-crs_8;374;980
5290;final-crs_7;372;199
5294;final-crs_11;375;241
5328;final-crs_1;376;491
5486;gate-keeper;394;
5487;gate-keeper;395;
5488;gate-keeper;396;
5489;vege_1;394;
5493;frui_1;396;
5495;vege_0;395;
5547;final-crs_7;394;956
5557;final-crs_11;396;1004
5558;final-crs_1;395;136
5819;gate-keeper;416;
5820;gate-keeper;417;
5821;gate-keeper;418;
5822;frui_1;418;
5822;gate-keeper;419;
5823;gate-keeper;420;
5830;vege_0;420;
5833;final-crs_11;418;1151
5843;final-crs_9;420;1250
5866;meat_1;416;
5873;meat_0;417;
5883;final-crs_10;416;1169
5903;final-crs_3;417;519
5930;meat_1;419;
5955;final-crs_5;419;1166
6098;gate-keeper;440;
6102;meat_0;440;
6104;final-crs_10;440;326
6407;gate-keeper;463;
6410;vege_0;463;
6425;final-crs_2;463;594
6429;gate-keeper;464;
6430;frui_1;464;
6430;gate-keeper;465;
6431;final-crs_4;464;1490
6434;vege_1;465;
6464;final-crs_0;465;382
7031;gate-keeper;506;
7032;gate-keeper;507;
7033;frui_1;506;
7033;gate-keeper;508;
7034;gate-keeper;509;
7038;frui_0;507;
7040;frui_1;508;
7053;final-crs_10;506;85
7055;meat_0;509;
7059;final-crs_6;507;944
7068;final-crs_3;508;181
7079;final-crs_8;509;395
7328;gate-keeper;526;
7329;gate-keeper;527;
7330;gate-keeper;528;
7331;gate-keeper;529;
7332;gate-keeper;530;
7336;vege_0;529;
7346;final-crs_0;529;309
7350;meat_0;526;
7355;meat_1;527;
7384;final-crs_4;526;1234
7393;final-crs_2;527;1651
7402;meat_0;528;
7421;meat_1;530;
7423;final-crs_1;528;715
7459;final-crs_11;530;1934
7579;gate-keeper;548;
7580;gate-keeper;549;
7581;vege_1;548;
7584;vege_0;549;
7587;final-crs_9;548;337
7598;final-crs_8;549;1106
7907;gate-keeper;571;
7908;gate-keeper;572;
7909;gate-keeper;573;
7913;vege_0;571;
7914;vege_1;572;
7923;vege_1;573;
7975;final-crs_5;571;1671
7989;final-crs_7;572;1277
8021;final-crs_3;573;459
8047;gate-keeper;575;
8048;gate-keeper;576;
8049;gate-keeper;577;
8050;gate-keeper;578;
8051;frui_0;577;
8051;gate-keeper;579;
8052;gate-keeper;580;
8053;gate-keeper;581;
8054;gate-keeper;582;
8055;frui_1;582;
8055;gate-keeper;583;
8056;vege_0;576;
8056;vege_1;579;
8057;frui_0;583;
8065;vege_1;580;
8066;meat_0;575;
8067;vege_0;581;
8085;meat_1;578;
8095;final-crs_8;577;628
8105;final-crs_2;582;345
8111;final-crs_1;576;1430
8121;final-crs_4;579;236
8151;gate-keeper;588;
8152;gate-keeper;589;
8153;gate-keeper;590;
8154;final-crs_11;583;330
8156;frui_0;589;
8157;vege_1;588;
8158;meat_1;590;
8211;final-crs_3;580;153
8240;final-crs_7;575;634
8248;final-crs_5;581;721
8257;final-crs_6;578;207
8257;final-crs_10;589;892
8279;final-crs_0;588;705
8283;final-crs_9;590;235
8448;gate-keeper;611;
8449;gate-keeper;612;
8451;frui_1;611;
8453;frui_0;612;
8492;final-crs_9;611;1235
8497;final-crs_6;612;414
8725;gate-keeper;632;
8729;frui_0;632;
8746;final-crs_6;632;322
8951;gate-keeper;637;
8952;gate-keeper;638;
8953;frui_0;638;
8953;gate-keeper;639;
8954;gate-keeper;640;
8955;gate-keeper;641;
8956;gate-keeper;642;
8957;gate-keeper;643;
8958;gate-keeper;644;
8959;vege_0;639;
8959;vege_1;640;
8959;gate-keeper;645;
8960;gate-keeper;646;
8961;meat_1;637;
8961;gate-keeper;647;
8962;gate-keeper;648;
8963;frui_1;645;
8963;gate-keeper;649;
8965;frui_0;647;
8968;vege_0;641;
8969;vege_1;643;
8970;frui_1;648;
8974;final-crs_6;638;418
8979;vege_0;644;
8979;vege_1;649;
8984;final-crs_7;639;316
8985;final-crs_9;640;958
8985;gate-keeper;650;
8986;final-crs_0;637;541
8986;gate-keeper;651;
8987;vege_0;651;
8990;frui_1;650;
9008;meat_0;642;
9011;final-crs_8;645;456
9015;meat_1;646;
9033;final-crs_10;647;449
9055;final-crs_11;641;1138
9056;final-crs_1;643;1404
9061;final-crs_4;648;474
9125;final-crs_2;644;441
9130;final-crs_3;649;896
9131;final-crs_5;651;722
9208;final-crs_0;650;698
9237;final-crs_6;642;268
9241;final-crs_7;646;574
9326;gate-keeper;675;
9327;vege_0;675;
9327;gate-keeper;676;
9329;final-crs_1;675;628
9334;vege_1;676;
9351;final-crs_3;676;334
9614;gate-keeper;697;
9620;frui_0;697;
9635;final-crs_5;697;1176
9829;gate-keeper;710;
9830;frui_1;710;
9830;gate-keeper;711;
9831;gate-keeper;712;
9837;vege_0;712;
9849;final-crs_0;710;1477
9851;meat_1;711;
9857;final-crs_3;712;855
9876;final-crs_5;711;1038
9905;gate-keeper;716;
9906;gate-keeper;717;
9908;frui_1;717;
9911;final-crs_6;717;1342
9913;vege_0;716;
9922;final-crs_9;716;1093
10184;gate-keeper;738;
10189;vege_0;738;
10253;final-crs_4;738;874
10468;gate-keeper;755;
10469;gate-keeper;756;
10470;gate-keeper;757;
10471;gate-keeper;758;
10472;gate-keeper;759;
10473;vege_0;755;
10473;vege_1;759;
10485;final-crs_8;755;1153
10497;final-crs_1;759;713
10500;meat_1;756;
10524;meat_0;757;
10532;final-crs_5;756;766
10542;final-crs_11;757;1193
10566;meat_1;758;
10590;gate-keeper;768;
10594;frui_1;768;
10598;final-crs_9;758;678
10602;final-crs_2;768;1147
10782;gate-keeper;774;
10783;gate-keeper;775;
10784;gate-keeper;776;
10785;gate-keeper;777;
10786;gate-keeper;778;
10787;vege_0;774;
10787;vege_1;775;
10787;gate-keeper;779;
10788;gate-keeper;780;
10789;frui_0;777;
10789;gate-keeper;781;
10790;meat_1;776;
10790;gate-keeper;782;
10796;vege_0;778;
10796;vege_1;779;
10801;final-crs_9;774;1480
10802;final-crs_4;775;117
10804;vege_1;780;
10806;vege_0;782;
10810;meat_0;781;
10814;final-crs_3;777;709
10841;final-crs_2;776;911
10887;final-crs_0;778;1548
10910;final-crs_7;779;234
10912;final-crs_10;780;503
10925;final-crs_6;782;255
10942;final-crs_1;781;1533
11075;gate-keeper;798;
11076;gate-keeper;799;
11077;gate-keeper;800;
11078;vege_0;799;
11078;frui_1;798;
11078;gate-keeper;801;
11079;vege_1;800;
11079;gate-keeper;802;
11080;gate-keeper;803;
11081;frui_0;801;
11087;meat_1;802;
11088;meat_0;803;
11118;final-crs_0;799;684
11139;final-crs_10;798;918
11154;final-crs_6;800;613
11158;final-crs_7;801;1166
11173;final-crs_1;802;1050
11181;final-crs_5;803;2195
11400;gate-keeper;825;
11401;gate-keeper;826;
11402;gate-keeper;827;
11404;vege_1;826;
11408;frui_0;827;
11437;meat_0;825;
11449;final-crs_5;826;704
11459;final-crs_6;827;1116
11472;gate-keeper;830;
11473;gate-keeper;831;
11474;gate-keeper;832;
11476;frui_0;830;
11477;frui_1;831;
11482;frui_0;832;
11511;final-crs_9;825;474
11514;final-crs_8;830;1274
11544;final-crs_11;831;326
11552;final-crs_3;832;293
11748;gate-keeper;850;
11749;gate-keeper;851;
11750;gate-keeper;852;
11754;vege_0;852;
11754;frui_0;850;
11755;frui_1;851;
11778;final-crs_9;852;518
11784;final-crs_4;850;60
11789;final-crs_3;851;466
