time;ckpt;id;money
277;gate-keeper;18;
278;frui_1;18;
280;final-crs_0;18;494
611;gate-keeper;39;
612;vege_1;39;
612;gate-keeper;40;
613;gate-keeper;41;
614;vege_0;40;
614;gate-keeper;42;
617;frui_0;41;
623;vege_1;42;
630;final-crs_4;39;1078
667;final-crs_9;40;1153
671;final-crs_5;41;793
699;final-crs_6;42;1248
768;gate-keeper;52;
769;vege_0;52;
769;gate-keeper;53;
773;vege_1;53;
784;final-crs_3;52;722
848;final-crs_4;53;644
864;gate-keeper;60;
866;frui_1;60;
892;final-crs_9;60;94
1129;gate-keeper;78;
1130;gate-keeper;79;
1131;gate-keeper;80;
1132;frui_0;80;
1153;final-crs_9;80;1377
1160;meat_0;78;
1175;final-crs_6;78;447
1185;meat_1;79;
1201;final-crs_0;79;2372
1434;gate-keeper;93;
1435;gate-keeper;94;
1436;frui_0;93;
1436;gate-keeper;95;
1437;gate-keeper;96;
1438;gate-keeper;97;
1439;final-crs_0;93;761
1439;gate-keeper;98;
1440;gate-keeper;99;
1441;vege_0;94;
1441;gate-keeper;100;
1442;final-crs_11;94;1477
1442;vege_1;96;
1442;gate-keeper;101;
1446;frui_1;101;
1451;vege_0;99;
1451;vege_1;100;
1465;final-crs_1;96;913
1466;meat_0;95;
1491;final-crs_7;101;552
1495;final-crs_8;99;691
1500;meat_1;97;
1506;final-crs_2;100;999
1510;final-crs_3;95;1227
1520;meat_0;98;
1578;final-crs_4;97;483
1584;final-crs_5;98;489
1688;gate-keeper;114;
1689;gate-keeper;115;
1690;frui_1;114;
1690;gate-keeper;116;
1691;final-crs_7;114;2050
1691;gate-keeper;117;
1692;gate-keeper;118;
1693;gate-keeper;119;
1694;gate-keeper;120;
1695;vege_1;117;
1695;frui_0;116;
1696;frui_1;118;
1700;vege_0;119;
1703;meat_1;115;
1704;vege_1;120;
1717;gate-keeper;121;
1718;gate-keeper;122;
1719;vege_0;121;
1721;frui_0;122;
1723;final-crs_0;117;555
1724;final-crs_2;116;1369
1732;final-crs_3;118;895
1770;final-crs_8;119;370
1802;final-crs_5;115;1262
1820;final-crs_4;120;1461
1845;final-crs_6;121;167
1884;final-crs_1;122;613
2017;gate-keeper;140;
2018;gate-keeper;141;
2019;gate-keeper;142;
2020;frui_0;141;
2020;gate-keeper;143;
2021;gate-keeper;144;
2022;meat_1;140;
2028;vege_0;143;
2030;vege_1;144;
2033;meat_0;142;
2048;final-crs_4;141;205
2095;final-crs_6;140;1987
2139;final-crs_1;143;730
2141;final-crs_11;144;184
2159;final-crs_9;142;1762
2316;gate-keeper;161;
2317;gate-keeper;162;
2318;gate-keeper;163;
2319;gate-keeper;164;
2320;frui_1;164;
2320;gate-keeper;165;
2321;vege_1;161;
2321;gate-keeper;166;
2323;vege_0;162;
