time;ckpt;id;money
376;gate-keeper;15;
377;gate-keeper;16;
381;frui_0;16;
408;meat_1;15;
416;final-crs_4;16;195
440;final-crs_11;15;554
666;gate-keeper;28;
667;vege_1;28;
667;gate-keeper;29;
668;gate-keeper;30;
671;frui_0;30;
692;final-crs_11;28;973
703;meat_1;29;
717;final-crs_2;30;735
726;final-crs_9;29;1304
938;gate-keeper;43;
939;gate-keeper;44;
945;vege_0;43;
946;final-crs_11;43;1042
946;vege_1;44;
955;final-crs_1;44;1226
1280;gate-keeper;57;
1281;gate-keeper;58;
1282;gate-keeper;59;
1283;frui_1;58;
1283;gate-keeper;60;
1285;vege_0;57;
1288;vege_1;59;
1296;vege_0;60;
1337;final-crs_0;58;1019
1343;final-crs_4;57;3238
1399;final-crs_1;59;2164
1407;final-crs_11;60;454
1934;gate-keeper;91;
1935;gate-keeper;92;
1939;frui_1;92;
1941;vege_0;91;
1949;final-crs_8;92;2946
1964;final-crs_9;91;1334
2227;gate-keeper;103;
2228;gate-keeper;104;
2229;gate-keeper;105;
2230;gate-keeper;106;
2231;vege_1;103;
2233;vege_0;104;
2233;frui_1;105;
2246;meat_0;106;
2263;final-crs_4;103;486
2303;final-crs_11;104;119
2313;final-crs_0;105;1468
2371;final-crs_1;106;807
2556;gate-keeper;117;
2557;vege_1;117;
2557;gate-keeper;118;
2558;gate-keeper;119;
2559;gate-keeper;120;
2560;gate-keeper;121;
2561;frui_1;119;
2561;gate-keeper;122;
2562;vege_0;118;
2563;meat_1;120;
2565;vege_1;121;
2571;vege_0;122;
2585;final-crs_0;117;133
2593;final-crs_6;119;2590
2615;final-crs_1;118;1051
2627;final-crs_5;120;969
2658;final-crs_3;121;1610
2659;final-crs_8;122;1108
2848;gate-keeper;136;
2851;vege_1;136;
2859;final-crs_6;136;560
3192;gate-keeper;151;
3193;gate-keeper;152;
3194;vege_0;152;
3204;final-crs_3;152;2836
3205;meat_0;151;
3244;final-crs_11;151;1620
3825;gate-keeper;179;
3826;gate-keeper;180;
3827;frui_0;180;
3827;gate-keeper;181;
3828;gate-keeper;182;
3832;vege_0;179;
3833;vege_1;181;
3841;vege_1;182;
3865;final-crs_10;180;1001
3909;final-crs_2;179;582
3916;final-crs_9;181;3195
3935;gate-keeper;185;
3936;gate-keeper;186;
3937;gate-keeper;187;
3938;frui_0;187;
3940;vege_1;185;
3944;vege_0;186;
3945;final-crs_3;182;1752
3945;final-crs_8;187;3828
3977;final-crs_11;185;1990
3984;final-crs_4;186;147
4110;gate-keeper;196;
4113;vege_1;196;
4130;final-crs_2;196;695
4361;gate-keeper;209;
4364;vege_0;209;
4377;final-crs_9;209;1568
4380;gate-keeper;210;
4383;vege_1;210;
4416;final-crs_2;210;2930
4627;gate-keeper;222;
4628;vege_1;222;
4680;final-crs_9;222;213
4912;gate-keeper;236;
4917;vege_0;236;
4930;gate-keeper;237;
4931;final-crs_11;236;2930
4933;frui_1;237;
4967;final-crs_3;237;2362
5189;gate-keeper;249;
5197;vege_0;249;
5223;final-crs_3;249;593
5848;gate-keeper;277;
5849;gate-keeper;278;
5850;gate-keeper;279;
5851;vege_1;277;
5851;gate-keeper;280;
5852;vege_0;278;
5852;gate-keeper;281;
5859;final-crs_5;277;1763
5859;vege_1;279;
5862;final-crs_2;278;194
5862;final-crs_9;279;1701
5862;vege_0;280;
5868;vege_1;281;
5898;final-crs_10;280;2014
5935;final-crs_4;281;1256
6129;gate-keeper;289;
6130;vege_0;289;
6130;gate-keeper;290;
6131;gate-keeper;291;
6132;gate-keeper;292;
6133;gate-keeper;293;
6134;gate-keeper;294;
6135;vege_1;290;
6137;frui_0;292;
6139;vege_0;291;
6144;vege_1;293;
6148;vege_0;294;
6196;final-crs_3;289;226
6219;final-crs_4;290;2441
6245;final-crs_1;292;1093
6254;final-crs_0;291;899
6266;final-crs_11;293;403
6284;final-crs_6;294;1906
6473;gate-keeper;309;
6474;gate-keeper;310;
6477;vege_0;309;
6479;final-crs_1;309;404
6480;vege_1;310;
6491;final-crs_5;310;1839
6758;gate-keeper;322;
6759;gate-keeper;323;
6761;vege_0;322;
6763;gate-keeper;324;
6765;meat_0;323;
6768;vege_1;324;
6792;final-crs_6;322;2272
6807;final-crs_7;323;1583
6853;final-crs_9;324;3624
7593;gate-keeper;364;
7595;vege_1;364;
7602;final-crs_2;364;1850
7898;gate-keeper;379;
7900;vege_0;379;
7929;final-crs_1;379;672
8239;gate-keeper;396;
8242;vege_0;396;
8256;final-crs_7;396;549
8357;gate-keeper;402;
8361;frui_1;402;
8407;final-crs_1;402;1022
8568;gate-keeper;412;
8571;vege_1;412;
8573;final-crs_4;412;467
8842;gate-keeper;425;
8848;vege_1;425;
8861;final-crs_8;425;625
9125;gate-keeper;437;
9126;gate-keeper;438;
9130;vege_0;437;
9132;frui_0;438;
9153;final-crs_1;437;2095
9155;final-crs_6;438;1924
9243;gate-keeper;441;
9244;gate-keeper;442;
9245;gate-keeper;443;
9246;gate-keeper;444;
9251;vege_1;441;
9251;frui_0;443;
9252;vege_0;442;
9260;vege_0;444;
9283;final-crs_3;441;216
9306;final-crs_4;443;328
9332;final-crs_5;442;877
9343;final-crs_9;444;1245
9404;gate-keeper;448;
9405;gate-keeper;449;
9406;vege_0;449;
9406;gate-keeper;450;
9407;frui_0;448;
9407;gate-keeper;451;
9408;vege_1;450;
9408;gate-keeper;452;
9409;frui_1;451;
9415;vege_0;452;
9434;final-crs_1;449;1642
9445;final-crs_10;448;2538
9446;final-crs_11;450;1422
9454;final-crs_7;451;315
9464;final-crs_0;452;2044
9969;gate-keeper;478;
9970;gate-keeper;479;
9973;vege_1;478;
9975;frui_0;479;
9989;final-crs_10;478;1239
9999;final-crs_3;479;1156
10274;gate-keeper;492;
10275;gate-keeper;493;
10278;vege_0;492;
10278;vege_1;493;
10280;final-crs_4;492;3210
10288;final-crs_6;493;3630
10927;gate-keeper;524;
10940;meat_0;524;
10962;final-crs_9;524;1537
11245;gate-keeper;536;
11246;gate-keeper;537;
11247;gate-keeper;538;
11248;gate-keeper;539;
11250;vege_0;537;
11252;vege_1;538;
11258;vege_0;539;
11278;final-crs_4;537;1686
11298;final-crs_11;538;849
11300;meat_1;536;
11313;final-crs_2;539;678
11325;final-crs_1;536;1626
11488;gate-keeper;550;
11489;frui_1;550;
11490;final-crs_5;550;1018
11592;gate-keeper;553;
11593;gate-keeper;554;
11594;gate-keeper;555;
11595;vege_1;553;
11598;vege_0;554;
11606;vege_0;555;
11615;final-crs_3;553;2843
11622;final-crs_7;554;2583
11665;final-crs_9;555;2572
11757;gate-keeper;563;
11759;frui_1;563;
11803;final-crs_2;563;1393
12000;gate-keeper;572;
12001;gate-keeper;573;
12002;gate-keeper;574;
12003;vege_1;572;
12007;vege_0;573;
12011;vege_1;574;
12033;final-crs_2;572;2269
12043;final-crs_8;573;804
12044;final-crs_0;574;721
12080;gate-keeper;577;
12081;gate-keeper;578;
12082;vege_0;577;
12089;vege_1;578;
12112;final-crs_7;577;384
12131;final-crs_11;578;2058
12264;gate-keeper;585;
12265;gate-keeper;586;
12266;gate-keeper;587;
12269;vege_0;586;
12305;final-crs_1;586;336
12306;meat_1;585;
12312;meat_0;587;
12324;final-crs_8;585;499
12343;final-crs_7;587;715
12596;gate-keeper;604;
12599;vege_0;604;
12600;final-crs_8;604;199
12877;gate-keeper;612;
12878;vege_1;612;
