time;ckpt;id;money
861;gate-keeper;40;
874;meat_0;40;
911;final-crs_10;40;1097
990;gate-keeper;45;
991;gate-keeper;46;
992;gate-keeper;47;
995;frui_0;46;
1015;final-crs_3;46;226
1030;meat_1;45;
1033;meat_0;47;
1120;final-crs_5;45;2849
1126;final-crs_10;47;2199
1289;gate-keeper;61;
1291;vege_1;61;
1332;final-crs_5;61;4089
1603;gate-keeper;76;
1604;gate-keeper;77;
1607;vege_0;76;
1612;vege_1;77;
1629;final-crs_11;76;1176
1630;final-crs_6;77;372
1802;gate-keeper;85;
1803;vege_1;85;
1803;gate-keeper;86;
1805;vege_0;86;
1808;final-crs_6;85;364
1857;final-crs_10;86;2795
1887;gate-keeper;89;
1888;gate-keeper;90;
1889;vege_1;89;
1892;frui_1;90;
1916;final-crs_7;89;2057
1949;final-crs_0;90;2073
2259;gate-keeper;107;
2260;gate-keeper;108;
2261;vege_0;108;
2263;frui_0;107;
2286;final-crs_2;108;1369
2287;final-crs_5;107;2537
3143;gate-keeper;147;
3144;gate-keeper;148;
3145;gate-keeper;149;
3146;gate-keeper;150;
3147;frui_0;148;
3150;final-crs_6;148;1935
3152;meat_0;147;
3161;meat_1;149;
3171;final-crs_8;147;2798
3176;final-crs_9;149;430
3214;meat_1;150;
3217;final-crs_1;150;881
3413;gate-keeper;158;
3414;gate-keeper;159;
3415;vege_1;158;
3415;gate-keeper;160;
3416;gate-keeper;161;
3417;gate-keeper;162;
3420;vege_0;159;
3424;vege_1;160;
3431;vege_0;161;
3433;vege_1;162;
3449;gate-keeper;163;
3450;vege_0;163;
3450;gate-keeper;164;
3453;vege_1;164;
3461;final-crs_9;158;1336
3478;final-crs_3;159;562
3485;final-crs_2;160;2560
3506;final-crs_0;161;3025
3514;final-crs_5;162;1420
3566;final-crs_10;163;2056
3576;final-crs_7;164;1484
3687;gate-keeper;173;
3688;vege_1;173;
3688;gate-keeper;174;
3689;gate-keeper;175;
3694;vege_0;174;
3696;vege_1;175;
3697;final-crs_9;173;197
3730;final-crs_3;174;1592
3736;final-crs_2;175;1864
3989;gate-keeper;189;
3990;gate-keeper;190;
3991;vege_1;189;
3995;final-crs_0;189;980
3995;vege_0;190;
4030;final-crs_4;190;2598
4283;gate-keeper;203;
4284;gate-keeper;204;
4285;vege_1;203;
4285;gate-keeper;205;
4286;vege_0;204;
4294;final-crs_7;203;2494
4296;vege_0;205;
4308;final-crs_8;204;621
4324;final-crs_11;205;1754
4394;gate-keeper;211;
4402;vege_0;211;
4409;final-crs_5;211;590
4606;gate-keeper;220;
4607;gate-keeper;221;
4609;frui_1;221;
4610;vege_1;220;
4660;final-crs_5;221;1658
4664;final-crs_2;220;1325
4897;gate-keeper;235;
4899;vege_0;235;
4924;final-crs_7;235;2378
5398;gate-keeper;258;
5399;gate-keeper;259;
5401;vege_0;258;
5403;final-crs_3;258;988
5404;vege_1;259;
5423;final-crs_0;259;1279
5528;gate-keeper;265;
5530;frui_1;265;
5550;final-crs_1;265;1932
5871;gate-keeper;282;
5879;meat_1;282;
5881;final-crs_3;282;1230
6182;gate-keeper;296;
6185;vege_1;296;
6186;final-crs_0;296;1028
6345;gate-keeper;304;
6348;vege_0;304;
6362;final-crs_9;304;398
6799;gate-keeper;325;
6800;gate-keeper;326;
6802;frui_0;326;
6809;meat_1;325;
6816;final-crs_1;326;2128
6837;final-crs_10;325;157
7098;gate-keeper;340;
7101;frui_0;340;
7123;final-crs_5;340;1063
7194;gate-keeper;341;
7195;vege_1;341;
7195;gate-keeper;342;
7196;vege_0;342;
7196;gate-keeper;343;
7197;gate-keeper;344;
7198;gate-keeper;345;
7200;frui_1;343;
7201;final-crs_0;341;2288
7204;vege_1;344;
7211;final-crs_2;342;1049
7211;final-crs_11;343;1295
7217;meat_0;345;
7220;final-crs_7;344;906
7223;final-crs_3;345;474
7287;gate-keeper;349;
7293;vege_0;349;
7299;final-crs_9;349;1166
7408;gate-keeper;355;
7411;frui_0;355;
7433;final-crs_11;355;977
7684;gate-keeper;366;
7685;gate-keeper;367;
7686;frui_1;367;
7686;gate-keeper;368;
7688;vege_0;366;
7691;vege_1;368;
7692;final-crs_6;367;1449
7698;final-crs_2;366;1162
7702;final-crs_0;368;1562
7951;gate-keeper;381;
7952;gate-keeper;382;
7957;vege_1;381;
7957;frui_1;382;
7988;final-crs_7;381;1317
7999;final-crs_0;382;1121
8249;gate-keeper;397;
8252;vege_0;397;
8257;final-crs_0;397;2262
8303;gate-keeper;398;
8304;gate-keeper;399;
8306;vege_1;398;
8306;frui_1;399;
8324;final-crs_10;398;1214
8331;final-crs_5;399;923
8560;gate-keeper;410;
8561;gate-keeper;411;
8566;frui_0;411;
8569;vege_0;410;
8585;final-crs_3;411;67
8595;final-crs_2;410;1639
8874;gate-keeper;426;
8880;vege_0;426;
8917;final-crs_6;426;2650
9146;gate-keeper;439;
9168;gate-keeper;440;
9173;vege_0;440;
9185;meat_1;439;
9200;final-crs_8;440;1766
9208;final-crs_1;439;2465
9500;gate-keeper;453;
9501;vege_0;453;
9501;gate-keeper;454;
9502;gate-keeper;455;
9503;vege_1;454;
9503;gate-keeper;456;
9509;vege_0;455;
9513;vege_1;456;
9517;final-crs_3;453;245
9528;final-crs_10;454;330
9537;final-crs_11;455;997
9571;final-crs_6;456;812
9770;gate-keeper;469;
9771;frui_0;469;
9798;final-crs_7;469;173
10354;gate-keeper;495;
10355;gate-keeper;496;
10356;vege_0;495;
10356;gate-keeper;497;
10360;frui_0;496;
10361;vege_1;497;
10399;final-crs_10;495;2781
10411;final-crs_2;496;2969
10416;final-crs_0;497;671
10626;gate-keeper;509;
10627;vege_1;509;
10665;final-crs_0;509;1899
10861;gate-keeper;519;
10862;gate-keeper;520;
10863;vege_0;519;
10863;gate-keeper;521;
10866;vege_1;520;
10871;vege_0;521;
10887;final-crs_2;519;1199
10893;final-crs_3;520;212
10903;final-crs_10;521;2273
10905;gate-keeper;522;
10906;gate-keeper;523;
10908;vege_0;522;
10911;frui_0;523;
10930;final-crs_0;522;1281
10952;final-crs_1;523;85
10976;gate-keeper;525;
10977;gate-keeper;526;
10978;meat_1;526;
10978;gate-keeper;527;
10983;final-crs_4;526;1606
10984;vege_0;525;
10986;vege_1;527;
11005;final-crs_5;525;1140
11025;final-crs_9;527;382
11312;gate-keeper;542;
11333;meat_1;542;
11374;final-crs_0;542;2425
11619;gate-keeper;556;
11623;vege_1;556;
11633;final-crs_2;556;1619
11924;gate-keeper;571;
11925;vege_1;571;
11929;final-crs_3;571;1002
12195;gate-keeper;583;
12196;gate-keeper;584;
12198;vege_0;583;
12200;frui_1;584;
12210;final-crs_4;583;2822
12240;final-crs_5;584;1955
12462;gate-keeper;594;
12463;frui_1;594;
12463;gate-keeper;595;
12464;frui_0;595;
12464;gate-keeper;596;
12465;gate-keeper;597;
12469;frui_1;596;
12471;vege_1;597;
12481;final-crs_6;594;251
12529;final-crs_2;595;1608
12555;final-crs_8;596;115
12573;final-crs_0;597;1392
12749;gate-keeper;611;
12750;vege_1;611;
12802;final-crs_8;611;1806
12970;gate-keeper;621;
12971;vege_0;621;
12971;gate-keeper;622;
12976;final-crs_6;621;524
12979;vege_1;622;
13003;final-crs_8;622;2375
13306;gate-keeper;635;
13307;gate-keeper;636;
13308;frui_1;635;
13308;gate-keeper;637;
13309;frui_0;636;
13309;gate-keeper;638;
13335;meat_1;637;
13341;final-crs_0;635;2508
13350;final-crs_5;636;577
13357;meat_0;638;
13369;final-crs_4;637;330
13370;final-crs_10;638;234
13663;gate-keeper;653;
13664;gate-keeper;654;
13665;vege_1;653;
13665;gate-keeper;655;
13666;frui_0;655;
13672;vege_0;654;
13675;final-crs_9;653;321
13680;gate-keeper;656;
13681;vege_0;656;
13690;final-crs_3;655;3179
13699;final-crs_6;654;2701
13749;final-crs_8;656;222
13987;gate-keeper;671;
13988;vege_1;671;
14009;final-crs_5;671;452
14266;gate-keeper;679;
14267;gate-keeper;680;
14268;gate-keeper;681;
14269;gate-keeper;682;
14270;gate-keeper;683;
14271;gate-keeper;684;
14272;gate-keeper;685;
14273;vege_1;679;
14275;vege_0;680;
14283;vege_1;681;
14284;vege_0;682;
14292;vege_1;685;
14298;final-crs_0;679;1579
14298;meat_1;683;
14302;meat_0;684;
14305;final-crs_4;680;2071
14339;final-crs_1;681;1716
14363;final-crs_10;682;838
14370;final-crs_8;685;1475
14370;final-crs_11;683;1843
14389;final-crs_3;684;1568
14453;gate-keeper;694;
14454;vege_0;694;
14462;final-crs_2;694;3719
14528;gate-keeper;696;
14529;gate-keeper;697;
14530;gate-keeper;698;
14531;vege_1;697;
14532;vege_0;698;
14532;frui_0;696;
14542;final-crs_0;697;1942
14551;final-crs_5;698;466
14558;final-crs_4;696;1264
14850;gate-keeper;711;
14851;gate-keeper;712;
14852;frui_1;712;
14852;gate-keeper;713;
14854;vege_1;711;
14855;vege_0;713;
14870;final-crs_10;712;935
14871;final-crs_3;711;996
14915;final-crs_2;713;701
15139;gate-keeper;727;
15140;vege_1;727;
15191;final-crs_6;727;1262
15655;gate-keeper;751;
15660;vege_0;751;
15675;final-crs_9;751;1148
15949;gate-keeper;764;
15955;vege_0;764;
15971;final-crs_5;764;2331
16285;gate-keeper;779;
16286;vege_1;779;
16286;gate-keeper;780;
16293;frui_0;780;
16296;final-crs_3;779;1238
16305;final-crs_2;780;2501
16314;gate-keeper;782;
16319;frui_1;782;
16372;final-crs_7;782;1492
16529;gate-keeper;792;
16530;gate-keeper;793;
16531;vege_0;792;
16533;final-crs_2;792;2014
16534;vege_1;793;
16611;final-crs_7;793;3355
16792;gate-keeper;805;
16795;frui_0;805;
16804;final-crs_3;805;1246
17101;gate-keeper;818;
17102;gate-keeper;819;
17103;gate-keeper;820;
17105;frui_0;818;
17110;final-crs_5;818;1242
17110;vege_0;819;
17111;vege_1;820;
17128;final-crs_6;819;440
17133;final-crs_0;820;1639
17268;gate-keeper;828;
17271;vege_1;828;
17334;final-crs_5;828;1220
17465;gate-keeper;837;
17468;frui_0;837;
17489;final-crs_10;837;2492
17767;gate-keeper;849;
17768;gate-keeper;850;
17769;gate-keeper;851;
17770;frui_0;849;
17770;frui_1;850;
17770;gate-keeper;852;
17775;vege_0;851;
17776;vege_1;852;
17808;final-crs_9;849;287
17820;final-crs_4;850;1215
17824;final-crs_6;851;246
17831;final-crs_0;852;2150
18053;gate-keeper;863;
18054;gate-keeper;864;
18055;gate-keeper;865;
18057;frui_1;865;
18062;vege_0;863;
18062;vege_1;864;
18087;final-crs_2;865;324
18099;final-crs_7;863;1057
18106;final-crs_5;864;736
18206;gate-keeper;872;
18207;gate-keeper;873;
18209;vege_0;873;
18209;frui_0;872;
18231;final-crs_3;873;1486
18237;final-crs_1;872;2673
18344;gate-keeper;880;
18348;vege_1;880;
18349;final-crs_5;880;567
18688;gate-keeper;938;
18689;gate-keeper;939;
18692;vege_0;938;
18697;vege_1;939;
18707;final-crs_11;938;960
18746;final-crs_0;939;2937
18986;gate-keeper;951;
18987;vege_1;951;
18987;gate-keeper;952;
18988;final-crs_1;951;529
18988;gate-keeper;953;
18989;frui_1;952;
18996;vege_1;953;
19000;final-crs_4;952;1682
19000;final-crs_5;953;693
19014;gate-keeper;954;
19015;vege_1;954;
19025;final-crs_2;954;1153
19303;gate-keeper;965;
19304;gate-keeper;966;
19305;gate-keeper;967;
19311;vege_0;965;
19312;final-crs_10;965;677
19312;vege_1;966;
19321;vege_0;967;
19339;final-crs_7;966;418
19340;final-crs_9;967;1732
19600;gate-keeper;1023;
19601;gate-keeper;1024;
19602;gate-keeper;1025;
19604;vege_0;1023;
19605;vege_1;1024;
19614;vege_0;1025;
19625;final-crs_3;1023;3111
19641;final-crs_1;1024;1220
19678;final-crs_0;1025;123
20031;gate-keeper;1088;
20033;vege_0;1088;
20034;final-crs_5;1088;411
20124;gate-keeper;1093;
20129;vege_0;1093;
20150;final-crs_0;1093;2211
20473;gate-keeper;1109;
20477;vege_0;1109;
20484;final-crs_7;1109;524
20827;gate-keeper;1123;
20828;gate-keeper;1124;
20829;vege_0;1123;
20829;gate-keeper;1125;
20830;gate-keeper;1126;
20831;gate-keeper;1127;
20834;frui_1;1127;
20836;meat_0;1125;
20837;vege_1;1124;
20838;vege_0;1126;
20843;final-crs_10;1123;529
20853;final-crs_9;1127;1026
20856;final-crs_0;1125;2125
20859;final-crs_8;1124;1299
20932;final-crs_4;1126;1000
20997;gate-keeper;1135;
20999;frui_1;1135;
21045;final-crs_1;1135;1651
21146;gate-keeper;1137;
21147;gate-keeper;1138;
21148;gate-keeper;1139;
21149;gate-keeper;1140;
21150;gate-keeper;1141;
21151;gate-keeper;1142;
21152;vege_0;1137;
21158;vege_1;1138;
21162;vege_0;1139;
21169;vege_1;1140;
21172;vege_0;1141;
21176;meat_1;1142;
21181;final-crs_7;1137;2002
21209;final-crs_6;1138;353
21282;final-crs_3;1139;1967
21289;final-crs_5;1140;2185
21296;final-crs_1;1141;483
21296;final-crs_2;1142;1873
21500;gate-keeper;1202;
21504;vege_0;1202;
21527;final-crs_0;1202;3131
21933;gate-keeper;1308;
21936;frui_0;1308;
21986;final-crs_0;1308;2382
22077;gate-keeper;1315;
22078;vege_0;1315;
22097;final-crs_11;1315;1221
22344;gate-keeper;1322;
22345;vege_0;1322;
22345;gate-keeper;1323;
22346;gate-keeper;1324;
22347;gate-keeper;1325;
22348;gate-keeper;1326;
22349;gate-keeper;1327;
22352;vege_1;1323;
22352;meat_0;1324;
22353;vege_0;1325;
22362;vege_1;1326;
22363;vege_0;1327;
22404;final-crs_6;1322;3084
22411;final-crs_4;1323;762
22446;final-crs_0;1324;2527
22465;final-crs_7;1325;1726
22485;final-crs_3;1326;1509
22507;final-crs_8;1327;485
22759;gate-keeper;1348;
22765;frui_0;1348;
22786;final-crs_9;1348;511
22909;gate-keeper;1354;
22910;frui_0;1354;
22910;gate-keeper;1355;
22911;frui_1;1355;
22912;final-crs_4;1354;276
22967;final-crs_1;1355;285
23204;gate-keeper;1369;
23206;frui_0;1369;
23208;final-crs_1;1369;1116
23752;gate-keeper;1439;
23754;frui_0;1439;
23782;final-crs_8;1439;1126
23849;gate-keeper;1443;
23858;vege_0;1443;
23895;final-crs_0;1443;1077
24078;gate-keeper;1452;
24079;gate-keeper;1453;
24080;gate-keeper;1454;
24087;vege_0;1452;
24088;vege_1;1453;
24096;vege_0;1454;
24126;final-crs_0;1452;863
24186;final-crs_1;1453;1286
24189;final-crs_11;1454;3301
24737;gate-keeper;1529;
24738;vege_1;1529;
24755;gate-keeper;1530;
24759;frui_0;1530;
24764;final-crs_4;1529;1918
24769;final-crs_2;1530;1439
25054;gate-keeper;1587;
25058;frui_0;1587;
25061;final-crs_10;1587;2153
25319;gate-keeper;1600;
25325;frui_0;1600;
25373;final-crs_0;1600;800
25482;gate-keeper;1608;
25487;vege_1;1608;
25504;final-crs_2;1608;2939
25624;gate-keeper;1615;
25627;vege_0;1615;
25643;final-crs_7;1615;1014
25932;gate-keeper;1628;
25933;gate-keeper;1629;
25938;vege_0;1628;
25939;vege_1;1629;
25961;final-crs_6;1628;967
25972;final-crs_8;1629;1085
26246;gate-keeper;1685;
