time;ckpt;id;money
303;gate-keeper;0;
304;gate-keeper;1;
305;gate-keeper;2;
310;vege_1;0;
312;vege_0;1;
320;vege_1;2;
437;final-crs_5;0;261
455;final-crs_3;1;2043
459;final-crs_4;2;724
639;gate-keeper;3;
640;gate-keeper;4;
641;vege_1;3;
641;gate-keeper;5;
642;frui_0;5;
642;gate-keeper;6;
647;vege_0;4;
652;vege_1;6;
678;final-crs_6;3;2676
681;final-crs_5;5;870
692;final-crs_4;4;487
714;final-crs_0;6;2306
977;gate-keeper;10;
983;vege_0;10;
993;final-crs_8;10;115
1304;gate-keeper;14;
1308;vege_0;14;
1317;final-crs_10;14;1346
1596;gate-keeper;18;
1597;vege_0;18;
1682;final-crs_2;18;5248
1910;gate-keeper;22;
1928;meat_0;22;
1930;final-crs_2;22;119
2222;gate-keeper;25;
2224;vege_1;25;
2235;final-crs_8;25;2500
2529;gate-keeper;28;
2530;gate-keeper;29;
2531;frui_0;28;
2532;vege_1;29;
2551;final-crs_10;28;509
2557;final-crs_11;29;4330
2868;gate-keeper;33;
2908;meat_1;33;
2910;final-crs_6;33;1151
3158;gate-keeper;35;
3159;gate-keeper;36;
3161;vege_0;35;
3161;frui_1;36;
3171;final-crs_5;35;2430
3177;final-crs_0;36;2998
3774;gate-keeper;44;
3778;vege_1;44;
3795;final-crs_11;44;2248
3818;gate-keeper;45;
3825;vege_0;45;
3848;final-crs_9;45;2764
3967;gate-keeper;46;
3970;vege_1;46;
4022;final-crs_4;46;297
4113;gate-keeper;47;
4114;gate-keeper;48;
4115;frui_0;48;
4120;vege_1;47;
4123;final-crs_8;48;1905
4125;final-crs_2;47;2675
4399;gate-keeper;49;
4400;gate-keeper;50;
4401;gate-keeper;51;
4402;vege_0;49;
4402;gate-keeper;52;
4403;frui_0;51;
4407;vege_1;50;
4407;frui_1;52;
4471;final-crs_4;49;986
4491;final-crs_11;51;1163
4497;final-crs_7;50;111
4508;final-crs_9;52;2395
4710;gate-keeper;54;
4711;frui_1;54;
4711;gate-keeper;55;
4712;gate-keeper;56;
4716;vege_0;55;
4716;vege_1;56;
4738;final-crs_0;54;1011
4742;final-crs_9;55;2738
4744;final-crs_11;56;1272
5001;gate-keeper;57;
5002;gate-keeper;58;
5003;frui_0;58;
5003;gate-keeper;59;
5005;vege_0;57;
5006;meat_1;59;
5007;final-crs_3;58;1712
5013;final-crs_7;57;534
5028;final-crs_5;59;1240
5304;gate-keeper;62;
5305;gate-keeper;63;
5310;vege_0;62;
5313;final-crs_10;62;920
5315;vege_1;63;
5352;final-crs_6;63;814
5597;gate-keeper;66;
5598;gate-keeper;67;
5602;vege_0;67;
5602;frui_1;66;
5629;final-crs_4;67;2648
5631;final-crs_6;66;470
5871;gate-keeper;69;
5872;gate-keeper;70;
5874;vege_1;69;
5877;vege_0;70;
5885;final-crs_6;69;4473
5923;final-crs_11;70;2298
6177;gate-keeper;73;
6181;vege_1;73;
6193;final-crs_9;73;472
6469;gate-keeper;77;
6471;frui_1;77;
6483;final-crs_5;77;1622
7067;gate-keeper;84;
7071;frui_0;84;
7078;final-crs_4;84;1838
7266;gate-keeper;86;
7267;gate-keeper;87;
7272;vege_0;86;
7274;vege_1;87;
7335;final-crs_4;86;303
7343;final-crs_0;87;765
7351;gate-keeper;88;
7356;vege_0;88;
7365;final-crs_3;88;747
7675;gate-keeper;90;
7676;vege_1;90;
7676;gate-keeper;91;
7677;gate-keeper;92;
7678;vege_0;91;
7686;vege_1;92;
7712;final-crs_1;90;1060
7729;final-crs_11;91;3284
7743;final-crs_5;92;2350
8052;gate-keeper;96;
8073;meat_1;96;
8078;final-crs_9;96;459
8399;gate-keeper;98;
8400;gate-keeper;99;
8401;frui_0;99;
8401;gate-keeper;100;
8406;vege_0;98;
8408;final-crs_10;99;2216
8408;vege_1;100;
8471;final-crs_1;98;2306
8487;final-crs_5;100;301
8725;gate-keeper;103;
8726;gate-keeper;104;
8727;gate-keeper;105;
8733;vege_0;103;
8734;vege_1;104;
8743;vege_0;105;
8756;final-crs_6;103;649
8764;final-crs_7;104;324
8774;final-crs_11;105;3516
8895;gate-keeper;106;
8896;gate-keeper;107;
8899;vege_0;106;
8900;vege_1;107;
8932;final-crs_10;106;3037
8935;final-crs_5;107;3269
9023;gate-keeper;109;
9027;vege_1;109;
9037;final-crs_11;109;2662
9360;gate-keeper;113;
9366;vege_1;113;
9371;final-crs_5;113;1843
9674;gate-keeper;116;
9679;vege_0;116;
9720;final-crs_9;116;1638
9866;gate-keeper;117;
9867;vege_0;117;
9867;gate-keeper;118;
9868;gate-keeper;119;
9871;final-crs_5;117;3390
9873;vege_1;118;
9876;vege_0;119;
9898;final-crs_6;118;415
9934;final-crs_7;119;459
10327;gate-keeper;124;
10328;gate-keeper;125;
10329;vege_1;125;
