time;ckpt;id;money
311;gate-keeper;0;
312;vege_0;0;
312;gate-keeper;1;
313;gate-keeper;2;
314;gate-keeper;3;
315;gate-keeper;4;
319;vege_1;2;
323;vege_0;3;
326;vege_1;4;
345;meat_1;1;
431;final-crs_5;0;2060
450;final-crs_1;2;665
466;final-crs_9;3;2853
473;final-crs_6;4;447
474;final-crs_4;1;2779
598;gate-keeper;9;
602;frui_0;9;
673;final-crs_6;9;1121
839;gate-keeper;12;
840;gate-keeper;13;
841;vege_1;12;
861;meat_0;13;
914;final-crs_6;12;643
938;final-crs_1;13;1382
1145;gate-keeper;14;
1146;gate-keeper;15;
1147;vege_1;15;
1147;meat_0;14;
1147;gate-keeper;16;
1148;gate-keeper;17;
1149;gate-keeper;18;
1153;vege_0;18;
1159;final-crs_1;15;1642
1165;meat_1;16;
1171;final-crs_6;14;687
1191;final-crs_11;18;582
1202;final-crs_9;16;898
1205;meat_0;17;
1208;final-crs_4;17;2095
1438;gate-keeper;20;
1439;gate-keeper;21;
1440;gate-keeper;22;
1441;gate-keeper;23;
1442;vege_0;21;
1445;final-crs_9;21;712
1446;vege_1;22;
1451;final-crs_5;22;1608
1451;vege_0;23;
1463;meat_1;20;
1467;final-crs_4;23;1368
1474;final-crs_11;20;597
1651;gate-keeper;25;
1652;vege_0;25;
1652;gate-keeper;26;
1653;frui_1;26;
1660;final-crs_9;25;101
1664;final-crs_5;26;657
1730;gate-keeper;27;
1731;vege_1;27;
1731;gate-keeper;28;
1732;final-crs_4;27;1682
1737;vege_0;28;
1791;final-crs_2;28;507
1980;gate-keeper;30;
1981;gate-keeper;31;
1982;gate-keeper;32;
1988;vege_0;30;
2016;final-crs_10;30;1468
2025;meat_1;31;
2027;final-crs_7;31;481
2044;meat_0;32;
2091;final-crs_8;32;224
2301;gate-keeper;35;
2302;vege_1;35;
2302;gate-keeper;36;
2303;gate-keeper;37;
2311;vege_0;37;
2314;meat_1;36;
2339;final-crs_3;35;4130
2365;final-crs_1;37;3020
2367;final-crs_5;36;532
2455;gate-keeper;40;
2456;vege_1;40;
2468;final-crs_10;40;2069
2535;gate-keeper;41;
2536;gate-keeper;42;
2538;vege_1;41;
2544;vege_0;42;
2571;final-crs_3;41;1093
2597;final-crs_5;42;845
2796;gate-keeper;45;
2797;gate-keeper;46;
2801;vege_1;45;
2802;vege_0;46;
2810;final-crs_3;45;2002
2817;final-crs_1;46;706
3125;gate-keeper;50;
3126;gate-keeper;51;
3131;vege_0;51;
3140;final-crs_6;51;507
3148;meat_0;50;
3181;final-crs_11;50;1193
3365;gate-keeper;55;
3367;vege_1;55;
3374;final-crs_6;55;1434
3431;gate-keeper;56;
3435;vege_0;56;
3449;final-crs_10;56;368
3682;gate-keeper;59;
3683;gate-keeper;60;
3684;gate-keeper;61;
3686;vege_1;59;
3689;final-crs_2;59;424
3690;vege_0;60;
3704;meat_0;61;
3737;final-crs_7;60;1750
3750;final-crs_3;61;347
3956;gate-keeper;65;
3957;gate-keeper;66;
3960;vege_1;66;
3961;final-crs_2;66;61
3984;meat_1;65;
3987;final-crs_5;65;424
4226;gate-keeper;70;
4228;vege_0;70;
4234;final-crs_5;70;2532
4259;gate-keeper;71;
4262;vege_1;71;
4311;final-crs_10;71;1843
4574;gate-keeper;75;
4575;gate-keeper;76;
4578;frui_0;75;
4586;meat_0;76;
4599;final-crs_1;75;693
4640;final-crs_11;76;1944
4890;gate-keeper;80;
4891;gate-keeper;81;
4892;gate-keeper;82;
4893;vege_1;81;
4899;final-crs_11;81;198
4937;meat_0;80;
4942;meat_1;82;
4947;final-crs_9;80;249
4970;final-crs_6;82;1390
5170;gate-keeper;84;
5171;gate-keeper;85;
5172;gate-keeper;86;
5174;vege_1;84;
5182;meat_0;85;
5190;gate-keeper;87;
5192;meat_1;86;
5193;final-crs_10;84;185
5193;vege_1;87;
5209;final-crs_9;85;1098
5218;final-crs_6;86;1939
5220;final-crs_5;87;2895
5484;gate-keeper;90;
5485;gate-keeper;91;
5486;gate-keeper;92;
5491;vege_0;90;
5494;vege_1;91;
5501;vege_0;92;
5513;final-crs_8;90;1618
5555;final-crs_11;91;1513
5558;final-crs_7;92;302
5787;gate-keeper;95;
5788;gate-keeper;96;
5789;gate-keeper;97;
5793;vege_0;96;
5793;meat_0;95;
5825;meat_1;97;
5861;final-crs_4;96;3645
5867;final-crs_0;95;973
5881;final-crs_1;97;477
6024;gate-keeper;101;
6026;vege_0;101;
6032;final-crs_11;101;815
6117;gate-keeper;102;
6123;vege_0;102;
6129;final-crs_3;102;130
6416;gate-keeper;106;
6417;gate-keeper;107;
6420;vege_0;106;
6422;vege_1;107;
6426;final-crs_9;106;2574
6432;final-crs_6;107;1330
6731;gate-keeper;111;
6732;gate-keeper;112;
6733;gate-keeper;113;
6734;vege_0;113;
6734;frui_0;112;
6747;final-crs_4;113;2322
6757;meat_0;111;
6769;final-crs_11;112;1694
6814;final-crs_5;111;696
6878;gate-keeper;115;
6883;meat_1;115;
6884;final-crs_1;115;1308
7074;gate-keeper;118;
7075;vege_1;118;
7078;final-crs_9;118;328
7104;gate-keeper;119;
7107;frui_0;119;
7148;final-crs_1;119;678
7409;gate-keeper;121;
7410;gate-keeper;122;
7411;gate-keeper;123;
7412;meat_1;121;
7412;gate-keeper;124;
7416;final-crs_7;121;2192
7416;vege_0;122;
7417;final-crs_10;122;833
7417;vege_1;123;
7423;final-crs_11;123;150
7426;vege_0;124;
7442;final-crs_4;124;1536
7572;gate-keeper;126;
7573;gate-keeper;127;
7576;vege_0;126;
7579;vege_1;127;
7636;final-crs_5;126;230
7645;final-crs_0;127;1383
7708;gate-keeper;128;
7709;gate-keeper;129;
7712;meat_0;129;
7714;vege_0;128;
7752;final-crs_1;129;231
7795;final-crs_8;128;162
8034;gate-keeper;131;
8035;gate-keeper;132;
8036;vege_1;131;
8036;gate-keeper;133;
8037;frui_1;132;
8037;gate-keeper;134;
8038;gate-keeper;135;
8039;vege_0;134;
8040;meat_0;133;
8053;final-crs_3;131;424
8086;final-crs_7;132;2856
8090;final-crs_10;134;651
8094;meat_1;135;
8146;final-crs_5;133;538
8147;final-crs_9;135;1224
8307;gate-keeper;136;
8308;meat_0;136;
8308;gate-keeper;137;
8309;gate-keeper;138;
8310;vege_0;137;
8310;gate-keeper;139;
8313;frui_0;138;
8314;final-crs_7;136;3176
8321;final-crs_10;137;2319
8326;meat_1;139;
8352;final-crs_3;138;1133
8376;final-crs_9;139;283
8469;gate-keeper;141;
8470;gate-keeper;142;
8472;vege_1;141;
8480;vege_0;142;
8501;final-crs_8;141;936
8586;final-crs_10;142;1766
8611;gate-keeper;143;
8612;gate-keeper;144;
8613;frui_0;143;
8614;vege_1;144;
8662;final-crs_2;143;318
8663;final-crs_5;144;1054
8939;gate-keeper;146;
8940;gate-keeper;147;
8941;gate-keeper;148;
8942;gate-keeper;149;
8943;gate-keeper;150;
8944;vege_0;146;
8946;vege_1;147;
8947;frui_0;150;
8952;vege_0;149;
8972;meat_0;148;
8973;final-crs_0;146;1723
9010;final-crs_8;147;3583
9042;final-crs_7;150;515
9044;final-crs_9;149;858
9094;final-crs_10;148;342
9250;gate-keeper;151;
9251;gate-keeper;152;
9252;gate-keeper;153;
9253;meat_0;152;
9253;gate-keeper;154;
9254;vege_0;151;
9254;gate-keeper;155;
9257;vege_1;153;
9262;final-crs_9;152;1200
9263;vege_0;154;
9267;vege_1;155;
9313;final-crs_3;151;2921
9322;final-crs_7;153;943
9338;gate-keeper;156;
9339;gate-keeper;157;
9346;final-crs_10;154;3832
9358;meat_1;156;
9374;final-crs_1;155;139
9374;final-crs_6;156;3052
9379;meat_0;157;
9413;final-crs_5;157;1567
9490;gate-keeper;158;
9491;gate-keeper;159;
9492;gate-keeper;160;
9497;vege_0;158;
9498;meat_0;159;
9515;final-crs_9;158;2130
9535;meat_1;160;
9549;final-crs_7;159;378
9564;final-crs_10;160;1175
9784;gate-keeper;163;
9785;gate-keeper;164;
9786;vege_1;163;
9786;gate-keeper;165;
9787;final-crs_10;163;367
9791;vege_0;164;
9794;vege_1;165;
9824;final-crs_3;164;4003
9879;final-crs_4;165;3256
10073;gate-keeper;169;
10074;vege_1;169;
10074;gate-keeper;170;
10080;meat_1;170;
10130;final-crs_6;169;750
10143;final-crs_4;170;542
10198;gate-keeper;171;
10199;gate-keeper;172;
10201;vege_0;171;
10211;final-crs_1;171;753
10249;meat_0;172;
10251;final-crs_7;172;1900
10374;gate-keeper;173;
10375;gate-keeper;174;
10376;gate-keeper;175;
10419;meat_0;173;
10425;meat_1;174;
10436;final-crs_2;173;1396
10449;final-crs_8;174;1098
10477;meat_0;175;
10489;final-crs_7;175;3916
10710;gate-keeper;181;
10722;meat_0;181;
10732;final-crs_7;181;2448
11031;gate-keeper;183;
11032;gate-keeper;184;
11033;gate-keeper;185;
11034;frui_0;185;
11034;gate-keeper;186;
11035;gate-keeper;187;
11038;vege_1;183;
11039;vege_0;187;
11043;final-crs_3;185;709
11044;final-crs_10;183;1775
11059;meat_0;184;
11063;meat_1;186;
11069;final-crs_6;187;1632
11110;final-crs_4;184;547
11132;final-crs_11;186;2199
11148;gate-keeper;188;
11189;meat_1;188;
11201;final-crs_2;188;1220
11308;gate-keeper;189;
11309;meat_1;189;
11309;gate-keeper;190;
11310;vege_0;190;
11310;gate-keeper;191;
11323;meat_0;191;
11329;final-crs_11;189;1635
11356;final-crs_4;190;91
11414;final-crs_8;191;2027
11667;gate-keeper;195;
11668;gate-keeper;196;
11669;gate-keeper;197;
11689;meat_1;195;
11714;final-crs_0;195;106
11719;meat_0;196;
11729;final-crs_7;196;2965
11754;meat_1;197;
11766;final-crs_3;197;2964
11995;gate-keeper;200;
11996;gate-keeper;201;
11997;gate-keeper;202;
11998;vege_1;201;
11998;gate-keeper;203;
12005;vege_0;202;
12006;meat_0;200;
12008;vege_1;203;
12029;final-crs_4;201;2975
12054;final-crs_3;202;63
12056;final-crs_6;200;1141
12084;final-crs_11;203;1862
12308;gate-keeper;205;
12309;vege_1;205;
12309;gate-keeper;206;
12310;gate-keeper;207;
12311;gate-keeper;208;
12317;final-crs_3;205;1261
12319;vege_1;208;
12337;final-crs_8;208;1047
12346;meat_1;206;
12362;final-crs_5;206;1716
12368;meat_0;207;
12377;final-crs_9;207;478
12868;gate-keeper;218;
12900;meat_0;218;
12920;final-crs_2;218;164
13449;gate-keeper;225;
13450;gate-keeper;226;
13451;gate-keeper;227;
13452;gate-keeper;228;
13457;vege_1;225;
13458;vege_0;226;
13465;vege_0;227;
13466;vege_1;228;
13484;final-crs_6;225;1771
13493;final-crs_9;226;644
