time;ckpt;id;money
332;gate-keeper;0;
333;gate-keeper;1;
334;vege_1;0;
334;gate-keeper;2;
335;frui_0;1;
335;gate-keeper;3;
337;frui_1;2;
341;meat_0;3;
401;final-crs_1;0;947
404;final-crs_10;1;247
438;final-crs_8;2;1167
441;final-crs_5;3;488
644;gate-keeper;5;
645;gate-keeper;6;
646;gate-keeper;7;
653;vege_0;5;
653;vege_1;6;
654;final-crs_5;5;88
668;final-crs_6;6;1242
697;meat_0;7;
699;final-crs_9;7;437
977;gate-keeper;12;
979;frui_1;12;
995;final-crs_11;12;2394
1209;gate-keeper;13;
1210;gate-keeper;14;
1211;gate-keeper;15;
1214;frui_1;13;
1216;frui_0;14;
1220;vege_0;15;
1227;final-crs_9;13;639
1257;final-crs_11;14;458
1292;final-crs_7;15;1052
1537;gate-keeper;17;
1538;gate-keeper;18;
1539;gate-keeper;19;
1541;vege_1;17;
1542;frui_1;19;
1543;vege_0;18;
1554;final-crs_3;17;78
1591;final-crs_6;19;553
1636;final-crs_2;18;207
1767;gate-keeper;22;
1768;gate-keeper;23;
1769;vege_1;22;
1770;frui_0;23;
1774;final-crs_7;22;248
1780;final-crs_3;23;1223
2065;gate-keeper;26;
2066;gate-keeper;27;
2067;vege_1;26;
2071;frui_0;27;
2077;final-crs_5;26;266
2091;final-crs_6;27;1000
2368;gate-keeper;31;
2372;frui_0;31;
2408;final-crs_10;31;766
2653;gate-keeper;35;
2654;vege_0;35;
2667;final-crs_11;35;329
2984;gate-keeper;39;
2989;frui_0;39;
2990;final-crs_1;39;399
3291;gate-keeper;44;
3294;vege_0;44;
3296;final-crs_6;44;1186
3588;gate-keeper;48;
3594;vege_0;48;
3609;final-crs_10;48;1034
4339;gate-keeper;57;
4340;gate-keeper;58;
4341;frui_0;57;
4353;final-crs_9;57;233
4387;meat_1;58;
4415;gate-keeper;59;
4416;frui_1;59;
4424;final-crs_10;58;618
4425;final-crs_4;59;1072
4845;gate-keeper;63;
4846;gate-keeper;64;
4847;gate-keeper;65;
4850;vege_0;63;
4850;frui_0;65;
4855;final-crs_10;63;1053
4864;final-crs_3;65;854
4868;meat_1;64;
4872;final-crs_11;64;273
5075;gate-keeper;66;
5076;gate-keeper;67;
5077;gate-keeper;68;
5078;frui_0;66;
5078;gate-keeper;69;
5079;vege_1;69;
5080;frui_1;67;
5084;frui_0;68;
5090;final-crs_10;66;295
5095;final-crs_11;69;105
5106;final-crs_4;67;787
5131;final-crs_5;68;1395
5359;gate-keeper;71;
5360;gate-keeper;72;
5361;gate-keeper;73;
5362;vege_1;73;
5364;frui_1;71;
5378;final-crs_8;73;250
5396;meat_1;72;
5413;final-crs_2;71;721
5416;final-crs_7;72;1657
5629;gate-keeper;75;
5630;frui_0;75;
5630;gate-keeper;76;
5632;vege_1;76;
5633;final-crs_7;75;825
5663;final-crs_0;76;171
5839;gate-keeper;79;
5841;frui_0;79;
5858;final-crs_2;79;778
5994;gate-keeper;80;
5995;gate-keeper;81;
5999;frui_1;81;
6000;vege_0;80;
6019;final-crs_5;81;647
6022;final-crs_10;80;125
6134;gate-keeper;83;
6135;frui_1;83;
6142;final-crs_7;83;190
6442;gate-keeper;87;
6489;meat_1;87;
6513;final-crs_11;87;1739
6924;gate-keeper;92;
6925;gate-keeper;93;
6926;frui_0;92;
6926;gate-keeper;94;
6931;frui_1;93;
6933;frui_0;94;
6996;final-crs_4;92;1274
7014;final-crs_11;93;1489
7017;gate-keeper;95;
7022;vege_0;95;
7023;final-crs_5;94;436
7047;final-crs_10;95;592
7315;gate-keeper;99;
7370;meat_0;99;
7370;gate-keeper;100;
7373;final-crs_3;99;815
7375;vege_1;100;
7403;final-crs_9;100;661
7589;gate-keeper;103;
7595;vege_1;103;
7610;final-crs_3;103;504
7723;gate-keeper;104;
7724;gate-keeper;105;
7725;vege_1;105;
7728;final-crs_11;105;187
7752;meat_1;104;
7789;final-crs_0;104;1745
7865;gate-keeper;107;
7867;vege_1;107;
7868;final-crs_1;107;292
8155;gate-keeper;111;
8156;vege_1;111;
8163;final-crs_10;111;177
8620;gate-keeper;118;
8626;frui_1;118;
8658;final-crs_1;118;955
8721;gate-keeper;119;
8726;frui_1;119;
8748;final-crs_7;119;232
8990;gate-keeper;122;
8991;gate-keeper;123;
8995;meat_0;122;
8999;final-crs_0;122;952
9044;meat_1;123;
9058;final-crs_6;123;636
9278;gate-keeper;127;
9279;vege_1;127;
9346;final-crs_8;127;731
9577;gate-keeper;131;
9581;vege_1;131;
9582;final-crs_8;131;1246
9867;gate-keeper;134;
9868;gate-keeper;135;
9875;vege_1;134;
9877;final-crs_5;134;1129
9891;meat_1;135;
9915;final-crs_1;135;1163
10177;gate-keeper;139;
10181;frui_0;139;
10196;final-crs_10;139;1586
10389;gate-keeper;142;
10390;frui_0;142;
10399;final-crs_11;142;463
10735;gate-keeper;146;
10737;vege_0;146;
10740;final-crs_8;146;286
11269;gate-keeper;154;
11271;vege_0;154;
11305;final-crs_0;154;1040
11372;gate-keeper;155;
11374;vege_1;155;
11399;final-crs_8;155;1216
11664;gate-keeper;157;
11665;gate-keeper;158;
11666;vege_0;158;
11666;frui_0;157;
11666;gate-keeper;159;
11669;final-crs_8;158;1055
11692;meat_1;159;
11704;final-crs_6;157;393
11767;final-crs_1;159;919
12205;gate-keeper;165;
12206;gate-keeper;166;
12207;frui_0;166;
12211;vege_0;165;
12212;final-crs_8;166;361
12222;final-crs_1;165;1085
12343;gate-keeper;167;
12344;gate-keeper;168;
12346;frui_1;167;
12357;meat_1;168;
12359;final-crs_5;167;561
12373;final-crs_9;168;996
12581;gate-keeper;170;
12582;gate-keeper;171;
12583;vege_0;171;
12583;gate-keeper;172;
12586;final-crs_1;171;1191
12592;vege_1;172;
12604;final-crs_9;172;1266
12605;meat_0;170;
12617;final-crs_5;170;824
12877;gate-keeper;175;
12878;gate-keeper;176;
12883;vege_1;175;
12889;meat_0;176;
12901;final-crs_11;175;327
12924;final-crs_8;176;85
13092;gate-keeper;177;
13093;frui_0;177;
13093;gate-keeper;178;
13094;gate-keeper;179;
13097;vege_0;178;
13102;vege_1;179;
13105;final-crs_3;177;761
13115;final-crs_1;178;383
13135;final-crs_11;179;630
13224;gate-keeper;181;
13232;vege_1;181;
13238;final-crs_2;181;84
13842;gate-keeper;189;
13845;vege_1;189;
13854;final-crs_9;189;151
14070;gate-keeper;190;
14071;gate-keeper;191;
14072;gate-keeper;192;
14074;vege_0;190;
14075;frui_0;191;
14081;final-crs_8;190;1593
14083;meat_1;192;
14152;final-crs_11;191;766
14153;final-crs_9;192;551
14384;gate-keeper;193;
14385;gate-keeper;194;
14386;gate-keeper;195;
14387;gate-keeper;196;
14388;frui_0;195;
14389;vege_0;193;
14392;vege_1;194;
14399;vege_0;196;
14420;final-crs_9;195;1389
14429;final-crs_1;193;502
14465;final-crs_4;194;667
14483;final-crs_6;196;652
14688;gate-keeper;199;
14689;gate-keeper;200;
14707;meat_1;199;
14714;final-crs_10;199;1165
14724;meat_0;200;
14726;final-crs_6;200;220
14858;gate-keeper;202;
14864;vege_1;202;
14871;final-crs_11;202;1587
14955;gate-keeper;203;
14956;gate-keeper;204;
14959;frui_0;204;
14960;final-crs_5;204;246
14960;vege_0;203;
14984;final-crs_6;203;595
15291;gate-keeper;206;
15292;gate-keeper;207;
15293;gate-keeper;208;
15294;vege_1;206;
15295;final-crs_3;206;338
15312;meat_0;207;
15322;meat_1;208;
15349;final-crs_10;207;133
15359;final-crs_1;208;342
15780;gate-keeper;214;
15781;gate-keeper;215;
15782;frui_0;214;
15786;vege_0;215;
15807;final-crs_9;214;168
15834;final-crs_10;215;273
16546;gate-keeper;225;
16547;gate-keeper;226;
16554;frui_0;226;
16561;final-crs_11;226;283
16566;meat_0;225;
16583;final-crs_9;225;766
16614;gate-keeper;227;
16619;frui_1;227;
16635;final-crs_3;227;1351
16831;gate-keeper;228;
16832;gate-keeper;229;
16833;gate-keeper;230;
16835;vege_0;229;
16836;frui_1;228;
16838;frui_0;230;
16855;final-crs_3;229;2119
16889;final-crs_1;228;803
16923;final-crs_0;230;1594
17448;gate-keeper;239;
17451;vege_1;239;
17470;final-crs_6;239;224
17777;gate-keeper;252;
17778;vege_1;252;
17778;gate-keeper;253;
17779;gate-keeper;254;
17780;frui_1;254;
17780;gate-keeper;255;
17781;meat_1;253;
17781;gate-keeper;256;
17782;frui_0;255;
