time;ckpt;id;money
619;gate-keeper;5;
620;gate-keeper;6;
621;vege_0;5;
621;gate-keeper;7;
622;gate-keeper;8;
623;gate-keeper;9;
624;vege_1;6;
627;frui_0;9;
638;final-crs_9;5;746
659;meat_1;7;
679;final-crs_3;6;904
682;meat_0;8;
684;final-crs_4;9;444
690;final-crs_10;7;442
692;final-crs_6;8;2014
958;gate-keeper;15;
963;frui_1;15;
978;final-crs_11;15;452
1279;gate-keeper;20;
1280;frui_0;20;
1380;final-crs_9;20;198
1581;gate-keeper;24;
1582;gate-keeper;25;
1585;vege_1;24;
1585;frui_0;25;
1595;final-crs_10;24;847
1607;final-crs_1;25;604
1816;gate-keeper;29;
1822;vege_1;29;
1844;final-crs_3;29;877
1876;gate-keeper;30;
1886;meat_0;30;
1899;final-crs_6;30;657
2178;gate-keeper;34;
2179;gate-keeper;35;
2180;vege_0;35;
2186;final-crs_7;35;242
2196;meat_1;34;
2202;final-crs_5;34;1124
2406;gate-keeper;39;
2409;frui_0;39;
2425;final-crs_7;39;1632
2603;gate-keeper;40;
2604;gate-keeper;41;
2605;gate-keeper;42;
2606;vege_0;40;
2606;gate-keeper;43;
2607;final-crs_9;40;328
2607;frui_0;42;
2611;frui_1;43;
2615;meat_1;41;
2631;final-crs_2;42;1133
2651;final-crs_8;43;127
2666;final-crs_11;41;221
3350;gate-keeper;54;
3351;meat_0;54;
3351;gate-keeper;55;
3355;frui_1;55;
3363;final-crs_3;54;723
3368;final-crs_1;55;1346
3644;gate-keeper;60;
3645;vege_0;60;
3670;final-crs_10;60;829
3960;gate-keeper;65;
3966;vege_0;65;
4036;final-crs_0;65;565
4086;gate-keeper;66;
4087;vege_0;66;
4087;gate-keeper;67;
4090;frui_0;67;
4093;final-crs_1;66;1564
4105;final-crs_8;67;842
4306;gate-keeper;70;
4307;gate-keeper;71;
4311;vege_1;71;
4318;final-crs_3;71;651
4351;meat_0;70;
4369;final-crs_7;70;800
4405;gate-keeper;72;
4406;vege_0;72;
4406;gate-keeper;73;
4407;frui_1;73;
4452;final-crs_0;72;862
4461;final-crs_10;73;1589
4619;gate-keeper;76;
4628;vege_0;76;
4635;final-crs_1;76;757
4902;gate-keeper;80;
4903;gate-keeper;81;
4908;vege_1;80;
4910;meat_0;81;
4932;final-crs_10;80;417
4982;final-crs_11;81;1712
5159;gate-keeper;83;
5160;gate-keeper;84;
5161;vege_0;84;
5161;frui_1;83;
5206;gate-keeper;85;
5210;vege_1;85;
5246;final-crs_4;84;1273
5262;final-crs_11;83;1336
5269;final-crs_9;85;603
5579;gate-keeper;92;
