time;ckpt;id;money
644;gate-keeper;18;
650;vege_0;18;
652;final-crs_5;18;452
903;gate-keeper;19;
904;gate-keeper;20;
905;gate-keeper;21;
906;frui_0;19;
906;gate-keeper;22;
907;final-crs_5;19;765
907;gate-keeper;23;
908;gate-keeper;24;
909;frui_1;23;
909;gate-keeper;25;
910;vege_1;20;
911;vege_0;21;
918;final-crs_6;23;191
919;vege_1;22;
920;vege_0;25;
921;final-crs_10;20;425
941;final-crs_3;21;1176
942;meat_1;24;
955;final-crs_7;22;921
971;final-crs_8;25;1255
1008;final-crs_2;24;82
1212;gate-keeper;35;
1215;vege_1;35;
1219;final-crs_8;35;700
1678;gate-keeper;48;
1679;gate-keeper;49;
1682;frui_1;48;
1683;frui_0;49;
1686;final-crs_6;48;1353
1707;final-crs_8;49;313
1879;gate-keeper;55;
1881;vege_0;55;
1883;final-crs_7;55;279
2442;gate-keeper;67;
2443;gate-keeper;68;
2444;gate-keeper;69;
2445;frui_1;67;
2445;gate-keeper;70;
2446;gate-keeper;71;
2447;gate-keeper;72;
2449;frui_0;69;
2451;frui_1;72;
2452;final-crs_4;67;125
2452;vege_1;68;
2454;vege_0;70;
2462;vege_1;71;
2465;final-crs_1;69;1091
2473;final-crs_9;72;1986
2512;final-crs_2;68;696
2545;final-crs_3;70;1624
2561;final-crs_0;71;524
2890;gate-keeper;85;
2891;gate-keeper;86;
2896;frui_0;86;
2906;final-crs_8;86;121
2921;meat_1;85;
2931;final-crs_9;85;168
3357;gate-keeper;99;
3358;frui_0;99;
3369;final-crs_0;99;645
3477;gate-keeper;102;
3478;gate-keeper;103;
3481;vege_1;103;
3506;final-crs_10;103;1528
3518;meat_1;102;
3527;final-crs_3;102;683
4067;gate-keeper;120;
4068;gate-keeper;121;
4076;vege_1;120;
4077;vege_0;121;
4106;final-crs_0;120;485
4133;final-crs_5;121;102
4274;gate-keeper;127;
4275;vege_0;127;
4370;final-crs_5;127;1515
4732;gate-keeper;141;
4736;vege_1;141;
4750;final-crs_6;141;472
5069;gate-keeper;149;
5070;gate-keeper;150;
5071;gate-keeper;151;
5073;frui_0;151;
5087;meat_0;149;
5094;final-crs_8;151;1860
5111;meat_1;150;
5131;gate-keeper;153;
5152;meat_0;153;
5164;final-crs_7;149;1386
5165;final-crs_1;150;628
5168;final-crs_4;153;322
5350;gate-keeper;159;
5351;gate-keeper;160;
5354;vege_0;160;
5354;frui_1;159;
5375;final-crs_10;160;390
