time;ckpt;id;money
845;gate-keeper;26;
851;vege_1;26;
895;final-crs_5;26;141
1207;gate-keeper;36;
1208;gate-keeper;37;
1213;vege_1;36;
1218;meat_1;37;
1222;final-crs_2;36;607
1222;final-crs_4;37;371
1768;gate-keeper;55;
1772;vege_1;55;
1796;final-crs_9;55;1081
2099;gate-keeper;64;
2100;gate-keeper;65;
2101;frui_0;64;
2101;gate-keeper;66;
2102;frui_1;65;
2104;vege_1;66;
2115;final-crs_7;64;640
2134;final-crs_6;65;684
2210;final-crs_2;66;1591
2363;gate-keeper;72;
2364;gate-keeper;73;
2365;gate-keeper;74;
2366;meat_1;73;
2368;vege_0;72;
2371;vege_1;74;
2430;final-crs_4;73;275
2455;final-crs_2;72;1193
2459;final-crs_8;74;98
2649;gate-keeper;83;
2650;frui_0;83;
2706;final-crs_1;83;1387
2726;gate-keeper;85;
2778;meat_0;85;
2806;final-crs_10;85;1116
3266;gate-keeper;103;
3288;meat_0;103;
3362;final-crs_1;103;1289
3540;gate-keeper;110;
3541;vege_0;110;
3541;gate-keeper;111;
3551;vege_0;111;
3640;final-crs_8;110;610
3642;final-crs_4;111;358
3757;gate-keeper;117;
3758;gate-keeper;118;
3759;vege_0;117;
3760;vege_1;118;
3766;final-crs_6;117;1855
3824;gate-keeper;120;
3828;vege_0;120;
3871;final-crs_4;118;388
3884;final-crs_8;120;431
4110;gate-keeper;129;
4113;vege_1;129;
4135;final-crs_8;129;296
4655;gate-keeper;146;
4658;vege_0;146;
4659;final-crs_0;146;1430
4675;gate-keeper;147;
4676;vege_0;147;
4746;final-crs_3;147;851
4991;gate-keeper;156;
4992;gate-keeper;157;
4993;vege_1;156;
4993;gate-keeper;158;
5000;vege_0;157;
5001;vege_1;158;
5058;final-crs_1;156;1289
5072;final-crs_7;157;308
5099;final-crs_8;158;247
5308;gate-keeper;166;
5309;gate-keeper;167;
5310;gate-keeper;168;
5324;meat_1;166;
5326;meat_0;167;
5336;final-crs_8;166;2249
5340;final-crs_4;167;137
5382;meat_0;168;
5392;final-crs_9;168;1017
5558;gate-keeper;176;
5559;gate-keeper;177;
5566;vege_1;177;
5566;meat_0;176;
5575;final-crs_4;177;123
5629;final-crs_2;176;939
5836;gate-keeper;185;
5837;gate-keeper;186;
5841;vege_0;186;
5850;final-crs_0;186;718
5859;meat_0;185;
5898;final-crs_5;185;284
6138;gate-keeper;194;
6139;vege_1;194;
6139;gate-keeper;195;
6140;vege_0;195;
6149;final-crs_5;194;1477
6169;final-crs_10;195;1370
6432;gate-keeper;203;
6433;gate-keeper;204;
6434;gate-keeper;205;
6436;vege_0;203;
6440;vege_1;205;
6443;meat_0;204;
6462;final-crs_3;203;1713
6474;final-crs_7;205;490
6488;final-crs_0;204;447
7078;gate-keeper;226;
7087;vege_0;226;
7103;final-crs_6;226;671
7886;gate-keeper;252;
7887;vege_0;252;
7889;final-crs_7;252;1333
8132;gate-keeper;260;
8133;frui_1;260;
8150;final-crs_7;260;481
9056;gate-keeper;290;
9057;gate-keeper;291;
9058;vege_0;291;
9061;frui_1;290;
9077;final-crs_7;291;686
9081;final-crs_6;290;1408
9371;gate-keeper;300;
9374;vege_0;300;
9379;final-crs_5;300;866
9649;gate-keeper;309;
9650;vege_0;309;
9659;final-crs_9;309;235
9965;gate-keeper;318;
9966;gate-keeper;319;
9968;vege_0;318;
9968;meat_0;319;
9981;final-crs_3;318;1400
10016;final-crs_6;319;438
10270;gate-keeper;328;
10271;gate-keeper;329;
10272;vege_0;328;
10277;vege_1;329;
10279;final-crs_5;328;1365
10296;final-crs_0;329;505
10568;gate-keeper;337;
10569;gate-keeper;338;
10570;gate-keeper;339;
10574;frui_1;339;
10577;meat_1;337;
10580;final-crs_7;339;877
10613;meat_0;338;
10636;final-crs_10;337;794
10690;final-crs_8;338;506
10737;gate-keeper;343;
10738;vege_0;343;
10738;gate-keeper;344;
10745;meat_0;344;
10761;final-crs_5;343;283
10780;final-crs_0;344;1135
10852;gate-keeper;345;
10853;gate-keeper;346;
10854;gate-keeper;347;
10855;gate-keeper;348;
10856;vege_0;346;
10885;meat_1;345;
10889;final-crs_10;346;704
10911;meat_0;347;
10924;final-crs_6;345;244
10933;final-crs_8;347;834
10949;meat_1;348;
10965;final-crs_2;348;426
11080;gate-keeper;353;
11081;vege_1;353;
11081;gate-keeper;354;
11082;gate-keeper;355;
11083;frui_1;355;
11089;vege_0;354;
11141;final-crs_6;353;294
11144;final-crs_10;355;563
11172;final-crs_8;354;676
11367;gate-keeper;364;
11418;meat_1;364;
11427;final-crs_0;364;1636
11686;gate-keeper;371;
11687;vege_1;371;
11687;gate-keeper;372;
11688;gate-keeper;373;
11689;gate-keeper;374;
11692;final-crs_2;371;404
11719;meat_0;372;
11732;final-crs_7;372;373
11734;meat_1;373;
11748;final-crs_1;373;655
11789;meat_0;374;
11829;final-crs_3;374;810
11852;gate-keeper;378;
11853;vege_1;378;
11853;gate-keeper;379;
11854;frui_1;379;
11877;final-crs_0;378;634
11888;final-crs_8;379;457
11960;gate-keeper;381;
11961;gate-keeper;382;
11962;gate-keeper;383;
11963;frui_1;381;
11964;final-crs_7;381;99
11965;meat_1;382;
11966;vege_1;383;
11971;final-crs_5;382;820
11981;final-crs_4;383;830
12557;gate-keeper;400;
12558;gate-keeper;401;
12561;vege_1;400;
12565;vege_0;401;
12609;final-crs_10;400;1615
12615;final-crs_8;401;401
12630;gate-keeper;404;
12639;meat_0;404;
12650;final-crs_6;404;1318
12824;gate-keeper;410;
12825;vege_1;410;
12831;final-crs_8;410;1136
13080;gate-keeper;419;
13084;vege_1;419;
13123;final-crs_6;419;1508
13361;gate-keeper;427;
13362;gate-keeper;428;
13369;meat_1;427;
13370;vege_0;428;
13399;final-crs_1;427;72
13416;final-crs_6;428;1290
13623;gate-keeper;436;
13628;frui_1;436;
13669;final-crs_6;436;1487
14006;gate-keeper;447;
14007;gate-keeper;448;
14009;frui_0;447;
14012;meat_1;448;
14017;final-crs_10;447;193
14018;final-crs_9;448;263
14293;gate-keeper;456;
14294;gate-keeper;457;
14295;vege_0;456;
14307;meat_1;457;
14319;final-crs_8;456;1192
14352;final-crs_1;457;390
14377;gate-keeper;458;
14378;gate-keeper;459;
14383;vege_0;458;
14390;final-crs_6;458;1281
14396;meat_0;459;
14446;final-crs_9;459;1350
14492;gate-keeper;463;
14504;meat_0;463;
14512;final-crs_7;463;1022
15224;gate-keeper;484;
15225;vege_1;484;
15225;gate-keeper;485;
15226;gate-keeper;486;
15227;gate-keeper;487;
15228;final-crs_0;484;626
15228;vege_0;485;
15234;vege_1;486;
15239;vege_0;487;
15248;final-crs_7;485;1953
15276;final-crs_5;486;1038
15283;final-crs_4;487;257
15440;gate-keeper;492;
15441;vege_1;492;
15441;gate-keeper;493;
15442;vege_0;493;
15442;gate-keeper;494;
15449;vege_1;494;
15453;final-crs_8;492;1346
15456;final-crs_3;493;932
15473;final-crs_0;494;1182
15506;gate-keeper;496;
15527;meat_0;496;
15561;final-crs_5;496;1134
15781;gate-keeper;503;
15782;gate-keeper;504;
15783;gate-keeper;505;
15786;meat_1;503;
15788;vege_0;505;
15788;frui_0;504;
15809;final-crs_1;503;1145
15846;final-crs_2;505;489
15849;final-crs_6;504;393
16060;gate-keeper;509;
16061;vege_0;509;
16061;gate-keeper;510;
16062;gate-keeper;511;
16063;meat_0;510;
16063;gate-keeper;512;
16064;gate-keeper;513;
16065;gate-keeper;514;
16069;vege_1;511;
16070;vege_0;512;
16079;vege_0;513;
16086;meat_1;514;
16091;final-crs_3;509;1044
16092;final-crs_9;510;1190
16099;final-crs_1;511;85
16100;final-crs_2;512;1354
16110;final-crs_6;513;1170
16133;final-crs_10;514;1053
16185;gate-keeper;518;
16186;vege_1;518;
16254;final-crs_7;518;1385
16374;gate-keeper;524;
16380;frui_0;524;
16390;final-crs_8;524;1283
16653;gate-keeper;530;
16654;gate-keeper;531;
16655;gate-keeper;532;
16676;meat_1;530;
16710;meat_0;531;
16724;meat_1;532;
16728;final-crs_7;530;1669
16751;final-crs_0;531;962
16770;final-crs_4;532;1083
16940;gate-keeper;539;
16941;gate-keeper;540;
16942;gate-keeper;541;
16945;vege_1;540;
16949;vege_0;541;
16954;meat_1;539;
16966;final-crs_0;540;383
16967;final-crs_7;541;255
17010;final-crs_4;539;143
17224;gate-keeper;550;
17225;gate-keeper;551;
17227;vege_0;551;
17251;meat_1;550;
17256;final-crs_1;551;951
17274;final-crs_5;550;99
17518;gate-keeper;559;
17519;gate-keeper;560;
17520;gate-keeper;561;
17522;vege_0;559;
17527;vege_1;560;
17531;final-crs_1;559;1608
17539;final-crs_3;560;729
17541;meat_1;561;
17557;final-crs_9;561;931
17798;gate-keeper;569;
17799;vege_1;569;
