time;ckpt;id;money
283;gate-keeper;0;
284;gate-keeper;1;
285;gate-keeper;2;
286;gate-keeper;3;
287;frui_0;1;
287;gate-keeper;4;
288;gate-keeper;5;
289;vege_0;0;
289;vege_1;2;
289;gate-keeper;6;
290;final-crs_8;1;1360
290;gate-keeper;7;
291;final-crs_2;0;655
291;gate-keeper;8;
293;frui_0;6;
294;frui_1;7;
297;meat_0;3;
298;vege_0;4;
298;vege_1;5;
301;meat_1;8;
430;final-crs_0;2;658
442;final-crs_6;6;2420
464;final-crs_7;7;2488
477;final-crs_10;3;1052
489;final-crs_5;4;784
494;final-crs_9;5;2573
503;final-crs_8;8;2032
1207;gate-keeper;38;
1208;frui_1;38;
1221;final-crs_5;38;1226
1503;gate-keeper;47;
1504;gate-keeper;48;
1505;frui_1;47;
1506;final-crs_7;47;121
1509;vege_0;48;
1515;final-crs_2;48;1763
2437;gate-keeper;80;
2439;vege_0;80;
2444;final-crs_1;80;718
2693;gate-keeper;89;
2699;vege_1;89;
2710;final-crs_1;89;147
2792;gate-keeper;92;
2796;frui_0;92;
2809;final-crs_6;92;2467
3216;gate-keeper;101;
3217;vege_0;101;
3217;gate-keeper;102;
3218;frui_0;102;
3218;gate-keeper;103;
3219;gate-keeper;104;
3220;gate-keeper;105;
3221;gate-keeper;106;
3222;vege_1;103;
3222;gate-keeper;107;
3223;frui_0;106;
3227;frui_1;107;
3228;vege_0;104;
3232;vege_1;105;
3244;final-crs_4;101;364
3324;final-crs_0;102;631
3328;final-crs_3;103;1235
3341;final-crs_5;106;1088
3341;final-crs_6;107;662
3357;final-crs_9;104;2672
3382;final-crs_8;105;736
3736;gate-keeper;123;
3737;gate-keeper;124;
3738;vege_1;123;
3738;gate-keeper;125;
3739;vege_0;125;
3739;frui_0;124;
3767;final-crs_6;123;2432
3802;final-crs_0;125;799
3803;final-crs_3;124;707
3824;gate-keeper;128;
3825;vege_1;128;
3837;final-crs_5;128;2725
3842;gate-keeper;129;
3846;vege_1;129;
3849;final-crs_10;129;1282
4133;gate-keeper;139;
4134;vege_0;139;
4149;final-crs_7;139;1384
4421;gate-keeper;144;
4422;gate-keeper;145;
4423;gate-keeper;146;
4424;gate-keeper;147;
4425;gate-keeper;148;
4426;gate-keeper;149;
4427;vege_0;145;
4430;vege_1;146;
4436;final-crs_4;145;696
4438;vege_0;147;
4438;vege_1;148;
4446;final-crs_2;146;2544
4447;vege_1;149;
4452;meat_0;144;
4474;gate-keeper;150;
4490;final-crs_5;147;1751
4508;final-crs_0;148;852
4511;meat_1;150;
4517;final-crs_3;149;868
4523;final-crs_6;144;1622
4558;final-crs_9;150;85
4735;gate-keeper;159;
4740;vege_1;159;
4744;final-crs_0;159;1579
5281;gate-keeper;175;
5282;gate-keeper;176;
5283;gate-keeper;177;
5284;vege_1;175;
5284;gate-keeper;178;
5285;frui_0;176;
5288;vege_0;177;
5311;meat_0;178;
5313;final-crs_9;175;1562
5321;gate-keeper;179;
5327;vege_0;179;
5334;final-crs_10;176;166
5366;final-crs_8;177;432
5369;final-crs_7;178;1610
5384;final-crs_1;179;865
6221;gate-keeper;209;
6225;frui_0;209;
6277;final-crs_1;209;1735
6430;gate-keeper;216;
6431;gate-keeper;217;
6435;vege_0;216;
6437;final-crs_5;216;255
6439;vege_1;217;
6457;final-crs_3;217;1851
6536;gate-keeper;219;
6537;gate-keeper;220;
6538;gate-keeper;221;
6540;vege_0;219;
6542;frui_0;221;
6543;vege_1;220;
6556;final-crs_6;219;3213
6569;final-crs_10;221;1172
6608;final-crs_2;220;856
6791;gate-keeper;230;
6796;vege_0;230;
6797;final-crs_10;230;2393
7081;gate-keeper;240;
7084;vege_0;240;
7102;final-crs_8;240;1295
7309;gate-keeper;246;
7310;gate-keeper;247;
7312;vege_1;247;
7315;final-crs_5;247;975
7322;meat_0;246;
7328;gate-keeper;248;
7333;vege_1;248;
7349;final-crs_0;246;772
7360;final-crs_8;248;2282
7387;gate-keeper;250;
7389;vege_1;250;
7403;final-crs_2;250;674
7712;gate-keeper;260;
7713;gate-keeper;261;
7717;frui_1;260;
7718;final-crs_1;260;453
7750;meat_0;261;
7753;final-crs_0;261;1654
7998;gate-keeper;270;
8001;frui_1;270;
8006;final-crs_5;270;678
8320;gate-keeper;281;
8323;vege_0;281;
8339;final-crs_3;281;390
8930;gate-keeper;302;
8934;frui_0;302;
8956;final-crs_5;302;712
9118;gate-keeper;308;
9156;meat_0;308;
9165;final-crs_0;308;781
9245;gate-keeper;309;
9246;gate-keeper;310;
9247;gate-keeper;311;
9248;gate-keeper;312;
9252;vege_1;309;
9254;vege_0;310;
9256;final-crs_10;309;615
9259;final-crs_3;310;1765
9263;vege_1;311;
9264;final-crs_6;311;504
9265;vege_0;312;
9310;final-crs_8;312;89
9506;gate-keeper;321;
9510;vege_0;321;
9516;final-crs_6;321;2744
10082;gate-keeper;340;
10083;gate-keeper;341;
10084;vege_1;341;
10110;meat_1;340;
10134;final-crs_0;341;830
10141;final-crs_2;340;3187
10741;gate-keeper;362;
10742;gate-keeper;363;
10743;gate-keeper;364;
10747;vege_0;362;
10749;vege_1;363;
10757;vege_0;364;
10766;final-crs_6;362;1342
10773;gate-keeper;365;
10777;frui_1;365;
10802;final-crs_1;363;3154
10811;final-crs_4;364;909
10816;final-crs_2;365;1948
10908;gate-keeper;366;
10909;gate-keeper;367;
10910;vege_0;367;
10910;gate-keeper;368;
10911;frui_0;366;
10911;gate-keeper;369;
10914;frui_1;369;
10917;vege_1;368;
10926;final-crs_5;367;1730
10931;final-crs_7;366;1587
10967;final-crs_8;369;721
11001;gate-keeper;373;
11004;final-crs_6;368;302
11008;vege_1;373;
11021;final-crs_4;373;2121
11659;gate-keeper;395;
11663;vege_1;395;
11667;final-crs_7;395;360
11810;gate-keeper;396;
11811;gate-keeper;397;
11812;vege_1;396;
11812;gate-keeper;398;
11813;vege_0;397;
11813;gate-keeper;399;
11814;frui_1;398;
11814;gate-keeper;400;
11821;vege_1;399;
11822;vege_0;400;
11829;final-crs_3;396;3079
11867;final-crs_0;397;1266
11890;final-crs_5;398;306
11893;final-crs_8;399;1800
11913;final-crs_10;400;2420
11983;gate-keeper;405;
11990;vege_0;405;
11993;final-crs_1;405;1867
12258;gate-keeper;414;
12263;vege_1;414;
12294;final-crs_2;414;1298
12544;gate-keeper;424;
12545;vege_1;424;
12565;final-crs_3;424;1312
12865;gate-keeper;433;
12866;gate-keeper;434;
12867;gate-keeper;435;
12870;vege_0;433;
12870;vege_1;434;
12879;vege_0;435;
12918;final-crs_6;433;1049
12920;final-crs_1;434;2521
12923;final-crs_5;435;1886
12925;gate-keeper;436;
12926;gate-keeper;437;
12927;vege_1;436;
12930;vege_0;437;
12933;final-crs_2;436;1054
12996;final-crs_9;437;1874
13384;gate-keeper;451;
13385;gate-keeper;452;
13389;vege_1;451;
13390;final-crs_1;451;1516
13392;vege_0;452;
13418;final-crs_6;452;1532
13709;gate-keeper;463;
13717;vege_1;463;
13732;final-crs_10;463;659
14277;gate-keeper;482;
14278;frui_0;482;
14314;final-crs_8;482;100
14620;gate-keeper;493;
14622;vege_1;493;
14626;final-crs_5;493;103
14823;gate-keeper;500;
14830;vege_1;500;
14851;final-crs_0;500;2098
15426;gate-keeper;521;
15447;meat_1;521;
15465;gate-keeper;522;
15469;vege_0;522;
15476;final-crs_4;521;2995
15479;final-crs_8;522;1798
15743;gate-keeper;532;
15749;vege_1;532;
15760;final-crs_0;532;315
16392;gate-keeper;582;
16393;gate-keeper;583;
16394;frui_0;583;
16397;vege_1;582;
16422;final-crs_2;583;1822
16438;final-crs_4;582;975
16706;gate-keeper;594;
16717;meat_1;594;
16742;final-crs_6;594;1930
16994;gate-keeper;601;
16995;gate-keeper;602;
16996;gate-keeper;603;
16998;vege_1;601;
16998;frui_0;603;
17001;final-crs_7;601;1383
17009;final-crs_0;603;989
17040;meat_0;602;
17045;final-crs_1;602;1225
17235;gate-keeper;610;
17236;gate-keeper;611;
17238;meat_1;611;
17239;vege_0;610;
17268;final-crs_9;611;1407
17278;final-crs_3;610;83
17297;gate-keeper;612;
17298;gate-keeper;613;
17300;vege_0;612;
17303;vege_1;613;
17311;final-crs_8;612;1138
17316;final-crs_1;613;2203
17541;gate-keeper;619;
17542;gate-keeper;620;
17543;gate-keeper;621;
17544;frui_0;620;
17545;final-crs_8;620;880
17546;vege_1;621;
17553;final-crs_1;621;1200
17583;meat_0;619;
17601;final-crs_2;619;2367
17841;gate-keeper;631;
17843;frui_1;631;
17847;final-crs_2;631;701
17848;gate-keeper;632;
17850;frui_1;632;
17890;final-crs_4;632;297
18303;gate-keeper;647;
18359;meat_0;647;
18384;final-crs_4;647;236
18467;gate-keeper;652;
18468;vege_0;652;
18475;final-crs_6;652;422
18775;gate-keeper;660;
18776;gate-keeper;661;
18777;gate-keeper;662;
18778;gate-keeper;663;
18779;vege_0;663;
18781;frui_0;662;
18812;final-crs_2;663;1859
18812;final-crs_10;662;1025
