time;ckpt;id;money
609;gate-keeper;19;
615;vege_0;19;
677;final-crs_8;19;705
939;gate-keeper;30;
943;vege_1;30;
953;final-crs_5;30;1013
1149;gate-keeper;37;
1151;vege_1;37;
1168;final-crs_5;37;327
1750;gate-keeper;52;
1751;frui_0;52;
1751;gate-keeper;53;
1752;gate-keeper;54;
1753;vege_1;53;
1753;gate-keeper;55;
1754;gate-keeper;56;
1755;gate-keeper;57;
1756;frui_1;55;
1759;vege_0;54;
1761;vege_1;56;
1764;final-crs_9;52;3443
1769;vege_0;57;
1783;final-crs_1;53;850
1811;final-crs_8;55;748
1858;final-crs_2;54;3606
1870;final-crs_0;56;1368
1900;final-crs_4;57;555
2412;gate-keeper;79;
2413;frui_0;79;
2420;final-crs_6;79;408
2557;gate-keeper;81;
2558;gate-keeper;82;
2559;gate-keeper;83;
2560;gate-keeper;84;
2561;frui_0;84;
2563;vege_0;81;
2563;vege_1;82;
2567;final-crs_3;84;1388
2572;final-crs_7;81;1068
2573;vege_0;83;
2612;final-crs_0;82;370
2626;final-crs_2;83;1238
3024;gate-keeper;99;
3025;gate-keeper;100;
3026;vege_0;100;
3027;frui_1;99;
3042;final-crs_0;100;97
3064;final-crs_1;99;2172
3331;gate-keeper;110;
3332;gate-keeper;111;
3338;vege_0;111;
3347;meat_0;110;
3376;final-crs_6;111;2533
3398;gate-keeper;112;
3399;frui_1;112;
3399;gate-keeper;113;
3401;frui_0;113;
3425;final-crs_8;110;783
3441;final-crs_2;112;2794
3441;final-crs_10;113;2150
3666;gate-keeper;122;
3667;frui_0;122;
3672;final-crs_4;122;1067
3960;gate-keeper;132;
3961;gate-keeper;133;
3964;vege_0;133;
3971;meat_1;132;
3983;final-crs_10;133;2169
3986;final-crs_0;132;691
4260;gate-keeper;141;
4261;gate-keeper;142;
4262;frui_1;142;
4262;gate-keeper;143;
4264;frui_0;143;
4266;vege_1;141;
4288;final-crs_7;142;744
4306;final-crs_6;143;1633
4329;final-crs_1;141;1904
4544;gate-keeper;151;
4545;gate-keeper;152;
4546;gate-keeper;153;
4550;frui_1;153;
4552;final-crs_6;153;855
4553;vege_1;151;
4556;vege_0;152;
4622;final-crs_5;151;504
4623;final-crs_0;152;1364
4839;gate-keeper;161;
4840;gate-keeper;162;
4846;vege_0;161;
4849;final-crs_5;161;1704
4855;meat_1;162;
4879;final-crs_0;162;1729
4950;gate-keeper;163;
4951;gate-keeper;164;
4952;vege_0;163;
4952;gate-keeper;165;
4953;gate-keeper;166;
4956;frui_0;165;
4959;vege_1;164;
4962;vege_0;166;
4980;final-crs_3;163;1762
4993;final-crs_2;165;833
5041;final-crs_6;164;1134
5043;final-crs_8;166;2635
5510;gate-keeper;184;
5511;gate-keeper;185;
5512;vege_1;184;
5516;final-crs_2;184;828
5517;vege_0;185;
5539;final-crs_1;185;212
5831;gate-keeper;193;
5832;gate-keeper;194;
5833;gate-keeper;195;
5834;gate-keeper;196;
5836;frui_0;193;
5836;frui_1;194;
5838;vege_1;195;
5867;meat_0;196;
5893;final-crs_9;193;1241
5912;final-crs_10;194;1511
5931;gate-keeper;200;
5934;vege_0;200;
5939;final-crs_3;195;480
5950;final-crs_2;196;1251
5977;final-crs_6;200;2586
6101;gate-keeper;202;
6102;gate-keeper;203;
6103;gate-keeper;204;
6104;gate-keeper;205;
6106;vege_1;202;
6107;vege_0;203;
6115;vege_1;204;
6116;vege_0;205;
6119;final-crs_9;202;644
6170;final-crs_3;203;519
6178;final-crs_10;204;3000
6204;final-crs_4;205;258
6376;gate-keeper;214;
6377;gate-keeper;215;
6380;vege_0;215;
6380;frui_1;214;
6381;final-crs_9;215;255
6391;final-crs_3;214;2322
6690;gate-keeper;224;
6691;gate-keeper;225;
6692;gate-keeper;226;
6697;vege_1;224;
6698;vege_0;225;
6706;vege_1;226;
6708;final-crs_4;224;1120
6723;final-crs_7;225;837
6753;final-crs_6;226;1936
6919;gate-keeper;231;
6920;gate-keeper;232;
6921;gate-keeper;233;
6922;gate-keeper;234;
6924;vege_0;231;
6925;vege_1;232;
6931;vege_0;233;
6935;vege_1;234;
6938;final-crs_6;231;634
6965;final-crs_4;232;531
6968;final-crs_1;233;1898
6983;final-crs_0;234;2978
7235;gate-keeper;244;
7236;vege_0;244;
7236;gate-keeper;245;
7240;vege_1;245;
7247;final-crs_8;244;2131
7260;final-crs_7;245;962
7346;gate-keeper;249;
7347;frui_0;249;
7393;final-crs_4;249;4130
7593;gate-keeper;256;
7596;vege_1;256;
7600;final-crs_3;256;629
7625;gate-keeper;257;
7626;gate-keeper;258;
7627;vege_1;258;
7631;meat_1;257;
7635;final-crs_4;258;1891
7648;final-crs_8;257;1692
7938;gate-keeper;266;
7939;gate-keeper;267;
7940;gate-keeper;268;
7943;frui_1;266;
7944;vege_1;267;
7950;meat_0;268;
7964;final-crs_1;266;743
7980;final-crs_7;267;214
8014;final-crs_2;268;1111
8247;gate-keeper;276;
8248;vege_0;276;
8248;gate-keeper;277;
8249;gate-keeper;278;
8250;gate-keeper;279;
8252;final-crs_10;276;653
8255;vege_1;277;
8257;vege_0;278;
8261;final-crs_7;277;799
8266;vege_1;279;
8276;final-crs_9;278;2686
8282;final-crs_5;279;950
8508;gate-keeper;285;
8509;gate-keeper;286;
8510;vege_0;285;
8510;gate-keeper;287;
8511;meat_0;287;
8511;gate-keeper;288;
8512;final-crs_8;285;2052
8512;frui_1;288;
8513;final-crs_9;287;1080
8515;vege_1;286;
8540;final-crs_10;288;83
8554;final-crs_5;286;714
8816;gate-keeper;294;
8817;gate-keeper;295;
8818;gate-keeper;296;
8819;gate-keeper;297;
8820;gate-keeper;298;
8821;vege_1;294;
8825;vege_0;295;
8826;meat_0;297;
8830;vege_1;296;
8834;vege_0;298;
8846;final-crs_6;294;346
8866;final-crs_0;295;2422
8866;final-crs_3;297;1109
8917;final-crs_2;296;1415
8942;final-crs_7;298;618
9102;gate-keeper;306;
9103;gate-keeper;307;
9104;vege_1;306;
9110;vege_0;307;
9111;final-crs_3;306;130
9145;final-crs_2;307;1088
9395;gate-keeper;314;
9396;gate-keeper;315;
9397;gate-keeper;316;
9398;gate-keeper;317;
9400;frui_1;315;
9404;vege_1;314;
9407;vege_0;316;
9416;vege_1;317;
9426;final-crs_1;315;265
9432;final-crs_9;314;1032
9466;final-crs_4;316;1690
9483;final-crs_8;317;2414
9607;gate-keeper;324;
9611;vege_0;324;
9626;final-crs_5;324;238
9732;gate-keeper;325;
9733;vege_1;325;
9733;gate-keeper;326;
9734;gate-keeper;327;
9735;gate-keeper;328;
9736;gate-keeper;329;
9737;frui_1;328;
9740;vege_0;326;
9740;frui_0;329;
9742;vege_1;327;
9750;final-crs_10;325;523
9761;final-crs_0;328;1953
9789;final-crs_3;326;549
9803;final-crs_6;329;2709
9838;final-crs_7;327;228
10015;gate-keeper;335;
10016;gate-keeper;336;
10017;gate-keeper;337;
10018;vege_1;336;
10018;gate-keeper;338;
10019;gate-keeper;339;
10020;frui_0;335;
10022;frui_1;337;
10024;vege_0;339;
10026;final-crs_3;336;539
10028;meat_0;338;
10031;final-crs_6;335;181
10082;final-crs_7;337;1505
10099;final-crs_2;339;2199
10144;final-crs_8;338;289
10291;gate-keeper;345;
10292;gate-keeper;346;
10293;vege_0;346;
10293;gate-keeper;347;
10294;gate-keeper;348;
10302;vege_0;347;
10302;vege_1;348;
10310;meat_1;345;
10324;final-crs_2;346;2489
10353;final-crs_7;347;1809
10389;final-crs_8;348;867
10399;final-crs_9;345;1566
10476;gate-keeper;354;
10477;gate-keeper;355;
10478;vege_0;354;
10478;vege_1;355;
10507;final-crs_0;354;1488
10525;final-crs_2;355;2729
10660;gate-keeper;356;
10661;gate-keeper;357;
10662;vege_1;356;
10662;gate-keeper;358;
10663;gate-keeper;359;
10664;gate-keeper;360;
10665;gate-keeper;361;
10666;frui_0;357;
10667;frui_1;361;
10669;vege_0;358;
10673;vege_1;360;
10677;meat_1;359;
10689;final-crs_4;356;1722
10730;final-crs_10;357;1145
10742;final-crs_3;361;2107
10757;final-crs_2;358;1340
10791;final-crs_0;360;1491
10793;final-crs_6;359;1613
10954;gate-keeper;370;
10955;gate-keeper;371;
10960;vege_1;370;
10962;vege_0;371;
10976;gate-keeper;372;
10977;final-crs_10;370;537
10979;frui_0;372;
11009;final-crs_2;371;1970
11025;final-crs_6;372;2148
11254;gate-keeper;378;
11255;gate-keeper;379;
11256;vege_0;379;
11256;gate-keeper;380;
11257;gate-keeper;381;
11259;frui_0;378;
11260;frui_1;380;
11266;frui_0;381;
11301;final-crs_6;379;1519
11312;final-crs_8;378;1537
11341;final-crs_7;380;234
11352;final-crs_9;381;2229
11538;gate-keeper;385;
11539;gate-keeper;386;
11540;gate-keeper;387;
11541;frui_1;387;
11541;gate-keeper;388;
11542;vege_1;385;
11542;gate-keeper;389;
11543;gate-keeper;390;
11544;vege_0;386;
11544;gate-keeper;391;
11546;frui_0;388;
11548;frui_1;391;
11551;vege_1;389;
11555;vege_0;390;
11566;final-crs_9;387;1776
11575;final-crs_8;385;1618
11614;final-crs_7;386;1445
11639;final-crs_1;388;343
11645;final-crs_5;391;2557
11654;final-crs_10;389;684
11655;final-crs_4;390;650
12087;gate-keeper;406;
12088;vege_0;406;
12088;gate-keeper;407;
12089;gate-keeper;408;
12091;final-crs_10;406;407
12095;vege_1;407;
12098;vege_0;408;
12105;final-crs_5;407;1738
12109;gate-keeper;409;
12112;vege_1;409;
12148;final-crs_7;408;273
12156;final-crs_2;409;1365
12439;gate-keeper;415;
12440;gate-keeper;416;
12441;gate-keeper;417;
12442;frui_1;416;
12442;gate-keeper;418;
12443;gate-keeper;419;
12444;vege_0;417;
12444;meat_1;415;
12444;gate-keeper;420;
12449;vege_1;418;
12449;frui_1;419;
12454;vege_0;420;
12517;final-crs_8;416;255
12578;final-crs_10;417;3980
12619;final-crs_5;415;2604
12625;final-crs_9;418;2870
12629;final-crs_6;419;316
12638;final-crs_4;420;141
12989;gate-keeper;438;
12990;gate-keeper;439;
12992;vege_1;438;
12993;vege_0;439;
13018;final-crs_6;438;456
13080;final-crs_10;439;136
13247;gate-keeper;444;
13248;gate-keeper;445;
13249;gate-keeper;446;
13250;frui_0;446;
13250;gate-keeper;447;
13252;vege_1;444;
13256;final-crs_6;446;914
13256;vege_0;445;
13262;vege_1;447;
13308;final-crs_10;444;363
13324;final-crs_9;445;1581
13332;final-crs_5;447;1423
13552;gate-keeper;456;
13553;gate-keeper;457;
13554;gate-keeper;458;
13555;vege_0;456;
13555;vege_1;457;
13564;vege_0;458;
13571;final-crs_5;456;243
13578;final-crs_3;457;729
13611;final-crs_0;458;613
13922;gate-keeper;464;
13923;frui_1;464;
13923;gate-keeper;465;
13924;gate-keeper;466;
13925;gate-keeper;467;
13926;gate-keeper;468;
13927;gate-keeper;469;
13928;gate-keeper;470;
13929;frui_1;468;
13931;vege_0;465;
13932;final-crs_4;464;150
13933;vege_1;466;
13938;meat_1;469;
13940;vege_0;467;
13942;vege_1;470;
13947;final-crs_1;468;976
13999;final-crs_8;465;1676
14001;final-crs_6;466;1628
14018;final-crs_10;469;1081
14041;final-crs_0;467;1348
14070;final-crs_3;470;1806
14206;gate-keeper;475;
14207;gate-keeper;476;
14208;gate-keeper;477;
14209;frui_0;475;
14209;gate-keeper;478;
14210;gate-keeper;479;
14211;gate-keeper;480;
14213;frui_1;477;
14217;vege_1;478;
14218;vege_0;479;
14236;meat_1;476;
14252;final-crs_8;475;1230
14260;meat_0;480;
14267;final-crs_6;477;713
14273;final-crs_10;478;760
14288;final-crs_0;479;164
14336;final-crs_5;476;262
14339;final-crs_2;480;964
14540;gate-keeper;490;
14541;gate-keeper;491;
14543;frui_0;490;
14559;meat_0;491;
14571;final-crs_0;490;3162
14584;final-crs_2;491;1116
14703;gate-keeper;494;
14704;vege_0;494;
14704;gate-keeper;495;
14705;gate-keeper;496;
14712;vege_0;495;
14713;final-crs_10;494;2009
14713;vege_1;496;
14724;final-crs_1;495;311
14727;final-crs_8;496;834
14756;gate-keeper;497;
14757;vege_1;497;
14757;gate-keeper;498;
14758;vege_0;498;
14776;final-crs_6;497;1765
14810;final-crs_0;498;1663
16046;gate-keeper;572;
16051;frui_0;572;
16071;final-crs_7;572;500
16635;gate-keeper;591;
16640;vege_0;591;
16655;final-crs_8;591;886
16902;gate-keeper;598;
16903;gate-keeper;599;
16904;vege_0;598;
16904;gate-keeper;600;
16906;frui_0;599;
16908;vege_1;600;
16925;final-crs_1;598;178
16930;final-crs_3;599;979
16938;final-crs_7;600;1598
17149;gate-keeper;604;
17150;gate-keeper;605;
17151;gate-keeper;606;
17152;frui_1;604;
17152;gate-keeper;607;
17153;frui_0;606;
17153;gate-keeper;608;
17156;vege_1;605;
17157;final-crs_5;604;921
17158;vege_0;608;
17159;frui_1;607;
17162;final-crs_3;606;2423
17199;final-crs_1;605;2458
17256;final-crs_10;608;1164
17287;final-crs_6;607;2230
17775;gate-keeper;628;
17776;gate-keeper;629;
17777;frui_1;629;
17785;meat_0;628;
17787;final-crs_9;629;1230
17791;final-crs_2;628;1835
17971;gate-keeper;633;
17972;gate-keeper;634;
17973;vege_1;633;
17973;gate-keeper;635;
17976;vege_0;634;
17981;vege_1;635;
18007;final-crs_4;633;129
18027;final-crs_2;634;1755
18057;final-crs_0;635;145
18104;gate-keeper;639;
18105;gate-keeper;640;
18106;vege_0;639;
18108;frui_0;640;
18200;final-crs_10;639;1331
18201;final-crs_1;640;126
18367;gate-keeper;648;
18368;gate-keeper;649;
18370;vege_0;648;
18372;vege_1;649;
18424;final-crs_1;648;2804
18447;final-crs_10;649;773
18676;gate-keeper;659;
18680;vege_0;659;
18682;final-crs_10;659;2153
18931;gate-keeper;667;
18932;gate-keeper;668;
18933;gate-keeper;669;
18934;gate-keeper;670;
18935;vege_1;667;
18935;gate-keeper;671;
18936;gate-keeper;672;
18937;vege_0;668;
18937;gate-keeper;673;
18938;gate-keeper;674;
18939;frui_0;672;
18939;gate-keeper;675;
18940;gate-keeper;676;
18941;frui_1;675;
18941;gate-keeper;677;
18942;gate-keeper;678;
18943;gate-keeper;679;
18944;gate-keeper;680;
18945;vege_1;669;
18945;gate-keeper;681;
18946;frui_0;676;
18946;gate-keeper;682;
18947;final-crs_9;667;1381
18947;vege_0;670;
18947;frui_1;680;
18947;gate-keeper;683;
18948;gate-keeper;684;
18949;gate-keeper;685;
18950;gate-keeper;686;
18951;gate-keeper;687;
18952;gate-keeper;688;
18953;gate-keeper;689;
18954;gate-keeper;690;
18955;vege_1;671;
18955;gate-keeper;691;
18956;gate-keeper;692;
18957;vege_0;673;
18957;gate-keeper;693;
18958;frui_0;690;
18958;gate-keeper;694;
18959;gate-keeper;695;
18960;gate-keeper;696;
18961;final-crs_10;668;1107
18961;gate-keeper;697;
18962;gate-keeper;698;
18963;meat_0;678;
18964;vege_1;674;
18964;frui_0;695;
18966;frui_1;698;
18968;vege_0;677;
18974;vege_1;681;
18977;vege_0;682;
18983;vege_1;683;
18987;vege_0;684;
18989;final-crs_0;672;1296
18992;vege_1;685;
18995;meat_1;679;
18996;vege_0;686;
19003;vege_1;689;
19005;vege_0;691;
19011;vege_1;693;
19015;vege_0;696;
19021;meat_0;687;
19022;vege_1;697;
19025;final-crs_2;675;1251
19029;final-crs_8;669;542
19051;meat_1;688;
19053;final-crs_3;676;562
19085;final-crs_7;670;3375
19090;meat_0;692;
19113;meat_1;694;
19119;final-crs_1;680;1027
19119;final-crs_5;671;3531
19131;final-crs_6;673;801
19138;final-crs_4;690;2199
19160;final-crs_10;678;390
19207;final-crs_9;674;645
19215;gate-keeper;706;
19216;gate-keeper;707;
19217;gate-keeper;708;
19218;gate-keeper;709;
19219;vege_0;706;
19219;gate-keeper;710;
19220;gate-keeper;711;
19221;vege_1;707;
19221;frui_0;711;
19221;gate-keeper;712;
19222;gate-keeper;713;
19223;gate-keeper;714;
19224;gate-keeper;715;
19225;gate-keeper;716;
19226;gate-keeper;717;
19227;frui_0;714;
19227;gate-keeper;718;
19228;gate-keeper;719;
19229;vege_0;708;
19229;gate-keeper;720;
19230;vege_1;709;
19230;gate-keeper;721;
19231;gate-keeper;722;
19232;frui_1;718;
19232;gate-keeper;723;
19233;frui_0;719;
19233;gate-keeper;724;
19234;gate-keeper;725;
19235;gate-keeper;726;
19236;gate-keeper;727;
19237;gate-keeper;728;
19238;vege_1;710;
19238;gate-keeper;729;
19239;frui_1;728;
19239;meat_1;713;
19239;gate-keeper;730;
19240;vege_0;712;
19240;gate-keeper;731;
19241;gate-keeper;732;
19242;gate-keeper;733;
19243;gate-keeper;734;
19244;final-crs_0;695;801
19248;vege_1;715;
19251;vege_0;716;
19256;vege_1;717;
19262;vege_0;720;
19263;vege_1;721;
19269;final-crs_2;698;1845
19272;final-crs_8;677;1133
19272;vege_0;722;
19273;vege_1;723;
19273;meat_0;732;
19282;vege_0;724;
19283;vege_1;725;
19288;final-crs_3;681;1730
19291;vege_0;726;
19292;vege_1;727;
19301;vege_0;729;
19301;vege_1;730;
19311;vege_0;731;
19311;vege_1;733;
19321;vege_0;734;
19333;final-crs_7;682;1873
19362;final-crs_5;683;894
19369;final-crs_1;684;563
19387;final-crs_4;685;2206
19396;final-crs_6;679;270
19397;final-crs_10;686;1416
19411;final-crs_9;689;80
19472;final-crs_2;691;2378
19498;final-crs_0;693;1467
19508;gate-keeper;745;
19509;gate-keeper;746;
19510;frui_1;746;
19510;gate-keeper;747;
19512;vege_1;745;
19515;vege_0;747;
19531;final-crs_3;696;1494
19544;final-crs_8;687;2046
19585;final-crs_7;697;1357
19589;final-crs_1;688;2521
19613;final-crs_5;692;348
19613;final-crs_10;694;1184
19633;final-crs_4;706;455
19668;final-crs_9;707;433
19670;final-crs_6;711;2539
19679;final-crs_2;714;1609
19763;final-crs_0;708;149
19764;final-crs_8;709;2192
19781;gate-keeper;782;
19782;vege_1;782;
19782;gate-keeper;783;
19783;gate-keeper;784;
19784;frui_0;783;
19784;gate-keeper;785;
19785;gate-keeper;786;
19790;vege_0;784;
19791;vege_1;785;
19799;vege_0;786;
19806;final-crs_3;718;347
19826;final-crs_5;719;175
19826;final-crs_7;710;108
19841;final-crs_10;728;311
19844;final-crs_1;713;2286
19865;final-crs_6;712;1990
19892;final-crs_9;715;1347
19903;final-crs_4;716;1072
19911;gate-keeper;787;
19912;gate-keeper;788;
19913;gate-keeper;789;
19914;vege_1;787;
19914;gate-keeper;790;
19915;meat_0;788;
19915;gate-keeper;791;
19920;final-crs_2;717;1245
19920;vege_0;789;
19924;vege_1;790;
19934;meat_1;791;
19982;final-crs_8;720;992
20004;final-crs_0;721;1223
20051;gate-keeper;794;
20052;gate-keeper;795;
20053;gate-keeper;796;
20054;meat_1;794;
20057;frui_0;795;
20058;final-crs_10;722;3072
20061;vege_1;796;
20064;final-crs_3;723;1186
20068;final-crs_6;732;2633
20081;final-crs_7;724;1014
20093;final-crs_1;725;1066
20099;final-crs_9;726;1607
20100;final-crs_5;727;1875
20132;final-crs_4;729;1805
20155;final-crs_2;730;1804
20246;final-crs_0;731;1236
20252;final-crs_8;733;1474
20254;final-crs_3;734;1278
20276;final-crs_7;746;1584
20291;final-crs_5;745;1734
20319;final-crs_10;747;936
20321;final-crs_6;782;506
20351;final-crs_9;783;954
20364;final-crs_1;784;1609
20368;final-crs_4;785;1733
20415;final-crs_2;786;647
20483;final-crs_0;787;2069
20494;final-crs_8;788;533
20504;final-crs_3;789;1898
20505;final-crs_9;790;546
20524;final-crs_5;791;2639
20555;final-crs_7;794;1254
20564;final-crs_10;795;1077
20577;final-crs_6;796;1426
20641;gate-keeper;815;
20642;gate-keeper;816;
20643;gate-keeper;817;
20644;frui_0;816;
20644;gate-keeper;818;
20645;gate-keeper;819;
20646;gate-keeper;820;
20647;gate-keeper;821;
20648;vege_1;817;
20648;gate-keeper;822;
20649;gate-keeper;823;
20650;gate-keeper;824;
20651;frui_0;823;
20651;gate-keeper;825;
20652;gate-keeper;826;
20653;vege_0;818;
20653;gate-keeper;827;
20654;gate-keeper;828;
20655;gate-keeper;829;
20656;gate-keeper;830;
20657;frui_0;825;
20657;meat_1;815;
20657;gate-keeper;831;
20658;vege_1;819;
20658;gate-keeper;832;
20659;gate-keeper;833;
20660;gate-keeper;834;
20661;gate-keeper;835;
20662;gate-keeper;836;
20663;vege_0;820;
20663;frui_1;833;
20663;gate-keeper;837;
20664;frui_0;836;
20664;gate-keeper;838;
20665;gate-keeper;839;
20666;final-crs_2;816;2368
20666;vege_1;821;
20666;gate-keeper;840;
20667;gate-keeper;841;
20668;gate-keeper;842;
20669;gate-keeper;843;
20670;frui_0;839;
20670;frui_1;843;
20670;gate-keeper;844;
20671;vege_0;822;
20671;gate-keeper;845;
20672;gate-keeper;846;
20673;gate-keeper;847;
20674;vege_1;824;
20676;frui_0;844;
20676;frui_1;847;
20681;vege_0;827;
20685;vege_1;828;
20692;vege_0;829;
