time;ckpt;id;money
349;gate-keeper;13;
350;gate-keeper;14;
351;frui_0;14;
363;meat_1;13;
445;final-crs_1;14;1508
461;final-crs_10;13;935
683;gate-keeper;26;
684;gate-keeper;27;
685;gate-keeper;28;
686;gate-keeper;29;
706;meat_0;26;
710;final-crs_1;26;1494
734;meat_1;27;
760;final-crs_7;27;504
764;meat_0;28;
789;meat_1;29;
797;final-crs_9;28;621
914;final-crs_0;29;1377
1000;gate-keeper;42;
1001;gate-keeper;43;
1002;gate-keeper;44;
1008;vege_0;42;
1008;vege_1;43;
1015;final-crs_3;42;126
1028;meat_1;44;
1058;final-crs_9;43;422
1150;final-crs_5;44;1385
1275;gate-keeper;55;
1276;gate-keeper;56;
1277;gate-keeper;57;
1278;frui_1;57;
1280;vege_0;56;
1284;meat_0;55;
1285;final-crs_9;57;1230
1354;final-crs_5;56;642
1404;final-crs_0;55;262
1555;gate-keeper;70;
1556;meat_0;70;
1556;gate-keeper;71;
1560;vege_0;71;
1615;final-crs_0;70;1440
1636;final-crs_8;71;2002
1873;gate-keeper;85;
1876;frui_0;85;
1893;final-crs_6;85;604
2168;gate-keeper;99;
2175;vege_0;99;
2176;final-crs_10;99;838
2496;gate-keeper;112;
2497;gate-keeper;113;
2498;gate-keeper;114;
2548;meat_1;112;
2551;final-crs_2;112;765
2565;meat_0;113;
2570;final-crs_0;113;1595
2609;meat_0;114;
2618;final-crs_1;114;910
2797;gate-keeper;127;
2798;gate-keeper;128;
2799;vege_0;127;
2810;final-crs_0;127;1055
2827;gate-keeper;129;
2832;meat_1;128;
2833;final-crs_5;128;773
2839;meat_0;129;
2844;final-crs_3;129;144
2920;gate-keeper;131;
2921;gate-keeper;132;
2922;gate-keeper;133;
2923;vege_1;131;
2928;vege_0;132;
2934;vege_1;133;
3008;final-crs_2;131;149
3039;final-crs_5;132;601
3048;final-crs_0;133;777
3417;gate-keeper;156;
3418;vege_0;156;
3420;final-crs_9;156;603
3724;gate-keeper;170;
3729;vege_1;170;
3818;final-crs_1;170;442
4057;gate-keeper;185;
4058;gate-keeper;186;
4078;meat_1;185;
4081;final-crs_3;185;226
4102;meat_0;186;
4106;final-crs_4;186;369
4354;gate-keeper;199;
4355;gate-keeper;200;
4360;vege_0;199;
4360;vege_1;200;
4372;final-crs_0;199;425
4436;final-crs_5;200;1355
4668;gate-keeper;213;
4669;gate-keeper;214;
4672;frui_0;214;
4673;vege_0;213;
4688;final-crs_2;214;260
4701;final-crs_5;213;540
4708;gate-keeper;215;
4709;gate-keeper;216;
4710;vege_1;215;
4710;meat_0;216;
4758;final-crs_9;215;616
4768;final-crs_1;216;294
4969;gate-keeper;226;
4970;frui_0;226;
4970;gate-keeper;227;
4971;gate-keeper;228;
4973;vege_1;227;
4974;meat_1;228;
5006;final-crs_10;226;1677
5034;final-crs_7;227;1603
5038;final-crs_4;228;1813
5257;gate-keeper;238;
5258;gate-keeper;239;
5259;gate-keeper;240;
5260;gate-keeper;241;
5265;vege_1;241;
5268;final-crs_9;241;227
5283;meat_0;238;
5284;final-crs_4;238;182
5302;meat_1;239;
5334;meat_0;240;
5355;final-crs_6;239;155
5362;final-crs_0;240;1485
5582;gate-keeper;252;
5583;vege_0;252;
5583;gate-keeper;253;
5584;gate-keeper;254;
5585;gate-keeper;255;
5586;final-crs_6;252;891
5587;vege_1;253;
