time;ckpt;id;money
592;gate-keeper;14;
594;meat_1;14;
654;final-crs_10;14;232
864;gate-keeper;21;
870;vege_0;21;
900;final-crs_10;21;429
935;gate-keeper;23;
942;meat_1;23;
957;final-crs_3;23;422
1290;gate-keeper;33;
1291;frui_0;33;
1376;final-crs_10;33;453
1869;gate-keeper;48;
1874;vege_0;48;
1882;final-crs_8;48;1062
1905;gate-keeper;49;
1929;meat_1;49;
1954;final-crs_7;49;626
2193;gate-keeper;56;
2199;vege_0;56;
2201;final-crs_9;56;407
2480;gate-keeper;60;
2481;gate-keeper;61;
2482;gate-keeper;62;
2483;gate-keeper;63;
2485;vege_0;63;
2514;meat_0;60;
2527;final-crs_4;63;922
2536;meat_1;61;
2549;final-crs_2;60;426
2558;final-crs_1;61;987
2578;meat_0;62;
2604;final-crs_10;62;1196
2761;gate-keeper;71;
2765;frui_0;71;
2768;final-crs_2;71;1765
2918;gate-keeper;75;
2919;vege_1;75;
2941;final-crs_9;75;305
3082;gate-keeper;79;
3085;vege_1;79;
3099;final-crs_0;79;484
3395;gate-keeper;87;
3398;vege_0;87;
3405;final-crs_6;87;1381
3578;gate-keeper;91;
3579;gate-keeper;92;
3582;vege_0;91;
3586;vege_1;92;
3611;final-crs_8;91;924
3612;final-crs_7;92;620
3663;gate-keeper;93;
3664;gate-keeper;94;
3667;frui_1;93;
3668;vege_1;94;
3670;final-crs_4;93;119
3697;final-crs_9;94;212
3960;gate-keeper;101;
3961;gate-keeper;102;
3962;vege_1;102;
3977;meat_1;101;
3994;final-crs_10;102;1343
4016;final-crs_3;101;226
4220;gate-keeper;107;
4221;vege_0;107;
4221;gate-keeper;108;
4222;gate-keeper;109;
4224;frui_1;109;
4225;final-crs_10;107;1040
4227;final-crs_9;109;454
4231;vege_0;108;
4252;final-crs_0;108;1865
4791;gate-keeper;123;
4792;gate-keeper;124;
4806;meat_0;123;
4808;meat_1;124;
4826;final-crs_7;123;304
4838;final-crs_5;124;1520
5087;gate-keeper;130;
5088;gate-keeper;131;
5089;gate-keeper;132;
5095;vege_1;130;
5098;vege_0;131;
5102;meat_1;132;
5103;final-crs_6;130;579
5150;final-crs_9;131;1027
5178;gate-keeper;133;
5179;final-crs_1;132;1113
5179;gate-keeper;134;
5181;vege_0;133;
5182;vege_1;134;
5186;final-crs_2;133;133
5219;final-crs_0;134;94
5371;gate-keeper;137;
5372;gate-keeper;138;
5373;gate-keeper;139;
5376;vege_1;137;
5376;frui_0;139;
5377;vege_0;138;
5417;final-crs_2;137;2662
5459;final-crs_0;139;420
5459;final-crs_1;138;607
5664;gate-keeper;146;
5670;meat_1;146;
5673;final-crs_1;146;1108
5971;gate-keeper;152;
5972;gate-keeper;153;
5973;gate-keeper;154;
5974;vege_0;152;
5976;meat_1;153;
5978;vege_1;154;
5992;final-crs_0;152;622
5995;final-crs_6;153;973
6007;final-crs_5;154;909
6033;gate-keeper;155;
6034;gate-keeper;156;
6036;vege_0;155;
6037;vege_1;156;
6078;final-crs_9;155;1001
6090;final-crs_8;156;874
6271;gate-keeper;161;
6272;gate-keeper;162;
6273;vege_1;162;
6273;frui_0;161;
6298;final-crs_9;162;416
6326;final-crs_2;161;1104
6556;gate-keeper;168;
6557;gate-keeper;169;
6582;meat_1;168;
6589;final-crs_8;168;1695
6600;meat_0;169;
6615;final-crs_7;169;453
6717;gate-keeper;172;
6718;gate-keeper;173;
6720;vege_1;172;
6721;vege_0;173;
6732;final-crs_6;172;1298
6749;final-crs_5;173;1126
6771;gate-keeper;174;
6775;vege_0;174;
6779;final-crs_2;174;595
7511;gate-keeper;193;
7512;gate-keeper;194;
7514;vege_0;194;
7515;final-crs_2;194;581
7516;meat_1;193;
7541;final-crs_9;193;409
7720;gate-keeper;198;
7721;gate-keeper;199;
7725;frui_0;198;
7731;meat_0;199;
7742;final-crs_5;198;1090
7765;final-crs_2;199;1467
7846;gate-keeper;202;
7852;vege_0;202;
7854;final-crs_1;202;572
8110;gate-keeper;207;
8111;gate-keeper;208;
8112;vege_0;207;
8112;vege_1;208;
8112;gate-keeper;209;
8120;vege_0;209;
8151;final-crs_6;207;1309
8221;final-crs_5;208;91
8230;final-crs_8;209;1530
8442;gate-keeper;214;
8443;gate-keeper;215;
8444;gate-keeper;216;
8445;gate-keeper;217;
8446;meat_0;214;
8449;vege_0;215;
8451;final-crs_8;214;1137
8451;vege_1;216;
8475;meat_1;217;
8493;final-crs_10;215;642
8503;final-crs_9;216;746
8507;final-crs_2;217;449
8748;gate-keeper;223;
8749;gate-keeper;224;
8750;gate-keeper;225;
8758;vege_0;224;
8764;final-crs_9;224;1306
8780;meat_0;223;
8787;final-crs_4;223;2135
8795;meat_1;225;
8796;final-crs_1;225;370
9028;gate-keeper;230;
9029;gate-keeper;231;
9030;vege_0;230;
9030;gate-keeper;232;
9033;frui_0;232;
9035;vege_1;231;
9036;final-crs_1;230;1384
9053;final-crs_4;232;1115
9063;final-crs_0;231;677
9352;gate-keeper;236;
9353;gate-keeper;237;
9354;gate-keeper;238;
9355;gate-keeper;239;
9356;vege_0;239;
9356;gate-keeper;240;
9363;vege_0;240;
9381;meat_0;236;
9409;meat_1;237;
9412;final-crs_5;239;1784
9414;final-crs_2;240;630
9429;meat_0;238;
9450;final-crs_10;236;569
9462;final-crs_8;237;345
9472;final-crs_3;238;668
9505;gate-keeper;244;
9511;vege_0;244;
9530;final-crs_1;244;1640
9950;gate-keeper;252;
9951;gate-keeper;253;
9952;vege_0;253;
9952;gate-keeper;254;
9953;gate-keeper;255;
9954;vege_1;254;
9954;frui_1;255;
9954;gate-keeper;256;
9959;final-crs_3;253;811
9973;final-crs_1;254;917
9986;final-crs_9;255;264
10011;meat_0;252;
10012;final-crs_7;252;1875
10016;meat_1;256;
10020;final-crs_4;256;355
10491;gate-keeper;268;
10492;vege_0;268;
10492;gate-keeper;269;
10493;meat_0;269;
10493;gate-keeper;270;
10503;meat_1;270;
10535;final-crs_0;268;981
10539;final-crs_7;269;2267
10546;final-crs_5;270;2480
10563;gate-keeper;271;
10564;gate-keeper;272;
10569;vege_0;271;
10572;vege_1;272;
10614;final-crs_2;271;398
10649;final-crs_1;272;652
11135;gate-keeper;285;
11136;gate-keeper;286;
11137;gate-keeper;287;
11141;frui_1;286;
11142;frui_0;287;
11144;vege_1;285;
11148;final-crs_5;286;188
11159;final-crs_3;287;416
11175;final-crs_4;285;452
11189;gate-keeper;288;
11191;frui_1;288;
11218;final-crs_9;288;2236
11432;gate-keeper;294;
11435;vege_0;294;
11450;final-crs_9;294;1563
11732;gate-keeper;302;
11735;vege_0;302;
11741;final-crs_7;302;121
12012;gate-keeper;308;
12013;gate-keeper;309;
12018;vege_1;308;
12031;final-crs_2;308;67
12041;meat_1;309;
12049;final-crs_4;309;2701
12275;gate-keeper;316;
12276;vege_0;316;
12289;final-crs_4;316;1665
12590;gate-keeper;324;
12593;vege_1;324;
12632;final-crs_10;324;405
13048;gate-keeper;335;
