time;ckpt;id;money
998;gate-keeper;24;
999;gate-keeper;25;
1005;vege_0;25;
1018;final-crs_8;25;433
1042;meat_0;24;
1052;final-crs_10;24;428
1276;gate-keeper;30;
1277;gate-keeper;31;
1278;gate-keeper;32;
1280;frui_0;30;
1327;meat_0;31;
1334;meat_1;32;
1351;final-crs_10;30;811
1399;final-crs_7;31;993
1412;final-crs_0;32;1610
1563;gate-keeper;37;
1564;gate-keeper;38;
1565;frui_0;37;
1565;gate-keeper;39;
1566;gate-keeper;40;
1568;final-crs_10;37;390
1569;frui_1;38;
1570;vege_0;40;
1582;meat_1;39;
1605;final-crs_7;38;451
1646;final-crs_0;40;677
1654;final-crs_2;39;1609
1831;gate-keeper;47;
1834;frui_0;47;
1836;final-crs_7;47;182
1939;gate-keeper;50;
1942;vege_0;50;
1975;final-crs_9;50;1629
2168;gate-keeper;52;
2169;gate-keeper;53;
2170;vege_1;52;
2170;gate-keeper;54;
2171;vege_0;54;
2171;gate-keeper;55;
2180;vege_1;55;
2183;meat_1;53;
2203;final-crs_3;52;2032
2207;final-crs_5;54;785
2233;final-crs_1;55;997
2238;final-crs_10;53;499
2502;gate-keeper;64;
2524;meat_0;64;
2553;final-crs_6;64;1431
2942;gate-keeper;76;
2950;vege_0;76;
2987;final-crs_3;76;1046
3045;gate-keeper;77;
3046;gate-keeper;78;
3049;vege_1;77;
3054;vege_0;78;
3075;final-crs_0;77;1858
3100;final-crs_5;78;140
3367;gate-keeper;84;
3368;vege_0;84;
3368;gate-keeper;85;
3369;gate-keeper;86;
3375;vege_1;85;
3377;final-crs_9;84;714
3379;meat_1;86;
3380;final-crs_2;85;1681
3463;final-crs_3;86;1814
3496;gate-keeper;90;
3497;vege_1;90;
3513;final-crs_7;90;1401
3876;gate-keeper;99;
3877;gate-keeper;100;
3881;vege_0;99;
3885;vege_1;100;
3909;final-crs_3;99;1002
3967;final-crs_4;100;743
3986;gate-keeper;103;
4017;meat_0;103;
4021;final-crs_5;103;285
4234;gate-keeper;110;
4238;vege_0;110;
4260;final-crs_7;110;1164
4638;gate-keeper;118;
4639;gate-keeper;119;
4640;frui_1;119;
4640;gate-keeper;120;
4647;final-crs_3;119;1462
4657;meat_0;118;
4681;meat_1;120;
4710;final-crs_6;118;1537
4720;final-crs_7;120;359
4824;gate-keeper;125;
4837;meat_0;125;
4859;final-crs_0;125;1531
4907;gate-keeper;126;
4908;gate-keeper;127;
4909;frui_0;127;
4914;vege_1;126;
4915;final-crs_3;127;2805
4945;final-crs_8;126;663
5222;gate-keeper;135;
5227;vege_1;135;
5236;final-crs_7;135;760
5500;gate-keeper;142;
5502;frui_1;142;
5504;final-crs_5;142;728
5608;gate-keeper;145;
5609;vege_1;145;
5662;final-crs_7;145;850
5781;gate-keeper;147;
5782;gate-keeper;148;
5783;gate-keeper;149;
5784;vege_0;147;
5790;vege_1;148;
5792;vege_0;149;
5824;final-crs_1;147;1084
5853;final-crs_4;148;588
5903;final-crs_7;149;486
6312;gate-keeper;163;
6330;meat_1;163;
6349;final-crs_4;163;925
6393;gate-keeper;164;
6394;gate-keeper;165;
6397;vege_0;164;
6403;vege_1;165;
6410;final-crs_9;164;1237
6413;final-crs_3;165;1098
6645;gate-keeper;170;
6646;gate-keeper;171;
6656;meat_1;170;
6670;final-crs_3;170;209
6699;meat_0;171;
6706;final-crs_5;171;2357
6978;gate-keeper;178;
6979;gate-keeper;179;
6980;vege_0;178;
6980;gate-keeper;180;
6982;vege_1;179;
6987;final-crs_1;178;603
6997;final-crs_2;179;1333
7015;meat_1;180;
7020;final-crs_0;180;511
7162;gate-keeper;184;
7163;gate-keeper;185;
7165;vege_0;184;
7170;vege_1;185;
7176;final-crs_8;184;1558
7197;final-crs_5;185;94
7223;gate-keeper;186;
7227;vege_1;186;
7230;final-crs_0;186;1543
7309;gate-keeper;188;
7316;vege_0;188;
7332;final-crs_6;188;1227
7658;gate-keeper;196;
7659;gate-keeper;197;
7664;vege_0;196;
7664;vege_1;197;
7718;final-crs_5;196;328
7753;final-crs_1;197;1671
7992;gate-keeper;206;
8012;meat_1;206;
8023;final-crs_0;206;223
8265;gate-keeper;213;
8273;vege_1;213;
8300;final-crs_9;213;1017
8605;gate-keeper;220;
8606;gate-keeper;221;
8607;vege_0;221;
8607;gate-keeper;222;
8610;frui_1;220;
8614;final-crs_8;221;789
8615;vege_0;222;
8711;final-crs_5;220;70
8751;final-crs_0;222;598
8851;gate-keeper;228;
8855;vege_0;228;
8857;final-crs_4;228;1062
8897;gate-keeper;229;
8898;vege_1;229;
8941;final-crs_5;229;149
9139;gate-keeper;235;
9140;vege_0;235;
9177;final-crs_5;235;1421
9458;gate-keeper;243;
9462;frui_1;243;
9481;final-crs_1;243;1525
9727;gate-keeper;250;
9733;vege_0;250;
9734;final-crs_9;250;1019
10054;gate-keeper;258;
10055;gate-keeper;259;
10066;meat_1;258;
10068;final-crs_6;258;1074
10078;meat_0;259;
10117;final-crs_5;259;681
10253;gate-keeper;260;
10254;meat_0;260;
10254;gate-keeper;261;
10255;gate-keeper;262;
10256;gate-keeper;263;
10257;final-crs_4;260;1270
10257;gate-keeper;264;
10261;vege_0;262;
10263;vege_1;263;
10270;vege_0;264;
10282;final-crs_2;262;1898
10304;meat_0;261;
10311;final-crs_3;263;909
10323;final-crs_5;264;396
10359;gate-keeper;267;
10360;frui_1;267;
10401;final-crs_0;261;1013
10409;final-crs_10;267;462
10663;gate-keeper;274;
10664;frui_1;274;
10664;gate-keeper;275;
10665;vege_1;275;
10717;final-crs_9;274;729
10719;final-crs_6;275;695
10735;gate-keeper;276;
10736;vege_0;276;
10773;final-crs_4;276;1089
10958;gate-keeper;280;
10959;gate-keeper;281;
10960;frui_1;281;
10960;gate-keeper;282;
10961;meat_1;280;
10962;final-crs_6;281;920
10962;frui_0;282;
10974;final-crs_8;280;1306
10979;final-crs_4;282;1500
11268;gate-keeper;289;
11269;gate-keeper;290;
11273;vege_1;290;
11276;meat_0;289;
11319;final-crs_2;290;1075
11336;final-crs_10;289;601
11491;gate-keeper;295;
11492;gate-keeper;296;
11494;frui_0;295;
11498;vege_0;296;
11549;final-crs_2;295;1736
11570;final-crs_10;296;2253
11616;gate-keeper;299;
11617;frui_1;299;
11652;final-crs_0;299;536
12243;gate-keeper;313;
12244;gate-keeper;314;
12245;gate-keeper;315;
12248;vege_1;313;
12250;vege_0;314;
12253;final-crs_10;313;1298
12266;meat_0;315;
12273;final-crs_2;314;2197
12313;final-crs_6;315;1876
12535;gate-keeper;323;
12563;meat_0;323;
12578;final-crs_6;323;1171
12852;gate-keeper;329;
12853;vege_0;329;
12853;gate-keeper;330;
12854;gate-keeper;331;
12855;vege_1;331;
12859;meat_0;330;
12871;final-crs_5;329;1784
12883;final-crs_8;331;1766
12928;final-crs_4;330;496
13164;gate-keeper;337;
13165;gate-keeper;338;
13166;gate-keeper;339;
13167;vege_0;338;
13169;vege_1;339;
13179;final-crs_4;338;1544
13189;meat_1;337;
13215;final-crs_3;339;609
13224;gate-keeper;340;
13225;final-crs_10;337;619
13226;frui_0;340;
13263;final-crs_7;340;1068
13494;gate-keeper;345;
13495;gate-keeper;346;
13496;gate-keeper;347;
13497;vege_1;347;
13505;meat_0;345;
13520;final-crs_9;347;444
13522;final-crs_7;345;1464
13528;meat_1;346;
13542;final-crs_2;346;1004
13781;gate-keeper;352;
13782;gate-keeper;353;
13783;gate-keeper;354;
13784;gate-keeper;355;
13789;vege_0;352;
13789;vege_1;353;
13796;final-crs_6;352;1419
13798;vege_0;354;
13801;vege_1;355;
13817;final-crs_0;353;1292
13821;final-crs_5;354;164
13871;final-crs_1;355;526
13942;gate-keeper;359;
14008;meat_0;359;
14030;final-crs_6;359;465
14063;gate-keeper;360;
14064;meat_0;360;
14064;gate-keeper;361;
14065;gate-keeper;362;
14071;vege_0;361;
14084;final-crs_0;360;264
14086;final-crs_1;361;143
14120;meat_1;362;
14140;final-crs_4;362;1880
14968;gate-keeper;386;
14979;meat_1;386;
14988;final-crs_9;386;400
15020;gate-keeper;387;
15026;vege_1;387;
15053;final-crs_0;387;2578
15233;gate-keeper;393;
15255;meat_0;393;
15278;final-crs_1;393;1157
15858;gate-keeper;409;
