time;ckpt;id;money
284;gate-keeper;11;
288;frui_1;11;
297;final-crs_8;11;367
564;gate-keeper;14;
565;vege_1;14;
565;gate-keeper;15;
566;gate-keeper;16;
567;gate-keeper;17;
568;meat_1;15;
568;gate-keeper;18;
569;gate-keeper;19;
570;gate-keeper;20;
571;gate-keeper;21;
572;vege_0;16;
572;gate-keeper;22;
573;gate-keeper;23;
576;vege_1;17;
576;frui_0;22;
582;vege_0;18;
586;vege_1;19;
592;vege_0;20;
595;vege_1;21;
602;vege_0;23;
667;final-crs_1;14;2075
669;final-crs_2;15;3153
690;final-crs_4;16;789
698;final-crs_10;17;2246
703;final-crs_9;22;2288
712;final-crs_7;18;1627
713;final-crs_6;19;1177
720;final-crs_5;20;1713
739;final-crs_0;21;2219
815;final-crs_8;23;144
833;gate-keeper;29;
834;gate-keeper;30;
835;gate-keeper;31;
836;gate-keeper;32;
837;gate-keeper;33;
838;gate-keeper;34;
839;gate-keeper;35;
841;vege_1;29;
842;vege_0;30;
846;meat_1;32;
849;vege_1;31;
852;vege_0;33;
860;vege_1;34;
861;vege_0;35;
882;gate-keeper;37;
889;vege_1;37;
905;final-crs_1;29;891
905;final-crs_9;30;1630
916;final-crs_4;32;599
929;final-crs_5;31;1247
930;final-crs_10;33;2984
945;final-crs_2;34;1313
955;final-crs_7;35;2345
974;final-crs_0;37;1658
1132;gate-keeper;45;
1133;gate-keeper;46;
1134;vege_0;45;
1134;gate-keeper;47;
1135;frui_0;47;
1140;vege_1;46;
1162;final-crs_9;45;389
1171;final-crs_1;47;675
1190;final-crs_10;46;408
1445;gate-keeper;53;
1446;gate-keeper;54;
1447;vege_0;54;
1447;gate-keeper;55;
1448;final-crs_2;54;1909
1448;gate-keeper;56;
1449;gate-keeper;57;
1450;gate-keeper;58;
1451;frui_0;53;
1451;gate-keeper;59;
1452;vege_1;56;
1452;frui_1;55;
1452;gate-keeper;60;
1454;final-crs_8;53;1544
1456;vege_0;57;
1457;frui_0;60;
1458;final-crs_0;56;1257
1460;final-crs_6;55;2890
1461;vege_1;58;
1466;vege_0;59;
1541;final-crs_3;57;1911
1580;final-crs_4;60;281
1606;final-crs_1;58;267
1646;final-crs_7;59;708
1723;gate-keeper;66;
1724;gate-keeper;67;
1725;gate-keeper;68;
1726;gate-keeper;69;
1727;gate-keeper;70;
1728;vege_1;66;
1728;frui_1;67;
1728;gate-keeper;71;
1729;frui_0;68;
1729;gate-keeper;72;
1731;vege_0;69;
1737;vege_1;70;
1741;vege_0;71;
1748;vege_1;72;
1761;final-crs_3;66;1536
1785;final-crs_4;67;3807
1830;final-crs_1;68;1285
1878;final-crs_10;69;2148
1879;final-crs_9;70;1623
1916;final-crs_7;71;1990
1930;final-crs_5;72;832
2037;gate-keeper;85;
2045;vege_0;85;
2056;final-crs_4;85;342
2337;gate-keeper;98;
2381;meat_1;98;
2393;final-crs_9;98;1267
2527;gate-keeper;102;
2528;gate-keeper;103;
2529;gate-keeper;104;
2530;gate-keeper;105;
2531;gate-keeper;106;
2532;frui_0;102;
2534;frui_1;105;
2535;vege_0;104;
2535;vege_1;106;
2539;final-crs_1;102;740
2551;final-crs_6;105;1765
2558;meat_0;103;
2591;final-crs_10;104;1354
2596;final-crs_7;106;96
2598;final-crs_4;103;1671
2640;gate-keeper;112;
2647;vege_0;112;
2649;final-crs_3;112;2101
2943;gate-keeper;124;
2950;vege_0;124;
2977;final-crs_2;124;4430
3350;gate-keeper;138;
3351;gate-keeper;139;
3352;gate-keeper;140;
3353;gate-keeper;141;
3354;vege_0;138;
3357;vege_1;139;
3363;vege_0;140;
3365;vege_1;141;
3374;final-crs_7;138;906
3428;final-crs_3;139;1499
3462;final-crs_2;140;1070
3481;final-crs_1;141;2619
3525;gate-keeper;150;
3531;vege_1;150;
3546;final-crs_9;150;3153
3870;gate-keeper;163;
3871;gate-keeper;164;
3875;vege_0;164;
3885;meat_0;163;
3902;final-crs_2;164;380
3906;final-crs_3;163;2595
4199;gate-keeper;177;
4200;vege_0;177;
4216;final-crs_0;177;2581
4498;gate-keeper;189;
4499;gate-keeper;190;
4504;vege_1;189;
4507;vege_0;190;
4536;final-crs_6;189;3536
4541;final-crs_5;190;1053
4712;gate-keeper;199;
4713;vege_0;199;
4716;final-crs_6;199;2661
4989;gate-keeper;204;
4990;vege_0;204;
4990;gate-keeper;205;
4991;gate-keeper;206;
4992;gate-keeper;207;
4993;gate-keeper;208;
4994;gate-keeper;209;
4995;vege_1;205;
4995;gate-keeper;210;
4997;vege_0;206;
4997;frui_1;208;
5006;vege_0;209;
5007;vege_1;210;
5012;final-crs_2;204;2524
5033;final-crs_5;205;1156
5035;meat_0;207;
5102;final-crs_4;206;2830
5110;final-crs_3;208;432
5113;final-crs_7;209;720
5137;final-crs_10;210;2356
5155;final-crs_8;207;2040
5255;gate-keeper;220;
5256;gate-keeper;221;
5257;vege_1;220;
5260;vege_0;221;
5284;final-crs_4;220;1795
5311;gate-keeper;222;
5312;gate-keeper;223;
5313;vege_1;222;
5314;frui_0;223;
5352;final-crs_7;221;1755
5379;final-crs_8;222;2621
5384;final-crs_1;223;1692
5566;gate-keeper;230;
5567;gate-keeper;231;
5568;gate-keeper;232;
5569;gate-keeper;233;
5571;vege_1;230;
5573;vege_0;231;
5574;frui_1;233;
5581;vege_1;232;
5591;final-crs_7;230;1256
5611;final-crs_8;231;1571
5619;final-crs_10;233;1666
5626;final-crs_3;232;682
5833;gate-keeper;243;
5834;gate-keeper;244;
5856;meat_0;243;
5867;meat_1;244;
5873;final-crs_1;243;374
5875;final-crs_8;244;1521
6216;gate-keeper;260;
6217;vege_0;260;
6217;gate-keeper;261;
6220;meat_0;261;
6233;final-crs_4;260;2222
6343;gate-keeper;262;
6344;final-crs_3;261;2228
6344;gate-keeper;263;
6345;gate-keeper;264;
6346;gate-keeper;265;
6347;meat_0;264;
6347;gate-keeper;266;
6348;frui_0;263;
