time;ckpt;id;money
296;gate-keeper;7;
301;vege_0;7;
426;final-crs_8;7;799
585;gate-keeper;11;
586;gate-keeper;12;
587;gate-keeper;13;
588;gate-keeper;14;
589;gate-keeper;15;
590;gate-keeper;16;
591;vege_1;11;
593;frui_0;12;
594;vege_0;13;
601;vege_1;14;
602;vege_0;15;
610;vege_1;16;
673;final-crs_9;11;123
679;final-crs_8;12;1179
681;final-crs_4;13;723
687;final-crs_1;14;969
694;final-crs_5;15;682
698;final-crs_2;16;1551
779;gate-keeper;20;
780;gate-keeper;21;
781;frui_1;21;
785;vege_0;20;
791;final-crs_3;21;211
838;gate-keeper;23;
840;vege_0;23;
901;final-crs_4;20;373
920;final-crs_5;23;892
1406;gate-keeper;35;
1407;frui_1;35;
1407;gate-keeper;36;
1408;gate-keeper;37;
1409;gate-keeper;38;
1410;frui_0;36;
1410;gate-keeper;39;
1412;vege_0;37;
1413;final-crs_1;35;1248
1414;frui_1;39;
1415;vege_1;38;
1443;final-crs_9;36;310
1454;final-crs_8;37;1742
1463;final-crs_0;39;1038
1473;final-crs_6;38;949
1616;gate-keeper;43;
1617;gate-keeper;44;
1618;vege_0;43;
1618;gate-keeper;45;
1619;vege_1;45;
1619;frui_1;44;
1642;final-crs_4;43;1336
1645;final-crs_8;45;996
1667;final-crs_9;44;403
1730;gate-keeper;46;
1731;gate-keeper;47;
1732;gate-keeper;48;
1736;vege_1;46;
1738;vege_0;47;
1745;final-crs_10;46;573
1746;vege_1;48;
1797;final-crs_3;47;92
1815;final-crs_2;48;184
2046;gate-keeper;52;
2047;gate-keeper;53;
2048;vege_1;52;
2048;gate-keeper;54;
2049;final-crs_2;52;2103
2049;vege_0;54;
2049;gate-keeper;55;
2050;gate-keeper;56;
2051;gate-keeper;57;
2056;vege_1;56;
2058;vege_0;57;
2094;meat_1;53;
2097;final-crs_6;54;222
2100;final-crs_7;56;1388
2102;final-crs_8;57;891
2109;meat_0;55;
2127;final-crs_1;53;994
2143;final-crs_9;55;1157
2350;gate-keeper;66;
2351;vege_1;66;
2367;final-crs_1;66;271
2670;gate-keeper;75;
2672;vege_1;75;
2716;final-crs_10;75;913
3382;gate-keeper;95;
3385;vege_0;95;
3398;final-crs_5;95;548
3598;gate-keeper;101;
3600;vege_0;101;
3608;final-crs_5;101;114
3758;gate-keeper;105;
3763;frui_0;105;
3792;final-crs_8;105;619
3899;gate-keeper;108;
3900;vege_0;108;
3900;gate-keeper;109;
3908;vege_0;109;
3928;final-crs_9;108;264
3930;final-crs_4;109;1688
4184;gate-keeper;117;
4185;vege_0;117;
4185;gate-keeper;118;
4187;vege_1;118;
4194;final-crs_3;117;1350
4200;final-crs_6;118;202
4380;gate-keeper;124;
4383;vege_1;124;
