time;ckpt;id;money
250;gate-keeper;0;
251;vege_0;0;
251;gate-keeper;1;
252;gate-keeper;2;
253;gate-keeper;3;
254;gate-keeper;4;
255;gate-keeper;5;
256;vege_1;1;
256;frui_1;2;
256;gate-keeper;6;
257;gate-keeper;7;
258;gate-keeper;8;
259;final-crs_7;0;231
259;vege_0;3;
259;frui_0;4;
259;gate-keeper;9;
260;final-crs_1;1;904
260;final-crs_5;2;2277
260;gate-keeper;10;
261;gate-keeper;11;
262;gate-keeper;12;
263;gate-keeper;13;
264;gate-keeper;14;
265;frui_0;13;
265;gate-keeper;15;
266;vege_1;5;
266;gate-keeper;16;
267;gate-keeper;17;
268;vege_0;6;
268;frui_1;15;
268;gate-keeper;18;
269;final-crs_10;3;137
269;gate-keeper;19;
270;gate-keeper;20;
271;gate-keeper;21;
272;final-crs_6;4;646
272;frui_0;19;
272;gate-keeper;22;
273;gate-keeper;23;
274;vege_1;7;
274;frui_1;20;
274;gate-keeper;24;
275;gate-keeper;25;
276;final-crs_11;13;544
276;gate-keeper;26;
277;gate-keeper;27;
278;frui_0;26;
278;gate-keeper;28;
279;vege_0;8;
279;gate-keeper;29;
280;gate-keeper;30;
281;frui_1;30;
281;gate-keeper;31;
282;gate-keeper;32;
283;vege_1;11;
283;gate-keeper;33;
284;gate-keeper;34;
285;gate-keeper;35;
286;gate-keeper;36;
287;frui_1;34;
287;gate-keeper;37;
288;vege_0;12;
288;gate-keeper;38;
289;gate-keeper;39;
290;gate-keeper;40;
291;gate-keeper;41;
292;vege_1;18;
292;frui_0;35;
292;gate-keeper;42;
293;frui_1;38;
293;gate-keeper;43;
294;gate-keeper;44;
295;gate-keeper;45;
296;meat_0;9;
296;gate-keeper;46;
297;gate-keeper;47;
298;vege_0;21;
298;gate-keeper;48;
299;frui_1;39;
299;gate-keeper;49;
300;frui_0;41;
300;gate-keeper;50;
301;vege_1;23;
301;gate-keeper;51;
302;gate-keeper;52;
303;gate-keeper;53;
304;gate-keeper;54;
305;gate-keeper;55;
306;frui_0;42;
306;frui_1;43;
306;gate-keeper;56;
307;gate-keeper;57;
308;vege_0;24;
308;gate-keeper;58;
309;gate-keeper;59;
310;gate-keeper;60;
311;gate-keeper;61;
312;vege_1;25;
312;frui_0;46;
312;frui_1;47;
312;gate-keeper;62;
313;gate-keeper;63;
314;gate-keeper;64;
315;gate-keeper;65;
316;gate-keeper;66;
319;vege_0;27;
319;frui_1;58;
320;frui_0;60;
321;vege_1;28;
322;meat_1;10;
325;frui_1;66;
329;vege_0;29;
331;vege_1;31;
339;vege_0;32;
341;vege_1;33;
344;meat_0;14;
350;vege_0;36;
351;vege_1;37;
358;vege_0;44;
361;vege_1;45;
369;vege_0;48;
370;vege_1;49;
378;meat_1;16;
379;vege_0;51;
379;vege_1;52;
388;vege_0;56;
389;vege_1;57;
399;vege_0;62;
399;vege_1;64;
411;vege_0;65;
411;meat_0;17;
428;final-crs_4;5;151
433;final-crs_12;6;200
437;meat_1;22;
458;final-crs_0;15;1227
462;final-crs_9;19;1251
465;meat_0;40;
469;final-crs_8;7;882
476;final-crs_1;20;1436
492;final-crs_7;26;1036
494;meat_1;50;
499;final-crs_3;8;1324
529;meat_0;53;
530;final-crs_5;30;467
532;final-crs_11;11;245
533;final-crs_6;34;2033
542;final-crs_2;12;223
552;meat_1;54;
560;final-crs_10;18;555
577;gate-keeper;153;
578;frui_1;153;
584;meat_0;55;
612;meat_1;59;
646;meat_0;61;
664;meat_1;63;
670;final-crs_12;35;1546
683;final-crs_1;38;584
691;final-crs_4;9;462
694;final-crs_8;21;507
699;final-crs_0;39;909
712;final-crs_9;41;1566
734;final-crs_3;23;180
738;final-crs_7;42;574
766;final-crs_5;43;253
788;final-crs_6;24;108
791;final-crs_2;25;1593
803;final-crs_10;46;575
824;final-crs_11;47;1253
867;gate-keeper;231;
871;vege_1;231;
