time;ckpt;id;money
298;gate-keeper;52;
300;vege_0;52;
315;final-crs_9;52;1886
566;gate-keeper;101;
572;vege_0;101;
581;final-crs_9;101;795
1153;gate-keeper;207;
1155;frui_0;207;
1164;final-crs_4;207;168
2019;gate-keeper;363;
2020;gate-keeper;364;
2021;vege_0;363;
2023;vege_1;364;
2056;final-crs_5;363;565
2057;final-crs_4;364;820
2223;gate-keeper;396;
2224;gate-keeper;397;
2225;gate-keeper;398;
2226;vege_0;396;
2226;gate-keeper;399;
2227;final-crs_1;396;185
2227;gate-keeper;400;
2234;vege_1;399;
2241;final-crs_3;399;964
2267;meat_1;397;
2272;meat_0;398;
2286;final-crs_5;397;1031
2310;final-crs_0;398;304
2316;meat_1;400;
2338;final-crs_12;400;327
2608;gate-keeper;470;
2611;vege_0;470;
2640;final-crs_6;470;557
2946;gate-keeper;533;
2947;gate-keeper;534;
2948;vege_1;533;
2949;vege_0;534;
2962;final-crs_1;533;1173
2963;final-crs_9;534;1724
3115;gate-keeper;565;
3122;vege_0;565;
3128;final-crs_6;565;631
3360;gate-keeper;609;
3364;vege_0;609;
3387;final-crs_3;609;1499
3544;gate-keeper;641;
3547;vege_1;641;
3569;final-crs_4;641;859
3832;gate-keeper;694;
3833;vege_1;694;
3855;final-crs_1;694;408
4039;gate-keeper;729;
4040;gate-keeper;730;
4041;gate-keeper;731;
4045;vege_1;729;
4046;vege_0;730;
4055;final-crs_3;729;502
4055;vege_0;731;
4066;final-crs_0;730;923
4079;final-crs_1;731;788
4161;gate-keeper;753;
4167;vege_1;753;
4176;final-crs_9;753;220
4475;gate-keeper;810;
4477;vege_0;810;
4485;final-crs_7;810;903
4842;gate-keeper;877;
4843;gate-keeper;878;
4844;vege_0;877;
4848;vege_1;878;
4862;final-crs_5;877;467
4866;final-crs_12;878;283
4874;gate-keeper;883;
4875;vege_1;883;
4875;gate-keeper;884;
4883;vege_1;884;
4903;final-crs_2;883;571
4904;final-crs_11;884;804
5145;gate-keeper;928;
5146;gate-keeper;929;
5147;gate-keeper;930;
5148;vege_0;929;
5148;gate-keeper;931;
5149;gate-keeper;932;
5154;vege_1;930;
5158;vege_0;931;
5164;vege_1;932;
5175;meat_0;928;
5186;final-crs_4;929;1433
5190;final-crs_7;930;405
5248;final-crs_1;931;736
5263;final-crs_8;932;1544
5271;final-crs_10;928;1241
5442;gate-keeper;984;
5443;gate-keeper;985;
5444;gate-keeper;986;
5448;vege_0;984;
5449;vege_1;985;
5458;vege_0;986;
5477;final-crs_8;984;1207
5491;final-crs_1;985;925
5516;final-crs_10;986;110
5673;gate-keeper;1026;
5674;gate-keeper;1027;
5679;vege_1;1026;
5681;meat_0;1027;
5721;final-crs_1;1026;365
5726;final-crs_8;1027;1155
5740;gate-keeper;1039;
5741;gate-keeper;1040;
5742;frui_1;1039;
5744;vege_0;1040;
5751;final-crs_10;1039;712
5764;final-crs_3;1040;478
6279;gate-keeper;1137;
6281;vege_1;1137;
6285;final-crs_12;1137;373
6510;gate-keeper;1179;
6529;meat_0;1179;
6530;final-crs_2;1179;284
6573;gate-keeper;1184;
6574;gate-keeper;1185;
6575;vege_0;1185;
6575;gate-keeper;1186;
6576;gate-keeper;1187;
6577;gate-keeper;1188;
6578;final-crs_5;1185;746
6578;gate-keeper;1189;
6579;gate-keeper;1190;
6581;vege_1;1186;
6584;vege_0;1187;
6584;meat_0;1184;
6589;vege_1;1188;
6592;vege_0;1189;
6597;vege_1;1190;
6620;final-crs_6;1186;1400
6636;final-crs_1;1187;774
6645;final-crs_8;1184;775
6653;final-crs_4;1188;870
6731;final-crs_9;1189;844
6742;final-crs_10;1190;539
6781;gate-keeper;1227;
6782;frui_0;1227;
6782;gate-keeper;1228;
6783;vege_0;1228;
6803;final-crs_5;1227;271
6810;final-crs_7;1228;172
6940;gate-keeper;1251;
6941;gate-keeper;1252;
6942;gate-keeper;1253;
6943;vege_1;1253;
6943;frui_0;1251;
6943;gate-keeper;1254;
6944;gate-keeper;1255;
6947;vege_0;1254;
6980;final-crs_9;1253;1225
6986;final-crs_12;1251;418
6987;final-crs_3;1254;1252
6994;meat_1;1252;
6996;final-crs_11;1252;232
7004;meat_0;1255;
7006;final-crs_10;1255;762
7222;gate-keeper;1304;
7226;meat_1;1304;
7246;final-crs_2;1304;392
7467;gate-keeper;1346;
7468;gate-keeper;1347;
7469;vege_1;1346;
7469;gate-keeper;1348;
7470;meat_1;1347;
7470;gate-keeper;1349;
7471;final-crs_3;1346;760
7476;vege_0;1348;
7479;vege_1;1349;
7482;final-crs_2;1347;961
7490;final-crs_9;1348;718
7500;final-crs_10;1349;168
7500;gate-keeper;1355;
7504;vege_0;1355;
7526;final-crs_11;1355;1435
7749;gate-keeper;1396;
7750;gate-keeper;1397;
7751;gate-keeper;1398;
7752;gate-keeper;1399;
7753;gate-keeper;1400;
7758;vege_1;1398;
7759;final-crs_10;1398;752
7760;vege_0;1400;
7767;final-crs_5;1400;265
7771;meat_1;1396;
7787;final-crs_11;1396;1552
7808;meat_0;1397;
7817;final-crs_0;1397;1133
7833;meat_1;1399;
7845;final-crs_4;1399;411
8064;gate-keeper;1455;
8065;gate-keeper;1456;
8066;vege_1;1455;
8070;vege_0;1456;
8073;final-crs_11;1455;357
8088;final-crs_4;1456;232
8397;gate-keeper;1515;
8398;gate-keeper;1516;
8399;vege_1;1515;
8399;gate-keeper;1517;
8404;final-crs_1;1515;74
8406;vege_0;1516;
8409;vege_1;1517;
8418;final-crs_2;1516;648
8429;final-crs_5;1517;433
8682;gate-keeper;1565;
8683;gate-keeper;1566;
8684;gate-keeper;1567;
8685;vege_1;1567;
8685;gate-keeper;1568;
8695;vege_0;1568;
8704;meat_1;1565;
8710;final-crs_12;1567;1318
8744;meat_0;1566;
8773;final-crs_10;1568;909
8781;final-crs_7;1565;1424
8809;final-crs_6;1566;128
8981;gate-keeper;1622;
8984;vege_1;1622;
9021;final-crs_10;1622;1067
9249;gate-keeper;1669;
9250;gate-keeper;1670;
9254;vege_0;1670;
9256;meat_1;1669;
9264;final-crs_10;1670;389
9276;final-crs_11;1669;376
9663;gate-keeper;1740;
9664;frui_0;1740;
9664;gate-keeper;1741;
9665;gate-keeper;1742;
9666;gate-keeper;1743;
9667;vege_1;1741;
9671;vege_0;1742;
9675;final-crs_10;1740;292
9677;vege_1;1743;
9726;final-crs_5;1741;766
9736;final-crs_4;1742;1215
9805;final-crs_11;1743;600
9967;gate-keeper;1797;
9988;meat_0;1797;
9997;final-crs_5;1797;1014
10123;gate-keeper;1824;
10124;gate-keeper;1825;
10127;vege_0;1825;
10140;meat_1;1824;
10157;final-crs_9;1825;1242
10172;final-crs_10;1824;681
10284;gate-keeper;1851;
10285;gate-keeper;1852;
10286;gate-keeper;1853;
10287;gate-keeper;1854;
10288;vege_1;1851;
10288;gate-keeper;1855;
10289;vege_0;1852;
10296;final-crs_11;1851;710
10298;vege_0;1855;
10309;meat_1;1853;
10312;final-crs_3;1852;416
10313;meat_0;1854;
10317;final-crs_1;1855;394
10332;final-crs_2;1853;285
10340;final-crs_12;1854;684
10589;gate-keeper;1910;
10590;gate-keeper;1911;
10592;vege_0;1910;
10595;final-crs_7;1910;608
10595;vege_1;1911;
10624;final-crs_8;1911;194
10832;gate-keeper;1955;
10838;vege_0;1955;
10845;final-crs_1;1955;879
11136;gate-keeper;2007;
11137;gate-keeper;2008;
11138;gate-keeper;2009;
11140;vege_1;2008;
11146;vege_0;2009;
11158;final-crs_4;2008;715
11167;meat_0;2007;
11185;final-crs_3;2009;232
11199;final-crs_5;2007;473
12079;gate-keeper;2178;
12080;vege_1;2178;
12092;final-crs_8;2178;862
