time;ckpt;id;money
331;gate-keeper;107;
332;gate-keeper;108;
333;gate-keeper;109;
334;gate-keeper;110;
336;meat_0;107;
340;vege_1;110;
381;meat_1;108;
387;meat_0;109;
412;final-crs_8;107;587
421;final-crs_7;110;716
437;final-crs_2;108;1195
448;final-crs_12;109;313
629;gate-keeper;208;
635;meat_0;208;
663;final-crs_8;208;348
834;gate-keeper;275;
839;frui_1;275;
899;final-crs_7;275;494
1633;gate-keeper;541;
1634;frui_0;541;
1634;gate-keeper;542;
1635;gate-keeper;543;
1638;vege_1;543;
1641;meat_1;542;
1643;final-crs_0;541;772
1659;final-crs_6;543;141
1673;final-crs_5;542;1488
1740;gate-keeper;576;
1741;gate-keeper;577;
1742;vege_0;576;
1742;gate-keeper;578;
1743;gate-keeper;579;
1744;vege_1;578;
1744;frui_1;577;
1744;gate-keeper;580;
1755;meat_1;579;
1756;final-crs_10;576;733
1779;meat_0;580;
1789;final-crs_9;578;208
1830;final-crs_2;577;531
1831;final-crs_7;579;1125
1853;final-crs_8;580;960
2216;gate-keeper;736;
2217;gate-keeper;737;
2218;gate-keeper;738;
2219;gate-keeper;739;
2220;vege_1;736;
2220;frui_0;737;
2226;meat_1;738;
2229;final-crs_10;736;931
2260;meat_0;739;
2261;final-crs_9;737;258
2269;final-crs_7;738;220
2307;final-crs_0;739;1008
2522;gate-keeper;841;
2525;vege_0;841;
2549;final-crs_0;841;535
2685;gate-keeper;895;
2688;frui_0;895;
2694;final-crs_11;895;1840
2836;gate-keeper;943;
2837;gate-keeper;944;
2838;gate-keeper;945;
2839;vege_0;943;
2841;vege_1;945;
2849;meat_0;944;
2851;final-crs_5;943;500
2859;final-crs_6;945;431
2886;final-crs_3;944;331
3137;gate-keeper;1041;
3138;gate-keeper;1042;
3139;gate-keeper;1043;
3140;gate-keeper;1044;
3141;gate-keeper;1045;
3142;vege_0;1041;
3142;frui_0;1042;
3142;gate-keeper;1046;
3143;gate-keeper;1047;
3145;vege_1;1043;
3150;vege_0;1044;
3153;final-crs_4;1041;518
3154;vege_1;1046;
3157;meat_0;1045;
3158;vege_0;1047;
3182;final-crs_11;1042;795
3197;final-crs_12;1043;521
3210;final-crs_9;1044;603
3213;final-crs_1;1046;1001
3220;final-crs_10;1045;552
3234;final-crs_0;1047;363
3393;gate-keeper;1132;
3394;gate-keeper;1133;
3396;vege_0;1132;
3399;meat_0;1133;
3428;final-crs_4;1132;101
3441;final-crs_0;1133;673
3645;gate-keeper;1219;
3653;vege_0;1219;
3662;final-crs_12;1219;624
3928;gate-keeper;1312;
3929;gate-keeper;1313;
3931;vege_0;1312;
3935;vege_1;1313;
3939;final-crs_11;1312;163
3940;final-crs_0;1313;137
4219;gate-keeper;1405;
4220;gate-keeper;1406;
4221;gate-keeper;1407;
4222;vege_0;1406;
4222;gate-keeper;1408;
4223;gate-keeper;1409;
4224;frui_1;1405;
4224;gate-keeper;1410;
4225;frui_0;1408;
4238;final-crs_5;1406;392
4246;final-crs_6;1405;960
4270;meat_1;1407;
4280;meat_0;1409;
4288;final-crs_3;1408;78
4331;meat_1;1410;
4346;final-crs_12;1407;1351
4350;gate-keeper;1452;
4351;final-crs_8;1409;591
4351;vege_0;1452;
4351;gate-keeper;1453;
4359;vege_1;1453;
4385;final-crs_11;1410;527
4401;final-crs_7;1452;670
4417;final-crs_1;1453;1052
4462;gate-keeper;1489;
4463;gate-keeper;1490;
4464;gate-keeper;1491;
4466;frui_1;1490;
4467;final-crs_10;1490;716
4467;frui_0;1491;
4470;meat_1;1489;
4483;final-crs_5;1491;470
4574;final-crs_8;1489;433
4795;gate-keeper;1601;
4836;meat_1;1601;
4861;final-crs_4;1601;317
5039;gate-keeper;1677;
5040;gate-keeper;1678;
5041;gate-keeper;1679;
5042;gate-keeper;1680;
5043;gate-keeper;1681;
5044;vege_1;1680;
5045;frui_1;1679;
5047;vege_0;1681;
5055;final-crs_8;1680;903
5077;meat_1;1677;
5083;final-crs_4;1679;624
5084;final-crs_11;1681;723
5095;meat_0;1678;
5106;final-crs_5;1677;968
5146;final-crs_7;1678;715
5246;gate-keeper;1750;
5248;vege_1;1750;
5263;final-crs_10;1750;275
5342;gate-keeper;1780;
5343;frui_0;1780;
5343;gate-keeper;1781;
5344;meat_0;1781;
5349;final-crs_5;1780;299
5356;final-crs_0;1781;1054
5632;gate-keeper;1873;
5633;vege_1;1873;
5633;gate-keeper;1874;
5634;gate-keeper;1875;
5635;gate-keeper;1876;
5636;vege_0;1874;
5640;frui_1;1876;
5641;final-crs_7;1873;778
5641;meat_0;1875;
5666;final-crs_2;1874;834
5683;final-crs_12;1876;1320
5689;final-crs_10;1875;426
6006;gate-keeper;1993;
6007;gate-keeper;1994;
6008;gate-keeper;1995;
6009;vege_1;1994;
6009;gate-keeper;1996;
6010;frui_1;1993;
6010;gate-keeper;1997;
6011;gate-keeper;1998;
6012;gate-keeper;1999;
6013;frui_0;1996;
6013;gate-keeper;2000;
6014;gate-keeper;2001;
6015;vege_0;1995;
6015;gate-keeper;2002;
6017;frui_1;1997;
6018;vege_1;1998;
6020;frui_0;2002;
6025;vege_0;1999;
6029;vege_1;2000;
6034;vege_0;2001;
6041;final-crs_5;1994;892
6066;final-crs_11;1993;740
6086;final-crs_0;1996;263
6096;final-crs_1;1995;1272
6110;final-crs_9;1997;1031
6122;final-crs_7;1998;1473
6144;final-crs_2;2002;188
6144;final-crs_10;1999;1751
6161;final-crs_12;2000;602
6197;gate-keeper;2064;
6198;gate-keeper;2065;
6199;vege_0;2064;
6199;gate-keeper;2066;
6200;frui_1;2065;
6204;frui_0;2066;
6209;final-crs_8;2001;1492
6213;final-crs_3;2064;1026
6237;final-crs_4;2065;976
6241;final-crs_6;2066;101
6350;gate-keeper;2117;
6351;frui_1;2117;
6364;final-crs_2;2117;206
6657;gate-keeper;2222;
6660;frui_1;2222;
6663;final-crs_7;2222;1200
6953;gate-keeper;2319;
6954;vege_0;2319;
6954;gate-keeper;2320;
6955;final-crs_8;2319;188
6955;frui_1;2320;
6965;final-crs_6;2320;846
7305;gate-keeper;2436;
7306;gate-keeper;2437;
7307;gate-keeper;2438;
7311;vege_1;2436;
7312;vege_0;2437;
7320;vege_1;2438;
7352;final-crs_12;2436;324
7367;final-crs_2;2437;861
7375;final-crs_10;2438;680
7583;gate-keeper;2524;
