time;ckpt;id;money
301;gate-keeper;99;
316;meat_1;99;
417;final-crs_7;99;360
622;gate-keeper;203;
623;gate-keeper;204;
624;gate-keeper;205;
625;frui_0;204;
628;vege_1;203;
632;meat_0;205;
654;final-crs_9;204;638
672;final-crs_5;203;947
675;final-crs_3;205;1006
936;gate-keeper;308;
948;meat_1;308;
975;final-crs_1;308;1901
1199;gate-keeper;397;
1204;vege_0;397;
1215;final-crs_4;397;671
1481;gate-keeper;490;
1482;gate-keeper;491;
1483;gate-keeper;492;
1484;gate-keeper;493;
1487;frui_0;490;
1487;frui_1;492;
1513;meat_0;491;
1534;final-crs_6;490;588
1536;meat_1;493;
1537;final-crs_7;492;2125
1561;final-crs_10;491;1316
1567;final-crs_9;493;1461
1777;gate-keeper;589;
1778;gate-keeper;590;
1779;gate-keeper;591;
1780;gate-keeper;592;
1781;frui_1;590;
1788;vege_1;591;
1794;final-crs_5;590;347
1802;final-crs_10;591;464
1804;meat_0;589;
1818;final-crs_8;589;1177
1829;gate-keeper;610;
1836;meat_1;592;
1857;final-crs_9;592;1609
1857;meat_0;610;
1858;final-crs_3;610;978
2414;gate-keeper;803;
2415;gate-keeper;804;
2416;gate-keeper;805;
2417;gate-keeper;806;
2418;vege_0;803;
2420;vege_1;804;
2427;vege_0;805;
2428;vege_1;806;
2486;final-crs_10;803;221
2488;final-crs_8;804;697
2493;final-crs_0;805;136
2509;final-crs_9;806;774
2566;gate-keeper;854;
2567;gate-keeper;855;
2568;frui_0;854;
2570;vege_0;855;
2575;final-crs_12;854;1529
2580;final-crs_3;855;1366
3011;gate-keeper;1004;
3013;frui_0;1004;
3019;final-crs_12;1004;622
3285;gate-keeper;1092;
3286;gate-keeper;1093;
3287;gate-keeper;1094;
3288;gate-keeper;1095;
3289;gate-keeper;1096;
3290;frui_1;1092;
3291;final-crs_12;1092;554
3291;frui_0;1093;
3295;vege_1;1096;
3297;frui_1;1094;
3298;frui_0;1095;
3308;final-crs_2;1093;637
3312;final-crs_7;1096;469
3345;final-crs_4;1094;926
3361;gate-keeper;1122;
3362;frui_0;1122;
3405;final-crs_1;1095;211
3418;final-crs_5;1122;475
3595;gate-keeper;1201;
3596;gate-keeper;1202;
3598;vege_1;1202;
3599;meat_1;1201;
3639;final-crs_1;1202;315
3651;final-crs_5;1201;1831
3899;gate-keeper;1302;
3900;gate-keeper;1303;
3902;vege_0;1303;
3904;frui_1;1302;
3907;final-crs_8;1303;451
3912;final-crs_9;1302;73
4193;gate-keeper;1401;
4194;gate-keeper;1402;
4196;vege_1;1401;
4201;vege_0;1402;
4206;final-crs_6;1401;1067
4208;final-crs_0;1402;620
4293;gate-keeper;1434;
4296;frui_1;1434;
4302;final-crs_1;1434;157
4520;gate-keeper;1508;
4521;gate-keeper;1509;
4522;gate-keeper;1510;
4523;vege_1;1508;
4526;frui_0;1509;
4527;final-crs_1;1508;424
4528;frui_1;1510;
4534;final-crs_2;1509;840
4547;final-crs_12;1510;482
4800;gate-keeper;1603;
4805;vege_0;1603;
4813;final-crs_12;1603;1140
5108;gate-keeper;1704;
5156;meat_1;1704;
5177;final-crs_3;1704;983
5390;gate-keeper;1792;
5391;frui_1;1792;
5391;gate-keeper;1793;
5392;gate-keeper;1794;
5393;meat_1;1793;
5393;gate-keeper;1795;
5394;gate-keeper;1796;
5395;gate-keeper;1797;
5396;vege_0;1795;
5397;frui_0;1794;
5398;frui_1;1797;
5419;meat_0;1796;
5435;final-crs_7;1792;658
5453;final-crs_6;1793;1192
5461;final-crs_1;1795;1355
5467;final-crs_2;1794;513
5470;final-crs_4;1797;125
5471;final-crs_5;1796;63
5682;gate-keeper;1893;
5684;vege_0;1893;
5691;final-crs_10;1893;94
6040;gate-keeper;2012;
6045;vege_1;2012;
6061;final-crs_12;2012;542
6158;gate-keeper;2046;
6159;gate-keeper;2047;
6160;vege_1;2047;
6160;gate-keeper;2048;
6161;gate-keeper;2049;
6162;gate-keeper;2050;
6163;frui_0;2049;
6163;meat_1;2046;
6163;gate-keeper;2051;
6164;vege_0;2048;
6164;gate-keeper;2052;
6167;frui_1;2052;
6169;final-crs_2;2047;491
6171;vege_1;2050;
6172;final-crs_10;2049;1028
6176;final-crs_6;2046;459
6182;final-crs_5;2048;735
6185;meat_0;2051;
6194;final-crs_3;2052;126
6199;final-crs_1;2050;114
6244;final-crs_0;2051;618
6360;gate-keeper;2120;
6386;meat_0;2120;
6406;final-crs_8;2120;350
6634;gate-keeper;2213;
6635;gate-keeper;2214;
6640;frui_0;2213;
6651;meat_1;2214;
6669;final-crs_1;2213;66
6673;final-crs_4;2214;521
7013;gate-keeper;2338;
7014;gate-keeper;2339;
7015;vege_0;2339;
7015;gate-keeper;2340;
7062;final-crs_12;2339;1691
7068;meat_0;2338;
7073;final-crs_8;2338;228
7076;meat_1;2340;
7082;final-crs_3;2340;78
7183;gate-keeper;2396;
7184;gate-keeper;2397;
7187;vege_1;2396;
7188;meat_0;2397;
7191;final-crs_4;2396;1239
7209;final-crs_11;2397;1215
7527;gate-keeper;2511;
7532;frui_0;2511;
7535;final-crs_12;2511;953
7824;gate-keeper;2607;
7825;gate-keeper;2608;
7826;frui_1;2607;
7826;gate-keeper;2609;
7827;frui_0;2608;
7831;final-crs_7;2607;198
7832;frui_1;2609;
7846;final-crs_10;2608;94
7852;final-crs_1;2609;1529
8115;gate-keeper;2704;
8116;frui_1;2704;
8116;gate-keeper;2705;
8117;final-crs_7;2704;778
8117;vege_0;2705;
8117;gate-keeper;2706;
8118;gate-keeper;2707;
8121;vege_1;2707;
8122;frui_1;2706;
8129;final-crs_1;2705;1588
8131;final-crs_4;2707;482
8155;final-crs_11;2706;1227
8437;gate-keeper;2811;
8438;gate-keeper;2812;
8439;gate-keeper;2813;
8440;vege_1;2812;
8440;gate-keeper;2814;
8442;frui_0;2814;
8458;final-crs_12;2812;337
8465;final-crs_0;2814;70
8474;meat_1;2811;
8478;final-crs_9;2811;624
8481;meat_0;2813;
8486;final-crs_6;2813;478
8770;gate-keeper;2926;
8771;gate-keeper;2927;
8773;vege_0;2926;
8780;vege_1;2927;
8783;final-crs_3;2926;343
8795;final-crs_8;2927;1098
8899;gate-keeper;2962;
8900;gate-keeper;2963;
8901;gate-keeper;2964;
8902;vege_1;2963;
8902;gate-keeper;2965;
8903;gate-keeper;2966;
8904;frui_0;2966;
8904;gate-keeper;2967;
