time;ckpt;id;money
299;gate-keeper;98;
303;frui_1;98;
438;final-crs_8;98;670
642;gate-keeper;210;
643;gate-keeper;211;
644;gate-keeper;212;
647;meat_0;211;
648;vege_0;210;
653;vege_1;212;
674;final-crs_8;211;842
675;final-crs_0;210;1013
690;final-crs_3;212;898
1259;gate-keeper;411;
1260;vege_0;411;
1260;gate-keeper;412;
1261;gate-keeper;413;
1262;gate-keeper;414;
1263;gate-keeper;415;
1264;frui_0;414;
1264;frui_1;415;
1264;gate-keeper;416;
1265;gate-keeper;417;
1266;gate-keeper;418;
1267;vege_0;412;
1267;vege_1;413;
1270;frui_0;416;
1271;final-crs_4;411;930
1271;frui_1;418;
1282;final-crs_11;414;131
1285;meat_1;417;
1290;final-crs_9;415;623
1358;final-crs_8;412;708
1364;final-crs_0;413;974
1404;final-crs_3;416;1489
1411;final-crs_2;418;281
1425;final-crs_6;417;775
1549;gate-keeper;509;
1550;frui_1;509;
1550;gate-keeper;510;
1551;gate-keeper;511;
1552;gate-keeper;512;
1553;vege_1;510;
1553;gate-keeper;513;
1554;gate-keeper;514;
1555;gate-keeper;515;
1556;frui_1;512;
1557;vege_0;511;
1558;frui_0;514;
1562;vege_1;513;
1563;final-crs_9;509;932
1577;final-crs_8;510;1286
1581;meat_0;515;
1617;final-crs_0;512;1578
1640;final-crs_3;511;109
1650;final-crs_2;514;657
1657;final-crs_7;513;216
1668;final-crs_1;515;66
1836;gate-keeper;612;
1840;vege_0;612;
1873;final-crs_3;612;741
2053;gate-keeper;683;
2054;gate-keeper;684;
2055;gate-keeper;685;
2056;frui_0;683;
2057;frui_1;684;
2074;meat_1;685;
2092;final-crs_0;683;507
2103;final-crs_8;684;1033
2113;final-crs_3;685;428
2377;gate-keeper;794;
2379;vege_0;794;
2386;final-crs_8;794;497
2707;gate-keeper;901;
2708;gate-keeper;902;
2709;frui_0;902;
2721;meat_0;901;
2737;final-crs_5;902;309
2750;final-crs_4;901;91
2751;gate-keeper;917;
2752;frui_0;917;
2754;final-crs_9;917;678
3345;gate-keeper;1115;
3346;gate-keeper;1116;
3348;frui_1;1115;
3351;final-crs_10;1115;528
3354;vege_0;1116;
3364;final-crs_8;1116;236
3589;gate-keeper;1197;
3590;gate-keeper;1198;
3591;gate-keeper;1199;
3592;frui_1;1197;
3592;gate-keeper;1200;
3593;vege_0;1199;
3594;frui_0;1198;
3595;vege_1;1200;
3604;final-crs_2;1197;688
3616;final-crs_3;1199;210
3616;final-crs_7;1198;1218
3619;final-crs_1;1200;979
3644;gate-keeper;1218;
3647;vege_1;1218;
3650;final-crs_5;1218;1155
3717;gate-keeper;1230;
3718;gate-keeper;1231;
3719;frui_0;1231;
3719;gate-keeper;1232;
3720;gate-keeper;1233;
3721;gate-keeper;1234;
3722;vege_1;1234;
3722;gate-keeper;1235;
3723;gate-keeper;1236;
3724;gate-keeper;1237;
3725;gate-keeper;1238;
3726;frui_0;1232;
3726;frui_1;1233;
3726;gate-keeper;1239;
3727;gate-keeper;1240;
3728;gate-keeper;1241;
3729;gate-keeper;1242;
3730;vege_0;1235;
3732;frui_0;1236;
3733;vege_1;1237;
3733;frui_1;1240;
3736;final-crs_9;1231;492
3738;frui_1;1242;
3739;vege_0;1238;
3741;vege_1;1239;
3746;final-crs_0;1234;906
3759;meat_0;1230;
3768;meat_1;1241;
3788;final-crs_12;1232;1786
3827;final-crs_7;1233;333
3842;final-crs_10;1235;582
3851;final-crs_2;1236;161
3855;final-crs_3;1237;771
3860;final-crs_6;1240;1377
3870;final-crs_8;1242;185
3880;final-crs_4;1238;665
3888;final-crs_1;1239;1140
3903;final-crs_5;1230;426
3944;final-crs_11;1241;1379
3954;gate-keeper;1322;
3958;vege_1;1322;
3964;final-crs_0;1322;572
4290;gate-keeper;1431;
4291;gate-keeper;1432;
4292;frui_1;1431;
4292;gate-keeper;1433;
4294;frui_0;1432;
4299;frui_1;1433;
4308;final-crs_7;1431;1960
4313;final-crs_10;1432;1032
4326;final-crs_4;1433;999
4555;gate-keeper;1520;
4556;gate-keeper;1521;
4557;frui_0;1521;
4559;vege_1;1520;
4576;final-crs_3;1521;760
4593;gate-keeper;1528;
4594;gate-keeper;1529;
4595;vege_1;1528;
4595;gate-keeper;1530;
4596;gate-keeper;1531;
4597;gate-keeper;1532;
4598;gate-keeper;1533;
4599;final-crs_12;1520;752
4600;vege_0;1529;
4600;frui_0;1533;
4603;vege_1;1530;
4603;meat_0;1531;
4611;vege_0;1532;
4613;final-crs_2;1528;2237
4624;final-crs_8;1529;767
4638;final-crs_5;1533;531
4656;final-crs_1;1530;168
4659;final-crs_11;1531;1059
4734;final-crs_9;1532;708
4934;gate-keeper;1644;
4935;gate-keeper;1645;
4936;gate-keeper;1646;
4942;vege_0;1646;
4976;meat_0;1644;
4976;meat_1;1645;
4979;final-crs_9;1646;1195
4994;final-crs_6;1644;1161
5017;final-crs_12;1645;422
5233;gate-keeper;1746;
5237;vege_1;1746;
5238;final-crs_0;1746;431
5395;gate-keeper;1798;
5396;gate-keeper;1799;
5399;vege_0;1798;
5402;meat_1;1799;
5424;final-crs_11;1798;84
5435;final-crs_1;1799;618
5570;gate-keeper;1855;
5574;vege_0;1855;
5627;final-crs_5;1855;1298
5917;gate-keeper;1972;
5918;gate-keeper;1973;
5931;meat_0;1972;
5934;final-crs_1;1972;720
5950;meat_1;1973;
5970;final-crs_0;1973;806
6279;gate-keeper;2087;
6280;gate-keeper;2088;
6281;frui_0;2087;
6281;gate-keeper;2089;
6282;gate-keeper;2090;
6283;vege_0;2090;
6283;gate-keeper;2091;
6284;gate-keeper;2092;
6285;frui_1;2088;
6285;gate-keeper;2093;
6286;vege_1;2091;
6293;vege_0;2093;
6294;final-crs_3;2087;416
6314;meat_1;2089;
6333;meat_0;2092;
6359;final-crs_11;2090;81
6366;gate-keeper;2121;
6367;gate-keeper;2122;
6368;vege_0;2122;
6368;frui_0;2121;
6383;final-crs_8;2088;1142
6389;final-crs_12;2091;1237
6409;final-crs_1;2093;1390
6434;final-crs_4;2089;1225
6439;final-crs_0;2092;1210
6441;final-crs_5;2122;1297
6447;final-crs_2;2121;762
