time;ckpt;id;money
603;gate-keeper;173;
604;gate-keeper;174;
605;vege_0;174;
611;meat_1;173;
658;final-crs_5;174;2642
678;final-crs_7;173;456
865;gate-keeper;249;
866;frui_0;249;
866;gate-keeper;250;
867;gate-keeper;251;
870;vege_1;250;
872;vege_0;251;
918;final-crs_5;249;3098
919;final-crs_11;250;926
928;final-crs_0;251;960
972;gate-keeper;281;
973;gate-keeper;282;
981;vege_0;281;
990;final-crs_12;281;610
1000;meat_0;282;
1018;final-crs_6;282;3619
1467;gate-keeper;422;
1468;gate-keeper;423;
1469;gate-keeper;424;
1470;vege_0;422;
1470;gate-keeper;425;
1471;gate-keeper;426;
1473;vege_1;423;
1479;final-crs_3;422;2336
1481;vege_0;424;
1482;vege_1;425;
1485;final-crs_8;423;1017
1490;vege_0;426;
1492;final-crs_10;424;1629
1531;final-crs_2;425;2323
1618;final-crs_9;426;976
1773;gate-keeper;514;
1774;gate-keeper;515;
1775;frui_0;515;
1775;gate-keeper;516;
1777;vege_1;514;
1782;vege_0;516;
1798;final-crs_2;515;2661
1872;final-crs_9;514;1585
1890;final-crs_7;516;1899
1921;gate-keeper;556;
1922;vege_0;556;
1922;gate-keeper;557;
1923;gate-keeper;558;
1924;gate-keeper;559;
1926;final-crs_4;556;1868
1928;vege_1;557;
1929;final-crs_6;557;1246
1933;vege_0;558;
1934;final-crs_12;558;2356
1937;vege_1;559;
1940;final-crs_0;559;212
2044;gate-keeper;594;
2052;vege_1;594;
2127;final-crs_7;594;789
2639;gate-keeper;772;
2640;gate-keeper;773;
2642;vege_0;772;
2648;vege_1;773;
2672;final-crs_4;772;1534
2696;final-crs_11;773;1782
2800;gate-keeper;817;
2801;gate-keeper;818;
2802;gate-keeper;819;
2804;vege_1;817;
2807;vege_0;818;
2838;meat_0;819;
2882;final-crs_12;817;531
2898;final-crs_1;818;2001
2913;final-crs_4;819;2926
2973;gate-keeper;869;
2975;vege_1;869;
3015;final-crs_2;869;1626
3291;gate-keeper;961;
3292;gate-keeper;962;
3293;vege_0;961;
3294;vege_1;962;
3306;final-crs_7;961;1790
3332;gate-keeper;971;
3333;gate-keeper;972;
3334;vege_1;971;
3334;frui_0;972;
3334;gate-keeper;973;
3341;vege_0;973;
3343;final-crs_1;962;1517
3356;final-crs_12;971;2453
3378;final-crs_8;972;2247
3387;final-crs_6;973;1148
3661;gate-keeper;1070;
3669;vege_0;1070;
3671;final-crs_3;1070;1033
3858;gate-keeper;1129;
3861;vege_1;1129;
3873;final-crs_3;1129;2312
3988;gate-keeper;1160;
3989;gate-keeper;1161;
3990;gate-keeper;1162;
3991;gate-keeper;1163;
3992;gate-keeper;1164;
3993;gate-keeper;1165;
3994;gate-keeper;1166;
3995;gate-keeper;1167;
3996;vege_0;1161;
3997;frui_1;1167;
3998;vege_1;1162;
4007;vege_0;1163;
4007;vege_1;1164;
4013;meat_1;1160;
4015;final-crs_2;1161;1366
4017;vege_0;1165;
4017;vege_1;1166;
4028;final-crs_7;1167;2316
4043;final-crs_10;1162;5478
4073;final-crs_8;1163;2268
4127;final-crs_11;1164;3510
4143;final-crs_3;1160;2176
4158;final-crs_1;1165;2621
4164;final-crs_5;1166;1813
4534;gate-keeper;1323;
4535;gate-keeper;1324;
4538;frui_0;1324;
4539;vege_1;1323;
4547;final-crs_10;1324;1451
4595;final-crs_11;1323;3622
4756;gate-keeper;1387;
4757;gate-keeper;1388;
4758;gate-keeper;1389;
4759;gate-keeper;1390;
4763;vege_1;1387;
4766;vege_0;1388;
4772;vege_1;1389;
4776;vege_0;1390;
4777;gate-keeper;1395;
4778;gate-keeper;1396;
4779;gate-keeper;1397;
4782;vege_1;1395;
4783;final-crs_7;1387;1759
4783;final-crs_10;1388;1935
4786;vege_0;1396;
4793;meat_0;1397;
4834;final-crs_3;1389;733
4843;final-crs_9;1390;1014
4873;final-crs_6;1395;3393
4881;final-crs_5;1396;1211
4882;final-crs_11;1397;190
5068;gate-keeper;1475;
5069;meat_1;1475;
5069;gate-keeper;1476;
5070;gate-keeper;1477;
5071;vege_0;1476;
5071;gate-keeper;1478;
5072;gate-keeper;1479;
5073;gate-keeper;1480;
5074;gate-keeper;1481;
5075;gate-keeper;1482;
5077;vege_1;1477;
5080;vege_0;1479;
5086;vege_1;1480;
5089;vege_0;1481;
5091;meat_0;1478;
5095;vege_1;1482;
5115;final-crs_5;1475;435
5116;final-crs_11;1476;241
5119;final-crs_6;1477;903
5130;final-crs_1;1479;1210
5198;final-crs_12;1480;1819
5204;final-crs_4;1481;858
5218;final-crs_10;1478;2392
5227;final-crs_7;1482;290
5373;gate-keeper;1574;
5382;vege_0;1574;
5408;final-crs_1;1574;2363
5691;gate-keeper;1664;
5692;vege_1;1664;
5692;gate-keeper;1665;
5693;gate-keeper;1666;
5694;gate-keeper;1667;
5699;final-crs_7;1664;1272
5699;vege_0;1665;
5700;vege_1;1666;
5708;vege_1;1667;
5716;final-crs_10;1665;3283
5717;final-crs_9;1666;4031
5725;gate-keeper;1675;
5726;gate-keeper;1676;
5727;gate-keeper;1677;
5728;gate-keeper;1678;
5729;final-crs_8;1667;4009
5729;vege_0;1675;
5732;frui_1;1678;
5735;vege_1;1676;
5738;vege_0;1677;
5740;final-crs_3;1675;1602
5780;final-crs_0;1678;2574
5793;final-crs_11;1676;2893
5869;final-crs_6;1677;169
5958;gate-keeper;1747;
5959;gate-keeper;1748;
5960;gate-keeper;1749;
5961;vege_0;1747;
5961;gate-keeper;1750;
5962;vege_1;1748;
5963;frui_0;1749;
5966;final-crs_9;1747;2342
5971;vege_0;1750;
5991;final-crs_0;1748;928
6045;final-crs_11;1749;2967
6083;final-crs_12;1750;64
6593;gate-keeper;1932;
6594;frui_0;1932;
6594;gate-keeper;1933;
6595;gate-keeper;1934;
6596;gate-keeper;1935;
6597;vege_0;1933;
6597;vege_1;1934;
6597;gate-keeper;1936;
6600;frui_0;1936;
6607;vege_0;1935;
6613;final-crs_3;1932;3857
6634;final-crs_4;1933;1709
6637;final-crs_5;1934;76
6643;final-crs_7;1936;706
6662;final-crs_10;1935;965
6680;gate-keeper;1959;
6681;gate-keeper;1960;
6682;frui_0;1959;
6682;gate-keeper;1961;
6683;gate-keeper;1962;
6685;vege_0;1960;
6686;vege_1;1961;
6689;final-crs_8;1959;733
6694;vege_0;1962;
6711;final-crs_9;1960;2115
6797;final-crs_1;1961;1800
6802;final-crs_11;1962;385
7201;gate-keeper;2111;
7202;gate-keeper;2112;
7203;gate-keeper;2113;
7204;gate-keeper;2114;
7205;gate-keeper;2115;
7206;frui_0;2111;
7207;frui_1;2114;
7209;vege_0;2112;
7209;vege_1;2113;
7218;vege_0;2115;
7227;final-crs_0;2111;4046
7288;final-crs_1;2114;177
7294;final-crs_11;2112;642
7309;final-crs_6;2113;1257
7313;final-crs_12;2115;2274
7540;gate-keeper;2212;
7541;gate-keeper;2213;
7542;vege_0;2213;
7546;frui_0;2212;
7560;final-crs_12;2213;572
7563;final-crs_6;2212;2168
7623;gate-keeper;2230;
7624;gate-keeper;2231;
7625;gate-keeper;2232;
7626;gate-keeper;2233;
7627;gate-keeper;2234;
7628;gate-keeper;2235;
7629;gate-keeper;2236;
7630;gate-keeper;2237;
7631;vege_1;2230;
7631;frui_1;2234;
7632;vege_0;2231;
7637;meat_0;2237;
7641;final-crs_10;2230;1442
7642;vege_0;2232;
7642;vege_1;2233;
7650;vege_0;2235;
7651;vege_1;2236;
7654;final-crs_4;2234;919
7654;final-crs_7;2231;1002
7680;final-crs_8;2237;2221
7704;final-crs_9;2232;671
7710;final-crs_0;2233;4087
7742;final-crs_11;2235;1138
7746;final-crs_3;2236;3122
8378;gate-keeper;2462;
8379;frui_0;2462;
8382;final-crs_9;2462;303
8442;gate-keeper;2480;
8443;gate-keeper;2481;
8444;frui_1;2480;
8446;final-crs_3;2480;2963
8447;vege_1;2481;
8490;final-crs_2;2481;1019
8694;gate-keeper;2549;
8695;gate-keeper;2550;
8696;gate-keeper;2551;
8697;vege_1;2549;
8697;gate-keeper;2552;
8698;vege_0;2550;
8698;gate-keeper;2553;
8699;gate-keeper;2554;
8703;final-crs_2;2549;598
8703;meat_1;2554;
8707;vege_0;2551;
8707;vege_1;2552;
8717;vege_0;2553;
8737;final-crs_6;2550;119
8740;final-crs_1;2554;913
8760;final-crs_10;2551;1267
8812;final-crs_12;2552;3298
8841;final-crs_9;2553;2257
8997;gate-keeper;2642;
9002;vege_0;2642;
9022;final-crs_12;2642;4739
9160;gate-keeper;2689;
9163;vege_0;2689;
9171;final-crs_2;2689;650
9329;gate-keeper;2740;
9332;vege_0;2740;
9338;final-crs_9;2740;773
9959;gate-keeper;2924;
9960;gate-keeper;2925;
9961;vege_0;2924;
9962;frui_0;2925;
9987;final-crs_2;2924;245
9988;final-crs_11;2925;2198
10120;gate-keeper;2971;
10121;frui_0;2971;
10168;final-crs_6;2971;1786
10804;gate-keeper;3174;
10812;vege_0;3174;
10842;final-crs_4;3174;2686
10996;gate-keeper;3231;
11002;frui_0;3231;
11013;final-crs_1;3231;111
11107;gate-keeper;3259;
11108;gate-keeper;3260;
11109;gate-keeper;3261;
11110;gate-keeper;3262;
11113;vege_0;3259;
11113;frui_1;3262;
11116;vege_1;3260;
11132;meat_0;3261;
11152;final-crs_2;3259;427
11174;final-crs_6;3262;991
11200;final-crs_3;3260;2075
11245;final-crs_1;3261;2711
11389;gate-keeper;3344;
11390;gate-keeper;3345;
11392;vege_0;3345;
11403;final-crs_6;3345;843
11436;gate-keeper;3360;
11438;vege_0;3360;
11443;final-crs_3;3360;750
11447;meat_0;3344;
11465;final-crs_12;3344;2005
11611;gate-keeper;3410;
11623;meat_0;3410;
11700;final-crs_3;3410;2018
11926;gate-keeper;3503;
11928;frui_0;3503;
11971;final-crs_3;3503;214
12174;gate-keeper;3576;
12184;meat_0;3576;
12195;final-crs_9;3576;651
12449;gate-keeper;3656;
12476;meat_1;3656;
12486;final-crs_12;3656;1930
12699;gate-keeper;3727;
12704;vege_1;3727;
12710;final-crs_9;3727;4143
12790;gate-keeper;3753;
12792;vege_1;3753;
12809;final-crs_1;3753;891
13092;gate-keeper;3840;
13093;gate-keeper;3841;
13095;frui_0;3840;
13096;final-crs_8;3840;2712
13096;vege_1;3841;
13164;final-crs_0;3841;964
13384;gate-keeper;3929;
13388;vege_0;3929;
13392;final-crs_0;3929;236
13548;gate-keeper;3976;
13555;vege_0;3976;
13573;final-crs_0;3976;2550
13692;gate-keeper;4015;
13693;gate-keeper;4016;
13694;gate-keeper;4017;
13698;vege_1;4015;
13699;vege_0;4016;
13708;vege_0;4017;
13713;final-crs_4;4015;2880
13721;final-crs_9;4016;2710
13724;final-crs_11;4017;1656
13981;gate-keeper;4092;
13982;gate-keeper;4093;
13983;frui_1;4092;
13983;gate-keeper;4094;
13984;vege_1;4093;
13984;gate-keeper;4095;
13985;vege_0;4094;
13985;gate-keeper;4096;
13986;gate-keeper;4097;
13987;final-crs_5;4092;4331
13987;gate-keeper;4098;
13988;final-crs_4;4093;1881
13988;gate-keeper;4099;
13989;frui_1;4098;
13989;gate-keeper;4100;
13990;gate-keeper;4101;
13993;vege_1;4095;
13995;vege_0;4096;
13999;final-crs_6;4094;2377
14001;final-crs_10;4098;2824
14003;vege_1;4097;
14005;vege_0;4099;
14013;vege_1;4100;
14016;vege_0;4101;
14038;final-crs_8;4095;1000
14056;final-crs_2;4096;3563
14090;final-crs_7;4097;1279
14117;final-crs_3;4099;3911
14119;final-crs_1;4100;4031
14141;final-crs_0;4101;929
14304;gate-keeper;4196;
14308;meat_0;4196;
14313;final-crs_1;4196;1238
14536;gate-keeper;4267;
14537;vege_1;4267;
14547;final-crs_1;4267;2060
14599;gate-keeper;4280;
14600;gate-keeper;4281;
14601;gate-keeper;4282;
14602;gate-keeper;4283;
14603;gate-keeper;4284;
14604;gate-keeper;4285;
14605;frui_0;4280;
14605;gate-keeper;4286;
14607;vege_1;4281;
14610;vege_0;4282;
14612;frui_0;4286;
14615;vege_1;4283;
14620;vege_0;4285;
14649;meat_1;4284;
14654;final-crs_11;4280;376
14672;final-crs_5;4281;886
14681;final-crs_12;4282;1811
14706;final-crs_2;4286;961
14732;final-crs_9;4283;2356
14760;final-crs_8;4285;2601
14778;final-crs_6;4284;2616
14865;gate-keeper;4361;
14866;gate-keeper;4362;
14867;gate-keeper;4363;
14868;vege_1;4361;
14868;gate-keeper;4364;
14869;frui_0;4363;
14869;gate-keeper;4365;
14870;gate-keeper;4366;
14872;vege_0;4365;
14872;frui_1;4366;
14889;meat_0;4362;
14900;meat_1;4364;
14902;final-crs_11;4361;2995
14953;final-crs_5;4363;564
14961;final-crs_12;4365;728
14970;final-crs_2;4366;333
14995;final-crs_8;4362;2231
14996;final-crs_9;4364;1259
15208;gate-keeper;4465;
15209;gate-keeper;4466;
15210;gate-keeper;4467;
15211;vege_0;4467;
15211;gate-keeper;4468;
15212;frui_1;4466;
15218;vege_1;4468;
15227;final-crs_9;4467;2985
15239;final-crs_8;4466;679
15242;final-crs_1;4468;1406
15247;meat_0;4465;
15248;final-crs_10;4465;407
15437;gate-keeper;4536;
15438;vege_0;4536;
15438;gate-keeper;4537;
15443;vege_1;4537;
15455;final-crs_9;4536;4372
15459;final-crs_0;4537;1296
15473;gate-keeper;4545;
15474;gate-keeper;4546;
15475;gate-keeper;4547;
15476;frui_0;4545;
15476;frui_1;4546;
15476;gate-keeper;4548;
15478;vege_0;4548;
15482;frui_0;4547;
15484;final-crs_6;4545;1676
15504;final-crs_8;4546;3199
15505;final-crs_1;4548;700
15508;final-crs_3;4547;2153
15515;gate-keeper;4558;
15516;gate-keeper;4559;
15517;vege_1;4558;
15517;gate-keeper;4560;
15525;vege_0;4559;
15527;vege_1;4560;
15536;final-crs_4;4558;1758
15605;final-crs_11;4559;2261
15641;final-crs_5;4560;459
15843;gate-keeper;4656;
15848;vege_1;4656;
15869;final-crs_11;4656;376
16172;gate-keeper;4752;
16173;gate-keeper;4753;
16174;vege_0;4753;
16182;meat_1;4752;
16190;final-crs_3;4753;1150
16210;final-crs_1;4752;1833
16326;gate-keeper;4794;
16327;gate-keeper;4795;
16328;gate-keeper;4796;
16329;gate-keeper;4797;
16331;vege_0;4794;
16332;vege_1;4796;
16332;meat_0;4795;
16339;vege_0;4797;
16343;final-crs_2;4794;1039
16396;final-crs_3;4796;468
16398;final-crs_12;4795;449
16409;final-crs_11;4797;602
16441;gate-keeper;4832;
16443;vege_0;4832;
16467;final-crs_9;4832;1058
16808;gate-keeper;4938;
16809;gate-keeper;4939;
16810;gate-keeper;4940;
16811;gate-keeper;4941;
16812;gate-keeper;4942;
16813;frui_1;4940;
16813;gate-keeper;4943;
16815;vege_1;4938;
16816;vege_0;4939;
16818;final-crs_4;4940;2001
16823;meat_1;4942;
16825;vege_0;4941;
16828;meat_0;4943;
16898;final-crs_12;4938;554
16912;final-crs_11;4939;561
16923;final-crs_6;4942;1745
16930;final-crs_7;4941;2404
16937;final-crs_3;4943;1481
17085;gate-keeper;5023;
17086;gate-keeper;5024;
17087;gate-keeper;5025;
17090;frui_0;5023;
17094;vege_0;5024;
17096;vege_1;5025;
17126;final-crs_12;5023;1778
17162;final-crs_6;5024;1743
17168;final-crs_3;5025;3137
17277;gate-keeper;5081;
17310;meat_1;5081;
17311;gate-keeper;5091;
17313;vege_1;5091;
17327;final-crs_12;5081;1684
17350;final-crs_4;5091;514
17650;gate-keeper;5189;
17657;vege_0;5189;
17662;final-crs_10;5189;2718
17949;gate-keeper;5276;
17953;vege_0;5276;
17955;final-crs_8;5276;75
18144;gate-keeper;5324;
18145;gate-keeper;5325;
18146;frui_1;5324;
18146;gate-keeper;5326;
18147;vege_1;5325;
18147;gate-keeper;5327;
18148;gate-keeper;5328;
18149;gate-keeper;5329;
18150;gate-keeper;5330;
18151;gate-keeper;5331;
18152;final-crs_3;5324;1116
18152;vege_0;5326;
18152;frui_1;5331;
18152;gate-keeper;5332;
18153;meat_0;5327;
