time;ckpt;id;money
277;gate-keeper;79;
278;vege_0;79;
452;final-crs_5;79;60
1232;gate-keeper;357;
1234;vege_1;357;
1250;final-crs_1;357;3806
1515;gate-keeper;439;
1516;frui_1;439;
1516;gate-keeper;440;
1520;frui_0;440;
1618;final-crs_5;439;2808
1618;final-crs_6;440;2231
1855;gate-keeper;540;
1857;vege_0;540;
1865;final-crs_5;540;436
1865;gate-keeper;543;
1867;frui_0;543;
1873;final-crs_4;543;1870
2133;gate-keeper;617;
2134;gate-keeper;618;
2135;gate-keeper;619;
2136;meat_1;617;
2136;gate-keeper;620;
2140;vege_0;618;
2140;frui_0;619;
2141;vege_1;620;
2168;final-crs_9;617;4106
2177;final-crs_8;618;1965
2207;final-crs_7;619;1968
2222;final-crs_1;620;2934
2442;gate-keeper;711;
2443;gate-keeper;712;
2446;vege_1;711;
2447;vege_0;712;
2461;final-crs_3;711;538
2463;final-crs_1;712;360
2610;gate-keeper;764;
2616;vege_1;764;
2617;final-crs_0;764;390
2693;gate-keeper;786;
2694;gate-keeper;787;
2695;gate-keeper;788;
2696;vege_1;786;
2700;vege_0;787;
2733;final-crs_6;786;1454
2738;meat_0;788;
2746;final-crs_4;787;2899
2748;final-crs_10;788;3430
3285;gate-keeper;958;
3286;vege_1;958;
3286;gate-keeper;959;
3287;gate-keeper;960;
3293;final-crs_12;958;3486
3293;vege_0;959;
3297;vege_1;960;
3320;final-crs_8;959;1143
3341;final-crs_0;960;1500
3421;gate-keeper;994;
3422;vege_0;994;
3422;gate-keeper;995;
3423;gate-keeper;996;
3424;final-crs_7;994;3273
3424;gate-keeper;997;
3425;gate-keeper;998;
3426;frui_1;998;
3426;gate-keeper;999;
3431;vege_0;995;
3431;vege_1;996;
3440;final-crs_4;998;800
3440;vege_0;997;
3457;final-crs_3;995;292
3478;meat_0;999;
3493;final-crs_2;996;3610
3496;final-crs_6;997;3725
3496;final-crs_10;999;699
4121;gate-keeper;1204;
4153;meat_0;1204;
4170;final-crs_8;1204;423
4200;gate-keeper;1226;
4201;gate-keeper;1227;
4202;vege_1;1226;
4205;vege_0;1227;
4207;final-crs_2;1226;1406
4214;final-crs_5;1227;2713
4548;gate-keeper;1326;
4549;vege_0;1326;
4549;gate-keeper;1327;
4550;gate-keeper;1328;
4551;gate-keeper;1329;
4552;frui_0;1327;
4554;final-crs_9;1326;1613
4556;frui_1;1328;
4570;meat_1;1329;
4576;final-crs_0;1327;1913
4590;final-crs_11;1328;2992
4603;final-crs_1;1329;323
4813;gate-keeper;1406;
4814;gate-keeper;1407;
4819;vege_1;1406;
4821;vege_0;1407;
4822;final-crs_1;1406;359
4833;final-crs_11;1407;1167
5132;gate-keeper;1500;
5135;frui_0;1500;
5147;final-crs_2;1500;513
5387;gate-keeper;1578;
5389;vege_0;1578;
5411;final-crs_5;1578;1311
5443;gate-keeper;1592;
5444;vege_0;1592;
5444;gate-keeper;1593;
5445;gate-keeper;1594;
5453;vege_1;1593;
5454;vege_0;1594;
5467;final-crs_12;1592;2364
5471;final-crs_10;1593;2325
5515;final-crs_9;1594;229
5705;gate-keeper;1671;
5706;gate-keeper;1672;
5707;vege_1;1671;
5711;vege_0;1672;
5734;final-crs_10;1671;874
5742;final-crs_12;1672;1539
6321;gate-keeper;1855;
6322;gate-keeper;1856;
6324;vege_0;1855;
6342;meat_1;1856;
6357;final-crs_5;1855;1238
6363;final-crs_3;1856;2099
6613;gate-keeper;1941;
6614;gate-keeper;1942;
6618;frui_0;1942;
6621;vege_0;1941;
6654;final-crs_7;1942;514
6694;final-crs_11;1941;2046
6880;gate-keeper;2021;
6882;vege_1;2021;
6917;final-crs_8;2021;1517
7184;gate-keeper;2110;
7188;frui_0;2110;
7209;gate-keeper;2118;
7213;final-crs_1;2110;3230
7214;frui_0;2118;
7247;final-crs_2;2118;3415
7446;gate-keeper;2186;
7448;vege_0;2186;
7468;final-crs_4;2186;2069
7496;gate-keeper;2190;
7497;vege_1;2190;
7497;gate-keeper;2191;
7498;vege_0;2191;
7498;gate-keeper;2192;
7499;gate-keeper;2193;
7500;gate-keeper;2194;
7501;gate-keeper;2195;
7502;gate-keeper;2196;
7503;gate-keeper;2197;
7504;gate-keeper;2198;
7505;gate-keeper;2199;
7506;vege_0;2192;
7506;gate-keeper;2200;
7507;vege_1;2193;
7511;meat_1;2199;
7516;vege_0;2194;
7519;vege_1;2195;
7524;final-crs_10;2190;1140
7526;vege_0;2196;
7527;vege_1;2197;
7534;vege_1;2198;
7536;vege_0;2200;
7539;final-crs_9;2191;896
7555;final-crs_3;2192;2328
7567;final-crs_5;2193;487
7569;final-crs_7;2199;2039
7608;final-crs_12;2194;3796
7609;final-crs_8;2195;407
7609;final-crs_11;2196;2003
7647;final-crs_2;2197;922
7698;final-crs_6;2198;364
7699;final-crs_4;2200;1340
7799;gate-keeper;2290;
7802;vege_1;2290;
