time;ckpt;id;money
561;gate-keeper;161;
567;vege_1;161;
627;final-crs_6;161;1847
856;gate-keeper;246;
857;gate-keeper;247;
858;frui_1;246;
858;gate-keeper;248;
859;vege_0;248;
872;meat_1;247;
893;final-crs_6;246;2593
899;gate-keeper;261;
917;final-crs_2;248;2428
922;final-crs_7;247;1475
923;meat_1;261;
956;final-crs_0;261;1770
1186;gate-keeper;343;
1187;gate-keeper;344;
1191;vege_0;343;
1192;final-crs_7;343;875
1192;vege_1;344;
1244;final-crs_11;344;216
1524;gate-keeper;443;
1525;vege_0;443;
1540;final-crs_5;443;3093
2053;gate-keeper;595;
2054;gate-keeper;596;
2055;gate-keeper;597;
2056;frui_0;595;
2059;vege_1;596;
2062;vege_0;597;
2070;final-crs_5;595;3193
2074;final-crs_0;596;577
2111;final-crs_3;597;2120
2708;gate-keeper;791;
2709;gate-keeper;792;
2710;vege_1;792;
2711;frui_1;791;
2718;final-crs_6;792;2285
2731;final-crs_8;791;1991
2857;gate-keeper;834;
2858;gate-keeper;835;
2863;vege_1;834;
2868;vege_0;835;
2869;final-crs_9;834;985
2892;final-crs_3;835;1444
2980;gate-keeper;870;
2981;gate-keeper;871;
3016;meat_1;870;
3020;final-crs_11;870;2854
3034;meat_0;871;
3052;final-crs_10;871;1548
3334;gate-keeper;974;
3368;meat_0;974;
3377;final-crs_1;974;1517
3606;gate-keeper;1054;
3608;frui_0;1054;
3617;final-crs_3;1054;1373
3677;gate-keeper;1075;
3679;vege_1;1075;
3704;final-crs_5;1075;1133
3936;gate-keeper;1149;
3937;gate-keeper;1150;
3938;gate-keeper;1151;
3940;vege_0;1149;
3942;vege_1;1150;
3942;frui_0;1151;
3979;final-crs_8;1149;110
3996;final-crs_4;1150;993
4005;final-crs_9;1151;2408
4226;gate-keeper;1235;
4230;vege_1;1235;
4242;final-crs_9;1235;64
4519;gate-keeper;1319;
4520;gate-keeper;1320;
4521;frui_1;1320;
4523;final-crs_10;1320;3161
4552;meat_0;1319;
4559;final-crs_6;1319;742
4768;gate-keeper;1391;
4769;vege_0;1391;
4769;gate-keeper;1392;
4770;gate-keeper;1393;
4771;vege_1;1393;
4771;gate-keeper;1394;
4780;vege_0;1394;
4780;meat_0;1392;
4804;final-crs_5;1391;4622
4809;final-crs_10;1393;1658
4837;final-crs_6;1394;2021
4837;final-crs_12;1392;237
5344;gate-keeper;1555;
5345;gate-keeper;1556;
5346;gate-keeper;1557;
5347;gate-keeper;1558;
5348;gate-keeper;1559;
5349;gate-keeper;1560;
5350;vege_0;1557;
5350;frui_0;1555;
5350;frui_1;1560;
5350;gate-keeper;1561;
5351;gate-keeper;1562;
5352;gate-keeper;1563;
5353;gate-keeper;1564;
5354;vege_1;1559;
5355;frui_1;1564;
5359;final-crs_0;1557;274
5360;vege_0;1561;
5362;vege_1;1563;
5376;final-crs_2;1555;789
5382;final-crs_7;1560;1059
5388;meat_0;1556;
5389;final-crs_4;1559;1240
5403;meat_1;1558;
5430;final-crs_9;1564;1499
5437;final-crs_8;1561;1616
5449;meat_0;1562;
5471;final-crs_1;1563;2010
5482;final-crs_11;1556;1282
5505;final-crs_5;1558;2942
5537;final-crs_6;1562;407
5594;gate-keeper;1635;
5595;gate-keeper;1636;
5596;gate-keeper;1637;
5597;vege_0;1635;
5597;gate-keeper;1638;
5598;gate-keeper;1639;
5599;frui_1;1636;
5600;frui_0;1637;
5607;vege_1;1638;
5608;vege_0;1639;
5639;final-crs_7;1635;324
5674;final-crs_8;1636;1192
5708;final-crs_1;1637;2463
5728;final-crs_11;1638;2312
5738;final-crs_5;1639;1069
5971;gate-keeper;1751;
5972;gate-keeper;1752;
5973;gate-keeper;1753;
5974;gate-keeper;1754;
5975;vege_1;1751;
5976;vege_0;1752;
5984;vege_1;1753;
5985;vege_0;1754;
5999;final-crs_5;1751;2285
6008;final-crs_0;1752;1492
6009;final-crs_9;1753;3322
6021;final-crs_6;1754;1318
6266;gate-keeper;1841;
6288;meat_1;1841;
6308;final-crs_4;1841;4479
7001;gate-keeper;2054;
7002;gate-keeper;2055;
7003;gate-keeper;2056;
7008;vege_0;2054;
7010;final-crs_2;2054;299
7012;vege_1;2055;
7017;vege_0;2056;
7056;final-crs_10;2055;446
7077;final-crs_0;2056;871
7228;gate-keeper;2123;
7253;meat_1;2123;
7303;final-crs_10;2123;657
7795;gate-keeper;2282;
7796;gate-keeper;2283;
7797;gate-keeper;2284;
7798;vege_1;2283;
7798;gate-keeper;2285;
7799;frui_1;2282;
7799;gate-keeper;2286;
7800;frui_0;2284;
7800;gate-keeper;2287;
7801;gate-keeper;2288;
7802;vege_0;2285;
7802;gate-keeper;2289;
7806;final-crs_0;2283;2154
7808;vege_1;2286;
7812;vege_0;2287;
7818;vege_1;2288;
7821;final-crs_8;2282;2009
7822;vege_0;2289;
7845;final-crs_1;2284;3358
7864;final-crs_9;2285;312
7915;final-crs_6;2286;1442
7916;final-crs_3;2287;1270
7920;final-crs_5;2288;732
7950;final-crs_2;2289;4042
8086;gate-keeper;2372;
8087;gate-keeper;2373;
8088;gate-keeper;2374;
8089;gate-keeper;2375;
8090;gate-keeper;2376;
8091;gate-keeper;2377;
8092;frui_1;2372;
8093;frui_0;2373;
8094;vege_0;2374;
8096;vege_1;2376;
8098;frui_1;2375;
8103;vege_0;2377;
8131;final-crs_3;2372;3483
8132;final-crs_6;2373;2783
8135;final-crs_9;2374;1242
8182;final-crs_5;2376;830
8210;final-crs_11;2375;1200
8234;final-crs_2;2377;3717
8375;gate-keeper;2459;
8376;frui_0;2459;
8376;gate-keeper;2460;
8377;gate-keeper;2461;
8379;vege_1;2461;
8393;meat_0;2460;
8400;final-crs_3;2459;3534
8400;gate-keeper;2466;
8401;vege_0;2466;
8401;gate-keeper;2467;
8402;gate-keeper;2468;
8406;vege_1;2467;
8411;vege_0;2468;
8416;final-crs_6;2461;127
8423;final-crs_11;2460;557
8439;final-crs_5;2466;3083
8450;final-crs_2;2467;1744
8483;final-crs_12;2468;2286
8708;gate-keeper;2557;
8709;vege_0;2557;
8709;gate-keeper;2558;
8715;final-crs_8;2557;1226
8725;meat_0;2558;
8730;final-crs_1;2558;2456
9021;gate-keeper;2647;
9022;frui_0;2647;
9022;gate-keeper;2648;
9024;vege_0;2648;
9098;final-crs_4;2647;1119
9109;final-crs_2;2648;398
9350;gate-keeper;2745;
9351;gate-keeper;2746;
9352;vege_1;2745;
9356;final-crs_3;2745;912
9357;vege_0;2746;
9368;final-crs_2;2746;3992
9631;gate-keeper;2830;
9635;vege_0;2830;
9699;final-crs_12;2830;3085
10045;gate-keeper;2950;
10051;vege_1;2950;
10064;final-crs_3;2950;827
10080;gate-keeper;2956;
10081;gate-keeper;2957;
10082;frui_0;2956;
10082;gate-keeper;2958;
10083;vege_0;2957;
10083;gate-keeper;2959;
10084;gate-keeper;2960;
10085;final-crs_2;2956;3479
10085;final-crs_11;2957;2042
10085;vege_1;2958;
10089;final-crs_4;2958;801
10090;vege_0;2959;
10095;final-crs_5;2959;1774
10095;vege_1;2960;
10129;final-crs_7;2960;2378
10345;gate-keeper;3038;
10347;vege_0;3038;
10360;final-crs_11;3038;6435
10604;gate-keeper;3113;
10605;vege_1;3113;
10622;final-crs_6;3113;2728
10647;gate-keeper;3124;
10648;gate-keeper;3125;
10649;frui_0;3125;
10649;gate-keeper;3126;
10650;gate-keeper;3127;
10651;vege_0;3127;
10658;final-crs_9;3125;2005
10659;final-crs_12;3127;948
10661;meat_1;3124;
10664;meat_0;3126;
10671;final-crs_1;3124;311
10678;final-crs_7;3126;276
10929;gate-keeper;3209;
10930;gate-keeper;3210;
10931;gate-keeper;3211;
10932;frui_1;3209;
10936;vege_0;3210;
10938;vege_1;3211;
10944;gate-keeper;3215;
10945;gate-keeper;3216;
10948;final-crs_7;3209;1188
10949;vege_1;3215;
10952;vege_0;3216;
10971;final-crs_8;3210;1402
10980;final-crs_10;3211;1269
11018;final-crs_3;3215;1472
11046;final-crs_5;3216;2491
11276;gate-keeper;3311;
11277;vege_1;3311;
11277;gate-keeper;3312;
11279;vege_0;3312;
11310;final-crs_11;3311;3245
11336;final-crs_2;3312;1312
11576;gate-keeper;3399;
11611;meat_1;3399;
11616;final-crs_2;3399;526
11737;gate-keeper;3446;
11738;vege_1;3446;
11738;gate-keeper;3447;
11739;vege_0;3447;
11739;gate-keeper;3448;
11740;final-crs_4;3446;1371
11748;vege_0;3448;
11780;final-crs_11;3447;3686
11789;final-crs_6;3448;2213
11891;gate-keeper;3489;
11892;gate-keeper;3490;
11893;gate-keeper;3491;
11894;frui_1;3489;
11894;gate-keeper;3492;
11895;final-crs_9;3489;2405
11896;vege_0;3490;
11898;final-crs_3;3490;1139
11900;vege_1;3491;
11905;vege_0;3492;
11931;final-crs_5;3491;2426
11946;final-crs_8;3492;1600
12480;gate-keeper;3664;
12481;vege_0;3664;
12481;gate-keeper;3665;
12485;final-crs_0;3664;3461
12490;vege_0;3665;
12549;final-crs_10;3665;1259
12600;gate-keeper;3698;
12601;gate-keeper;3699;
12603;vege_0;3699;
12605;frui_0;3698;
12670;final-crs_8;3699;2625
12684;final-crs_6;3698;866
12787;gate-keeper;3752;
12794;vege_1;3752;
12801;final-crs_12;3752;571
13019;gate-keeper;3817;
13020;gate-keeper;3818;
13021;frui_1;3818;
13021;gate-keeper;3819;
13022;vege_1;3817;
13023;final-crs_10;3818;1080
13032;final-crs_12;3817;561
13070;meat_1;3819;
13092;final-crs_2;3819;1467
13349;gate-keeper;3916;
13350;gate-keeper;3917;
13351;vege_1;3916;
13351;gate-keeper;3918;
13352;vege_0;3917;
13361;vege_0;3918;
13362;final-crs_8;3916;1076
13376;final-crs_0;3917;232
13399;final-crs_4;3918;1526
13411;gate-keeper;3937;
13416;vege_1;3937;
13440;final-crs_11;3937;2944
13664;gate-keeper;4005;
13665;gate-keeper;4006;
13666;gate-keeper;4007;
13667;vege_1;4005;
13667;gate-keeper;4008;
13668;final-crs_11;4005;1978
13668;gate-keeper;4009;
13672;vege_0;4006;
13676;vege_1;4007;
13681;vege_0;4008;
13682;final-crs_1;4006;1608
13685;vege_1;4009;
13700;final-crs_10;4007;1672
13721;final-crs_6;4008;3153
13749;final-crs_3;4009;262
14265;gate-keeper;4185;
14268;vege_0;4185;
14288;final-crs_0;4185;1756
14320;gate-keeper;4198;
14321;meat_0;4198;
14321;gate-keeper;4199;
14322;gate-keeper;4200;
14323;gate-keeper;4201;
14324;gate-keeper;4202;
14327;frui_1;4202;
14328;vege_1;4199;
14330;final-crs_7;4198;1917
14331;vege_0;4200;
14333;final-crs_11;4202;530
14336;vege_1;4201;
14358;gate-keeper;4214;
14364;vege_1;4214;
14381;final-crs_10;4199;817
14418;final-crs_2;4200;1365
14427;final-crs_1;4201;2337
14451;final-crs_6;4214;835
14543;gate-keeper;4269;
14545;frui_1;4269;
14578;final-crs_11;4269;936
14834;gate-keeper;4356;
14835;vege_1;4356;
14867;final-crs_6;4356;2542
15174;gate-keeper;4456;
15175;gate-keeper;4457;
15176;gate-keeper;4458;
15177;vege_1;4456;
15179;final-crs_7;4456;437
15179;vege_0;4457;
15182;frui_0;4458;
15191;final-crs_8;4457;1052
15206;final-crs_5;4458;3795
15278;gate-keeper;4487;
15279;gate-keeper;4488;
15280;gate-keeper;4489;
15281;gate-keeper;4490;
15284;vege_0;4489;
15286;frui_1;4490;
15297;meat_0;4487;
15298;meat_1;4488;
15321;final-crs_0;4489;2708
15379;final-crs_1;4490;3037
15380;final-crs_7;4487;3496
15380;final-crs_10;4488;551
15486;gate-keeper;4549;
15487;gate-keeper;4550;
15488;gate-keeper;4551;
15489;gate-keeper;4552;
15491;vege_0;4549;
15492;final-crs_11;4549;491
15492;frui_0;4552;
15497;vege_1;4551;
15501;final-crs_3;4552;1526
15501;final-crs_4;4551;1946
15540;meat_1;4550;
15581;final-crs_1;4550;1063
15763;gate-keeper;4632;
15766;vege_1;4632;
15770;final-crs_12;4632;1468
16020;gate-keeper;4707;
16021;gate-keeper;4708;
16022;gate-keeper;4709;
16026;frui_0;4709;
16027;vege_1;4707;
16031;vege_0;4708;
16052;final-crs_12;4709;2513
16057;final-crs_0;4707;339
16070;final-crs_10;4708;1277
16177;gate-keeper;4754;
16179;vege_1;4754;
16184;final-crs_3;4754;2851
16311;gate-keeper;4791;
16312;meat_0;4791;
16312;gate-keeper;4792;
16313;gate-keeper;4793;
16316;final-crs_8;4791;638
16317;frui_0;4792;
16318;vege_0;4793;
16327;final-crs_10;4792;1379
16340;final-crs_6;4793;1237
16620;gate-keeper;4877;
16621;gate-keeper;4878;
16622;gate-keeper;4879;
16623;frui_0;4877;
16623;gate-keeper;4880;
16624;gate-keeper;4881;
16625;final-crs_7;4877;427
16625;gate-keeper;4882;
16626;gate-keeper;4883;
16627;frui_1;4881;
16627;gate-keeper;4884;
16628;vege_0;4880;
16628;gate-keeper;4885;
16629;frui_0;4883;
16630;final-crs_3;4881;2736
16631;meat_1;4878;
16633;vege_1;4882;
16637;vege_0;4884;
16640;final-crs_2;4880;2245
16642;meat_0;4879;
16643;vege_1;4885;
16652;final-crs_1;4883;63
16723;final-crs_0;4878;273
16747;final-crs_4;4882;1858
16759;final-crs_12;4884;4480
16761;final-crs_11;4879;795
16785;final-crs_8;4885;1788
16907;gate-keeper;4969;
16908;gate-keeper;4970;
16909;frui_0;4969;
16909;gate-keeper;4971;
16911;vege_1;4971;
16917;final-crs_3;4969;2098
16919;meat_1;4970;
16958;final-crs_0;4971;4375
16958;final-crs_8;4970;2248
17124;gate-keeper;5029;
17125;gate-keeper;5030;
17126;gate-keeper;5031;
17127;vege_1;5029;
17127;gate-keeper;5032;
17128;gate-keeper;5033;
17129;gate-keeper;5034;
17130;gate-keeper;5035;
17131;gate-keeper;5036;
17133;vege_0;5030;
17136;vege_1;5031;
17138;final-crs_2;5029;345
17144;vege_0;5032;
17144;vege_1;5033;
17154;vege_0;5034;
17154;vege_1;5035;
17157;final-crs_3;5030;2081
17163;vege_1;5036;
17171;final-crs_8;5031;742
17207;gate-keeper;5060;
17208;vege_1;5060;
17220;final-crs_4;5032;707
17236;final-crs_0;5033;3734
17249;final-crs_12;5034;1953
17259;final-crs_11;5035;1520
17268;final-crs_6;5036;2369
17289;final-crs_10;5060;1741
17502;gate-keeper;5140;
17503;gate-keeper;5141;
17504;gate-keeper;5142;
17505;vege_0;5140;
17505;gate-keeper;5143;
17506;frui_0;5142;
17506;gate-keeper;5144;
17507;gate-keeper;5145;
17510;final-crs_6;5140;3371
17510;final-crs_12;5142;229
17511;vege_1;5141;
17512;vege_0;5143;
17521;final-crs_10;5141;3255
17522;vege_0;5144;
17522;vege_1;5145;
17540;final-crs_1;5143;2363
17554;final-crs_7;5144;1134
17564;final-crs_9;5145;4345
17980;gate-keeper;5285;
17984;frui_1;5285;
18000;final-crs_9;5285;1477
18178;gate-keeper;5344;
18179;gate-keeper;5345;
18182;vege_1;5344;
18186;vege_0;5345;
18196;final-crs_1;5344;1233
18196;final-crs_10;5345;238
18453;gate-keeper;5421;
18454;gate-keeper;5422;
18455;gate-keeper;5423;
18456;gate-keeper;5424;
18457;gate-keeper;5425;
18458;gate-keeper;5426;
18459;frui_1;5421;
18459;gate-keeper;5427;
18460;frui_0;5425;
18461;vege_0;5422;
18462;final-crs_10;5421;1231
18462;vege_1;5423;
18470;final-crs_6;5425;1644
18471;vege_0;5424;
18473;vege_1;5426;
18479;final-crs_9;5422;1578
18480;vege_0;5427;
18487;final-crs_2;5423;989
18529;final-crs_12;5424;2122
18543;final-crs_7;5426;3371
18577;final-crs_3;5427;2492
18776;gate-keeper;5747;
18777;frui_0;5747;
18777;gate-keeper;5748;
18778;gate-keeper;5749;
18781;vege_1;5748;
18784;gate-keeper;5750;
18785;gate-keeper;5751;
18786;gate-keeper;5752;
18788;vege_0;5749;
18791;vege_1;5750;
18793;final-crs_12;5747;317
18797;vege_0;5751;
18800;vege_1;5752;
18803;final-crs_5;5748;2436
18812;final-crs_7;5749;565
18823;final-crs_3;5750;955
18843;final-crs_0;5751;4651
18864;final-crs_8;5752;1097
19447;gate-keeper;5947;
19448;frui_0;5947;
19516;final-crs_7;5947;1387
19695;gate-keeper;6018;
19696;gate-keeper;6019;
19697;gate-keeper;6020;
19698;vege_0;6019;
19698;vege_1;6020;
19698;frui_1;6018;
19721;final-crs_12;6019;698
19722;gate-keeper;6027;
19723;gate-keeper;6028;
19726;vege_0;6027;
19727;vege_1;6028;
19750;final-crs_8;6020;1631
19762;final-crs_7;6018;2285
19774;final-crs_5;6027;198
19779;final-crs_10;6028;1800
20038;gate-keeper;6581;
20040;vege_0;6581;
20049;final-crs_6;6581;837
20320;gate-keeper;6661;
20321;frui_0;6661;
20321;gate-keeper;6662;
20322;gate-keeper;6663;
20324;vege_0;6662;
20328;final-crs_1;6661;658
20337;meat_1;6663;
20361;final-crs_9;6662;441
20363;final-crs_2;6663;3643
20616;gate-keeper;6975;
20617;vege_0;6975;
20617;gate-keeper;6976;
20618;vege_1;6976;
20618;gate-keeper;6977;
20619;gate-keeper;6978;
20620;gate-keeper;6979;
20627;final-crs_9;6975;674
20627;vege_0;6978;
20628;vege_1;6979;
20630;meat_1;6977;
20631;final-crs_7;6976;2811
20652;final-crs_8;6978;545
20694;final-crs_5;6979;1738
20701;final-crs_12;6977;1084
20748;gate-keeper;7017;
20749;vege_0;7017;
20757;final-crs_0;7017;3238
20915;gate-keeper;7063;
20916;gate-keeper;7064;
20917;frui_0;7063;
20917;gate-keeper;7065;
20918;vege_1;7064;
20918;gate-keeper;7066;
20919;gate-keeper;7067;
20920;vege_0;7065;
20920;gate-keeper;7068;
20921;gate-keeper;7069;
20922;meat_1;7068;
20922;gate-keeper;7070;
20923;gate-keeper;7071;
20924;gate-keeper;7072;
20925;frui_0;7072;
20925;gate-keeper;7073;
20926;gate-keeper;7074;
20927;gate-keeper;7075;
20928;vege_1;7066;
20928;gate-keeper;7076;
20929;gate-keeper;7077;
20930;vege_0;7067;
20930;frui_1;7074;
20930;gate-keeper;7078;
20931;final-crs_12;7063;751
20931;gate-keeper;7079;
20932;frui_0;7075;
20932;gate-keeper;7080;
20933;gate-keeper;7081;
20934;gate-keeper;7082;
20935;gate-keeper;7083;
20936;frui_1;7083;
20936;gate-keeper;7084;
20937;gate-keeper;7085;
20938;gate-keeper;7086;
20939;vege_0;7069;
20939;vege_1;7070;
20939;gate-keeper;7087;
20940;meat_0;7081;
20940;gate-keeper;7088;
20941;gate-keeper;7089;
20942;frui_1;7088;
20942;gate-keeper;7090;
20943;gate-keeper;7091;
20944;gate-keeper;7092;
20945;gate-keeper;7093;
20946;gate-keeper;7094;
20947;vege_1;7071;
20947;gate-keeper;7095;
20948;gate-keeper;7096;
20949;vege_0;7073;
20949;frui_1;7093;
20949;gate-keeper;7097;
20950;gate-keeper;7098;
20951;gate-keeper;7099;
20952;gate-keeper;7100;
20953;gate-keeper;7101;
20954;gate-keeper;7102;
20955;gate-keeper;7103;
20956;vege_1;7076;
20956;frui_1;7102;
20956;gate-keeper;7104;
20957;final-crs_4;7064;2495
20957;frui_0;7103;
20957;gate-keeper;7105;
20958;vege_0;7077;
20958;gate-keeper;7106;
20959;gate-keeper;7107;
20960;gate-keeper;7108;
20961;gate-keeper;7109;
20962;final-crs_6;7065;3935
20962;frui_1;7106;
20962;gate-keeper;7110;
20963;gate-keeper;7111;
20964;gate-keeper;7112;
20965;gate-keeper;7113;
20966;vege_1;7078;
20966;gate-keeper;7114;
20967;gate-keeper;7115;
20968;gate-keeper;7116;
20969;vege_0;7079;
20969;frui_0;7112;
20969;frui_1;7113;
20969;gate-keeper;7117;
20970;gate-keeper;7118;
20971;gate-keeper;7119;
20972;gate-keeper;7120;
20973;meat_1;7089;
20973;gate-keeper;7121;
20974;gate-keeper;7122;
20975;frui_0;7119;
20975;gate-keeper;7123;
20976;final-crs_5;7068;1417
20976;frui_1;7120;
20976;gate-keeper;7124;
20977;vege_0;7080;
20977;vege_1;7082;
20977;gate-keeper;7125;
20978;gate-keeper;7126;
20979;gate-keeper;7127;
20980;gate-keeper;7128;
20981;frui_0;7126;
20981;gate-keeper;7129;
20982;gate-keeper;7130;
20983;gate-keeper;7131;
20984;gate-keeper;7132;
20985;gate-keeper;7133;
20986;vege_1;7084;
20986;gate-keeper;7134;
20987;final-crs_0;7072;771
20987;gate-keeper;7135;
20988;vege_0;7085;
20988;frui_0;7133;
20988;frui_1;7135;
20988;gate-keeper;7136;
20989;gate-keeper;7137;
20990;gate-keeper;7138;
20991;meat_0;7095;
20991;gate-keeper;7139;
20992;gate-keeper;7140;
20993;gate-keeper;7141;
20994;frui_1;7137;
20994;gate-keeper;7142;
20995;gate-keeper;7143;
20996;vege_1;7086;
20996;gate-keeper;7144;
20997;final-crs_10;7066;1805
20997;vege_0;7087;
20997;gate-keeper;7145;
20998;gate-keeper;7146;
20999;gate-keeper;7147;
21000;gate-keeper;7148;
21001;gate-keeper;7149;
21002;frui_1;7148;
21002;gate-keeper;7150;
21003;gate-keeper;7151;
21004;gate-keeper;7152;
21005;vege_1;7090;
21005;gate-keeper;7153;
21006;vege_0;7091;
21006;gate-keeper;7154;
21007;gate-keeper;7155;
21008;gate-keeper;7156;
21009;gate-keeper;7157;
21010;frui_1;7157;
21010;gate-keeper;7158;
21011;gate-keeper;7159;
21012;gate-keeper;7160;
21013;gate-keeper;7161;
21014;gate-keeper;7162;
21015;vege_1;7092;
21015;gate-keeper;7163;
21016;final-crs_11;7067;4038
21016;frui_0;7158;
21016;frui_1;7161;
21016;gate-keeper;7164;
21017;vege_0;7094;
21017;gate-keeper;7165;
21018;gate-keeper;7166;
21019;gate-keeper;7167;
21020;gate-keeper;7168;
21021;final-crs_3;7074;3674
21021;gate-keeper;7169;
21022;frui_0;7162;
21022;gate-keeper;7170;
21023;gate-keeper;7171;
21024;frui_1;7163;
21024;gate-keeper;7172;
21025;gate-keeper;7173;
21026;vege_1;7096;
21026;meat_1;7101;
21026;gate-keeper;7174;
21027;gate-keeper;7175;
21028;vege_0;7097;
21028;frui_0;7170;
21028;gate-keeper;7176;
21029;gate-keeper;7177;
21030;frui_1;7177;
21030;gate-keeper;7178;
21031;gate-keeper;7179;
21032;gate-keeper;7180;
21033;gate-keeper;7181;
21034;gate-keeper;7182;
21035;final-crs_7;7075;189
21035;vege_1;7098;
21035;frui_0;7178;
21035;gate-keeper;7183;
21036;gate-keeper;7184;
21037;vege_0;7099;
21037;frui_1;7184;
21037;gate-keeper;7185;
21038;gate-keeper;7186;
21039;gate-keeper;7187;
21040;gate-keeper;7188;
21041;final-crs_9;7083;2160
21041;frui_0;7188;
21041;gate-keeper;7189;
21042;gate-keeper;7190;
21043;gate-keeper;7191;
21044;vege_1;7100;
21044;gate-keeper;7192;
21045;gate-keeper;7193;
21046;frui_0;7191;
21046;gate-keeper;7194;
21047;gate-keeper;7195;
21048;gate-keeper;7196;
21049;vege_0;7104;
21049;gate-keeper;7197;
21050;frui_1;7192;
