time;ckpt;id;money
334;gate-keeper;105;
335;frui_1;105;
435;final-crs_2;105;785
898;gate-keeper;286;
899;gate-keeper;287;
900;gate-keeper;288;
902;vege_1;286;
902;frui_1;288;
905;vege_0;287;
909;final-crs_2;286;762
915;final-crs_3;288;572
930;final-crs_9;287;404
1184;gate-keeper;379;
1185;vege_1;379;
1190;final-crs_6;379;1007
1760;gate-keeper;555;
1761;gate-keeper;556;
1762;gate-keeper;557;
1763;vege_1;555;
1763;gate-keeper;558;
1764;gate-keeper;559;
1765;frui_0;556;
1765;gate-keeper;560;
1766;gate-keeper;561;
1767;vege_0;557;
1767;gate-keeper;562;
1769;frui_1;560;
1773;final-crs_11;555;954
1773;vege_1;559;
1776;vege_0;562;
1793;meat_1;558;
1817;meat_0;561;
1822;final-crs_7;556;1004
1860;final-crs_3;557;713
1863;final-crs_2;560;693
1870;final-crs_0;559;575
1879;final-crs_1;562;225
1911;final-crs_10;558;1338
1918;final-crs_12;561;106
2052;gate-keeper;639;
2053;gate-keeper;640;
2054;gate-keeper;641;
2055;frui_0;640;
2055;gate-keeper;642;
2056;gate-keeper;643;
2057;frui_1;641;
2057;gate-keeper;644;
2058;vege_1;639;
2058;gate-keeper;645;
2059;gate-keeper;646;
2060;vege_0;643;
2060;gate-keeper;647;
2061;frui_0;642;
2061;gate-keeper;648;
2062;gate-keeper;649;
2063;frui_1;648;
2063;gate-keeper;650;
2064;meat_0;645;
2064;gate-keeper;651;
2065;gate-keeper;652;
2066;vege_1;644;
2066;gate-keeper;653;
2067;gate-keeper;654;
2068;frui_0;649;
2069;final-crs_3;640;352
2070;frui_1;651;
2071;vege_0;647;
2073;frui_0;653;
2076;vege_1;652;
2080;vege_0;654;
2100;final-crs_0;641;1251
2107;final-crs_2;639;1559
2113;meat_1;646;
2124;meat_0;650;
2129;final-crs_1;643;2110
2146;final-crs_12;642;436
2147;final-crs_5;648;129
2170;final-crs_6;645;154
2189;final-crs_9;644;789
2197;final-crs_4;649;713
2197;final-crs_10;651;604
2231;final-crs_7;647;728
2242;final-crs_11;653;480
2255;final-crs_8;652;219
2300;final-crs_3;654;412
2312;final-crs_2;646;811
2330;final-crs_0;650;177
2363;gate-keeper;753;
2406;meat_0;753;
2407;final-crs_9;753;118
2541;gate-keeper;803;
2542;gate-keeper;804;
2543;gate-keeper;805;
2544;gate-keeper;806;
2545;gate-keeper;807;
2546;vege_0;803;
2546;gate-keeper;808;
2547;frui_1;808;
2549;vege_1;804;
2555;vege_0;805;
2559;vege_1;806;
2568;final-crs_12;803;485
2578;final-crs_1;808;139
2590;meat_0;807;
2596;final-crs_5;804;1194
2603;final-crs_0;805;539
2610;final-crs_3;806;444
2636;final-crs_11;807;301
2643;gate-keeper;838;
2644;gate-keeper;839;
2650;vege_1;839;
2654;final-crs_4;839;477
2654;meat_0;838;
2675;final-crs_6;838;96
2915;gate-keeper;927;
2916;frui_0;927;
2930;final-crs_7;927;352
3206;gate-keeper;1020;
3207;gate-keeper;1021;
3210;frui_1;1020;
3213;frui_0;1021;
3217;final-crs_5;1020;2065
3218;final-crs_12;1021;1292
3336;gate-keeper;1060;
3337;gate-keeper;1061;
3338;vege_0;1060;
3338;gate-keeper;1062;
3343;final-crs_4;1060;942
3343;vege_1;1061;
3346;vege_0;1062;
3402;final-crs_6;1061;559
3421;final-crs_8;1062;1238
3506;gate-keeper;1115;
3507;gate-keeper;1116;
3508;frui_0;1115;
3510;vege_0;1116;
3532;final-crs_1;1115;201
3547;final-crs_3;1116;1139
3631;gate-keeper;1157;
3634;frui_0;1157;
3637;final-crs_8;1157;514
4373;gate-keeper;1377;
4374;frui_1;1377;
4374;gate-keeper;1378;
4375;vege_1;1378;
4375;gate-keeper;1379;
4376;gate-keeper;1380;
4377;gate-keeper;1381;
4378;gate-keeper;1382;
4379;gate-keeper;1383;
4380;frui_1;1381;
4380;gate-keeper;1384;
4381;gate-keeper;1385;
4382;gate-keeper;1386;
4383;vege_0;1379;
4383;frui_0;1383;
4383;gate-keeper;1387;
4384;vege_1;1380;
4384;gate-keeper;1388;
4385;gate-keeper;1389;
4386;gate-keeper;1390;
4387;frui_1;1388;
4387;gate-keeper;1391;
4392;vege_0;1382;
4393;vege_1;1385;
4400;meat_1;1384;
4401;vege_0;1386;
4405;vege_1;1387;
4411;vege_0;1389;
4415;vege_1;1390;
4419;vege_0;1391;
4435;gate-keeper;1408;
4436;gate-keeper;1409;
4437;vege_0;1408;
4437;gate-keeper;1410;
4440;frui_0;1409;
4444;vege_1;1410;
4488;final-crs_11;1377;1591
4501;final-crs_9;1378;1612
4507;final-crs_7;1381;348
4508;final-crs_4;1379;76
4513;final-crs_2;1383;344
4524;final-crs_3;1380;2693
4544;final-crs_6;1388;631
4552;final-crs_1;1382;336
4593;final-crs_12;1385;652
4609;final-crs_5;1384;199
4611;final-crs_8;1386;344
4615;final-crs_10;1387;377
4634;final-crs_0;1389;1242
4718;final-crs_11;1390;346
4720;final-crs_7;1391;955
4737;final-crs_4;1408;192
4743;final-crs_6;1409;290
4768;final-crs_2;1410;851
4775;gate-keeper;1514;
4776;gate-keeper;1515;
4777;gate-keeper;1516;
4780;frui_1;1514;
4792;meat_0;1515;
4802;final-crs_1;1514;751
4814;final-crs_3;1515;1024
4826;meat_1;1516;
4838;final-crs_10;1516;1722
5013;gate-keeper;1590;
5014;gate-keeper;1591;
5015;vege_1;1590;
5021;vege_0;1591;
5037;final-crs_3;1590;107
5041;final-crs_2;1591;1117
5307;gate-keeper;1681;
5308;gate-keeper;1682;
5309;frui_0;1681;
5309;gate-keeper;1683;
5310;vege_0;1683;
5310;gate-keeper;1684;
5313;frui_1;1682;
5316;frui_0;1684;
5323;final-crs_8;1681;802
5325;final-crs_12;1683;262
5341;final-crs_5;1682;316
5365;final-crs_10;1684;215
5642;gate-keeper;1789;
5643;gate-keeper;1790;
5647;frui_1;1790;
5653;meat_0;1789;
5658;final-crs_11;1790;373
5693;final-crs_6;1789;954
5931;gate-keeper;1880;
5932;gate-keeper;1881;
5933;gate-keeper;1882;
5934;vege_1;1880;
5934;gate-keeper;1883;
5936;frui_0;1881;
5937;vege_0;1882;
5941;final-crs_6;1880;511
5945;meat_1;1883;
5959;final-crs_4;1881;595
5966;final-crs_3;1882;992
6011;final-crs_9;1883;280
6334;gate-keeper;2005;
6335;gate-keeper;2006;
6336;gate-keeper;2007;
6337;vege_0;2005;
6337;meat_1;2006;
6337;gate-keeper;2008;
6338;gate-keeper;2009;
6340;vege_1;2007;
6340;frui_0;2008;
6347;final-crs_5;2005;576
6377;final-crs_11;2006;989
6390;final-crs_6;2007;1739
6390;meat_1;2009;
6405;final-crs_4;2008;1202
6441;final-crs_1;2009;1036
6506;gate-keeper;2060;
6507;gate-keeper;2061;
6508;gate-keeper;2062;
6524;meat_1;2060;
6529;meat_0;2061;
6533;final-crs_5;2060;157
6560;final-crs_10;2061;2086
6582;meat_1;2062;
6598;final-crs_11;2062;1393
6827;gate-keeper;2164;
6830;vege_0;2164;
6846;final-crs_11;2164;620
7162;gate-keeper;2269;
7191;meat_1;2269;
7193;final-crs_2;2269;1507
7267;gate-keeper;2302;
7269;vege_0;2302;
7284;final-crs_8;2302;568
7536;gate-keeper;2382;
7537;frui_1;2382;
7537;gate-keeper;2383;
7538;gate-keeper;2384;
7539;gate-keeper;2385;
7540;vege_0;2385;
7540;frui_0;2383;
7540;gate-keeper;2386;
7543;vege_1;2386;
7543;frui_1;2384;
7564;final-crs_6;2382;731
7587;final-crs_12;2385;881
7588;final-crs_1;2383;634
7599;final-crs_11;2386;1012
7610;final-crs_0;2384;903
7813;gate-keeper;2473;
7818;vege_0;2473;
7824;final-crs_6;2473;1184
8078;gate-keeper;2555;
8079;gate-keeper;2556;
8080;frui_1;2555;
8080;gate-keeper;2557;
8081;gate-keeper;2558;
8084;final-crs_6;2555;820
8084;frui_0;2558;
8086;vege_0;2556;
8088;vege_1;2557;
8094;final-crs_11;2558;139
8108;final-crs_12;2556;1406
8112;final-crs_1;2557;567
8209;gate-keeper;2596;
8210;gate-keeper;2597;
8211;gate-keeper;2598;
8212;gate-keeper;2599;
8213;vege_1;2596;
8213;gate-keeper;2600;
8214;meat_0;2599;
8216;vege_0;2597;
8216;frui_0;2598;
8221;vege_1;2600;
8254;final-crs_0;2596;596
8290;final-crs_6;2599;197
8318;final-crs_2;2597;384
8353;final-crs_12;2598;1607
8355;final-crs_11;2600;1072
8750;gate-keeper;2771;
8759;vege_0;2771;
8821;final-crs_1;2771;527
8997;gate-keeper;2849;
8998;gate-keeper;2850;
9001;vege_0;2849;
9002;vege_1;2850;
9034;final-crs_11;2849;1047
9039;final-crs_2;2850;1816
9198;gate-keeper;2902;
9199;gate-keeper;2903;
9200;gate-keeper;2904;
9201;gate-keeper;2905;
9202;frui_1;2902;
9202;gate-keeper;2906;
9203;frui_0;2903;
9203;gate-keeper;2907;
9204;gate-keeper;2908;
9205;gate-keeper;2909;
9206;gate-keeper;2910;
9207;vege_0;2907;
9207;gate-keeper;2911;
9208;gate-keeper;2912;
9209;frui_0;2905;
9209;frui_1;2906;
9209;gate-keeper;2913;
9210;final-crs_0;2902;326
9210;final-crs_10;2903;753
9211;vege_1;2909;
9215;frui_1;2908;
9216;vege_0;2910;
9216;frui_0;2913;
9221;vege_1;2912;
9221;meat_0;2904;
9256;meat_1;2911;
9268;final-crs_12;2907;667
9301;final-crs_2;2905;195
9303;final-crs_6;2906;1087
9332;final-crs_7;2909;1185
9333;final-crs_1;2908;787
9334;final-crs_11;2910;90
9346;final-crs_8;2913;273
9391;final-crs_9;2912;880
9402;final-crs_3;2904;665
9411;final-crs_5;2911;773
9595;gate-keeper;3032;
9596;gate-keeper;3033;
9597;gate-keeper;3034;
9598;gate-keeper;3035;
9599;gate-keeper;3036;
9600;gate-keeper;3037;
9601;frui_1;3032;
9601;gate-keeper;3038;
9602;frui_0;3033;
9604;vege_1;3036;
9607;vege_0;3038;
9607;frui_0;3034;
9607;frui_1;3035;
9614;final-crs_9;3032;175
9619;final-crs_5;3033;849
9621;meat_1;3037;
9633;final-crs_3;3036;556
9645;final-crs_10;3038;717
9698;final-crs_4;3034;68
9710;final-crs_2;3035;679
9744;final-crs_0;3037;1412
9892;gate-keeper;3130;
9893;frui_0;3130;
9893;gate-keeper;3131;
9894;gate-keeper;3132;
9898;frui_1;3131;
9918;meat_1;3132;
9921;final-crs_4;3130;606
9939;final-crs_2;3131;147
9998;final-crs_0;3132;508
10148;gate-keeper;3210;
10149;frui_0;3210;
10149;gate-keeper;3211;
10150;vege_0;3211;
10150;gate-keeper;3212;
10151;gate-keeper;3213;
10152;gate-keeper;3214;
10153;gate-keeper;3215;
10155;frui_0;3215;
10158;vege_1;3212;
10159;vege_0;3213;
10161;final-crs_4;3210;506
10168;vege_0;3214;
10194;final-crs_2;3211;1846
10220;final-crs_12;3215;226
10233;final-crs_0;3212;918
10249;final-crs_6;3213;189
10250;final-crs_8;3214;1342
10553;gate-keeper;3340;
10554;gate-keeper;3341;
10560;vege_0;3340;
10587;final-crs_3;3340;430
10591;meat_0;3341;
10608;final-crs_7;3341;670
10723;gate-keeper;3396;
10724;vege_1;3396;
10724;gate-keeper;3397;
10729;frui_0;3397;
10741;final-crs_11;3396;1649
10763;final-crs_8;3397;324
10849;gate-keeper;3435;
10850;vege_1;3435;
10850;gate-keeper;3436;
10851;gate-keeper;3437;
10856;vege_0;3436;
10859;vege_1;3437;
10864;final-crs_9;3435;587
10866;final-crs_10;3436;958
10868;final-crs_7;3437;612
11160;gate-keeper;3536;
11161;frui_1;3536;
11161;gate-keeper;3537;
11164;vege_1;3537;
11185;final-crs_12;3536;394
11189;final-crs_11;3537;1076
11204;gate-keeper;3549;
11205;gate-keeper;3550;
11206;gate-keeper;3551;
11207;frui_1;3550;
11208;final-crs_8;3550;502
11211;vege_0;3549;
11211;vege_1;3551;
11215;final-crs_6;3549;191
11240;final-crs_5;3551;510
11463;gate-keeper;3629;
11464;gate-keeper;3630;
11465;gate-keeper;3631;
11466;gate-keeper;3632;
11467;vege_1;3630;
11467;gate-keeper;3633;
11468;vege_0;3631;
11476;vege_1;3633;
11506;final-crs_5;3630;100
11514;meat_1;3629;
11516;meat_0;3632;
11527;final-crs_10;3631;869
11564;final-crs_9;3633;717
11570;final-crs_3;3629;920
11594;final-crs_1;3632;777
11785;gate-keeper;3731;
11786;gate-keeper;3732;
11787;gate-keeper;3733;
11790;vege_1;3731;
11795;final-crs_5;3731;1266
11798;meat_1;3732;
11799;meat_0;3733;
11800;final-crs_10;3732;553
11814;final-crs_1;3733;1396
12046;gate-keeper;3815;
12047;gate-keeper;3816;
12052;vege_0;3815;
12054;vege_1;3816;
12055;final-crs_0;3815;1700
12058;final-crs_3;3816;236
12743;gate-keeper;4038;
12744;gate-keeper;4039;
12745;vege_0;4039;
12747;frui_0;4038;
12756;final-crs_9;4039;1033
12767;final-crs_3;4038;1142
12922;gate-keeper;4093;
12923;frui_1;4093;
12923;gate-keeper;4094;
12924;gate-keeper;4095;
12925;frui_0;4095;
12927;vege_0;4094;
12941;final-crs_12;4093;906
12964;final-crs_5;4095;140
12969;final-crs_0;4094;181
13264;gate-keeper;4202;
13265;gate-keeper;4203;
13266;gate-keeper;4204;
13269;vege_1;4203;
13270;frui_0;4204;
13270;meat_1;4202;
13294;final-crs_10;4203;947
13320;final-crs_2;4204;714
13324;final-crs_11;4202;1105
13552;gate-keeper;4291;
13553;gate-keeper;4292;
13554;frui_1;4292;
13554;gate-keeper;4293;
13555;gate-keeper;4294;
13556;gate-keeper;4295;
13557;vege_1;4291;
13558;vege_0;4293;
13567;vege_0;4294;
13567;vege_1;4295;
13576;final-crs_2;4292;1572
13592;gate-keeper;4307;
13609;final-crs_8;4291;153
13609;meat_1;4307;
13620;final-crs_11;4293;1182
13650;final-crs_1;4294;707
13681;final-crs_5;4295;1153
13691;final-crs_3;4307;1057
13866;gate-keeper;4379;
13867;gate-keeper;4380;
13868;frui_1;4380;
13868;gate-keeper;4381;
13869;vege_1;4381;
13869;gate-keeper;4382;
13870;gate-keeper;4383;
13871;gate-keeper;4384;
13872;gate-keeper;4385;
13873;gate-keeper;4386;
13874;frui_1;4383;
13874;gate-keeper;4387;
13875;vege_0;4382;
13875;gate-keeper;4388;
13876;gate-keeper;4389;
13877;frui_0;4386;
13877;gate-keeper;4390;
13878;vege_1;4384;
13878;gate-keeper;4391;
13879;frui_1;4387;
13885;vege_0;4385;
13887;vege_1;4388;
13895;vege_0;4389;
13906;meat_1;4379;
13913;final-crs_5;4380;527
13926;final-crs_7;4381;1220
13927;meat_0;4390;
13937;final-crs_4;4383;525
13943;final-crs_12;4382;195
13962;final-crs_3;4386;732
13970;final-crs_9;4384;713
13971;meat_1;4391;
13989;final-crs_0;4387;1409
14032;final-crs_10;4385;307
14038;final-crs_11;4388;651
14040;final-crs_6;4389;500
14062;final-crs_2;4379;309
14092;final-crs_1;4390;235
14128;final-crs_7;4391;1026
14165;gate-keeper;4482;
14166;gate-keeper;4483;
14167;gate-keeper;4484;
14168;gate-keeper;4485;
14169;gate-keeper;4486;
14170;vege_0;4482;
14170;gate-keeper;4487;
14171;final-crs_4;4482;397
14173;vege_1;4484;
14174;meat_0;4483;
14179;vege_0;4485;
14182;vege_1;4487;
14198;final-crs_0;4484;507
14200;final-crs_3;4483;71
14207;final-crs_9;4485;79
14218;meat_1;4486;
14241;final-crs_11;4487;272
14267;final-crs_6;4486;137
14492;gate-keeper;4587;
14493;gate-keeper;4588;
14494;gate-keeper;4589;
14495;vege_0;4589;
14496;frui_1;4587;
14499;final-crs_11;4589;210
14528;meat_1;4588;
14529;gate-keeper;4598;
14530;vege_1;4598;
14530;gate-keeper;4599;
14531;meat_0;4599;
14531;gate-keeper;4600;
14532;gate-keeper;4601;
14533;vege_0;4600;
14535;final-crs_6;4587;830
14539;vege_1;4601;
14556;final-crs_10;4588;266
14568;final-crs_7;4598;1758
14577;final-crs_2;4599;95
14596;final-crs_8;4600;499
14607;final-crs_4;4601;688
14807;gate-keeper;4687;
14809;frui_0;4687;
14830;final-crs_8;4687;407
15073;gate-keeper;4771;
15074;frui_1;4771;
15078;final-crs_12;4771;1532
15651;gate-keeper;4952;
15652;gate-keeper;4953;
15654;vege_0;4952;
15655;vege_1;4953;
15669;final-crs_5;4952;732
15670;final-crs_10;4953;1346
15983;gate-keeper;5058;
15990;vege_0;5058;
16013;final-crs_4;5058;79
16293;gate-keeper;5154;
16299;vege_0;5154;
16302;final-crs_3;5154;880
16563;gate-keeper;5239;
16564;gate-keeper;5240;
16565;gate-keeper;5241;
16567;frui_0;5241;
16570;vege_0;5239;
16572;vege_1;5240;
16589;final-crs_1;5241;1060
16591;final-crs_2;5239;434
16596;final-crs_10;5240;410
16836;gate-keeper;5323;
16837;gate-keeper;5324;
16838;gate-keeper;5325;
16840;frui_0;5325;
16842;vege_1;5323;
16843;vege_0;5324;
16846;final-crs_10;5325;301
16852;final-crs_2;5323;785
16873;final-crs_0;5324;95
17105;gate-keeper;5409;
17106;vege_1;5409;
17106;gate-keeper;5410;
17114;vege_0;5410;
17116;final-crs_0;5409;1026
17131;final-crs_6;5410;774
17151;gate-keeper;5423;
17152;gate-keeper;5424;
17154;vege_1;5423;
17160;vege_0;5424;
17201;final-crs_7;5423;149
17202;final-crs_9;5424;1670
17446;gate-keeper;5513;
17447;gate-keeper;5514;
17448;frui_0;5513;
17448;frui_1;5514;
17448;gate-keeper;5515;
17453;final-crs_9;5513;1411
17456;final-crs_7;5514;818
17456;vege_0;5515;
17481;final-crs_3;5515;656
17697;gate-keeper;5589;
17698;gate-keeper;5590;
17699;gate-keeper;5591;
17700;vege_1;5589;
17700;frui_1;5590;
17700;gate-keeper;5592;
17701;gate-keeper;5593;
17702;gate-keeper;5594;
17703;frui_0;5593;
17705;final-crs_9;5589;1026
17706;vege_0;5592;
17706;frui_1;5594;
17708;final-crs_7;5590;792
17735;final-crs_4;5593;509
17745;meat_0;5591;
17751;final-crs_8;5592;1163
17758;final-crs_5;5594;1171
17771;final-crs_11;5591;745
17975;gate-keeper;5678;
17978;vege_0;5678;
17984;final-crs_4;5678;99
18145;gate-keeper;5732;
18176;meat_0;5732;
18188;final-crs_12;5732;902
18288;gate-keeper;5776;
18311;meat_0;5776;
18365;final-crs_2;5776;920
18619;gate-keeper;5878;
18620;frui_1;5878;
18620;gate-keeper;5879;
18621;frui_0;5879;
18621;gate-keeper;5880;
18622;gate-keeper;5881;
18627;meat_1;5880;
18643;final-crs_3;5878;1295
18648;final-crs_5;5879;1039
18651;final-crs_7;5880;1571
