time;ckpt;id;money
338;gate-keeper;106;
339;gate-keeper;107;
340;vege_0;106;
341;frui_1;107;
432;final-crs_4;106;1512
438;final-crs_1;107;606
621;gate-keeper;198;
622;gate-keeper;199;
624;vege_0;199;
625;frui_1;198;
663;final-crs_4;199;248
664;final-crs_1;198;1477
1092;gate-keeper;334;
1093;gate-keeper;335;
1094;gate-keeper;336;
1095;gate-keeper;337;
1096;gate-keeper;338;
1097;vege_0;334;
1097;gate-keeper;339;
1098;frui_0;339;
1098;gate-keeper;340;
1099;gate-keeper;341;
1100;vege_1;335;
1100;gate-keeper;342;
1101;gate-keeper;343;
1102;gate-keeper;344;
1103;gate-keeper;345;
1104;gate-keeper;346;
1105;frui_0;344;
1105;frui_1;346;
1105;gate-keeper;347;
1106;vege_0;336;
1106;gate-keeper;348;
1107;gate-keeper;349;
1108;gate-keeper;350;
1112;vege_1;337;
1112;frui_0;347;
1112;frui_1;348;
1115;vege_0;340;
1117;final-crs_4;334;1684
1118;frui_1;349;
1122;vege_1;341;
1123;vege_0;342;
1131;vege_1;343;
1132;vege_0;345;
1141;meat_0;338;
1144;meat_1;350;
1151;final-crs_1;339;195
1162;final-crs_7;335;227
1170;final-crs_5;344;1078
1190;final-crs_10;346;1908
1194;final-crs_3;336;405
1195;final-crs_6;337;1125
1199;final-crs_11;347;548
1217;gate-keeper;390;
1226;final-crs_2;348;742
1237;final-crs_12;340;515
1249;final-crs_0;349;819
1251;meat_1;390;
1271;final-crs_8;341;481
1289;final-crs_9;342;924
1348;final-crs_4;343;764
1381;final-crs_5;345;1056
1390;final-crs_1;338;1197
1408;final-crs_6;350;919
1409;final-crs_3;390;662
1529;gate-keeper;488;
1530;gate-keeper;489;
1531;gate-keeper;490;
1534;vege_0;490;
1534;frui_0;488;
1552;meat_1;489;
1559;final-crs_5;490;273
1604;final-crs_4;488;869
1640;final-crs_3;489;769
1869;gate-keeper;596;
1876;meat_0;596;
1929;final-crs_6;596;780
1977;gate-keeper;630;
1978;gate-keeper;631;
1980;frui_0;630;
1999;meat_0;631;
2017;final-crs_5;630;1129
2023;final-crs_9;631;843
2199;gate-keeper;696;
2200;vege_0;696;
2200;gate-keeper;697;
2201;final-crs_0;696;876
2201;gate-keeper;698;
2202;gate-keeper;699;
2203;gate-keeper;700;
2205;frui_0;697;
2207;frui_1;699;
2210;vege_0;698;
2211;frui_0;700;
2222;final-crs_7;697;334
2226;final-crs_9;699;117
2301;final-crs_5;698;582
2364;final-crs_3;700;1000
2502;gate-keeper;796;
2503;frui_0;796;
2530;final-crs_5;796;154
2778;gate-keeper;885;
2780;frui_0;885;
2805;gate-keeper;890;
2806;gate-keeper;891;
2807;gate-keeper;892;
2808;gate-keeper;893;
2810;vege_0;890;
2814;vege_1;891;
2814;frui_1;893;
2835;final-crs_3;885;1117
2841;meat_1;892;
2855;final-crs_0;890;1358
2880;final-crs_1;891;60
2884;final-crs_2;893;481
2886;final-crs_6;892;141
3115;gate-keeper;991;
3116;gate-keeper;992;
3118;frui_0;991;
3120;final-crs_12;991;1037
3120;vege_0;992;
3128;final-crs_1;992;1022
3395;gate-keeper;1081;
3398;frui_1;1081;
3412;final-crs_8;1081;1137
3985;gate-keeper;1265;
3986;gate-keeper;1266;
3987;gate-keeper;1267;
3988;frui_0;1265;
3988;gate-keeper;1268;
3991;frui_1;1266;
3993;final-crs_5;1265;303
3994;vege_0;1268;
3996;frui_0;1267;
4001;final-crs_3;1266;1338
4003;final-crs_6;1268;545
4059;final-crs_1;1267;1160
4245;gate-keeper;1343;
4246;vege_0;1343;
4246;gate-keeper;1344;
4247;final-crs_3;1343;1723
4247;gate-keeper;1345;
4248;gate-keeper;1346;
4249;gate-keeper;1347;
4250;frui_0;1346;
4250;gate-keeper;1348;
4251;gate-keeper;1349;
4252;vege_1;1344;
4252;frui_1;1348;
4255;final-crs_5;1346;334
4256;vege_0;1347;
4257;frui_0;1349;
4273;meat_0;1345;
4276;final-crs_1;1344;501
4278;final-crs_12;1348;62
4307;final-crs_0;1347;667
4334;final-crs_4;1349;530
4343;final-crs_2;1345;279
4563;gate-keeper;1449;
4564;frui_0;1449;
4567;gate-keeper;1450;
4570;vege_1;1450;
4582;final-crs_2;1449;211
4593;final-crs_9;1450;543
5449;gate-keeper;1728;
5450;gate-keeper;1729;
5454;vege_0;1728;
5477;gate-keeper;1738;
5481;final-crs_12;1728;794
5484;vege_0;1738;
5485;meat_1;1729;
5512;final-crs_2;1738;1051
5534;final-crs_11;1729;1242
5764;gate-keeper;1827;
5765;gate-keeper;1828;
5766;frui_1;1827;
5766;gate-keeper;1829;
5771;vege_0;1828;
5780;final-crs_1;1827;1909
5786;meat_1;1829;
5789;final-crs_9;1828;402
5809;final-crs_7;1829;959
6072;gate-keeper;1924;
6073;gate-keeper;1925;
6074;gate-keeper;1926;
6075;gate-keeper;1927;
6076;frui_0;1927;
6083;meat_1;1924;
6089;final-crs_3;1927;1210
6091;final-crs_10;1924;1592
6092;meat_0;1925;
6124;final-crs_0;1925;972
6141;meat_1;1926;
6158;final-crs_5;1926;1671
6317;gate-keeper;2004;
6318;vege_1;2004;
6358;final-crs_3;2004;277
6400;gate-keeper;2028;
6401;gate-keeper;2029;
6405;frui_1;2028;
6408;vege_0;2029;
6428;final-crs_4;2028;994
6442;final-crs_2;2029;709
6636;gate-keeper;2104;
6637;vege_0;2104;
6637;gate-keeper;2105;
6640;final-crs_0;2104;1252
6640;frui_1;2105;
6655;final-crs_2;2105;878
6680;gate-keeper;2116;
6681;vege_1;2116;
6681;gate-keeper;2117;
6682;gate-keeper;2118;
6683;frui_0;2117;
6687;frui_1;2118;
6709;final-crs_6;2116;339
6721;final-crs_4;2117;1046
6723;final-crs_7;2118;2055
6924;gate-keeper;2194;
6943;meat_1;2194;
6949;final-crs_6;2194;393
7223;gate-keeper;2287;
7224;vege_0;2287;
7224;gate-keeper;2288;
7226;final-crs_4;2287;1166
7230;vege_1;2288;
7331;final-crs_10;2288;770
7333;gate-keeper;2322;
7334;gate-keeper;2323;
7336;vege_1;2322;
7346;final-crs_3;2322;447
7348;meat_1;2323;
7353;final-crs_11;2323;1477
7734;gate-keeper;2445;
7735;gate-keeper;2446;
7736;gate-keeper;2447;
7737;vege_1;2445;
7739;frui_1;2447;
7749;meat_1;2446;
7772;final-crs_5;2445;133
7819;final-crs_11;2447;526
7822;final-crs_10;2446;325
8031;gate-keeper;2541;
8032;frui_0;2541;
8032;gate-keeper;2542;
8036;vege_1;2542;
8048;final-crs_11;2541;429
8066;final-crs_12;2542;1306
8309;gate-keeper;2627;
8310;gate-keeper;2628;
8311;gate-keeper;2629;
8312;gate-keeper;2630;
8313;gate-keeper;2631;
8314;vege_0;2628;
8314;vege_1;2629;
8316;frui_1;2630;
8316;meat_0;2627;
8317;final-crs_5;2628;603
8320;frui_0;2631;
8337;final-crs_0;2629;259
8337;final-crs_2;2630;435
8342;final-crs_6;2627;277
8351;final-crs_4;2631;2038
8573;gate-keeper;2716;
8574;gate-keeper;2717;
8575;gate-keeper;2718;
8577;meat_1;2717;
8579;frui_1;2716;
8581;frui_0;2718;
8584;final-crs_4;2717;314
8588;final-crs_0;2716;209
8610;final-crs_8;2718;365
8846;gate-keeper;2801;
8847;frui_1;2801;
8849;final-crs_3;2801;138
9152;gate-keeper;2899;
9160;vege_1;2899;
9180;final-crs_1;2899;242
9485;gate-keeper;3004;
9522;meat_0;3004;
9537;final-crs_0;3004;187
10017;gate-keeper;3169;
10018;gate-keeper;3170;
10019;vege_1;3170;
10019;gate-keeper;3171;
10023;vege_0;3171;
10024;final-crs_4;3170;462
10029;final-crs_11;3171;1327
10053;meat_0;3169;
10059;final-crs_9;3169;340
10115;gate-keeper;3200;
10116;gate-keeper;3201;
10117;gate-keeper;3202;
10118;frui_0;3201;
10118;gate-keeper;3203;
10121;vege_0;3200;
10121;meat_1;3203;
10123;vege_1;3202;
10133;final-crs_3;3201;2126
10191;final-crs_1;3200;723
10211;final-crs_0;3203;101
10245;final-crs_2;3202;184
10369;gate-keeper;3277;
10370;gate-keeper;3278;
10371;gate-keeper;3279;
10372;gate-keeper;3280;
10373;gate-keeper;3281;
10374;gate-keeper;3282;
10375;gate-keeper;3283;
10376;vege_0;3277;
10377;vege_1;3279;
10379;frui_1;3283;
10386;vege_0;3280;
10387;vege_1;3281;
10396;vege_0;3282;
10398;final-crs_1;3277;1201
10421;meat_1;3278;
10465;final-crs_2;3279;687
10486;final-crs_4;3283;1264
10493;final-crs_0;3280;1899
10500;final-crs_5;3281;1054
10529;final-crs_8;3282;576
10538;final-crs_11;3278;741
10647;gate-keeper;3362;
10648;gate-keeper;3363;
10649;gate-keeper;3364;
10650;frui_0;3364;
10650;gate-keeper;3365;
10651;vege_0;3363;
10651;gate-keeper;3366;
10652;gate-keeper;3367;
10653;frui_1;3367;
10653;gate-keeper;3368;
10654;gate-keeper;3369;
10655;vege_1;3365;
10655;gate-keeper;3370;
10656;gate-keeper;3371;
10657;frui_0;3369;
10659;vege_0;3366;
10660;frui_1;3371;
10665;vege_1;3368;
10669;meat_1;3362;
10670;vege_0;3370;
10700;final-crs_4;3364;423
10708;final-crs_2;3363;570
10724;final-crs_0;3367;2460
10749;final-crs_9;3365;191
10767;final-crs_11;3369;1304
10776;final-crs_5;3366;175
10778;final-crs_8;3371;127
10819;final-crs_12;3368;1776
10832;final-crs_6;3362;665
10833;final-crs_10;3370;1139
10952;gate-keeper;3471;
10953;frui_0;3471;
10962;final-crs_11;3471;1463
11253;gate-keeper;3566;
11254;vege_0;3566;
11257;final-crs_9;3566;936
11614;gate-keeper;3680;
11615;frui_1;3680;
11615;gate-keeper;3681;
11617;frui_0;3681;
11625;final-crs_1;3680;1542
11634;final-crs_6;3681;916
11646;gate-keeper;3689;
11647;gate-keeper;3690;
11651;vege_0;3689;
11656;vege_1;3690;
11662;final-crs_4;3689;1059
11665;final-crs_0;3690;518
11904;gate-keeper;3771;
11913;vege_1;3771;
11925;final-crs_4;3771;694
12169;gate-keeper;3846;
12170;gate-keeper;3847;
12171;gate-keeper;3848;
12172;meat_1;3847;
12172;gate-keeper;3849;
12173;frui_0;3848;
12173;gate-keeper;3850;
12174;gate-keeper;3851;
12175;vege_0;3846;
12175;vege_1;3850;
12175;gate-keeper;3852;
12176;frui_1;3849;
12176;gate-keeper;3853;
12177;gate-keeper;3854;
12178;gate-keeper;3855;
12179;gate-keeper;3856;
12181;frui_0;3852;
12183;vege_1;3851;
12185;vege_0;3853;
12186;final-crs_10;3847;261
12191;final-crs_8;3848;589
12191;vege_1;3854;
12195;vege_0;3855;
12196;meat_0;3856;
12207;final-crs_9;3846;926
12222;final-crs_0;3850;676
12228;final-crs_5;3849;325
12246;final-crs_2;3852;190
12286;final-crs_1;3851;1475
12297;final-crs_3;3853;298
12328;final-crs_11;3854;1278
12361;final-crs_7;3855;933
12365;final-crs_4;3856;459
12466;gate-keeper;3949;
12467;gate-keeper;3950;
12468;frui_0;3949;
12469;final-crs_2;3949;2592
12485;meat_0;3950;
12507;final-crs_5;3950;2296
12567;gate-keeper;3984;
12575;vege_1;3984;
12582;final-crs_7;3984;1167
12670;gate-keeper;4015;
12671;frui_1;4015;
12671;gate-keeper;4016;
12678;final-crs_9;4015;1072
12704;meat_1;4016;
12737;final-crs_5;4016;608
13095;gate-keeper;4139;
13096;vege_0;4139;
13096;gate-keeper;4140;
13097;gate-keeper;4141;
13098;vege_1;4141;
13098;gate-keeper;4142;
13099;gate-keeper;4143;
13100;frui_0;4140;
13100;gate-keeper;4144;
13101;gate-keeper;4145;
13102;gate-keeper;4146;
13103;frui_1;4146;
13103;gate-keeper;4147;
13104;gate-keeper;4148;
13105;gate-keeper;4149;
13106;gate-keeper;4150;
13107;vege_0;4142;
13107;frui_0;4149;
13108;vege_1;4143;
13115;meat_1;4145;
13116;vege_0;4144;
13116;vege_1;4147;
13126;vege_0;4150;
13140;meat_0;4148;
13145;final-crs_2;4139;1084
13152;final-crs_8;4141;1178
13155;final-crs_9;4140;493
13194;final-crs_0;4146;88
13218;final-crs_1;4142;1035
13258;final-crs_5;4149;1271
13261;final-crs_3;4143;618
13280;final-crs_11;4145;417
13295;final-crs_7;4144;352
13302;final-crs_4;4147;1332
13326;gate-keeper;4219;
13327;gate-keeper;4220;
13328;gate-keeper;4221;
13329;final-crs_12;4150;688
13329;gate-keeper;4222;
13330;gate-keeper;4223;
13331;final-crs_6;4148;689
13331;gate-keeper;4224;
13333;frui_0;4221;
13334;frui_1;4224;
13335;vege_1;4220;
13336;vege_0;4222;
13343;vege_1;4223;
13350;meat_1;4219;
13355;final-crs_10;4221;561
13371;final-crs_2;4224;589
13384;final-crs_9;4220;622
13390;final-crs_8;4222;983
13455;final-crs_0;4223;475
13480;final-crs_5;4219;685
13622;gate-keeper;4308;
13623;gate-keeper;4309;
13624;gate-keeper;4310;
13625;frui_1;4309;
13625;gate-keeper;4311;
13626;frui_0;4310;
13626;gate-keeper;4312;
13627;gate-keeper;4313;
13628;gate-keeper;4314;
13629;vege_1;4308;
13629;gate-keeper;4315;
13630;vege_0;4311;
13630;gate-keeper;4316;
13631;frui_1;4312;
13631;gate-keeper;4317;
13632;frui_0;4313;
13636;gate-keeper;4318;
13637;vege_1;4314;
13637;frui_0;4317;
13637;gate-keeper;4319;
13638;frui_1;4318;
13638;gate-keeper;4320;
