time;ckpt;id;money
295;gate-keeper;103;
300;vege_1;103;
404;final-crs_3;103;1488
878;gate-keeper;312;
887;vege_0;312;
900;final-crs_3;312;978
920;gate-keeper;326;
924;vege_0;326;
933;final-crs_9;326;784
1167;gate-keeper;414;
1168;gate-keeper;415;
1169;vege_1;414;
1174;final-crs_5;414;264
1187;meat_0;415;
1198;final-crs_4;415;1400
1782;gate-keeper;631;
1783;vege_1;631;
1803;final-crs_12;631;1092
1820;gate-keeper;645;
1821;vege_1;645;
1826;final-crs_8;645;1026
2096;gate-keeper;739;
2097;vege_0;739;
2097;gate-keeper;740;
2098;gate-keeper;741;
2099;gate-keeper;742;
2106;vege_0;741;
2106;vege_1;742;
2119;meat_0;740;
2129;final-crs_9;739;605
2139;final-crs_1;741;891
2141;final-crs_11;742;814
2148;final-crs_5;740;543
2405;gate-keeper;853;
2406;vege_0;853;
2406;gate-keeper;854;
2408;vege_1;854;
2413;final-crs_5;853;1334
2437;final-crs_7;854;1772
2696;gate-keeper;955;
2698;vege_0;955;
2717;final-crs_4;955;2282
2987;gate-keeper;1055;
2988;vege_1;1055;
2988;gate-keeper;1056;
2994;final-crs_10;1055;426
2994;meat_0;1056;
2996;final-crs_2;1056;878
3293;gate-keeper;1158;
3294;gate-keeper;1159;
3295;gate-keeper;1160;
3296;vege_1;1160;
3296;frui_0;1158;
3296;gate-keeper;1161;
3297;gate-keeper;1162;
3298;gate-keeper;1163;
3299;gate-keeper;1164;
3300;gate-keeper;1165;
3302;frui_0;1165;
3305;vege_0;1161;
3305;vege_1;1162;
3314;vege_0;1164;
3328;final-crs_1;1160;907
3336;final-crs_9;1158;1083
3337;meat_0;1159;
3339;final-crs_5;1165;1693
3350;final-crs_8;1161;890
3354;final-crs_7;1162;1606
3356;meat_1;1163;
3364;final-crs_11;1164;537
3376;final-crs_0;1159;2225
3389;final-crs_4;1163;100
3631;gate-keeper;1284;
3632;vege_1;1284;
3632;gate-keeper;1285;
3635;final-crs_4;1284;2445
3637;vege_0;1285;
