time;ckpt;id;money
328;gate-keeper;111;
329;gate-keeper;112;
330;gate-keeper;113;
331;gate-keeper;114;
334;vege_0;113;
348;meat_1;111;
361;meat_0;112;
405;meat_1;114;
418;final-crs_9;113;503
447;final-crs_1;111;1463
458;final-crs_2;112;530
460;final-crs_4;114;1280
638;gate-keeper;220;
639;gate-keeper;221;
640;gate-keeper;222;
641;gate-keeper;223;
642;gate-keeper;224;
643;vege_1;220;
643;frui_0;222;
643;gate-keeper;225;
644;gate-keeper;226;
648;vege_0;223;
652;vege_1;225;
655;meat_0;221;
668;final-crs_4;220;168
682;final-crs_10;222;86
686;meat_1;224;
709;meat_0;226;
717;final-crs_6;223;1126
726;final-crs_3;225;77
734;final-crs_1;221;466
739;final-crs_11;224;1137
741;final-crs_2;226;411
881;gate-keeper;313;
884;vege_1;313;
909;final-crs_9;313;878
958;gate-keeper;337;
959;gate-keeper;338;
960;gate-keeper;339;
961;gate-keeper;340;
968;vege_0;337;
968;vege_1;338;
977;vege_0;339;
977;vege_1;340;
991;final-crs_11;337;422
993;final-crs_0;338;1485
993;final-crs_3;339;2002
1002;final-crs_5;340;645
1201;gate-keeper;427;
1206;vege_1;427;
1211;final-crs_1;427;268
1531;gate-keeper;535;
1532;gate-keeper;536;
1533;gate-keeper;537;
1534;gate-keeper;538;
1535;gate-keeper;539;
1536;gate-keeper;540;
1537;vege_0;535;
1537;gate-keeper;541;
1538;gate-keeper;542;
1540;vege_1;536;
1545;vege_0;537;
1550;vege_1;541;
1589;meat_0;538;
1595;meat_1;539;
1596;final-crs_12;535;1304
1618;final-crs_2;536;114
1618;final-crs_4;537;1961
1623;final-crs_8;541;951
1645;meat_1;540;
1647;meat_0;542;
1653;final-crs_10;538;1977
1715;final-crs_11;539;512
1718;final-crs_9;540;515
1721;final-crs_1;542;2129
1823;gate-keeper;646;
1825;vege_1;646;
1836;gate-keeper;649;
1837;gate-keeper;650;
1838;vege_0;650;
1838;meat_0;649;
1840;final-crs_2;646;501
1868;final-crs_8;650;3908
1887;final-crs_4;649;1309
2142;gate-keeper;758;
2143;gate-keeper;759;
2157;meat_1;758;
2164;final-crs_4;758;172
2198;meat_0;759;
2203;final-crs_1;759;3424
2694;gate-keeper;951;
2695;gate-keeper;952;
2696;gate-keeper;953;
2697;gate-keeper;954;
2698;vege_1;951;
2701;vege_0;952;
2707;vege_1;954;
2713;meat_0;953;
2735;gate-keeper;967;
2736;vege_0;967;
2736;gate-keeper;968;
2737;gate-keeper;969;
2743;vege_1;968;
2752;final-crs_0;951;2850
2773;meat_0;969;
2807;final-crs_10;952;910
2808;final-crs_7;954;3604
2816;final-crs_2;953;1072
2836;final-crs_12;967;930
2867;final-crs_4;968;1110
2878;final-crs_5;969;1193
3096;gate-keeper;1095;
3132;meat_0;1095;
3143;final-crs_5;1095;1457
3387;gate-keeper;1197;
3388;gate-keeper;1198;
3419;meat_1;1197;
3427;meat_0;1198;
3437;final-crs_0;1197;772
3470;final-crs_11;1198;964
3570;gate-keeper;1264;
3571;frui_0;1264;
3582;final-crs_12;1264;1452
3682;gate-keeper;1303;
3683;vege_0;1303;
3683;gate-keeper;1304;
3734;meat_0;1304;
3746;final-crs_8;1303;1765
3774;final-crs_3;1304;936
3951;gate-keeper;1392;
3952;frui_0;1392;
3952;gate-keeper;1393;
3953;gate-keeper;1394;
3954;vege_1;1394;
3954;gate-keeper;1395;
3955;gate-keeper;1396;
3957;frui_1;1393;
3967;final-crs_8;1392;508
3982;meat_0;1395;
4008;final-crs_3;1394;2312
4012;meat_1;1396;
4019;final-crs_2;1393;1668
4039;final-crs_10;1395;467
4045;final-crs_4;1396;739
4387;gate-keeper;1549;
4388;vege_0;1549;
4405;final-crs_1;1549;941
4511;gate-keeper;1591;
4512;gate-keeper;1592;
4513;gate-keeper;1593;
4514;gate-keeper;1594;
4516;vege_0;1591;
4524;vege_1;1594;
4536;final-crs_9;1591;2735
4538;final-crs_2;1594;1512
4564;meat_1;1592;
4577;final-crs_12;1592;725
4581;meat_0;1593;
4612;final-crs_11;1593;865
5118;gate-keeper;1807;
5123;vege_1;1807;
5136;final-crs_1;1807;2391
5179;gate-keeper;1825;
5180;gate-keeper;1826;
5181;gate-keeper;1827;
5182;gate-keeper;1828;
5183;vege_0;1825;
5183;vege_1;1827;
5183;gate-keeper;1829;
5185;final-crs_3;1825;2977
5191;vege_0;1828;
5192;vege_1;1829;
5208;final-crs_7;1827;3168
5213;meat_0;1826;
5217;final-crs_10;1828;868
5219;final-crs_8;1829;537
5221;final-crs_2;1826;585
5399;gate-keeper;1906;
5400;vege_1;1906;
5412;final-crs_0;1906;821
6002;gate-keeper;2118;
6003;gate-keeper;2119;
6004;gate-keeper;2120;
6006;vege_1;2118;
6010;vege_0;2119;
6033;final-crs_5;2118;478
6036;final-crs_11;2119;1275
6058;meat_1;2120;
6059;final-crs_3;2120;800
6194;gate-keeper;2188;
6196;vege_0;2188;
6239;final-crs_9;2188;896
6297;gate-keeper;2223;
6298;gate-keeper;2224;
6300;vege_1;2224;
6301;meat_0;2223;
6321;final-crs_6;2224;803
6322;final-crs_12;2223;2979
6566;gate-keeper;2311;
6567;gate-keeper;2312;
6568;gate-keeper;2313;
6569;gate-keeper;2314;
6570;gate-keeper;2315;
6571;vege_1;2311;
6571;gate-keeper;2316;
6572;gate-keeper;2317;
6573;gate-keeper;2318;
6574;vege_0;2313;
6575;frui_0;2317;
6575;meat_1;2312;
6581;vege_1;2315;
6584;vege_0;2316;
6588;final-crs_12;2311;1475
6600;final-crs_4;2313;462
6600;meat_0;2314;
6605;final-crs_7;2317;1151
6620;final-crs_0;2312;2828
6645;meat_1;2318;
6647;final-crs_10;2315;1563
6660;final-crs_8;2316;1808
6699;final-crs_2;2314;2753
6749;final-crs_11;2318;1927
6879;gate-keeper;2429;
6880;gate-keeper;2430;
6882;gate-keeper;2431;
6883;vege_1;2430;
6884;vege_0;2431;
6894;final-crs_8;2430;87
6915;final-crs_2;2431;606
6916;meat_0;2429;
6987;final-crs_11;2429;2236
7187;gate-keeper;2538;
7188;gate-keeper;2539;
7189;frui_1;2539;
7193;vege_0;2538;
7195;gate-keeper;2542;
7196;frui_0;2542;
7218;final-crs_9;2539;2383
7229;final-crs_1;2538;1823
7233;final-crs_11;2542;193
7513;gate-keeper;2653;
7514;gate-keeper;2654;
7515;gate-keeper;2655;
7516;vege_0;2653;
7524;vege_1;2654;
7528;vege_0;2655;
7539;final-crs_7;2653;2249
7576;final-crs_10;2654;3117
7623;final-crs_4;2655;1992
7797;gate-keeper;2751;
7798;meat_1;2751;
7798;gate-keeper;2752;
7799;gate-keeper;2753;
7800;vege_0;2752;
7800;gate-keeper;2754;
7807;vege_1;2753;
7808;vege_0;2754;
7836;final-crs_10;2751;785
7870;final-crs_4;2752;631
7887;final-crs_0;2753;818
7897;final-crs_12;2754;1490
8090;gate-keeper;2855;
8091;gate-keeper;2856;
8092;vege_0;2855;
8092;gate-keeper;2857;
8093;vege_1;2856;
8094;frui_0;2857;
