time;ckpt;id;money
297;gate-keeper;104;
298;frui_1;104;
423;final-crs_7;104;1352
554;gate-keeper;130;
555;gate-keeper;131;
556;gate-keeper;132;
557;gate-keeper;133;
558;frui_0;132;
558;gate-keeper;134;
559;gate-keeper;135;
560;gate-keeper;136;
561;vege_0;133;
561;gate-keeper;137;
562;gate-keeper;138;
563;gate-keeper;139;
564;gate-keeper;140;
565;vege_1;134;
565;gate-keeper;141;
566;gate-keeper;142;
567;gate-keeper;143;
568;gate-keeper;144;
569;gate-keeper;145;
570;vege_0;135;
570;frui_1;144;
570;gate-keeper;146;
571;gate-keeper;147;
572;gate-keeper;148;
573;vege_1;138;
573;gate-keeper;149;
574;gate-keeper;150;
575;gate-keeper;151;
576;gate-keeper;152;
577;meat_0;130;
577;gate-keeper;153;
578;gate-keeper;154;
579;gate-keeper;155;
580;vege_0;139;
580;gate-keeper;156;
581;vege_1;142;
581;gate-keeper;157;
582;gate-keeper;158;
583;gate-keeper;159;
584;frui_0;154;
584;frui_1;155;
584;gate-keeper;160;
585;gate-keeper;161;
586;gate-keeper;162;
587;gate-keeper;163;
588;gate-keeper;164;
589;vege_0;143;
589;gate-keeper;165;
590;gate-keeper;166;
591;vege_1;145;
591;frui_0;158;
591;frui_1;160;
591;gate-keeper;167;
592;meat_1;131;
592;gate-keeper;168;
593;gate-keeper;169;
594;gate-keeper;170;
595;gate-keeper;171;
596;gate-keeper;172;
597;vege_0;146;
597;gate-keeper;173;
598;gate-keeper;174;
599;gate-keeper;175;
600;vege_1;147;
600;gate-keeper;176;
601;gate-keeper;177;
602;gate-keeper;178;
603;frui_0;178;
603;gate-keeper;179;
604;gate-keeper;180;
605;gate-keeper;181;
606;gate-keeper;182;
607;vege_0;148;
607;gate-keeper;183;
608;gate-keeper;184;
609;gate-keeper;185;
610;gate-keeper;186;
611;vege_1;149;
611;gate-keeper;187;
612;gate-keeper;188;
613;gate-keeper;189;
614;gate-keeper;190;
615;frui_1;186;
615;gate-keeper;191;
616;gate-keeper;192;
617;vege_0;150;
617;frui_0;191;
617;gate-keeper;193;
618;gate-keeper;194;
619;gate-keeper;195;
620;gate-keeper;196;
621;vege_1;151;
621;frui_1;192;
621;gate-keeper;197;
624;frui_0;193;
625;vege_0;153;
630;vege_1;156;
634;vege_0;159;
638;vege_1;161;
639;meat_0;136;
644;vege_0;162;
646;final-crs_7;132;969
649;vege_1;165;
653;vege_0;166;
658;vege_1;167;
659;final-crs_0;133;1120
660;meat_1;137;
662;final-crs_4;134;906
662;vege_0;168;
667;vege_1;169;
673;vege_0;173;
677;vege_1;175;
683;vege_0;179;
685;vege_1;181;
689;final-crs_9;135;1637
692;vege_0;182;
695;vege_1;184;
701;vege_0;185;
703;meat_0;140;
705;vege_1;190;
709;vege_0;194;
710;final-crs_8;144;2011
714;final-crs_3;138;1334
714;final-crs_12;130;571
715;vege_1;196;
721;final-crs_11;139;1215
723;meat_1;141;
729;final-crs_10;142;1212
743;final-crs_2;154;2687
749;final-crs_5;155;1341
750;final-crs_6;143;1133
757;meat_0;152;
770;final-crs_1;145;1326
784;meat_1;157;
812;gate-keeper;288;
813;vege_1;288;
813;gate-keeper;289;
816;vege_0;289;
816;meat_0;163;
841;meat_1;164;
863;final-crs_0;158;1720
875;gate-keeper;310;
876;gate-keeper;311;
880;meat_0;170;
881;final-crs_7;160;2778
881;vege_1;311;
883;final-crs_4;131;2681
906;final-crs_12;146;614
907;meat_1;171;
910;final-crs_9;147;1480
911;final-crs_10;178;1870
937;meat_0;172;
941;final-crs_8;148;2469
946;final-crs_3;149;1189
955;final-crs_2;186;1992
960;final-crs_6;150;1988
965;meat_1;174;
976;final-crs_5;191;667
1003;meat_0;176;
1007;final-crs_11;151;1611
1019;final-crs_1;192;303
1022;meat_1;177;
1072;meat_0;180;
1086;final-crs_0;193;1700
1091;meat_1;183;
1127;final-crs_9;153;2288
1137;final-crs_4;156;1479
1138;meat_0;187;
1142;meat_1;188;
1144;final-crs_7;159;2155
1145;gate-keeper;403;
1146;gate-keeper;404;
1147;gate-keeper;405;
1148;gate-keeper;406;
1149;gate-keeper;407;
1155;vege_0;404;
1155;vege_1;405;
1158;final-crs_8;161;63
1163;final-crs_10;136;885
1164;vege_0;406;
1164;vege_1;407;
1170;final-crs_12;162;1019
1173;final-crs_3;165;1420
1180;final-crs_2;166;1945
1187;final-crs_6;167;3763
1194;final-crs_5;137;1145
1201;meat_1;189;
1206;meat_0;195;
1223;final-crs_11;168;2624
1236;final-crs_1;169;2290
1269;meat_0;197;
1269;meat_1;310;
1324;meat_1;403;
1327;final-crs_0;173;1172
1341;final-crs_9;175;1688
1367;final-crs_7;179;1073
1367;final-crs_12;181;1597
1373;final-crs_10;182;983
1386;final-crs_3;184;1337
1403;final-crs_2;185;129
1422;final-crs_4;140;1739
1424;final-crs_8;190;326
1427;final-crs_5;194;902
1427;final-crs_6;196;1228
1468;final-crs_1;141;695
1485;final-crs_11;152;1602
1485;gate-keeper;525;
1490;vege_1;525;
1564;final-crs_9;157;2440
1570;final-crs_12;288;1649
1597;final-crs_0;289;1148
1605;final-crs_10;163;1288
1608;final-crs_7;164;2669
1631;final-crs_4;170;1823
1662;final-crs_3;311;2416
1669;final-crs_5;171;845
1675;final-crs_2;172;1764
1694;final-crs_8;174;1084
1710;final-crs_6;176;1912
1723;final-crs_11;177;274
1747;final-crs_1;180;1247
1793;gate-keeper;632;
1794;gate-keeper;633;
1795;gate-keeper;634;
1796;vege_0;632;
1796;gate-keeper;635;
1797;vege_1;633;
1803;final-crs_12;183;1084
1804;final-crs_9;187;257
1806;vege_1;634;
1807;vege_0;635;
1815;gate-keeper;643;
1816;vege_0;643;
1823;final-crs_0;188;1352
1846;final-crs_10;404;654
1868;final-crs_7;405;698
1885;final-crs_5;406;2024
1892;final-crs_8;407;2617
1899;final-crs_4;189;713
1944;final-crs_11;195;839
1945;final-crs_3;197;818
1950;final-crs_2;310;1420
1976;final-crs_6;403;1709
2001;final-crs_1;525;400
2026;final-crs_12;632;1051
2028;final-crs_9;633;2163
2078;final-crs_10;634;662
2085;final-crs_5;635;1733
2087;final-crs_0;643;3019
2125;gate-keeper;751;
2126;gate-keeper;752;
2127;frui_1;752;
2131;vege_0;751;
2141;final-crs_8;752;739
2174;final-crs_11;751;2727
2420;gate-keeper;858;
2421;gate-keeper;859;
2429;vege_1;859;
2459;final-crs_2;859;1523
2466;meat_1;858;
2532;final-crs_12;858;243
2717;gate-keeper;961;
2718;gate-keeper;962;
2719;frui_1;961;
2719;gate-keeper;963;
2720;vege_0;963;
2727;final-crs_2;961;1393
2757;meat_1;962;
2763;final-crs_12;963;1567
2774;final-crs_7;962;276
2942;gate-keeper;1038;
2943;vege_1;1038;
2943;gate-keeper;1039;
2944;final-crs_3;1038;618
2944;gate-keeper;1040;
2945;gate-keeper;1041;
2946;vege_0;1039;
2953;vege_1;1041;
2978;final-crs_12;1039;496
2983;final-crs_2;1041;67
2997;meat_1;1040;
3021;final-crs_10;1040;1116
3094;gate-keeper;1092;
3095;gate-keeper;1093;
3096;vege_0;1092;
3096;gate-keeper;1094;
3099;vege_1;1094;
3104;final-crs_6;1092;3271
3104;final-crs_11;1094;1258
3122;meat_1;1093;
3135;final-crs_8;1093;1105
3245;gate-keeper;1147;
3246;gate-keeper;1148;
3247;gate-keeper;1149;
3249;vege_0;1147;
3254;vege_1;1149;
3263;final-crs_5;1147;617
3278;final-crs_10;1149;1863
3297;meat_0;1148;
3307;final-crs_0;1148;2211
3520;gate-keeper;1244;
3521;gate-keeper;1245;
3522;frui_0;1245;
3522;gate-keeper;1246;
3523;gate-keeper;1247;
3531;vege_0;1244;
3535;meat_0;1246;
3552;meat_1;1247;
3578;final-crs_6;1245;1242
3591;final-crs_1;1244;2351
3601;final-crs_9;1246;2067
3610;final-crs_11;1247;385
3811;gate-keeper;1347;
3812;gate-keeper;1348;
