time;ckpt;id;money
331;gate-keeper;115;
345;meat_1;115;
402;final-crs_2;115;2108
647;gate-keeper;230;
666;meat_0;230;
689;final-crs_5;230;340
972;gate-keeper;341;
973;gate-keeper;342;
974;gate-keeper;343;
975;gate-keeper;344;
976;gate-keeper;345;
977;vege_0;341;
979;vege_1;342;
987;vege_0;343;
988;vege_1;344;
992;final-crs_8;341;2246
992;final-crs_11;342;1732
995;final-crs_1;343;963
998;vege_0;345;
1009;final-crs_10;344;486
1035;final-crs_12;345;1611
1284;gate-keeper;454;
1285;frui_0;454;
1285;gate-keeper;455;
1286;gate-keeper;456;
1287;gate-keeper;457;
1289;vege_0;455;
1295;vege_1;456;
1297;final-crs_10;454;1160
1299;vege_0;457;
1325;final-crs_9;455;1667
1363;final-crs_3;456;324
1381;final-crs_2;457;678
1607;gate-keeper;568;
1608;gate-keeper;569;
1610;vege_0;568;
1612;final-crs_5;568;137
1612;vege_1;569;
1628;final-crs_0;569;1296
1858;gate-keeper;657;
1859;gate-keeper;658;
1860;vege_0;658;
1866;final-crs_4;658;1066
1904;meat_1;657;
1905;final-crs_8;657;520
2139;gate-keeper;753;
2140;gate-keeper;754;
2141;frui_0;754;
2141;gate-keeper;755;
2142;vege_1;753;
2142;gate-keeper;756;
2143;gate-keeper;757;
2146;vege_0;756;
2157;final-crs_4;754;1135
2163;final-crs_8;753;1740
2182;final-crs_6;756;813
2188;meat_1;755;
2192;meat_0;757;
2194;final-crs_1;755;2119
2253;final-crs_9;757;1433
2726;gate-keeper;965;
2727;gate-keeper;966;
2730;vege_0;965;
2748;gate-keeper;973;
2749;vege_1;973;
2762;meat_1;966;
2766;final-crs_9;965;395
2783;final-crs_5;973;747
2798;final-crs_11;966;1442
3052;gate-keeper;1077;
3053;gate-keeper;1078;
3054;gate-keeper;1079;
3055;gate-keeper;1080;
3056;frui_0;1080;
3058;vege_0;1077;
3061;vege_1;1078;
3063;final-crs_8;1080;684
3072;final-crs_12;1077;241
3073;final-crs_7;1078;1874
3074;meat_0;1079;
3095;final-crs_3;1079;2472
3296;gate-keeper;1166;
3301;vege_1;1166;
3304;final-crs_12;1166;236
3524;gate-keeper;1248;
3557;meat_0;1248;
3580;gate-keeper;1265;
3581;gate-keeper;1266;
3582;gate-keeper;1267;
3584;vege_0;1265;
3586;final-crs_2;1248;878
3587;vege_1;1266;
3595;vege_0;1267;
3596;final-crs_6;1265;342
3610;final-crs_1;1266;755
3611;final-crs_3;1267;1148
3848;gate-keeper;1361;
3849;vege_1;1361;
3884;final-crs_11;1361;1070
3913;gate-keeper;1383;
3914;vege_1;1383;
3940;final-crs_4;1383;1247
4141;gate-keeper;1456;
4142;gate-keeper;1457;
4143;frui_0;1457;
4143;gate-keeper;1458;
4144;gate-keeper;1459;
4145;gate-keeper;1460;
4146;gate-keeper;1461;
4147;gate-keeper;1462;
4150;vege_0;1459;
4153;vege_1;1460;
4159;vege_0;1462;
4169;final-crs_9;1457;1448
4173;meat_1;1456;
4182;meat_0;1458;
4214;final-crs_4;1459;95
4229;final-crs_8;1460;2584
4239;meat_0;1461;
4242;final-crs_0;1462;1381
4266;final-crs_10;1456;2475
4270;final-crs_5;1458;1730
4272;final-crs_7;1461;1028
4360;gate-keeper;1540;
4364;vege_1;1540;
4375;final-crs_1;1540;209
4430;gate-keeper;1564;
4431;vege_1;1564;
4431;gate-keeper;1565;
4436;vege_0;1565;
4460;final-crs_4;1564;984
4464;final-crs_8;1565;528
4693;gate-keeper;1654;
4694;vege_0;1654;
4694;gate-keeper;1655;
4695;gate-keeper;1656;
4696;gate-keeper;1657;
4697;gate-keeper;1658;
4701;vege_1;1655;
4704;vege_0;1657;
4710;vege_1;1658;
4711;meat_1;1656;
4722;final-crs_4;1654;717
4730;final-crs_7;1655;1327
4731;final-crs_8;1657;165
4744;final-crs_6;1658;356
4751;final-crs_0;1656;1466
5009;gate-keeper;1768;
5010;gate-keeper;1769;
5011;gate-keeper;1770;
5013;vege_1;1769;
5019;vege_0;1770;
5020;meat_0;1768;
5022;final-crs_2;1769;88
5060;final-crs_11;1770;413
5062;final-crs_3;1768;2409
5302;gate-keeper;1869;
5303;gate-keeper;1870;
5304;gate-keeper;1871;
5309;vege_0;1870;
5312;final-crs_11;1870;659
5337;meat_0;1869;
5343;final-crs_1;1869;551
5348;meat_1;1871;
5359;gate-keeper;1891;
5394;meat_0;1891;
5396;final-crs_9;1871;758
