time;ckpt;id;money
315;gate-keeper;110;
321;vege_1;110;
415;final-crs_5;110;394
586;gate-keeper;205;
587;gate-keeper;206;
588;gate-keeper;207;
589;gate-keeper;208;
593;vege_0;205;
596;vege_1;206;
626;meat_1;207;
627;meat_0;208;
636;final-crs_5;205;1052
656;final-crs_6;206;94
678;final-crs_12;207;474
695;final-crs_2;208;2209
925;gate-keeper;327;
926;gate-keeper;328;
928;vege_0;327;
928;vege_1;328;
948;final-crs_7;327;820
958;final-crs_9;328;1984
1207;gate-keeper;428;
1208;gate-keeper;429;
1215;vege_1;429;
1217;final-crs_4;429;304
1226;meat_1;428;
1252;final-crs_8;428;84
1780;gate-keeper;621;
1781;gate-keeper;622;
1782;gate-keeper;623;
1783;vege_0;621;
1783;gate-keeper;624;
1784;gate-keeper;625;
1785;gate-keeper;626;
1786;gate-keeper;627;
1787;gate-keeper;628;
1788;gate-keeper;629;
1789;vege_1;623;
1789;gate-keeper;630;
1791;frui_1;629;
1793;vege_0;625;
1800;vege_1;626;
1814;meat_1;622;
1828;meat_0;624;
1836;final-crs_5;621;100
1869;meat_1;627;
1870;final-crs_12;623;1519
1879;meat_0;628;
1889;final-crs_2;629;2621
1893;final-crs_10;625;2500
1927;meat_1;630;
1928;final-crs_7;626;1909
1936;final-crs_4;622;2474
1970;final-crs_9;624;1477
1978;final-crs_11;627;1021
1985;final-crs_6;628;78
2006;final-crs_3;630;751
2163;gate-keeper;762;
2164;gate-keeper;763;
2165;gate-keeper;764;
2166;frui_0;763;
2166;gate-keeper;765;
2167;gate-keeper;766;
2168;vege_1;762;
2171;final-crs_7;763;2241
2171;vege_0;764;
2178;vege_1;765;
2192;final-crs_11;762;893
2200;final-crs_0;764;2075
2201;meat_0;766;
2205;final-crs_3;765;801
2205;final-crs_6;766;245
2500;gate-keeper;886;
2508;vege_1;886;
2525;final-crs_9;886;514
2782;gate-keeper;986;
2784;frui_1;986;
2786;final-crs_5;986;2840
3500;gate-keeper;1237;
3501;gate-keeper;1238;
3502;gate-keeper;1239;
3522;meat_1;1237;
3525;final-crs_9;1237;1269
3549;meat_0;1238;
3574;final-crs_7;1238;672
3584;meat_1;1239;
3596;final-crs_3;1239;1986
3719;gate-keeper;1315;
3720;gate-keeper;1316;
3721;vege_0;1315;
3736;final-crs_0;1315;506
3745;meat_0;1316;
3745;gate-keeper;1324;
3746;gate-keeper;1325;
3748;vege_0;1325;
3749;final-crs_11;1316;2787
3759;final-crs_10;1325;1010
3777;meat_1;1324;
3783;final-crs_9;1324;944
4077;gate-keeper;1439;
4094;meat_1;1439;
4123;final-crs_4;1439;94
4312;gate-keeper;1522;
4313;gate-keeper;1523;
4315;vege_0;1522;
4317;vege_1;1523;
4342;final-crs_7;1522;428
4355;final-crs_11;1523;1383
4416;gate-keeper;1557;
4417;gate-keeper;1558;
4418;gate-keeper;1559;
4419;vege_1;1558;
4422;frui_0;1557;
4424;vege_0;1559;
4439;final-crs_10;1558;1936
4463;final-crs_5;1557;2666
4482;final-crs_9;1559;443
4757;gate-keeper;1675;
4758;gate-keeper;1676;
4759;vege_1;1676;
4759;gate-keeper;1677;
4760;vege_0;1677;
4760;meat_1;1675;
4760;gate-keeper;1678;
4761;gate-keeper;1679;
4762;gate-keeper;1680;
4763;gate-keeper;1681;
4769;vege_0;1679;
4769;vege_1;1680;
4778;vege_0;1681;
4780;final-crs_3;1676;2452
4794;final-crs_1;1677;761
4804;meat_1;1678;
4814;final-crs_7;1675;2073
4826;final-crs_11;1679;627
4827;final-crs_12;1680;1324
4835;final-crs_6;1681;743
4842;final-crs_4;1678;573
5042;gate-keeper;1780;
5043;gate-keeper;1781;
5046;vege_1;1780;
5050;vege_0;1781;
5053;final-crs_7;1780;1984
5065;final-crs_4;1781;1867
5205;gate-keeper;1835;
5206;frui_1;1835;
5206;gate-keeper;1836;
5207;gate-keeper;1837;
5208;gate-keeper;1838;
5213;vege_0;1836;
5233;meat_0;1837;
5238;final-crs_6;1835;650
5240;meat_1;1838;
5243;final-crs_7;1836;1126
5253;final-crs_0;1837;3222
5276;final-crs_11;1838;1523
5323;gate-keeper;1877;
5324;gate-keeper;1878;
5325;gate-keeper;1879;
5327;vege_1;1878;
5332;final-crs_3;1878;2127
5332;vege_0;1879;
5349;meat_0;1877;
5381;final-crs_5;1879;914
5391;final-crs_10;1877;952
5688;gate-keeper;2008;
5690;meat_0;2008;
5704;final-crs_8;2008;222
5984;gate-keeper;2110;
5985;gate-keeper;2111;
5986;gate-keeper;2112;
5987;gate-keeper;2113;
5988;vege_1;2112;
5994;final-crs_0;2112;590
5995;vege_0;2113;
6000;meat_1;2110;
6012;meat_0;2111;
6027;final-crs_1;2113;1349
6029;final-crs_4;2110;1328
6043;final-crs_2;2111;2324
6262;gate-keeper;2210;
6263;gate-keeper;2211;
6264;gate-keeper;2212;
6265;vege_0;2211;
6265;vege_1;2212;
6272;final-crs_11;2211;457
6291;final-crs_2;2212;2833
6291;meat_1;2210;
6294;final-crs_10;2210;2447
6574;gate-keeper;2321;
6584;meat_1;2321;
6589;final-crs_3;2321;1151
6895;gate-keeper;2432;
6896;gate-keeper;2433;
6897;vege_0;2433;
6897;gate-keeper;2434;
6898;gate-keeper;2435;
6899;vege_1;2434;
6906;meat_0;2432;
6923;final-crs_0;2433;770
6941;meat_1;2435;
6942;final-crs_8;2434;334
6944;final-crs_11;2432;880
6958;final-crs_4;2435;756
7219;gate-keeper;2551;
7220;frui_1;2551;
7229;final-crs_1;2551;396
7332;gate-keeper;2591;
7333;vege_1;2591;
7354;final-crs_8;2591;233
7481;gate-keeper;2639;
7482;vege_0;2639;
7482;gate-keeper;2640;
7483;gate-keeper;2641;
7484;gate-keeper;2642;
7485;gate-keeper;2643;
7490;vege_1;2641;
7492;vege_0;2642;
7497;meat_0;2640;
7514;final-crs_2;2639;978
7520;final-crs_9;2641;1144
7529;final-crs_5;2642;1609
7537;meat_1;2643;
7552;final-crs_7;2640;1046
7602;final-crs_6;2643;2438
7762;gate-keeper;2738;
7763;gate-keeper;2739;
7764;gate-keeper;2740;
7765;gate-keeper;2741;
7766;gate-keeper;2742;
7769;vege_0;2739;
7770;final-crs_5;2739;913
7771;vege_1;2742;
7777;final-crs_2;2742;663
7792;meat_0;2738;
7799;final-crs_9;2738;478
7818;meat_1;2740;
7855;final-crs_8;2740;3663
7860;meat_0;2741;
7866;final-crs_0;2741;2316
8010;gate-keeper;2829;
8011;gate-keeper;2830;
8012;vege_1;2830;
8028;meat_1;2829;
8029;final-crs_5;2830;338
8033;final-crs_7;2829;2229
8081;gate-keeper;2851;
8082;frui_0;2851;
8082;gate-keeper;2852;
8083;gate-keeper;2853;
8084;gate-keeper;2854;
8087;final-crs_6;2851;602
8088;vege_0;2853;
8089;vege_1;2854;
8107;meat_0;2852;
8133;final-crs_0;2853;1622
8138;final-crs_8;2854;2072
8153;final-crs_10;2852;1326
8376;gate-keeper;2960;
8377;gate-keeper;2961;
8380;vege_0;2960;
8380;vege_1;2961;
8385;final-crs_10;2960;655
8392;final-crs_11;2961;91
8587;gate-keeper;3025;
8588;gate-keeper;3026;
8589;gate-keeper;3027;
8590;gate-keeper;3028;
8591;gate-keeper;3029;
8592;vege_0;3025;
8592;gate-keeper;3030;
8593;gate-keeper;3031;
8594;gate-keeper;3032;
8595;gate-keeper;3033;
8596;gate-keeper;3034;
8597;gate-keeper;3035;
8598;vege_1;3026;
8598;gate-keeper;3036;
8599;gate-keeper;3037;
8602;meat_0;3027;
8604;vege_0;3029;
8609;vege_1;3032;
8612;final-crs_8;3025;871
8613;vege_0;3033;
8618;vege_1;3037;
8624;meat_1;3028;
8631;final-crs_10;3026;1600
8648;final-crs_12;3027;516
8649;final-crs_11;3029;1968
8655;final-crs_9;3032;932
8659;final-crs_2;3033;1686
8661;meat_0;3030;
8664;final-crs_4;3037;2235
8667;final-crs_1;3028;2039
8690;final-crs_3;3030;1115
8693;meat_1;3031;
8719;meat_0;3034;
8751;meat_1;3035;
8765;final-crs_7;3031;1246
8789;final-crs_5;3034;1430
8792;meat_0;3036;
8828;final-crs_6;3035;2081
8832;final-crs_8;3036;2475
8869;gate-keeper;3136;
8902;gate-keeper;3145;
8903;gate-keeper;3146;
8904;gate-keeper;3147;
8906;vege_1;3145;
8908;vege_0;3147;
8912;final-crs_9;3145;1814
8914;meat_0;3136;
8914;meat_1;3146;
8915;final-crs_1;3147;696
8944;final-crs_4;3136;213
8946;final-crs_3;3146;1523
9520;gate-keeper;3360;
9521;gate-keeper;3361;
9522;gate-keeper;3362;
9523;gate-keeper;3363;
9526;vege_1;3360;
9529;final-crs_8;3360;2796
9529;meat_1;3361;
9533;final-crs_12;3361;705
9546;meat_0;3362;
9561;final-crs_6;3362;383
9582;meat_1;3363;
9605;final-crs_1;3363;436
9857;gate-keeper;3472;
9858;gate-keeper;3473;
9859;gate-keeper;3474;
9860;gate-keeper;3475;
9861;gate-keeper;3476;
9862;gate-keeper;3477;
9863;gate-keeper;3478;
9865;vege_0;3473;
9865;vege_1;3474;
9869;meat_1;3472;
9874;vege_0;3476;
9875;final-crs_9;3473;389
9876;vege_1;3477;
9881;final-crs_1;3474;791
9884;vege_0;3478;
9888;final-crs_10;3472;1580
9896;final-crs_0;3476;1070
9899;final-crs_4;3477;3060
9899;meat_0;3475;
9949;final-crs_7;3478;575
9960;final-crs_12;3475;2865
10220;gate-keeper;3604;
10221;gate-keeper;3605;
10222;vege_0;3604;
10222;gate-keeper;3606;
10224;vege_1;3606;
10225;frui_1;3605;
10248;final-crs_3;3604;2466
10271;final-crs_9;3606;324
10280;final-crs_8;3605;1708
10486;gate-keeper;3697;
10487;gate-keeper;3698;
10488;gate-keeper;3699;
10489;gate-keeper;3700;
10492;vege_1;3697;
10493;vege_0;3700;
10503;meat_0;3698;
10517;final-crs_11;3697;1637
10528;final-crs_2;3700;1054
10534;final-crs_1;3698;191
10538;meat_1;3699;
10546;final-crs_6;3699;2453
10575;gate-keeper;3729;
10576;gate-keeper;3730;
10577;gate-keeper;3731;
10581;vege_1;3731;
10595;meat_1;3729;
