time;ckpt;id;money
267;gate-keeper;54;
271;vege_1;54;
276;final-crs_9;54;264
580;gate-keeper;118;
581;gate-keeper;119;
582;frui_0;118;
584;vege_0;119;
651;final-crs_5;118;284
681;final-crs_4;119;349
900;gate-keeper;187;
902;meat_0;187;
936;final-crs_1;187;115
2149;gate-keeper;453;
2150;vege_1;453;
2150;gate-keeper;454;
2157;vege_0;454;
2160;final-crs_9;453;249
2161;final-crs_12;454;747
2461;gate-keeper;519;
2462;frui_0;519;
2462;gate-keeper;520;
2463;gate-keeper;521;
2466;final-crs_10;519;84
2467;vege_0;520;
2468;frui_1;521;
2477;final-crs_8;520;189
2483;final-crs_7;521;570
2606;gate-keeper;550;
2607;gate-keeper;551;
2608;gate-keeper;552;
2609;gate-keeper;553;
2610;frui_1;552;
2613;vege_0;550;
2615;vege_1;551;
2623;vege_0;553;
2636;final-crs_2;552;142
2636;final-crs_3;550;80
2643;final-crs_12;551;66
2654;final-crs_6;553;507
2790;gate-keeper;590;
2791;gate-keeper;591;
2797;vege_0;590;
2800;vege_1;591;
2810;final-crs_0;590;1109
2853;final-crs_6;591;1429
3094;gate-keeper;655;
3098;vege_0;655;
3115;final-crs_12;655;1105
3359;gate-keeper;709;
3360;gate-keeper;710;
3362;vege_1;709;
3368;vege_0;710;
3378;final-crs_4;709;1209
3385;final-crs_9;710;79
3541;gate-keeper;748;
3548;vege_0;748;
3574;gate-keeper;754;
3575;gate-keeper;755;
3577;vege_0;755;
3577;frui_1;754;
3581;final-crs_3;748;1104
3589;final-crs_6;755;1693
3598;final-crs_12;754;405
3984;gate-keeper;839;
3985;gate-keeper;840;
3986;gate-keeper;841;
3988;vege_0;839;
3991;vege_1;840;
3997;vege_0;841;
4029;final-crs_3;839;1146
4040;final-crs_5;840;1838
4043;final-crs_0;841;326
4310;gate-keeper;909;
4311;gate-keeper;910;
4312;vege_0;909;
4316;vege_1;910;
4327;final-crs_6;909;737
4328;final-crs_10;910;320
4568;gate-keeper;965;
4577;vege_0;965;
4643;final-crs_4;965;463
4866;gate-keeper;1027;
4871;vege_1;1027;
4882;final-crs_2;1027;376
5129;gate-keeper;1081;
5130;gate-keeper;1082;
5131;gate-keeper;1083;
5133;frui_0;1081;
5136;vege_0;1082;
5138;vege_1;1083;
5149;final-crs_4;1081;458
5154;final-crs_0;1082;553
5155;final-crs_3;1083;765
5659;gate-keeper;1198;
5662;vege_0;1198;
5672;final-crs_1;1198;889
5934;gate-keeper;1249;
5935;vege_1;1249;
5935;gate-keeper;1250;
5936;gate-keeper;1251;
5937;gate-keeper;1252;
5938;gate-keeper;1253;
5939;gate-keeper;1254;
5940;vege_0;1251;
5940;gate-keeper;1255;
5945;vege_1;1252;
5949;final-crs_12;1249;521
5951;vege_0;1253;
5952;meat_0;1250;
5954;vege_1;1254;
5955;final-crs_6;1251;1273
5961;vege_0;1255;
5995;final-crs_9;1252;711
6008;final-crs_8;1253;981
6027;final-crs_11;1250;215
6055;final-crs_10;1254;168
6092;final-crs_4;1255;432
6241;gate-keeper;1317;
6242;gate-keeper;1318;
6243;vege_1;1317;
6243;gate-keeper;1319;
6244;vege_0;1318;
6244;frui_0;1319;
6283;final-crs_10;1317;714
6295;final-crs_9;1318;461
6299;final-crs_11;1319;105
6567;gate-keeper;1389;
6568;gate-keeper;1390;
6573;vege_0;1390;
6603;final-crs_12;1390;658
6603;meat_0;1389;
6630;final-crs_3;1389;1149
7145;gate-keeper;1514;
7146;gate-keeper;1515;
7148;frui_1;1514;
7152;final-crs_1;1514;595
7154;vege_1;1515;
7176;gate-keeper;1522;
7181;final-crs_5;1515;655
7183;gate-keeper;1523;
7185;vege_0;1523;
7198;meat_0;1522;
7223;final-crs_8;1523;586
7239;final-crs_6;1522;662
7494;gate-keeper;1587;
7495;gate-keeper;1588;
7499;frui_0;1588;
7502;vege_0;1587;
7503;final-crs_6;1588;1522
7511;final-crs_0;1587;1420
7766;gate-keeper;1643;
7767;gate-keeper;1644;
7768;frui_0;1643;
7768;gate-keeper;1645;
7770;vege_0;1644;
7770;frui_1;1645;
7780;final-crs_9;1643;544
7787;final-crs_12;1644;191
7788;final-crs_1;1645;371
8105;gate-keeper;1717;
8110;vege_1;1717;
8168;final-crs_6;1717;409
8452;gate-keeper;1791;
8455;vege_1;1791;
8462;final-crs_1;1791;428
8791;gate-keeper;1862;
8792;frui_1;1862;
8793;final-crs_0;1862;342
9070;gate-keeper;1922;
9071;frui_1;1922;
9106;final-crs_2;1922;702
9153;gate-keeper;1938;
9154;gate-keeper;1939;
9155;vege_0;1939;
9155;gate-keeper;1940;
9156;frui_1;1938;
9160;vege_1;1940;
9171;final-crs_1;1939;1406
9185;final-crs_8;1938;287
9190;final-crs_11;1940;1177
9650;gate-keeper;2044;
9651;vege_0;2044;
9651;gate-keeper;2045;
9652;vege_1;2045;
9652;gate-keeper;2046;
9657;frui_1;2046;
9673;final-crs_11;2044;815
9692;final-crs_12;2045;2358
9708;final-crs_10;2046;275
9988;gate-keeper;2118;
9991;vege_0;2118;
9992;gate-keeper;2119;
9994;vege_1;2119;
10009;final-crs_9;2118;1288
10013;final-crs_0;2119;307
10210;gate-keeper;2160;
10211;gate-keeper;2161;
10212;gate-keeper;2162;
10213;gate-keeper;2163;
10214;vege_1;2161;
10214;gate-keeper;2164;
10215;frui_0;2160;
10215;gate-keeper;2165;
10216;final-crs_3;2161;652
10216;frui_1;2162;
10217;vege_0;2163;
10224;vege_1;2164;
10227;vege_0;2165;
10258;final-crs_0;2160;360
10272;final-crs_9;2162;915
10292;final-crs_1;2163;877
10320;final-crs_4;2164;1023
10333;final-crs_8;2165;355
10478;gate-keeper;2220;
10483;vege_0;2220;
10505;final-crs_0;2220;665
10781;gate-keeper;2286;
10793;meat_0;2286;
10841;final-crs_4;2286;100
11105;gate-keeper;2354;
11111;vege_0;2354;
11127;final-crs_3;2354;1171
11381;gate-keeper;2412;
11382;gate-keeper;2413;
11383;gate-keeper;2414;
11384;vege_0;2412;
11386;frui_0;2413;
11389;vege_1;2414;
11413;final-crs_12;2412;117
11454;final-crs_9;2413;484
11457;final-crs_10;2414;1108
11628;gate-keeper;2464;
11629;gate-keeper;2465;
11630;vege_1;2464;
11636;vege_0;2465;
11678;final-crs_9;2464;435
11684;final-crs_2;2465;422
11720;gate-keeper;2485;
11725;vege_0;2485;
11730;final-crs_1;2485;581
11884;gate-keeper;2519;
11889;vege_0;2519;
11897;final-crs_9;2519;310
12180;gate-keeper;2580;
12181;vege_0;2580;
12181;gate-keeper;2581;
12182;gate-keeper;2582;
12183;gate-keeper;2583;
12186;vege_1;2581;
12191;vege_0;2582;
12196;vege_1;2583;
12200;final-crs_10;2580;777
12225;final-crs_1;2581;440
12265;final-crs_8;2582;1326
12300;final-crs_4;2583;802
12416;gate-keeper;2633;
12417;gate-keeper;2634;
12418;frui_0;2633;
12420;final-crs_12;2633;363
12420;vege_1;2634;
12432;final-crs_2;2634;387
12756;gate-keeper;2706;
12757;gate-keeper;2707;
12758;gate-keeper;2708;
12759;vege_1;2707;
12770;final-crs_3;2707;196
12778;meat_1;2706;
12780;final-crs_0;2706;864
12813;meat_0;2708;
12843;final-crs_7;2708;298
13345;gate-keeper;2830;
13346;frui_1;2830;
13346;gate-keeper;2831;
13347;gate-keeper;2832;
13354;vege_0;2831;
13356;vege_1;2832;
13371;final-crs_9;2830;123
13400;final-crs_5;2831;459
13443;final-crs_8;2832;520
13639;gate-keeper;2895;
13640;vege_0;2895;
13641;gate-keeper;2896;
13643;meat_0;2896;
13655;final-crs_5;2895;82
13668;final-crs_1;2896;459
13984;gate-keeper;2968;
13987;vege_0;2968;
14023;final-crs_6;2968;202
14085;gate-keeper;2988;
14086;gate-keeper;2989;
14090;vege_0;2988;
14091;vege_1;2989;
14114;final-crs_5;2988;894
14154;final-crs_1;2989;153
14838;gate-keeper;3146;
14839;gate-keeper;3147;
14843;vege_0;3146;
14843;vege_1;3147;
14854;final-crs_1;3146;1305
14854;final-crs_2;3147;471
15140;gate-keeper;3211;
15141;vege_0;3211;
15143;final-crs_6;3211;434
15462;gate-keeper;3279;
15467;vege_0;3279;
15532;final-crs_0;3279;1111
16094;gate-keeper;3412;
16099;frui_0;3412;
16102;final-crs_4;3412;267
16396;gate-keeper;3472;
16397;gate-keeper;3473;
16398;gate-keeper;3474;
16399;gate-keeper;3475;
16400;frui_0;3472;
16401;vege_1;3473;
16405;final-crs_12;3472;484
16405;vege_0;3474;
16413;vege_0;3475;
16441;final-crs_0;3473;1378
16471;final-crs_8;3474;724
16481;final-crs_1;3475;1165
16690;gate-keeper;3536;
16691;vege_0;3536;
16691;gate-keeper;3537;
16695;vege_1;3537;
16697;final-crs_0;3536;1282
16711;final-crs_8;3537;403
16979;gate-keeper;3597;
16980;gate-keeper;3598;
16983;frui_0;3597;
16986;vege_0;3598;
16987;final-crs_3;3597;939
16998;final-crs_8;3598;1507
17236;gate-keeper;3652;
17259;meat_0;3652;
17260;final-crs_3;3652;156
17295;gate-keeper;3663;
17296;gate-keeper;3664;
17297;gate-keeper;3665;
17298;vege_1;3664;
17298;gate-keeper;3666;
17301;frui_0;3663;
17303;vege_0;3665;
17306;final-crs_5;3664;113
17306;vege_1;3666;
17350;final-crs_7;3663;265
17361;final-crs_6;3665;479
17378;final-crs_12;3666;1153
17591;gate-keeper;3725;
17592;gate-keeper;3726;
17593;frui_0;3726;
17593;gate-keeper;3727;
17597;vege_0;3725;
17598;final-crs_7;3726;291
17598;final-crs_10;3725;943
17599;vege_1;3727;
17604;final-crs_12;3727;519
17711;gate-keeper;3745;
17712;gate-keeper;3746;
17713;vege_0;3746;
17713;frui_1;3745;
17713;gate-keeper;3747;
17714;gate-keeper;3748;
17715;gate-keeper;3749;
17716;frui_0;3747;
17716;gate-keeper;3750;
17717;gate-keeper;3751;
17718;gate-keeper;3752;
17719;vege_1;3748;
17719;meat_0;3750;
17720;frui_1;3749;
17722;vege_0;3751;
17770;final-crs_8;3746;1055
17770;meat_1;3752;
17792;final-crs_2;3745;133
17809;final-crs_5;3747;88
17827;final-crs_9;3748;343
17834;final-crs_10;3750;696
17835;final-crs_7;3749;1041
17853;final-crs_12;3751;939
17858;final-crs_4;3752;127
17895;gate-keeper;3790;
17905;vege_1;3790;
17910;final-crs_3;3790;1006
18075;gate-keeper;3825;
18076;frui_1;3825;
18076;gate-keeper;3826;
18077;gate-keeper;3827;
18078;gate-keeper;3828;
18080;vege_1;3827;
18080;frui_0;3826;
18083;final-crs_4;3825;349
18086;vege_0;3828;
18096;final-crs_12;3827;437
