time;ckpt;id;money
623;gate-keeper;165;
624;vege_0;165;
652;final-crs_9;165;92
1000;gate-keeper;262;
1001;frui_1;262;
1001;gate-keeper;263;
1002;gate-keeper;264;
1003;vege_1;263;
1003;gate-keeper;265;
1004;frui_0;264;
1004;gate-keeper;266;
1005;gate-keeper;267;
1007;frui_1;267;
1022;final-crs_0;262;386
1050;meat_1;265;
1057;meat_0;266;
1092;final-crs_12;263;1153
1134;final-crs_9;264;623
1140;final-crs_1;267;1541
1161;final-crs_4;265;390
1169;final-crs_7;266;190
1308;gate-keeper;343;
1309;gate-keeper;344;
1310;gate-keeper;345;
1311;gate-keeper;346;
1313;vege_1;343;
1314;vege_0;344;
1323;vege_0;345;
1324;vege_1;346;
1334;final-crs_12;343;610
1368;final-crs_7;344;728
1390;final-crs_1;345;519
1397;final-crs_4;346;1755
1531;gate-keeper;407;
1532;frui_1;407;
1560;final-crs_12;407;1475
1755;gate-keeper;464;
1756;gate-keeper;465;
1758;vege_0;465;
1761;final-crs_0;465;535
1764;meat_1;464;
1811;final-crs_12;464;1093
1949;gate-keeper;517;
1957;frui_0;517;
1965;final-crs_8;517;364
2044;gate-keeper;541;
2045;gate-keeper;542;
2046;frui_1;542;
2048;vege_0;541;
2093;final-crs_9;542;908
2104;final-crs_10;541;1026
2319;gate-keeper;609;
2320;gate-keeper;610;
2321;gate-keeper;611;
2322;gate-keeper;612;
2323;frui_0;609;
2323;gate-keeper;613;
2324;vege_0;613;
2324;gate-keeper;614;
2325;vege_1;614;
2325;frui_1;610;
2325;gate-keeper;615;
2326;gate-keeper;616;
2330;frui_0;612;
2331;final-crs_4;609;60
2331;frui_1;615;
2335;vege_0;616;
2347;meat_1;611;
2350;final-crs_5;613;476
2366;final-crs_2;614;1713
2441;final-crs_6;610;932
2447;final-crs_3;612;630
2452;final-crs_8;615;489
2482;final-crs_0;616;63
2483;final-crs_12;611;98
2648;gate-keeper;703;
2649;vege_1;703;
2667;final-crs_3;703;227
2795;gate-keeper;741;
2796;gate-keeper;742;
2797;gate-keeper;743;
2798;vege_1;741;
2806;vege_0;742;
2807;vege_1;743;
2824;final-crs_2;741;516
2851;final-crs_1;742;1216
2867;final-crs_5;743;297
2964;gate-keeper;789;
2967;frui_1;789;
2972;final-crs_8;789;1302
3238;gate-keeper;862;
3239;frui_0;862;
3247;final-crs_0;862;1671
3543;gate-keeper;945;
3544;frui_0;945;
3564;final-crs_6;945;185
3619;gate-keeper;966;
3620;vege_1;966;
3642;final-crs_9;966;103
3884;gate-keeper;1033;
3885;gate-keeper;1034;
3886;frui_1;1033;
3887;vege_1;1034;
3908;final-crs_9;1033;460
3915;final-crs_4;1034;444
3933;gate-keeper;1048;
3934;vege_0;1048;
3937;final-crs_1;1048;379
4260;gate-keeper;1131;
4261;vege_1;1131;
4261;gate-keeper;1132;
4262;gate-keeper;1133;
4264;vege_0;1133;
4283;meat_1;1132;
4284;final-crs_7;1131;60
4355;final-crs_12;1133;1274
4389;final-crs_9;1132;1501
4543;gate-keeper;1202;
4544;gate-keeper;1203;
4545;gate-keeper;1204;
4546;vege_1;1202;
4546;gate-keeper;1205;
4547;gate-keeper;1206;
4548;gate-keeper;1207;
4549;gate-keeper;1208;
4550;gate-keeper;1209;
4552;vege_0;1203;
4552;frui_1;1209;
4556;vege_1;1204;
4562;vege_0;1205;
4565;vege_1;1206;
4571;vege_0;1207;
4574;vege_1;1208;
4592;final-crs_12;1202;297
4624;final-crs_9;1203;120
4653;final-crs_0;1209;585
4668;final-crs_10;1204;624
4678;final-crs_1;1205;613
4695;final-crs_2;1206;1316
4695;final-crs_8;1207;152
4699;final-crs_4;1208;1000
4711;gate-keeper;1253;
4712;gate-keeper;1254;
4715;frui_1;1253;
4718;final-crs_11;1253;481
4725;meat_0;1254;
4747;final-crs_6;1254;865
4846;gate-keeper;1285;
4847;gate-keeper;1286;
4848;gate-keeper;1287;
4849;gate-keeper;1288;
4850;vege_1;1286;
4850;gate-keeper;1289;
4853;frui_0;1287;
4854;frui_1;1289;
4855;vege_0;1288;
4864;meat_0;1285;
4886;final-crs_9;1286;1412
4905;final-crs_10;1287;376
4910;final-crs_0;1289;574
4930;final-crs_2;1288;270
4939;final-crs_3;1285;1083
5152;gate-keeper;1371;
5155;vege_1;1371;
5175;final-crs_8;1371;1052
5427;gate-keeper;1442;
