time;ckpt;id;money
272;gate-keeper;70;
273;gate-keeper;71;
274;frui_1;70;
274;gate-keeper;72;
276;final-crs_9;70;1293
279;vege_0;71;
281;vege_1;72;
284;final-crs_8;71;454
457;final-crs_3;72;786
566;gate-keeper;149;
567;gate-keeper;150;
570;frui_1;149;
571;vege_0;150;
681;final-crs_3;149;146
698;final-crs_10;150;746
916;gate-keeper;243;
920;vege_1;243;
939;final-crs_3;243;639
1188;gate-keeper;313;
1189;gate-keeper;314;
1190;gate-keeper;315;
1192;frui_0;313;
1192;frui_1;314;
1194;final-crs_6;313;734
1194;final-crs_7;314;1010
1194;vege_0;315;
1197;final-crs_9;315;1329
1527;gate-keeper;403;
1528;gate-keeper;404;
1529;vege_1;403;
1529;gate-keeper;405;
1530;gate-keeper;406;
1532;meat_0;404;
1558;meat_1;405;
1587;meat_0;406;
1643;final-crs_3;403;318
1650;final-crs_5;404;544
1652;final-crs_4;405;1068
1662;final-crs_2;406;1119
1794;gate-keeper;476;
1799;vege_1;476;
1841;final-crs_11;476;890
1940;gate-keeper;514;
1957;meat_1;514;
2006;final-crs_6;514;1134
2087;gate-keeper;552;
2088;gate-keeper;553;
2090;vege_0;553;
2092;frui_1;552;
2120;final-crs_3;553;347
2134;final-crs_8;552;602
2377;gate-keeper;627;
2378;gate-keeper;628;
2379;gate-keeper;629;
2380;gate-keeper;630;
2381;frui_0;627;
2381;gate-keeper;631;
2383;frui_1;630;
2385;vege_0;629;
2386;final-crs_9;627;126
2387;vege_1;631;
2402;final-crs_8;630;317
2415;final-crs_2;629;424
2433;meat_0;628;
2435;final-crs_4;631;1277
2482;final-crs_1;628;826
2657;gate-keeper;704;
2658;gate-keeper;705;
2659;gate-keeper;706;
2665;frui_0;706;
2666;meat_0;704;
2679;meat_1;705;
2681;final-crs_6;706;1241
2725;final-crs_1;704;521
2742;final-crs_5;705;87
2910;gate-keeper;773;
2912;frui_1;773;
2933;final-crs_2;773;214
2936;gate-keeper;779;
2937;gate-keeper;780;
2938;gate-keeper;781;
2940;vege_1;779;
2943;vege_0;780;
2953;final-crs_5;779;792
2955;final-crs_1;780;170
2962;meat_1;781;
3033;final-crs_0;781;581
3233;gate-keeper;860;
3242;vege_0;860;
3243;final-crs_1;860;413
3487;gate-keeper;927;
3488;gate-keeper;928;
3489;gate-keeper;929;
3490;gate-keeper;930;
3491;vege_1;928;
3492;frui_0;927;
3496;vege_0;929;
3500;vege_1;930;
3505;final-crs_1;928;1172
3549;final-crs_0;927;704
3552;final-crs_7;929;787
3566;final-crs_9;930;643
3775;gate-keeper;1005;
3776;gate-keeper;1006;
3777;frui_0;1005;
3777;gate-keeper;1007;
3780;vege_1;1006;
3781;vege_0;1007;
3793;final-crs_0;1005;1268
3796;final-crs_7;1006;561
3796;gate-keeper;1008;
3797;gate-keeper;1009;
3798;frui_0;1008;
3798;gate-keeper;1010;
3799;gate-keeper;1011;
3800;gate-keeper;1012;
3801;vege_0;1011;
3804;frui_0;1010;
3815;final-crs_12;1007;1386
3822;final-crs_3;1008;1135
3831;meat_1;1009;
3851;final-crs_10;1011;1456
3852;meat_0;1012;
3908;final-crs_5;1010;839
3920;final-crs_8;1009;422
3924;final-crs_6;1012;370
4179;gate-keeper;1110;
4180;gate-keeper;1111;
4181;gate-keeper;1112;
4183;vege_0;1110;
4187;vege_1;1112;
4187;meat_1;1111;
4191;final-crs_1;1110;438
4215;final-crs_2;1112;1988
4231;final-crs_11;1111;2266
4468;gate-keeper;1188;
4469;gate-keeper;1189;
4473;frui_1;1189;
4502;final-crs_7;1189;1160
4511;meat_0;1188;
4527;final-crs_9;1188;412
4697;gate-keeper;1249;
4698;meat_1;1249;
4698;gate-keeper;1250;
4702;vege_0;1250;
4714;final-crs_7;1249;1153
4744;final-crs_1;1250;389
5389;gate-keeper;1423;
5390;frui_1;1423;
5390;gate-keeper;1424;
5391;gate-keeper;1425;
5392;vege_1;1424;
5392;gate-keeper;1426;
5393;vege_0;1426;
5393;gate-keeper;1427;
5394;gate-keeper;1428;
5395;gate-keeper;1429;
5396;gate-keeper;1430;
5397;frui_1;1430;
5397;gate-keeper;1431;
5398;gate-keeper;1432;
5400;final-crs_8;1423;1972
5400;frui_0;1431;
5402;vege_1;1427;
5403;vege_0;1428;
5406;meat_1;1425;
5412;vege_1;1432;
5432;meat_0;1429;
5467;final-crs_7;1424;1008
5470;final-crs_1;1426;744
5511;final-crs_9;1430;672
5524;final-crs_10;1431;587
5534;final-crs_12;1427;784
5554;final-crs_6;1428;786
5555;final-crs_11;1425;836
5560;final-crs_5;1432;865
5573;final-crs_0;1429;1290
5680;gate-keeper;1509;
5681;gate-keeper;1510;
5682;gate-keeper;1511;
5684;vege_1;1510;
5686;meat_0;1509;
5687;vege_0;1511;
5704;final-crs_7;1510;908
