time;ckpt;id;money
312;gate-keeper;83;
343;meat_1;83;
427;final-crs_7;83;547
616;gate-keeper;163;
624;vege_1;163;
651;final-crs_11;163;1991
980;gate-keeper;255;
981;gate-keeper;256;
982;gate-keeper;257;
983;frui_1;255;
983;gate-keeper;258;
984;gate-keeper;259;
985;frui_0;257;
985;gate-keeper;260;
988;vege_0;258;
990;frui_0;259;
990;frui_1;260;
999;final-crs_4;255;178
1004;meat_0;256;
1036;final-crs_1;257;360
1040;final-crs_12;258;751
1102;final-crs_3;259;190
1105;final-crs_11;260;583
1154;final-crs_5;256;239
1207;gate-keeper;319;
1208;gate-keeper;320;
1211;vege_1;320;
1226;meat_0;319;
1242;final-crs_6;320;249
1261;final-crs_12;319;903
1813;gate-keeper;481;
1816;vege_1;481;
1835;final-crs_0;481;862
1942;gate-keeper;515;
1964;meat_0;515;
1969;final-crs_4;515;656
2079;gate-keeper;545;
2080;gate-keeper;546;
2081;gate-keeper;547;
2082;gate-keeper;548;
2083;frui_0;547;
2083;meat_0;545;
2083;gate-keeper;549;
2084;gate-keeper;550;
2085;gate-keeper;551;
2087;vege_1;548;
2091;frui_0;550;
2094;final-crs_7;547;603
2101;final-crs_0;545;298
2101;final-crs_10;548;262
2108;meat_1;546;
2123;final-crs_8;550;1121
2124;final-crs_9;546;546
2138;meat_0;549;
2166;meat_1;551;
2189;final-crs_2;549;1521
2197;final-crs_12;551;84
2333;gate-keeper;619;
2365;meat_0;619;
2379;final-crs_12;619;393
2601;gate-keeper;691;
2602;vege_1;691;
2602;gate-keeper;692;
2607;final-crs_5;691;1904
2609;vege_0;692;
2621;final-crs_12;692;182
2873;gate-keeper;763;
2874;frui_0;763;
2887;final-crs_5;763;1516
2898;gate-keeper;769;
2899;gate-keeper;770;
2901;vege_1;769;
2902;final-crs_8;769;384
2908;vege_0;770;
2914;final-crs_11;770;157
3205;gate-keeper;851;
3206;gate-keeper;852;
3207;gate-keeper;853;
3208;vege_0;851;
3211;vege_1;852;
3217;vege_0;853;
3248;gate-keeper;865;
3252;vege_1;865;
3268;final-crs_3;851;101
3274;final-crs_1;852;447
3278;final-crs_0;853;170
3300;final-crs_7;865;938
3748;gate-keeper;997;
3749;gate-keeper;998;
3750;gate-keeper;999;
3751;frui_0;997;
3751;gate-keeper;1000;
3753;frui_1;998;
3756;vege_1;1000;
3759;final-crs_10;997;456
3768;final-crs_7;998;736
3772;final-crs_3;1000;922
3786;meat_0;999;
3796;final-crs_9;999;180
3865;gate-keeper;1028;
3866;gate-keeper;1029;
3867;gate-keeper;1030;
