time;ckpt;id;money
339;gate-keeper;104;
350;meat_1;104;
435;final-crs_12;104;1326
665;gate-keeper;201;
666;gate-keeper;202;
667;gate-keeper;203;
668;gate-keeper;204;
669;gate-keeper;205;
671;frui_0;202;
676;vege_1;203;
677;vege_0;205;
678;meat_0;201;
695;final-crs_1;202;921
696;final-crs_0;203;1835
696;final-crs_12;205;1386
705;final-crs_6;201;81
713;meat_1;204;
719;final-crs_9;204;1079
954;gate-keeper;295;
960;vege_1;295;
966;final-crs_6;295;308
1224;gate-keeper;376;
1227;vege_0;376;
1234;final-crs_7;376;352
1804;gate-keeper;553;
1805;gate-keeper;554;
1810;vege_0;554;
1823;final-crs_0;554;2397
1834;meat_0;553;
1865;final-crs_5;553;331
1899;gate-keeper;582;
1900;gate-keeper;583;
1904;vege_1;582;
1905;vege_0;583;
1954;final-crs_8;582;670
1955;final-crs_11;583;728
2701;gate-keeper;824;
2702;gate-keeper;825;
2703;gate-keeper;826;
2704;gate-keeper;827;
2705;vege_1;824;
2707;frui_0;826;
2712;vege_0;825;
2713;final-crs_11;824;3504
2716;vege_1;827;
2728;final-crs_3;826;1265
2732;final-crs_9;825;721
2797;gate-keeper;856;
2799;final-crs_5;827;542
2805;vege_1;856;
2812;final-crs_0;856;250
2971;gate-keeper;905;
2972;gate-keeper;906;
2973;gate-keeper;907;
2977;frui_1;906;
2978;vege_0;905;
2978;frui_0;907;
3027;final-crs_5;906;1342
3068;final-crs_2;905;581
3073;final-crs_0;907;859
3241;gate-keeper;988;
3242;gate-keeper;989;
3243;gate-keeper;990;
3245;vege_0;989;
3248;vege_1;990;
3258;meat_1;988;
3295;final-crs_0;989;1630
3306;final-crs_2;990;572
3320;final-crs_12;988;3520
3517;gate-keeper;1075;
3518;gate-keeper;1076;
3523;frui_0;1076;
3524;vege_0;1075;
3544;final-crs_0;1076;1371
3574;final-crs_10;1075;161
3729;gate-keeper;1141;
3730;gate-keeper;1142;
3735;vege_0;1141;
3736;final-crs_2;1141;678
3739;vege_1;1142;
3748;final-crs_9;1142;1762
3843;gate-keeper;1174;
3844;gate-keeper;1175;
3845;gate-keeper;1176;
3846;gate-keeper;1177;
3847;gate-keeper;1178;
3849;vege_1;1174;
3850;vege_0;1175;
3850;frui_1;1178;
3856;meat_0;1177;
3857;vege_0;1176;
3878;final-crs_3;1174;2694
3880;final-crs_6;1175;1887
3932;final-crs_11;1178;2201
3975;final-crs_9;1177;891
3976;final-crs_5;1176;1666
4157;gate-keeper;1269;
4158;gate-keeper;1270;
