time;ckpt;id;money
358;gate-keeper;108;
359;gate-keeper;109;
360;gate-keeper;110;
361;vege_1;108;
364;vege_0;109;
370;vege_1;110;
437;final-crs_9;108;889
443;final-crs_6;109;485
464;final-crs_4;110;2034
634;gate-keeper;196;
635;vege_1;196;
657;final-crs_9;196;425
929;gate-keeper;287;
930;vege_1;287;
930;gate-keeper;288;
931;vege_0;288;
947;final-crs_1;287;1276
952;gate-keeper;292;
953;gate-keeper;293;
954;gate-keeper;294;
956;final-crs_7;288;1335
957;vege_1;293;
958;final-crs_0;293;916
959;frui_1;294;
961;final-crs_6;294;974
984;meat_1;292;
985;final-crs_8;292;1073
1273;gate-keeper;380;
1274;frui_0;380;
1274;gate-keeper;381;
1275;gate-keeper;382;
1276;gate-keeper;383;
1277;gate-keeper;384;
1278;gate-keeper;385;
1279;final-crs_2;380;2421
1279;gate-keeper;386;
1280;vege_0;381;
1280;gate-keeper;387;
1281;vege_1;382;
1281;gate-keeper;388;
1282;gate-keeper;389;
1283;gate-keeper;390;
1284;gate-keeper;391;
1290;vege_1;383;
1291;vege_0;384;
1299;final-crs_9;381;126
1300;vege_1;385;
1301;vege_0;386;
1309;vege_1;387;
1312;vege_0;388;
1317;vege_1;389;
1322;vege_0;390;
1328;vege_1;391;
1435;final-crs_7;382;4008
1448;final-crs_10;383;2084
1462;final-crs_0;384;317
1462;final-crs_12;385;805
1465;final-crs_1;386;1424
1480;final-crs_5;387;802
1488;final-crs_8;388;2236
1496;final-crs_6;389;1458
1499;final-crs_11;390;366
1506;final-crs_4;391;1889
1579;gate-keeper;487;
1580;vege_1;487;
1653;final-crs_10;487;76
1918;gate-keeper;586;
1919;frui_0;586;
1919;gate-keeper;587;
1920;gate-keeper;588;
1921;vege_0;587;
1921;gate-keeper;589;
1922;final-crs_12;586;79
1924;vege_1;588;
1930;vege_0;589;
1956;final-crs_8;587;1805
1959;final-crs_5;588;1612
1970;final-crs_0;589;650
2245;gate-keeper;687;
2246;gate-keeper;688;
2248;vege_1;687;
2254;vege_0;688;
2255;final-crs_3;687;1895
2274;final-crs_4;688;1154
2538;gate-keeper;776;
2539;gate-keeper;777;
2543;vege_0;777;
2543;meat_0;776;
2555;final-crs_4;777;112
2611;final-crs_10;776;2577
2775;gate-keeper;850;
2776;vege_0;850;
2815;final-crs_8;850;2014
2846;gate-keeper;871;
2847;vege_0;871;
2866;final-crs_5;871;806
3077;gate-keeper;937;
3078;gate-keeper;938;
3079;gate-keeper;939;
3080;vege_1;938;
3080;gate-keeper;940;
3082;final-crs_5;938;646
3087;vege_0;939;
3090;vege_1;940;
3096;final-crs_6;939;1221
3127;meat_0;937;
3143;final-crs_11;940;2045
3152;final-crs_9;937;895
3405;gate-keeper;1042;
3406;vege_0;1042;
3417;final-crs_2;1042;522
3503;gate-keeper;1070;
3504;gate-keeper;1071;
3505;vege_0;1070;
3512;vege_1;1071;
3532;final-crs_10;1070;1566
3535;final-crs_5;1071;2952
3661;gate-keeper;1119;
3662;gate-keeper;1120;
3663;frui_0;1119;
3664;final-crs_9;1119;1508
3696;meat_1;1120;
3702;final-crs_7;1120;391
3713;gate-keeper;1137;
3716;vege_1;1137;
3765;final-crs_8;1137;829
4015;gate-keeper;1232;
4017;vege_0;1232;
4028;final-crs_10;1232;1672
4616;gate-keeper;1418;
4618;vege_0;1418;
4623;final-crs_12;1418;495
4709;gate-keeper;1443;
4710;gate-keeper;1444;
4711;frui_1;1443;
4711;gate-keeper;1445;
4712;vege_0;1444;
4712;gate-keeper;1446;
4713;gate-keeper;1447;
4718;final-crs_5;1443;1390
4720;vege_0;1445;
4720;vege_1;1446;
4721;final-crs_6;1444;125
4729;vege_0;1447;
4756;final-crs_0;1445;2559
4815;final-crs_12;1446;1783
4835;final-crs_1;1447;2787
4893;gate-keeper;1498;
4894;gate-keeper;1499;
4895;frui_0;1499;
4895;gate-keeper;1500;
4896;gate-keeper;1501;
4897;gate-keeper;1502;
4898;final-crs_3;1499;716
4899;vege_0;1498;
4899;vege_1;1500;
4907;vege_0;1502;
4907;meat_1;1501;
4920;final-crs_2;1498;630
4936;final-crs_10;1500;2943
4937;final-crs_5;1502;1119
4967;final-crs_6;1501;636
5177;gate-keeper;1588;
5178;gate-keeper;1589;
5179;gate-keeper;1590;
5180;gate-keeper;1591;
5181;vege_0;1588;
5183;vege_1;1589;
5188;vege_0;1590;
5191;vege_1;1591;
5224;final-crs_11;1588;219
5234;final-crs_0;1589;1950
5250;final-crs_6;1590;698
5269;final-crs_12;1591;529
5606;gate-keeper;1715;
5607;gate-keeper;1716;
5608;gate-keeper;1717;
5609;gate-keeper;1718;
5610;frui_1;1718;
5610;gate-keeper;1719;
5611;gate-keeper;1720;
5612;vege_1;1715;
5612;frui_0;1720;
5612;gate-keeper;1721;
5613;gate-keeper;1722;
5616;vege_0;1716;
5616;meat_1;1722;
5617;frui_1;1721;
5621;final-crs_3;1718;683
5622;vege_1;1717;
5625;vege_0;1719;
5700;final-crs_0;1715;887
5703;final-crs_6;1720;1744
5736;final-crs_11;1716;2206
5765;final-crs_12;1722;2681
5770;gate-keeper;1766;
5771;gate-keeper;1767;
5772;gate-keeper;1768;
5773;gate-keeper;1769;
5774;frui_0;1769;
5774;gate-keeper;1770;
5775;gate-keeper;1771;
5776;gate-keeper;1772;
5777;gate-keeper;1773;
5779;vege_0;1767;
5781;vege_1;1768;
5786;final-crs_1;1721;3984
5788;vege_0;1770;
5791;vege_1;1771;
5794;final-crs_5;1717;3013
5798;vege_0;1772;
5800;vege_1;1773;
5804;meat_0;1766;
5807;final-crs_9;1719;807
5814;final-crs_7;1769;998
5822;final-crs_8;1767;556
5826;final-crs_2;1768;794
5841;final-crs_4;1770;2946
5855;final-crs_10;1771;625
5872;final-crs_3;1772;236
5908;final-crs_11;1773;2914
5927;final-crs_0;1766;2225
6054;gate-keeper;1857;
6055;frui_1;1857;
6055;gate-keeper;1858;
6056;vege_1;1858;
6056;gate-keeper;1859;
