time;ckpt;id;money
337;gate-keeper;102;
338;vege_1;102;
338;gate-keeper;103;
341;vege_0;103;
445;final-crs_0;102;655
450;final-crs_6;103;726
708;gate-keeper;218;
709;frui_1;218;
709;gate-keeper;219;
710;final-crs_12;218;769
710;gate-keeper;220;
713;vege_1;219;
715;final-crs_5;219;1745
716;vege_0;220;
728;final-crs_9;220;2373
1017;gate-keeper;305;
1018;gate-keeper;306;
1019;vege_1;306;
1019;gate-keeper;307;
1020;gate-keeper;308;
1021;gate-keeper;309;
1022;gate-keeper;310;
1023;gate-keeper;311;
1024;frui_0;307;
1024;gate-keeper;312;
1025;frui_1;308;
1025;gate-keeper;313;
1028;vege_0;310;
1029;vege_1;311;
1030;frui_0;313;
1037;final-crs_2;306;583
1038;vege_0;312;
1041;gate-keeper;320;
1047;final-crs_7;307;2438
1047;vege_0;320;
1047;meat_0;305;
1061;meat_1;309;
1091;final-crs_0;308;2437
1141;final-crs_4;310;2250
1162;final-crs_9;311;2558
1182;final-crs_6;313;377
1182;final-crs_12;312;1721
1190;final-crs_10;320;516
1203;final-crs_1;305;1842
1213;final-crs_8;309;710
1324;gate-keeper;407;
1325;gate-keeper;408;
1326;vege_1;408;
1332;meat_0;407;
1337;final-crs_0;408;1845
1379;final-crs_4;407;2387
1609;gate-keeper;489;
1610;gate-keeper;490;
1611;gate-keeper;491;
1612;gate-keeper;492;
1613;gate-keeper;493;
1614;vege_0;489;
1614;gate-keeper;494;
1615;gate-keeper;495;
1617;vege_1;490;
1624;vege_0;491;
1626;vege_1;492;
1633;vege_0;493;
1634;final-crs_12;489;1376
1636;vege_1;494;
1642;vege_0;495;
1644;final-crs_10;490;1613
1651;final-crs_1;491;917
1655;final-crs_6;492;1305
1656;final-crs_9;493;1558
1663;final-crs_8;494;1258
1676;final-crs_5;495;903
1904;gate-keeper;584;
1905;vege_1;584;
1905;gate-keeper;585;
1911;vege_0;585;
1923;final-crs_6;584;648
1945;gate-keeper;593;
1946;gate-keeper;594;
1947;final-crs_3;585;2930
1947;gate-keeper;595;
1948;gate-keeper;596;
1949;gate-keeper;597;
1950;gate-keeper;598;
1952;vege_0;593;
1954;vege_1;594;
1961;vege_0;596;
1962;final-crs_2;593;2291
1962;vege_1;597;
1971;vege_0;598;
1978;meat_0;595;
1997;final-crs_7;594;752
2007;final-crs_11;596;1902
2020;final-crs_0;597;623
2071;final-crs_1;598;516
2077;final-crs_4;595;184
2237;gate-keeper;681;
2238;gate-keeper;682;
2239;gate-keeper;683;
2240;vege_1;683;
2240;gate-keeper;684;
2241;gate-keeper;685;
2242;frui_1;681;
2242;gate-keeper;686;
2243;vege_0;684;
2243;frui_0;682;
2249;frui_1;686;
2250;vege_1;685;
2257;final-crs_11;683;1665
2309;final-crs_4;681;2224
2318;final-crs_1;684;2591
2323;final-crs_0;682;2790
2333;final-crs_12;686;2498
2338;final-crs_10;685;640
2553;gate-keeper;778;
2554;gate-keeper;779;
2555;gate-keeper;780;
2556;gate-keeper;781;
2557;gate-keeper;782;
2561;vege_1;781;
2563;frui_1;782;
2566;final-crs_10;781;1472
2566;meat_0;778;
2574;meat_1;779;
2583;final-crs_9;782;2841
2618;final-crs_12;778;2700
2619;final-crs_5;779;3250
2622;meat_1;780;
2662;final-crs_3;780;665
2844;gate-keeper;868;
2845;gate-keeper;869;
2846;frui_0;869;
2846;gate-keeper;870;
2849;vege_1;868;
2853;vege_0;870;
2855;final-crs_5;869;221
2858;gate-keeper;874;
2860;vege_1;874;
2863;final-crs_12;868;463
2881;final-crs_3;870;664
2894;final-crs_2;874;1495
3142;gate-keeper;959;
3148;vege_1;959;
3154;final-crs_3;959;301
3423;gate-keeper;1045;
3424;gate-keeper;1046;
3425;gate-keeper;1047;
3426;vege_0;1045;
3428;vege_1;1046;
3436;vege_0;1047;
3444;final-crs_6;1045;2722
3489;final-crs_10;1046;2251
3518;final-crs_0;1047;601
3735;gate-keeper;1144;
3737;frui_0;1144;
3759;final-crs_10;1144;2127
3792;gate-keeper;1159;
3793;gate-keeper;1160;
3794;gate-keeper;1161;
3795;vege_1;1159;
3795;gate-keeper;1162;
3798;final-crs_1;1159;466
3798;vege_0;1160;
3803;vege_1;1162;
3806;final-crs_4;1160;2264
3809;meat_0;1161;
3841;final-crs_5;1162;1602
3852;final-crs_8;1161;499
3983;gate-keeper;1221;
3984;gate-keeper;1222;
3987;vege_0;1222;
3989;final-crs_10;1222;240
4033;meat_1;1221;
4037;final-crs_12;1221;3392
4166;gate-keeper;1278;
4167;gate-keeper;1279;
4170;vege_0;1279;
4171;final-crs_0;1279;1490
4171;frui_0;1278;
4188;final-crs_6;1278;197
4234;gate-keeper;1295;
4235;gate-keeper;1296;
4236;gate-keeper;1297;
4237;gate-keeper;1298;
4238;vege_0;1295;
4238;gate-keeper;1299;
4239;gate-keeper;1300;
4240;frui_0;1299;
4242;vege_1;1296;
4247;vege_0;1297;
4252;vege_1;1298;
4253;meat_1;1300;
4254;final-crs_12;1295;841
4255;final-crs_10;1299;2253
4274;final-crs_4;1296;700
4279;final-crs_1;1297;169
4292;final-crs_2;1298;1546
4315;final-crs_11;1300;189
4521;gate-keeper;1387;
4522;gate-keeper;1388;
4528;vege_1;1387;
4532;final-crs_8;1387;1627
4558;meat_1;1388;
4561;final-crs_1;1388;1649
4667;gate-keeper;1430;
4668;gate-keeper;1431;
4669;gate-keeper;1432;
4670;gate-keeper;1433;
4671;gate-keeper;1434;
4673;vege_0;1430;
4674;final-crs_6;1430;1396
4675;vege_1;1431;
4675;meat_1;1433;
4682;vege_0;1432;
4684;vege_1;1434;
4699;final-crs_10;1431;492
4736;final-crs_8;1433;2093
4776;final-crs_4;1432;1996
4790;final-crs_1;1434;624
4830;gate-keeper;1482;
4831;gate-keeper;1483;
4834;vege_1;1482;
4835;final-crs_2;1482;1010
4836;vege_0;1483;
4848;final-crs_11;1483;3032
5146;gate-keeper;1582;
5147;frui_0;1582;
5156;final-crs_10;1582;2326
5429;gate-keeper;1668;
5430;frui_0;1668;
5438;final-crs_8;1668;1169
5502;gate-keeper;1688;
5503;gate-keeper;1689;
5504;gate-keeper;1690;
5506;vege_0;1688;
5509;vege_1;1689;
5516;final-crs_3;1688;1693
5516;vege_0;1690;
5525;final-crs_7;1689;1129
5530;final-crs_1;1690;1808
5708;gate-keeper;1753;
5709;gate-keeper;1754;
5715;vege_0;1753;
5715;vege_1;1754;
5727;final-crs_3;1753;806
5734;final-crs_1;1754;1911
6000;gate-keeper;1837;
6001;gate-keeper;1838;
6002;gate-keeper;1839;
6003;gate-keeper;1840;
6004;vege_0;1837;
6004;gate-keeper;1841;
6005;gate-keeper;1842;
6007;vege_1;1839;
6012;final-crs_7;1837;1643
6014;vege_0;1840;
6015;final-crs_5;1839;225
6016;vege_1;1841;
6023;vege_0;1842;
6028;final-crs_4;1840;770
6033;meat_1;1838;
6053;final-crs_2;1841;2019
6062;final-crs_0;1842;483
6076;final-crs_11;1838;1733
6315;gate-keeper;1937;
6316;gate-keeper;1938;
6317;gate-keeper;1939;
6318;vege_0;1937;
6323;vege_1;1939;
6332;meat_1;1938;
6407;final-crs_6;1937;257
6425;final-crs_11;1939;2422
6436;final-crs_4;1938;1086
6879;gate-keeper;2112;
6880;vege_1;2112;
6880;gate-keeper;2113;
6883;vege_0;2113;
6904;final-crs_1;2112;766
6928;final-crs_4;2113;808
7194;gate-keeper;2211;
7197;vege_1;2211;
7208;final-crs_11;2211;827
7238;gate-keeper;2224;
7244;vege_0;2224;
7247;final-crs_10;2224;811
7563;gate-keeper;2319;
7564;gate-keeper;2320;
7565;vege_0;2319;
7565;gate-keeper;2321;
7566;vege_1;2320;
7566;gate-keeper;2322;
7567;gate-keeper;2323;
7569;frui_1;2323;
7573;vege_0;2321;
7574;vege_1;2322;
7594;gate-keeper;2333;
7598;final-crs_6;2319;1873
7602;vege_1;2333;
7611;final-crs_0;2320;1232
7632;final-crs_9;2323;640
7637;final-crs_1;2321;2746
7651;final-crs_4;2322;4032
7658;final-crs_7;2333;2724
7845;gate-keeper;2404;
7846;gate-keeper;2405;
7847;gate-keeper;2406;
7848;vege_1;2404;
7848;gate-keeper;2407;
7849;gate-keeper;2408;
7850;gate-keeper;2409;
7854;vege_0;2405;
7858;vege_1;2406;
7863;vege_0;2407;
7866;vege_1;2408;
7873;vege_0;2409;
7879;final-crs_9;2404;3235
7887;final-crs_7;2405;1392
7896;final-crs_1;2406;1993
7902;final-crs_4;2407;177
7904;final-crs_3;2408;2006
7922;final-crs_10;2409;1599
8180;gate-keeper;2508;
8181;gate-keeper;2509;
8182;vege_1;2508;
8182;gate-keeper;2510;
8183;vege_0;2509;
8183;gate-keeper;2511;
8192;final-crs_2;2508;2188
8192;vege_0;2510;
8192;vege_1;2511;
8194;gate-keeper;2513;
8195;gate-keeper;2514;
8196;gate-keeper;2515;
8197;final-crs_12;2509;1538
8197;frui_1;2513;
8198;final-crs_8;2510;2738
8199;vege_1;2514;
8205;meat_0;2515;
8207;final-crs_11;2511;2610
8264;final-crs_6;2513;1150
8317;final-crs_0;2514;3916
8365;final-crs_7;2515;558
8512;gate-keeper;2610;
8513;gate-keeper;2611;
8514;gate-keeper;2612;
8515;frui_0;2612;
8519;vege_0;2610;
8519;vege_1;2611;
8535;final-crs_6;2612;1260
8599;final-crs_7;2610;1122
8611;final-crs_10;2611;886
8786;gate-keeper;2694;
8787;gate-keeper;2695;
8788;gate-keeper;2696;
8793;vege_0;2694;
8795;vege_1;2695;
8802;vege_0;2696;
8826;final-crs_7;2694;285
8845;final-crs_12;2695;364
8848;final-crs_5;2696;2119
9039;gate-keeper;2772;
9040;gate-keeper;2773;
9041;gate-keeper;2774;
9042;vege_1;2773;
9042;frui_1;2772;
9042;gate-keeper;2775;
9047;final-crs_5;2773;1004
9049;vege_0;2774;
9052;vege_1;2775;
9053;final-crs_7;2772;2091
9054;final-crs_10;2774;1578
9090;final-crs_12;2775;1823
9121;gate-keeper;2800;
9122;vege_0;2800;
9122;gate-keeper;2801;
9123;gate-keeper;2802;
9124;frui_0;2802;
9129;final-crs_1;2800;1508
9130;meat_1;2801;
9158;final-crs_8;2802;876
9169;final-crs_9;2801;2030
9629;gate-keeper;2961;
9630;gate-keeper;2962;
9631;vege_1;2962;
9675;final-crs_0;2962;1536
9675;meat_0;2961;
9692;final-crs_2;2961;380
9925;gate-keeper;3054;
9926;gate-keeper;3055;
9929;meat_0;3054;
9942;final-crs_0;3054;2170
9973;meat_1;3055;
10001;final-crs_7;3055;3847
10231;gate-keeper;3145;
10232;vege_0;3145;
10232;gate-keeper;3146;
10233;gate-keeper;3147;
10234;gate-keeper;3148;
10236;vege_1;3147;
10236;frui_1;3146;
10241;final-crs_10;3145;1093
10242;vege_0;3148;
10243;final-crs_9;3147;861
10309;final-crs_8;3146;1140
10311;final-crs_12;3148;626
10503;gate-keeper;3231;
10506;vege_0;3231;
10541;final-crs_12;3231;1309
10814;gate-keeper;3320;
10815;gate-keeper;3321;
10816;gate-keeper;3322;
10817;gate-keeper;3323;
10818;gate-keeper;3324;
10819;gate-keeper;3325;
10820;gate-keeper;3326;
10821;vege_1;3320;
10821;gate-keeper;3327;
10822;final-crs_11;3320;742
10824;vege_0;3321;
10830;vege_1;3322;
10833;vege_0;3323;
10838;gate-keeper;3332;
10839;vege_1;3324;
10839;gate-keeper;3333;
10840;frui_1;3333;
10840;meat_0;3332;
10840;gate-keeper;3334;
10843;vege_0;3325;
10850;vege_1;3326;
10854;vege_0;3327;
10860;vege_1;3334;
10881;final-crs_4;3321;372
10889;final-crs_6;3322;61
10893;final-crs_10;3323;1752
10920;final-crs_0;3324;1474
10922;final-crs_8;3333;1017
10924;final-crs_2;3332;97
10924;final-crs_3;3325;453
10958;final-crs_5;3326;1340
10980;final-crs_7;3327;384
11007;final-crs_9;3334;314
11146;gate-keeper;3419;
11147;gate-keeper;3420;
11148;gate-keeper;3421;
11149;vege_0;3420;
11149;frui_1;3419;
11149;gate-keeper;3422;
11150;gate-keeper;3423;
11151;gate-keeper;3424;
11152;final-crs_10;3420;2496
11152;gate-keeper;3425;
11153;final-crs_6;3419;1474
11153;vege_1;3422;
11153;gate-keeper;3426;
11154;gate-keeper;3427;
11155;gate-keeper;3428;
11156;final-crs_8;3422;1008
11156;gate-keeper;3429;
11157;gate-keeper;3430;
11158;frui_0;3428;
11160;vege_0;3423;
11161;final-crs_3;3428;298
11161;vege_1;3424;
11161;frui_1;3430;
11164;meat_0;3421;
11169;vege_1;3425;
11172;vege_0;3426;
11178;vege_1;3427;
11182;final-crs_2;3423;2478
11182;vege_0;3429;
11197;final-crs_0;3424;1193
11219;final-crs_7;3430;5196
11228;final-crs_12;3421;183
11237;final-crs_5;3425;2068
11242;final-crs_9;3426;76
11246;gate-keeper;3460;
11247;frui_1;3460;
11247;gate-keeper;3461;
11252;vege_0;3461;
11279;final-crs_1;3427;792
11331;final-crs_11;3429;1599
11348;final-crs_4;3460;1682
11387;final-crs_6;3461;508
11466;gate-keeper;3527;
11467;vege_0;3527;
11467;gate-keeper;3528;
11468;vege_1;3528;
11470;final-crs_2;3527;1054
11476;final-crs_1;3528;2557
11655;gate-keeper;3586;
11656;gate-keeper;3587;
11661;vege_0;3586;
11662;vege_1;3587;
11673;final-crs_6;3586;2013
11676;final-crs_3;3587;1388
12168;gate-keeper;3744;
12169;gate-keeper;3745;
12171;frui_0;3745;
12189;meat_0;3744;
12190;final-crs_1;3745;1825
12195;final-crs_5;3744;610
12674;gate-keeper;3901;
12678;vege_0;3901;
12694;final-crs_4;3901;1444
13428;gate-keeper;4136;
13429;gate-keeper;4137;
13430;vege_1;4136;
13430;gate-keeper;4138;
13431;final-crs_3;4136;1637
13431;gate-keeper;4139;
13432;vege_0;4137;
13437;frui_0;4139;
13439;vege_1;4138;
13460;final-crs_8;4137;2745
13529;final-crs_12;4139;622
13532;final-crs_11;4138;2516
13610;gate-keeper;4195;
13611;vege_1;4195;
13619;final-crs_1;4195;654
14603;gate-keeper;4495;
14604;gate-keeper;4496;
14608;vege_0;4495;
14609;gate-keeper;4497;
14610;gate-keeper;4498;
14613;vege_1;4496;
14621;vege_0;4497;
14622;vege_1;4498;
14633;final-crs_7;4495;330
14646;final-crs_3;4496;839
14658;final-crs_4;4497;1477
14678;final-crs_10;4498;1970
14972;gate-keeper;4611;
14973;vege_0;4611;
14979;final-crs_12;4611;1492
15292;gate-keeper;4704;
15293;vege_1;4704;
15293;gate-keeper;4705;
15294;gate-keeper;4706;
15295;gate-keeper;4707;
15296;gate-keeper;4708;
15297;gate-keeper;4709;
15298;frui_0;4705;
15300;frui_1;4706;
15302;vege_1;4708;
15304;frui_0;4707;
15305;vege_0;4709;
15346;final-crs_7;4704;1619
15355;final-crs_10;4705;2386
15366;final-crs_4;4706;2698
15371;final-crs_8;4708;1294
15419;final-crs_6;4707;972
15438;final-crs_1;4709;2068
15578;gate-keeper;4791;
15579;gate-keeper;4792;
15580;gate-keeper;4793;
15581;gate-keeper;4794;
15582;gate-keeper;4795;
15583;gate-keeper;4796;
15584;gate-keeper;4797;
15585;vege_1;4791;
15585;gate-keeper;4798;
15586;frui_1;4794;
15588;vege_0;4792;
15588;frui_0;4797;
15594;vege_1;4793;
15598;final-crs_4;4791;2571
15598;vege_0;4795;
15600;final-crs_10;4794;2497
15602;vege_1;4796;
15605;meat_0;4798;
15644;final-crs_3;4792;579
15661;final-crs_0;4797;1832
15670;final-crs_6;4793;2036
15674;final-crs_2;4795;973
15707;final-crs_1;4796;1611
15708;final-crs_12;4798;1382
15838;gate-keeper;4875;
15839;gate-keeper;4876;
15840;gate-keeper;4877;
15841;gate-keeper;4878;
15842;gate-keeper;4879;
15846;vege_0;4875;
15848;vege_1;4876;
15855;meat_1;4878;
15856;vege_1;4877;
15857;vege_0;4879;
15868;final-crs_10;4875;626
15882;final-crs_6;4876;136
15933;final-crs_0;4878;1000
15933;final-crs_3;4877;2713
15935;final-crs_2;4879;518
16570;gate-keeper;5099;
16571;gate-keeper;5100;
16572;gate-keeper;5101;
16573;gate-keeper;5102;
16577;vege_1;5099;
16578;vege_0;5100;
16588;vege_0;5101;
16588;vege_1;5102;
16628;final-crs_9;5099;1657
16633;final-crs_0;5100;2785
16642;final-crs_6;5101;1122
16645;final-crs_11;5102;1181
16772;gate-keeper;5164;
16779;vege_1;5164;
16781;final-crs_4;5164;675
17119;gate-keeper;5510;
17120;gate-keeper;5511;
17141;meat_1;5510;
17149;final-crs_9;5510;1414
17168;meat_0;5511;
17218;final-crs_2;5511;3405
17451;gate-keeper;5614;
17452;gate-keeper;5615;
17453;gate-keeper;5616;
17454;frui_0;5615;
17459;vege_1;5616;
17464;final-crs_4;5615;312
17469;meat_0;5614;
17473;final-crs_7;5616;2859
17484;final-crs_5;5614;1668
17511;gate-keeper;5635;
17529;meat_0;5635;
17534;final-crs_6;5635;1441
17774;gate-keeper;5713;
17775;gate-keeper;5714;
17776;gate-keeper;5715;
17777;vege_1;5713;
17782;vege_0;5714;
17786;final-crs_6;5713;403
17786;vege_1;5715;
