time;ckpt;id;money
582;gate-keeper;180;
585;frui_1;180;
694;final-crs_3;180;2054
792;gate-keeper;243;
793;gate-keeper;244;
796;vege_1;244;
797;frui_1;243;
923;final-crs_2;244;1068
936;final-crs_3;243;2851
1562;gate-keeper;476;
1563;gate-keeper;477;
1564;gate-keeper;478;
1565;frui_0;478;
1565;gate-keeper;479;
1566;gate-keeper;480;
1567;gate-keeper;481;
1568;vege_0;476;
1568;frui_1;480;
1571;vege_1;477;
1578;vege_0;479;
1581;vege_1;481;
1592;final-crs_10;478;1591
1622;final-crs_7;476;3677
1637;final-crs_12;480;2874
1654;final-crs_11;477;624
1661;final-crs_3;479;1108
1662;final-crs_9;481;2560
1718;gate-keeper;525;
1719;gate-keeper;526;
1720;gate-keeper;527;
1721;frui_0;525;
1721;gate-keeper;528;
1722;gate-keeper;529;
1725;vege_1;526;
1725;frui_1;528;
1727;vege_0;529;
1732;final-crs_5;525;2434
1735;final-crs_1;526;550
1747;meat_1;527;
1765;final-crs_0;528;2121
1772;final-crs_8;529;2498
1807;final-crs_4;527;2072
1860;gate-keeper;569;
1861;gate-keeper;570;
1862;gate-keeper;571;
1865;vege_0;569;
1865;vege_1;570;
1865;frui_0;571;
1883;final-crs_12;569;866
1897;final-crs_11;570;1643
1899;final-crs_3;571;3093
2169;gate-keeper;665;
2171;frui_0;665;
2181;final-crs_5;665;530
2487;gate-keeper;761;
2489;frui_0;761;
2500;final-crs_0;761;826
2670;gate-keeper;816;
2671;vege_0;816;
2671;gate-keeper;817;
2672;gate-keeper;818;
2673;frui_1;817;
2680;vege_1;818;
2699;final-crs_5;816;1103
2703;final-crs_1;817;415
2729;final-crs_0;818;1596
2801;gate-keeper;857;
2802;gate-keeper;858;
2807;vege_0;857;
2810;vege_1;858;
2813;final-crs_9;857;230
2831;final-crs_12;858;139
3376;gate-keeper;1034;
3380;vege_0;1034;
3405;final-crs_2;1034;864
3701;gate-keeper;1132;
3702;frui_1;1132;
3702;gate-keeper;1133;
3704;vege_1;1133;
3745;final-crs_9;1132;92
3761;final-crs_10;1133;1425
3890;gate-keeper;1192;
3898;vege_1;1192;
3929;final-crs_0;1192;555
3951;gate-keeper;1201;
3952;frui_1;1201;
3952;gate-keeper;1202;
3953;gate-keeper;1203;
3954;vege_1;1202;
3954;gate-keeper;1204;
3955;vege_0;1203;
3955;gate-keeper;1205;
3956;gate-keeper;1206;
3957;gate-keeper;1207;
3958;frui_1;1205;
3958;gate-keeper;1208;
3959;frui_0;1207;
3959;gate-keeper;1209;
3960;gate-keeper;1210;
3961;gate-keeper;1211;
3962;gate-keeper;1212;
3963;vege_1;1204;
3964;meat_1;1209;
3965;vege_0;1206;
3965;frui_1;1212;
3968;meat_0;1211;
3971;final-crs_6;1201;1872
3971;vege_1;1208;
3974;vege_0;1210;
4000;final-crs_4;1202;772
4024;final-crs_7;1203;1644
4027;final-crs_12;1205;1627
4037;final-crs_10;1207;531
4061;final-crs_3;1204;2444
4088;final-crs_2;1209;3149
4088;final-crs_11;1206;2754
4091;final-crs_5;1212;1110
4101;final-crs_1;1211;779
4124;final-crs_8;1208;1354
4165;final-crs_0;1210;923
4527;gate-keeper;1389;
4528;gate-keeper;1390;
4531;vege_1;1389;
4532;vege_0;1390;
4546;final-crs_3;1389;208
