time;ckpt;id;money
289;gate-keeper;58;
295;vege_0;58;
416;final-crs_5;58;247
601;gate-keeper;121;
602;gate-keeper;122;
606;vege_0;121;
606;meat_1;122;
645;final-crs_4;121;98
653;final-crs_5;122;608
872;gate-keeper;176;
875;vege_1;176;
891;final-crs_5;176;325
898;gate-keeper;181;
905;vege_1;181;
918;final-crs_8;181;1376
1129;gate-keeper;227;
1130;gate-keeper;228;
1131;gate-keeper;229;
1133;meat_1;227;
1142;final-crs_8;227;703
1183;meat_0;228;
1187;final-crs_9;228;1118
1199;meat_1;229;
1213;final-crs_2;229;759
1694;gate-keeper;341;
1695;gate-keeper;342;
1696;gate-keeper;343;
1703;vege_0;341;
1708;final-crs_3;341;1399
1718;meat_0;342;
1732;gate-keeper;351;
1737;final-crs_1;342;1309
1747;meat_1;343;
1759;final-crs_11;343;110
1771;meat_0;351;
1796;final-crs_10;351;227
1997;gate-keeper;404;
2002;vege_1;404;
2003;final-crs_1;404;1365
2290;gate-keeper;460;
2291;vege_0;460;
2291;gate-keeper;461;
2292;gate-keeper;462;
2293;gate-keeper;463;
2294;gate-keeper;464;
2296;final-crs_5;460;502
2297;vege_1;461;
2301;vege_0;462;
2304;final-crs_4;461;909
2306;vege_1;463;
2307;final-crs_10;462;79
2311;vege_0;464;
2325;final-crs_8;463;1920
2361;final-crs_12;464;604
2585;gate-keeper;521;
2586;gate-keeper;522;
2587;gate-keeper;523;
2588;gate-keeper;524;
2590;vege_1;522;
2592;vege_0;523;
2595;final-crs_6;522;1028
2595;final-crs_12;523;264
2598;meat_1;521;
2626;meat_0;524;
2639;final-crs_0;521;726
2652;final-crs_7;524;604
3367;gate-keeper;682;
3379;meat_0;682;
3419;final-crs_11;682;1318
3571;gate-keeper;721;
3572;gate-keeper;722;
3573;vege_0;721;
3606;meat_1;722;
3614;final-crs_2;721;132
3617;final-crs_0;722;300
4333;gate-keeper;871;
4334;gate-keeper;872;
4335;gate-keeper;873;
4337;vege_1;871;
4343;final-crs_11;871;866
4358;meat_0;872;
4359;final-crs_1;872;601
4382;meat_1;873;
4399;final-crs_9;873;988
4558;gate-keeper;918;
4559;gate-keeper;919;
4563;vege_0;918;
4565;vege_1;919;
4575;final-crs_12;918;241
4577;final-crs_1;919;458
4920;gate-keeper;990;
4923;vege_0;990;
4938;final-crs_4;990;367
5229;gate-keeper;1049;
5235;vege_1;1049;
5241;final-crs_0;1049;361
5762;gate-keeper;1157;
5764;vege_1;1157;
5768;final-crs_9;1157;1248
6071;gate-keeper;1218;
6072;frui_0;1218;
6072;gate-keeper;1219;
6073;gate-keeper;1220;
6081;vege_0;1220;
6086;meat_0;1219;
6087;final-crs_4;1218;1183
6088;final-crs_12;1220;740
6138;final-crs_6;1219;78
6156;gate-keeper;1233;
6157;gate-keeper;1234;
6158;vege_0;1234;
6158;gate-keeper;1235;
6159;gate-keeper;1236;
6160;gate-keeper;1237;
6165;final-crs_3;1234;144
6167;vege_0;1237;
6174;final-crs_7;1237;718
6198;meat_0;1233;
6215;final-crs_0;1233;851
6221;meat_1;1235;
6241;final-crs_9;1235;1189
6270;meat_0;1236;
6273;final-crs_5;1236;845
6381;gate-keeper;1283;
6382;frui_1;1283;
6408;final-crs_6;1283;1225
6706;gate-keeper;1348;
6708;frui_0;1348;
6711;final-crs_8;1348;1034
6780;gate-keeper;1358;
6781;gate-keeper;1359;
6782;gate-keeper;1360;
6783;vege_1;1358;
6783;frui_1;1360;
6783;gate-keeper;1361;
6784;gate-keeper;1362;
6785;gate-keeper;1363;
6786;vege_0;1359;
6791;final-crs_9;1358;1390
6797;meat_1;1361;
6804;final-crs_2;1360;1300
6810;final-crs_4;1359;1551
6819;final-crs_12;1361;353
6826;meat_0;1362;
6855;meat_1;1363;
6887;final-crs_3;1362;1030
6914;final-crs_6;1363;1044
6986;gate-keeper;1404;
6993;vege_0;1404;
7032;final-crs_9;1404;903
7148;gate-keeper;1437;
7151;frui_0;1437;
7154;final-crs_6;1437;433
7306;gate-keeper;1469;
7307;gate-keeper;1470;
7308;vege_0;1469;
7310;vege_1;1470;
7377;final-crs_0;1469;635
7379;final-crs_1;1470;477
7598;gate-keeper;1528;
7630;meat_1;1528;
7632;final-crs_6;1528;72
7905;gate-keeper;1591;
7907;vege_0;1591;
7908;final-crs_3;1591;1062
8004;gate-keeper;1606;
8005;gate-keeper;1607;
8006;vege_0;1607;
8006;gate-keeper;1608;
8007;gate-keeper;1609;
8008;vege_1;1608;
8008;frui_1;1606;
8008;gate-keeper;1610;
8013;final-crs_6;1607;206
8016;vege_0;1610;
8045;meat_1;1609;
8087;final-crs_2;1608;1162
8111;final-crs_0;1606;1040
8136;final-crs_3;1610;1312
8149;final-crs_1;1609;108
8252;gate-keeper;1657;
8253;gate-keeper;1658;
8259;vege_1;1658;
8260;final-crs_6;1658;416
8289;meat_1;1657;
8337;final-crs_3;1657;148
8552;gate-keeper;1716;
8556;vege_0;1716;
8581;final-crs_0;1716;1171
8784;gate-keeper;1764;
8785;vege_1;1764;
8812;final-crs_3;1764;460
8939;gate-keeper;1786;
8940;gate-keeper;1787;
8941;gate-keeper;1788;
8942;frui_0;1786;
8942;gate-keeper;1789;
8943;gate-keeper;1790;
8944;gate-keeper;1791;
8945;vege_0;1789;
8945;gate-keeper;1792;
8946;vege_1;1790;
8946;gate-keeper;1793;
8947;gate-keeper;1794;
8948;final-crs_8;1786;693
8948;gate-keeper;1795;
8949;meat_1;1787;
8952;meat_0;1788;
8954;vege_0;1791;
8955;vege_1;1792;
8981;final-crs_9;1789;449
9003;meat_0;1793;
9023;meat_1;1794;
9024;final-crs_6;1790;830
9025;final-crs_3;1787;597
9050;final-crs_12;1788;860
9068;gate-keeper;1819;
9069;gate-keeper;1820;
9070;vege_0;1820;
9070;gate-keeper;1821;
9071;gate-keeper;1822;
9072;meat_0;1795;
9075;vege_1;1822;
9075;meat_1;1819;
9077;final-crs_0;1791;992
