time;ckpt;id;money
315;gate-keeper;63;
317;vege_0;63;
418;final-crs_5;63;1091
727;gate-keeper;146;
750;meat_1;146;
763;final-crs_7;146;814
1289;gate-keeper;262;
1290;vege_0;262;
1291;final-crs_5;262;930
1499;gate-keeper;304;
1501;meat_0;304;
1530;final-crs_7;304;1266
1583;gate-keeper;318;
1584;gate-keeper;319;
1585;gate-keeper;320;
1586;frui_1;320;
1586;gate-keeper;321;
1589;vege_1;318;
1590;vege_0;321;
1593;meat_1;319;
1614;final-crs_8;320;1173
1641;final-crs_6;318;303
1643;final-crs_1;321;862
1654;final-crs_2;319;818
1868;gate-keeper;378;
1870;vege_0;378;
1915;final-crs_11;378;1596
2174;gate-keeper;440;
2180;vege_0;440;
2182;final-crs_3;440;1062
2364;gate-keeper;478;
2365;gate-keeper;479;
2381;meat_0;478;
2398;final-crs_4;478;576
2404;meat_1;479;
2406;final-crs_6;479;133
2499;gate-keeper;507;
2502;vege_1;507;
2528;final-crs_8;507;797
3071;gate-keeper;620;
3086;meat_1;620;
3112;final-crs_10;620;1121
3393;gate-keeper;687;
3394;gate-keeper;688;
3400;vege_1;687;
3402;vege_0;688;
3410;final-crs_0;687;962
3464;final-crs_8;688;876
3640;gate-keeper;733;
3641;vege_0;733;
3641;gate-keeper;734;
3642;gate-keeper;735;
3643;gate-keeper;736;
3648;vege_0;735;
3649;meat_0;734;
3660;final-crs_0;733;209
3671;final-crs_9;735;863
3695;final-crs_8;734;1406
3703;meat_1;736;
3734;final-crs_7;736;695
3897;gate-keeper;787;
3901;vege_0;787;
3916;final-crs_8;787;817
4540;gate-keeper;914;
4541;gate-keeper;915;
4549;vege_0;915;
4566;final-crs_10;915;801
4568;meat_1;914;
4594;final-crs_3;914;1100
5118;gate-keeper;1029;
5123;vege_1;1029;
5124;final-crs_7;1029;1949
5470;gate-keeper;1097;
5471;frui_0;1097;
5471;gate-keeper;1098;
5473;vege_0;1098;
5553;final-crs_11;1097;1561
5563;final-crs_9;1098;416
5776;gate-keeper;1160;
5778;vege_1;1160;
5792;final-crs_9;1160;491
6092;gate-keeper;1222;
6093;gate-keeper;1223;
6094;gate-keeper;1224;
6095;meat_1;1224;
6097;vege_0;1222;
6101;vege_1;1223;
6103;final-crs_3;1224;288
6124;final-crs_6;1222;974
6188;final-crs_12;1223;228
6332;gate-keeper;1274;
6334;vege_1;1274;
6345;final-crs_3;1274;233
6734;gate-keeper;1352;
6735;gate-keeper;1353;
6736;gate-keeper;1354;
6737;vege_1;1354;
6740;frui_1;1353;
6748;final-crs_5;1354;1671
6749;final-crs_2;1353;959
6756;meat_1;1352;
6765;final-crs_1;1352;1283
7019;gate-keeper;1409;
7020;gate-keeper;1410;
7021;vege_1;1409;
7021;gate-keeper;1411;
7022;final-crs_1;1409;1026
7023;vege_0;1410;
7029;final-crs_9;1410;481
7030;vege_0;1411;
7039;final-crs_7;1411;886
7085;gate-keeper;1423;
7086;gate-keeper;1424;
7088;frui_0;1423;
7110;meat_1;1424;
7121;final-crs_12;1423;915
7133;final-crs_6;1424;441
7240;gate-keeper;1456;
7243;vege_0;1456;
7257;final-crs_1;1456;1447
7295;gate-keeper;1467;
7299;frui_1;1467;
7301;final-crs_3;1467;648
7575;gate-keeper;1523;
7576;vege_1;1523;
7576;gate-keeper;1524;
7579;meat_1;1524;
7582;final-crs_6;1523;1233
7606;final-crs_10;1524;750
8290;gate-keeper;1663;
8291;gate-keeper;1664;
8292;gate-keeper;1665;
8327;meat_0;1663;
8337;meat_1;1664;
8348;final-crs_8;1663;917
8353;final-crs_5;1664;1183
8381;meat_0;1665;
8390;final-crs_1;1665;583
8601;gate-keeper;1722;
8602;gate-keeper;1723;
8603;gate-keeper;1724;
8604;vege_1;1722;
8604;gate-keeper;1725;
8605;gate-keeper;1726;
8606;frui_0;1726;
8609;vege_0;1723;
8637;final-crs_1;1722;1680
8638;meat_1;1724;
8641;final-crs_11;1726;617
8643;meat_0;1725;
8656;final-crs_0;1723;1279
8690;final-crs_4;1724;837
8701;final-crs_9;1725;1180
9050;gate-keeper;1817;
9051;gate-keeper;1818;
9058;vege_1;1817;
9060;vege_0;1818;
9076;final-crs_1;1817;63
9097;final-crs_5;1818;181
9168;gate-keeper;1840;
9169;gate-keeper;1841;
9176;vege_1;1841;
9184;meat_1;1840;
9211;final-crs_9;1841;994
9239;final-crs_10;1840;1464
9492;gate-keeper;1906;
9495;frui_0;1906;
9533;final-crs_7;1906;522
9790;gate-keeper;1965;
9795;vege_1;1965;
9803;final-crs_6;1965;1218
9973;gate-keeper;2002;
9979;meat_0;2002;
9993;final-crs_12;2002;658
10149;gate-keeper;2036;
10150;vege_1;2036;
10150;gate-keeper;2037;
10151;gate-keeper;2038;
10156;meat_0;2038;
10158;vege_0;2037;
10175;final-crs_8;2036;798
10179;final-crs_0;2038;971
10190;final-crs_10;2037;289
10399;gate-keeper;2090;
10400;frui_0;2090;
10415;final-crs_0;2090;621
10661;gate-keeper;2141;
10662;gate-keeper;2142;
10663;vege_0;2141;
10663;gate-keeper;2143;
10664;final-crs_9;2141;504
10664;gate-keeper;2144;
10666;frui_0;2144;
10668;final-crs_3;2144;760
10672;meat_1;2142;
10680;final-crs_12;2142;270
10709;meat_0;2143;
10757;gate-keeper;2160;
10758;gate-keeper;2161;
10759;vege_1;2160;
10759;gate-keeper;2162;
10760;gate-keeper;2163;
10762;frui_0;2162;
10763;vege_0;2161;
10768;vege_1;2163;
10779;final-crs_5;2143;727
10795;final-crs_1;2160;510
10824;final-crs_7;2162;106
10832;final-crs_11;2161;1797
10837;gate-keeper;2179;
10840;vege_1;2179;
10852;final-crs_4;2163;168
10854;final-crs_0;2179;2225
10955;gate-keeper;2200;
10956;gate-keeper;2201;
10957;gate-keeper;2202;
10958;meat_1;2202;
10962;vege_0;2200;
10964;vege_1;2201;
11034;final-crs_1;2202;264
11035;final-crs_5;2200;645
11048;final-crs_7;2201;1240
11249;gate-keeper;2259;
11250;vege_1;2259;
11250;gate-keeper;2260;
11255;vege_0;2260;
11296;final-crs_1;2259;778
11298;final-crs_7;2260;267
11582;gate-keeper;2326;
11585;vege_1;2326;
11600;final-crs_8;2326;138
11693;gate-keeper;2347;
11694;gate-keeper;2348;
11695;gate-keeper;2349;
11696;gate-keeper;2350;
11697;vege_0;2347;
11698;meat_1;2348;
11740;meat_0;2349;
11753;meat_1;2350;
11772;final-crs_0;2347;79
11775;final-crs_11;2348;117
11794;final-crs_5;2349;212
11800;final-crs_4;2350;367
11857;gate-keeper;2380;
11858;gate-keeper;2381;
11862;vege_1;2380;
11866;vege_0;2381;
11882;final-crs_6;2380;908
11884;final-crs_10;2381;1458
12119;gate-keeper;2432;
12120;vege_0;2432;
12120;gate-keeper;2433;
12163;meat_1;2433;
12191;final-crs_0;2432;1036
12272;final-crs_4;2433;724
12424;gate-keeper;2492;
12425;gate-keeper;2493;
12426;vege_0;2493;
12426;gate-keeper;2494;
12427;meat_0;2492;
12427;gate-keeper;2495;
12428;gate-keeper;2496;
12434;vege_1;2495;
12435;vege_0;2496;
12446;meat_1;2494;
12457;final-crs_0;2493;270
12494;final-crs_4;2492;1240
12520;final-crs_7;2495;634
12534;final-crs_5;2496;1593
12534;final-crs_8;2494;83
13062;gate-keeper;2624;
13065;frui_0;2624;
13083;final-crs_3;2624;1489
13369;gate-keeper;2685;
13370;gate-keeper;2686;
