time;ckpt;id;money
305;gate-keeper;61;
333;meat_1;61;
459;final-crs_5;61;496
1150;gate-keeper;230;
1151;vege_1;230;
1151;gate-keeper;231;
1152;gate-keeper;232;
1153;gate-keeper;233;
1154;frui_1;233;
1158;vege_0;231;
1164;meat_0;232;
1168;final-crs_7;230;942
1174;final-crs_9;233;1248
1177;final-crs_4;231;1022
1179;final-crs_0;232;1140
1393;gate-keeper;281;
1394;gate-keeper;282;
1400;vege_1;281;
1400;meat_1;282;
1405;final-crs_6;281;240
1406;final-crs_4;282;993
1596;gate-keeper;322;
1597;gate-keeper;323;
1603;vege_1;323;
1611;final-crs_6;323;930
1628;meat_1;322;
1636;final-crs_4;322;1010
2430;gate-keeper;488;
2431;gate-keeper;489;
2432;gate-keeper;490;
2433;vege_1;490;
2433;frui_1;489;
2433;gate-keeper;491;
2434;gate-keeper;492;
2435;gate-keeper;493;
2436;final-crs_1;490;619
2438;vege_0;491;
2443;vege_1;492;
2448;meat_0;488;
2449;meat_1;493;
2455;final-crs_5;489;1010
2463;final-crs_10;491;1137
2519;final-crs_6;492;1417
2587;final-crs_7;488;287
2587;final-crs_11;493;497
2657;gate-keeper;538;
2693;meat_0;538;
2756;final-crs_6;538;210
2970;gate-keeper;600;
2971;gate-keeper;601;
2972;vege_1;600;
2976;vege_0;601;
3021;final-crs_6;600;355
3032;final-crs_0;601;919
3331;gate-keeper;673;
3332;gate-keeper;674;
3333;gate-keeper;675;
3334;vege_1;673;
3337;frui_1;674;
3358;final-crs_5;673;244
3361;final-crs_11;674;672
3373;meat_0;675;
3376;final-crs_12;675;1044
3615;gate-keeper;731;
3616;vege_0;731;
3653;final-crs_4;731;893
3903;gate-keeper;788;
3909;vege_0;788;
3917;final-crs_0;788;865
4501;gate-keeper;908;
4502;vege_1;908;
4548;final-crs_4;908;586
4782;gate-keeper;961;
4783;gate-keeper;962;
4784;vege_1;961;
4794;final-crs_7;961;1714
4796;meat_0;962;
4810;final-crs_4;962;432
5011;gate-keeper;1007;
5019;vege_0;1007;
5033;final-crs_2;1007;134
5435;gate-keeper;1091;
5454;meat_0;1091;
5473;final-crs_3;1091;954
6700;gate-keeper;1347;
6705;vege_1;1347;
6720;final-crs_0;1347;555
6845;gate-keeper;1376;
6850;frui_0;1376;
6879;final-crs_11;1376;2083
6997;gate-keeper;1406;
7004;vege_0;1406;
7041;final-crs_5;1406;978
7582;gate-keeper;1525;
7584;vege_0;1525;
7602;final-crs_11;1525;67
7642;gate-keeper;1534;
7643;gate-keeper;1535;
7644;gate-keeper;1536;
7645;gate-keeper;1537;
7648;vege_1;1534;
7650;vege_0;1537;
7665;meat_0;1535;
7672;final-crs_9;1534;348
7675;meat_1;1536;
7698;final-crs_10;1537;757
7738;final-crs_12;1535;367
7753;final-crs_1;1536;1239
7865;gate-keeper;1583;
7866;vege_1;1583;
7891;final-crs_8;1583;272
8167;gate-keeper;1642;
8196;meat_0;1642;
8199;final-crs_10;1642;1068
8470;gate-keeper;1701;
8471;vege_0;1701;
8478;final-crs_6;1701;824
8482;gate-keeper;1702;
8483;gate-keeper;1703;
8489;vege_1;1703;
8497;meat_0;1702;
8505;final-crs_11;1703;400
8511;final-crs_7;1702;281
8810;gate-keeper;1765;
8811;gate-keeper;1766;
8812;vege_0;1766;
8812;gate-keeper;1767;
8813;gate-keeper;1768;
8814;vege_1;1768;
8814;gate-keeper;1769;
8817;final-crs_2;1766;797
8823;vege_0;1769;
8825;final-crs_3;1768;1701
8826;final-crs_4;1769;806
8853;meat_1;1765;
8864;meat_0;1767;
8880;final-crs_9;1765;1135
8913;final-crs_10;1767;685
9095;gate-keeper;1827;
9103;vege_0;1827;
9150;final-crs_5;1827;411
9328;gate-keeper;1874;
9332;meat_1;1874;
9347;gate-keeper;1877;
9348;gate-keeper;1878;
9349;vege_0;1878;
9354;final-crs_4;1874;669
9354;final-crs_10;1878;1081
9381;meat_0;1877;
9383;final-crs_5;1877;1302
9631;gate-keeper;1934;
9632;vege_1;1934;
9649;final-crs_6;1934;289
11135;gate-keeper;2238;
11159;meat_0;2238;
11162;final-crs_4;2238;1079
11330;gate-keeper;2276;
11331;gate-keeper;2277;
11337;vege_1;2276;
11339;vege_0;2277;
11356;final-crs_10;2276;652
11375;final-crs_7;2277;573
11420;gate-keeper;2295;
11426;vege_1;2295;
11450;final-crs_6;2295;1615
11966;gate-keeper;2401;
11967;vege_0;2401;
11967;gate-keeper;2402;
11968;gate-keeper;2403;
11974;vege_1;2402;
11975;final-crs_0;2401;278
11975;meat_0;2403;
11996;final-crs_5;2402;575
11997;final-crs_9;2403;205
12140;gate-keeper;2438;
12146;vege_0;2438;
12155;final-crs_6;2438;465
12182;gate-keeper;2442;
12183;gate-keeper;2443;
12184;gate-keeper;2444;
12185;gate-keeper;2445;
12186;vege_1;2442;
12186;gate-keeper;2446;
12187;gate-keeper;2447;
12192;vege_0;2443;
12197;vege_1;2445;
12203;final-crs_0;2442;463
12207;final-crs_5;2443;203
12208;meat_0;2444;
12211;meat_1;2446;
12219;final-crs_9;2445;921
12256;final-crs_2;2444;652
12256;meat_0;2447;
12269;final-crs_1;2446;627
12282;final-crs_10;2447;1366
12471;gate-keeper;2503;
12472;gate-keeper;2504;
12473;gate-keeper;2505;
12501;meat_0;2503;
12518;meat_1;2504;
