time;ckpt;id;money
248;gate-keeper;0;
249;vege_0;0;
249;gate-keeper;1;
250;final-crs_11;0;502
250;gate-keeper;2;
251;gate-keeper;3;
252;frui_0;2;
252;gate-keeper;4;
253;gate-keeper;5;
254;gate-keeper;6;
255;final-crs_6;2;865
255;vege_1;1;
255;gate-keeper;7;
256;final-crs_12;1;1192
256;gate-keeper;8;
257;gate-keeper;9;
258;vege_0;3;
258;gate-keeper;10;
259;gate-keeper;11;
260;gate-keeper;12;
261;frui_1;12;
261;gate-keeper;13;
262;gate-keeper;14;
263;vege_1;4;
263;gate-keeper;15;
264;gate-keeper;16;
265;vege_0;5;
265;gate-keeper;17;
266;gate-keeper;18;
267;final-crs_5;3;715
267;gate-keeper;19;
268;final-crs_2;12;989
268;gate-keeper;20;
269;gate-keeper;21;
270;gate-keeper;22;
271;frui_0;20;
271;gate-keeper;23;
272;final-crs_7;4;161
272;gate-keeper;24;
273;vege_1;7;
273;gate-keeper;25;
274;vege_0;8;
274;meat_1;6;
274;gate-keeper;26;
275;frui_1;25;
275;gate-keeper;27;
276;gate-keeper;28;
277;gate-keeper;29;
278;gate-keeper;30;
279;gate-keeper;31;
280;gate-keeper;32;
281;frui_1;29;
281;gate-keeper;33;
282;gate-keeper;34;
283;vege_1;10;
283;gate-keeper;35;
284;vege_0;11;
284;frui_0;32;
284;gate-keeper;36;
285;gate-keeper;37;
286;gate-keeper;38;
287;gate-keeper;39;
288;gate-keeper;40;
289;gate-keeper;41;
290;gate-keeper;42;
291;final-crs_4;5;2975
291;vege_1;13;
291;frui_0;40;
291;gate-keeper;43;
292;gate-keeper;44;
293;gate-keeper;45;
294;vege_0;14;
294;gate-keeper;46;
295;gate-keeper;47;
296;gate-keeper;48;
297;meat_0;9;
297;gate-keeper;49;
298;frui_0;45;
298;gate-keeper;50;
299;frui_1;46;
301;vege_1;15;
304;frui_0;48;
305;vege_0;16;
310;vege_1;17;
314;vege_0;19;
320;vege_1;21;
324;vege_0;22;
326;meat_1;18;
329;vege_1;24;
334;vege_0;26;
338;vege_1;27;
342;vege_0;28;
345;meat_0;23;
347;vege_1;30;
352;vege_0;31;
358;vege_1;34;
362;vege_0;36;
368;vege_1;38;
371;vege_0;39;
377;vege_1;42;
381;vege_0;43;
384;meat_1;33;
385;vege_1;44;
391;vege_0;47;
395;vege_1;50;
407;meat_0;35;
414;final-crs_1;20;1009
436;final-crs_3;7;2952
436;final-crs_10;8;469
441;final-crs_9;6;282
446;meat_1;37;
450;final-crs_0;25;1188
465;meat_0;41;
476;final-crs_11;29;1127
481;final-crs_5;10;2350
485;final-crs_6;11;1428
503;final-crs_7;32;102
508;final-crs_2;13;1691
511;meat_1;49;
513;final-crs_8;40;3306
517;gate-keeper;75;
518;gate-keeper;76;
519;gate-keeper;77;
520;gate-keeper;78;
521;gate-keeper;79;
522;gate-keeper;80;
523;vege_0;75;
523;frui_0;79;
523;gate-keeper;81;
524;vege_1;77;
524;meat_0;76;
524;gate-keeper;82;
525;gate-keeper;83;
526;frui_1;83;
526;gate-keeper;84;
527;gate-keeper;85;
528;gate-keeper;86;
529;gate-keeper;87;
530;frui_0;85;
530;gate-keeper;88;
531;final-crs_12;14;334
531;gate-keeper;89;
532;vege_0;78;
532;frui_1;88;
532;gate-keeper;90;
533;gate-keeper;91;
534;vege_1;80;
534;gate-keeper;92;
535;gate-keeper;93;
536;gate-keeper;94;
537;gate-keeper;95;
538;frui_0;91;
538;gate-keeper;96;
539;frui_1;95;
539;gate-keeper;97;
540;gate-keeper;98;
541;gate-keeper;99;
542;gate-keeper;100;
543;vege_0;82;
543;gate-keeper;101;
544;gate-keeper;102;
545;vege_1;84;
545;gate-keeper;103;
546;gate-keeper;104;
547;final-crs_4;9;937
547;gate-keeper;105;
551;frui_0;105;
552;vege_0;86;
554;vege_1;90;
560;vege_0;92;
563;vege_1;93;
568;vege_0;94;
574;vege_1;96;
576;vege_0;98;
577;meat_1;81;
579;meat_0;87;
584;vege_1;99;
585;vege_0;100;
593;vege_1;101;
596;vege_0;102;
601;vege_1;103;
607;vege_0;104;
636;final-crs_1;45;297
636;meat_1;89;
640;final-crs_3;46;2096
645;meat_0;97;
694;final-crs_0;15;780
695;final-crs_9;48;1154
702;final-crs_2;16;868
708;final-crs_10;17;135
712;final-crs_6;19;381
755;final-crs_5;21;1132
756;final-crs_7;22;844
757;final-crs_8;18;1505
767;final-crs_4;24;3300
768;final-crs_11;26;1012
776;final-crs_12;27;1240
867;final-crs_3;28;2172
898;final-crs_0;23;1198
900;final-crs_1;30;167
917;final-crs_6;31;1674
924;final-crs_10;34;1202
961;final-crs_2;36;1992
986;final-crs_9;38;1615
987;gate-keeper;200;
988;gate-keeper;201;
989;frui_0;200;
990;vege_0;201;
992;final-crs_4;39;1925
992;final-crs_8;42;1211
998;final-crs_5;43;1040
999;final-crs_7;33;1237
1005;final-crs_12;44;536
1009;final-crs_11;47;986
1115;final-crs_3;50;441
1131;final-crs_6;35;195
1146;gate-keeper;233;
1147;final-crs_0;37;294
1147;vege_0;233;
1147;gate-keeper;234;
1155;vege_1;234;
1159;final-crs_1;41;133
1190;final-crs_10;49;598
1192;final-crs_2;75;548
1209;final-crs_8;79;182
1210;final-crs_4;77;146
1222;final-crs_7;76;322
1225;final-crs_5;83;457
1238;final-crs_12;85;1266
1256;final-crs_9;78;861
1275;final-crs_11;88;921
1360;final-crs_3;80;196
1364;final-crs_6;91;1725
1398;final-crs_0;95;156
1408;final-crs_1;82;2522
1434;final-crs_2;84;84
1435;final-crs_4;105;907
1445;final-crs_12;86;613
1453;final-crs_5;90;2299
1466;final-crs_10;92;319
1466;gate-keeper;301;
1468;vege_1;301;
1472;final-crs_8;93;248
1482;final-crs_7;94;845
1510;final-crs_9;96;756
1555;final-crs_11;98;1204
1563;final-crs_3;81;1280
1602;final-crs_1;87;3775
1606;final-crs_0;99;518
1632;final-crs_6;100;1441
1655;final-crs_4;101;801
1677;final-crs_12;102;930
1681;final-crs_7;103;1861
1684;final-crs_2;104;1663
1714;final-crs_8;89;984
1721;final-crs_5;97;2886
1735;final-crs_11;200;656
1760;final-crs_10;201;573
1767;final-crs_9;233;875
1800;final-crs_1;234;668
1812;final-crs_3;301;332
1840;gate-keeper;378;
1843;vege_1;378;
1881;final-crs_7;378;661
2072;gate-keeper;422;
2073;vege_0;422;
2073;gate-keeper;423;
2074;gate-keeper;424;
2075;gate-keeper;425;
2079;vege_1;423;
2082;vege_0;424;
