time;ckpt;id;money
632;gate-keeper;126;
633;gate-keeper;127;
634;frui_0;126;
643;final-crs_4;126;2445
646;meat_1;127;
666;final-crs_0;127;1672
1490;gate-keeper;305;
1491;gate-keeper;306;
1497;vege_1;305;
1500;vege_0;306;
1568;final-crs_12;305;969
1572;final-crs_2;306;968
1668;gate-keeper;340;
1669;vege_0;340;
1669;gate-keeper;341;
1670;gate-keeper;342;
1671;vege_1;341;
1679;vege_0;342;
1695;final-crs_7;340;523
1699;final-crs_1;341;1448
1702;final-crs_10;342;1195
1754;gate-keeper;360;
1756;vege_0;360;
1787;final-crs_12;360;314
2020;gate-keeper;413;
2021;gate-keeper;414;
2022;vege_0;414;
2024;frui_0;413;
2060;final-crs_9;414;2793
2088;final-crs_2;413;1606
2327;gate-keeper;461;
2328;gate-keeper;462;
2329;frui_0;462;
2329;gate-keeper;463;
2330;final-crs_7;462;2371
2330;gate-keeper;464;
2331;gate-keeper;465;
2332;vege_1;461;
2332;gate-keeper;466;
2333;gate-keeper;467;
2334;vege_0;466;
2334;gate-keeper;468;
2335;gate-keeper;469;
2336;final-crs_2;461;340
2336;frui_0;467;
2336;gate-keeper;470;
2337;gate-keeper;471;
2338;gate-keeper;472;
2339;gate-keeper;473;
2340;vege_0;468;
2340;vege_1;470;
2340;gate-keeper;474;
2341;final-crs_11;466;132
2341;gate-keeper;475;
2342;gate-keeper;476;
2343;gate-keeper;477;
2345;frui_1;476;
2349;vege_0;471;
2349;vege_1;472;
2350;meat_0;463;
2358;vege_0;473;
2359;vege_1;474;
2361;final-crs_8;467;910
2367;vege_0;475;
2377;meat_1;464;
2386;final-crs_4;468;140
2401;final-crs_6;470;1050
2407;meat_0;465;
2416;final-crs_1;476;1761
2430;final-crs_12;471;1333
2438;meat_1;469;
2446;final-crs_3;472;1091
2462;meat_0;477;
2478;final-crs_10;463;1024
2500;final-crs_5;473;758
2517;final-crs_9;474;2142
2554;final-crs_0;475;2023
2558;final-crs_2;464;697
2573;final-crs_7;465;1527
2597;gate-keeper;530;
2598;gate-keeper;531;
2599;gate-keeper;532;
2600;gate-keeper;533;
2601;gate-keeper;534;
2602;vege_1;530;
2604;frui_1;534;
2607;vege_0;531;
2609;final-crs_11;469;2008
2611;vege_1;532;
2615;final-crs_4;477;1094
2616;vege_0;533;
2617;final-crs_8;530;1612
2640;final-crs_1;534;1836
2655;final-crs_12;531;1662
2666;final-crs_6;532;4693
2699;final-crs_10;533;883
2945;gate-keeper;605;
2946;gate-keeper;606;
2947;gate-keeper;607;
2950;vege_1;607;
2950;frui_1;606;
2955;meat_0;605;
2959;final-crs_10;607;317
2969;final-crs_5;606;2440
2979;final-crs_3;605;1937
3257;gate-keeper;670;
3258;vege_0;670;
3258;gate-keeper;671;
3259;vege_1;671;
3260;final-crs_9;670;4149
3294;final-crs_11;671;479
3571;gate-keeper;734;
3572;gate-keeper;735;
3573;vege_1;734;
3574;final-crs_7;734;1600
3580;meat_0;735;
3613;final-crs_2;735;2681
3845;gate-keeper;792;
3849;frui_0;792;
3851;final-crs_2;792;239
4110;gate-keeper;848;
4111;gate-keeper;849;
4114;frui_0;848;
4118;vege_1;849;
4120;final-crs_12;848;486
4149;final-crs_8;849;1120
4391;gate-keeper;907;
4392;frui_0;907;
4401;final-crs_8;907;1413
4415;gate-keeper;911;
4416;vege_0;911;
4416;gate-keeper;912;
4419;final-crs_10;911;931
4420;vege_1;912;
4431;final-crs_1;912;1341
4709;gate-keeper;972;
4716;frui_1;972;
4730;final-crs_6;972;72
5013;gate-keeper;1029;
5014;gate-keeper;1030;
5015;gate-keeper;1031;
5016;vege_1;1029;
5016;gate-keeper;1032;
5017;vege_0;1030;
5017;gate-keeper;1033;
5018;gate-keeper;1034;
5019;gate-keeper;1035;
5020;gate-keeper;1036;
5022;frui_0;1034;
5024;frui_1;1036;
5026;vege_0;1031;
5026;vege_1;1032;
5032;final-crs_4;1029;1675
5035;vege_0;1033;
5035;vege_1;1035;
5068;final-crs_12;1030;2736
5076;final-crs_11;1034;1203
5079;final-crs_10;1036;1296
5098;final-crs_8;1031;539
5108;final-crs_7;1032;193
5114;final-crs_5;1033;868
5144;final-crs_1;1035;1884
5289;gate-keeper;1092;
5295;vege_0;1092;
5297;final-crs_10;1092;1113
5365;gate-keeper;1107;
5368;vege_0;1107;
5369;final-crs_7;1107;492
5635;gate-keeper;1164;
5639;vege_1;1164;
5685;final-crs_3;1164;284
5927;gate-keeper;1224;
5928;gate-keeper;1225;
5931;vege_0;1225;
5978;meat_1;1224;
5991;final-crs_2;1225;2169
5991;final-crs_11;1224;537
6234;gate-keeper;1289;
6240;frui_0;1289;
6246;final-crs_4;1289;1643
6306;gate-keeper;1304;
6325;meat_1;1304;
6351;final-crs_12;1304;1882
6560;gate-keeper;1357;
6564;frui_0;1357;
6604;final-crs_12;1357;1415
6813;gate-keeper;1411;
6814;vege_0;1411;
6815;final-crs_6;1411;3758
7128;gate-keeper;1475;
7129;frui_1;1475;
7129;gate-keeper;1476;
7135;frui_0;1476;
7151;final-crs_11;1475;2676
7166;final-crs_3;1476;1172
7430;gate-keeper;1539;
7431;vege_0;1539;
7447;final-crs_9;1539;1812
7712;gate-keeper;1597;
7714;frui_0;1597;
7744;final-crs_6;1597;859
7949;gate-keeper;1646;
7951;vege_1;1646;
7953;final-crs_9;1646;2840
8009;gate-keeper;1657;
8010;gate-keeper;1658;
8011;frui_0;1657;
8013;vege_0;1658;
8075;final-crs_1;1657;1105
8101;final-crs_3;1658;492
8630;gate-keeper;1784;
8633;frui_0;1784;
8644;final-crs_10;1784;228
8737;gate-keeper;1807;
8743;vege_1;1807;
8745;final-crs_2;1807;304
8926;gate-keeper;1846;
8933;vege_0;1846;
8946;final-crs_9;1846;257
9484;gate-keeper;1962;
9485;gate-keeper;1963;
9487;vege_0;1962;
9490;final-crs_0;1962;1341
9492;vege_1;1963;
9524;final-crs_7;1963;1058
9660;gate-keeper;1999;
9661;gate-keeper;2000;
9662;vege_0;1999;
9663;final-crs_5;1999;154
9668;vege_1;2000;
9676;final-crs_6;2000;2301
9730;gate-keeper;2014;
9735;vege_1;2014;
9783;final-crs_7;2014;1305
10346;gate-keeper;2137;
10347;gate-keeper;2138;
10348;frui_0;2138;
10348;gate-keeper;2139;
10349;vege_1;2137;
10351;final-crs_4;2138;1097
10351;final-crs_6;2137;369
10356;vege_0;2139;
10384;final-crs_5;2139;2633
10603;gate-keeper;2189;
10604;gate-keeper;2190;
10605;gate-keeper;2191;
10606;frui_0;2189;
10606;gate-keeper;2192;
10607;gate-keeper;2193;
10610;vege_0;2190;
10612;vege_1;2191;
10620;vege_0;2192;
10622;vege_1;2193;
10630;final-crs_10;2189;1458
10638;final-crs_2;2190;1560
10650;final-crs_5;2191;3021
10657;final-crs_8;2192;91
10664;gate-keeper;2206;
10667;vege_0;2206;
10678;final-crs_11;2193;1164
10696;final-crs_12;2206;824
10921;gate-keeper;2257;
10922;gate-keeper;2258;
10923;gate-keeper;2259;
10927;vege_1;2257;
10927;frui_0;2258;
10930;vege_0;2259;
10944;final-crs_12;2257;2957
10946;final-crs_11;2258;1782
10998;final-crs_3;2259;3775
10998;gate-keeper;2272;
10999;gate-keeper;2273;
11000;gate-keeper;2274;
11001;vege_0;2272;
11001;gate-keeper;2275;
11005;vege_1;2273;
11006;frui_0;2274;
11012;vege_0;2275;
11029;final-crs_7;2272;817
11036;final-crs_1;2273;2389
11042;final-crs_9;2274;301
11069;final-crs_6;2275;463
11492;gate-keeper;2373;
11493;vege_0;2373;
11493;gate-keeper;2374;
11494;gate-keeper;2375;
11495;gate-keeper;2376;
11496;gate-keeper;2377;
11497;final-crs_7;2373;101
11497;frui_0;2376;
11497;gate-keeper;2378;
11501;vege_0;2374;
11501;vege_1;2378;
11502;frui_1;2377;
11522;meat_1;2375;
11523;final-crs_6;2376;2118
11537;final-crs_5;2374;876
11538;final-crs_1;2378;1540
